sector,month,beat_nifty_pct,avg_excess_ret,avg_abs_ret,n_obs
Auto,1,57.8,0.81,0.53,45
Auto,2,40.0,-1.47,-2.72,50
Auto,3,40.0,-1.74,-2.0,50
Auto,4,64.0,2.93,5.37,50
Auto,5,76.0,4.8,6.28,50
Auto,6,56.0,0.81,2.01,50
Auto,7,30.0,-1.28,2.29,50
Auto,8,48.0,0.96,1.88,50
Auto,9,62.0,1.62,1.24,50
Auto,10,36.0,-1.04,-0.44,50
Auto,11,40.0,-0.14,1.42,50
Auto,12,40.0,-0.81,0.77,50
Auto Ancillary,1,44.4,-0.45,-0.73,36
Auto Ancillary,2,47.5,0.44,-0.81,40
Auto Ancillary,3,55.0,-0.43,-0.69,40
Auto Ancillary,4,67.5,4.09,6.54,40
Auto Ancillary,5,55.0,1.44,2.92,40
Auto Ancillary,6,45.0,0.49,1.7,40
Auto Ancillary,7,42.5,0.49,4.06,40
Auto Ancillary,8,35.0,-2.19,-1.27,40
Auto Ancillary,9,62.5,0.99,0.61,40
Auto Ancillary,10,45.0,-0.63,-0.02,40
Auto Ancillary,11,45.0,1.26,2.82,40
Auto Ancillary,12,57.5,1.09,2.67,40
Aviation,1,44.4,-2.57,-2.85,9
Aviation,2,55.6,-0.08,-1.52,9
Aviation,3,77.8,6.53,6.69,9
Aviation,4,77.8,2.08,5.21,9
Aviation,5,55.6,1.14,2.44,9
Aviation,6,22.2,-3.42,-1.99,9
Aviation,7,44.4,-2.74,1.01,9
Aviation,8,55.6,3.18,4.93,9
Aviation,9,44.4,-0.19,-0.57,9
Aviation,10,66.7,-0.92,-0.41,9
Aviation,11,55.6,1.25,3.16,9
Aviation,12,80.0,4.11,5.69,10
Banking,1,46.3,-0.27,-0.55,54
Banking,2,43.3,0.03,-1.21,60
Banking,3,48.3,-0.71,-0.97,60
Banking,4,58.3,0.76,3.2,60
Banking,5,65.0,1.26,2.74,60
Banking,6,43.3,-0.6,0.61,60
Banking,7,48.3,-0.09,3.48,60
Banking,8,46.7,-0.0,0.92,60
Banking,9,46.7,-0.65,-1.02,60
Banking,10,56.7,1.85,2.45,60
Banking,11,65.0,2.09,3.65,60
Banking,12,45.0,-0.64,0.95,60
Capital Goods,1,61.1,2.21,1.93,18
Capital Goods,2,65.0,5.31,4.06,20
Capital Goods,3,60.0,1.88,1.63,20
Capital Goods,4,55.0,0.74,3.18,20
Capital Goods,5,65.0,4.08,5.56,20
Capital Goods,6,50.0,1.23,2.44,20
Capital Goods,7,30.0,-2.68,0.89,20
Capital Goods,8,45.0,-0.15,0.77,20
Capital Goods,9,40.0,0.41,0.04,20
Capital Goods,10,50.0,0.03,0.63,20
Capital Goods,11,55.0,-0.22,1.34,20
Capital Goods,12,45.0,-0.68,0.91,20
Cement,1,48.9,-0.49,-0.77,45
Cement,2,62.0,0.94,-0.31,50
Cement,3,48.0,0.7,0.44,50
Cement,4,50.0,1.23,3.68,50
Cement,5,52.0,0.32,1.8,50
