date,open,high,low,close,volume
2026-03-12,18.3,18.98,16.96,18.19,76331.0
2026-03-13,18.31,19.0,17.23,17.54,66312.0
2026-03-16,18.54,18.54,17.5,17.51,64940.0
2026-03-17,17.51,18.69,17.51,17.62,35004.0
2026-03-18,18.1,18.58,17.9,18.37,35720.0
2026-03-19,18.5,18.5,17.37,17.48,10240.0
2026-03-20,17.23,17.99,16.6,16.85,80388.0
2026-03-23,17.35,17.35,16.05,16.15,47325.0
2026-03-24,16.59,17.0,16.03,16.13,67264.0
2026-03-25,16.0,16.97,16.0,16.08,133928.0
2026-03-27,17.4,17.4,14.31,14.81,101162.0
2026-03-30,14.99,15.59,13.25,13.99,51585.0
2026-04-01,14.6,15.99,14.35,15.76,49147.0
2026-04-02,15.5,16.04,14.6,15.37,14147.0
2026-04-06,16.7,16.7,15.01,16.14,13617.0
2026-04-07,16.22,16.8,16.0,16.6,4648.0
2026-04-08,17.75,19.92,16.97,18.02,318241.0
2026-04-09,18.6,19.6,18.18,18.41,65506.0
2026-04-10,19.26,20.25,18.62,19.66,36082.0
2026-04-13,19.64,19.64,18.6,19.21,24976.0
2026-04-15,20.0,20.0,19.01,19.46,32588.0
2026-04-16,19.95,19.95,19.05,19.43,9010.0
2026-04-17,19.2,19.2,18.7,19.0,12180.0
2026-04-20,19.6,19.6,18.2,19.3,7008.0
2026-04-21,19.3,19.3,18.41,18.99,15855.0
2026-04-22,18.86,19.49,18.45,19.0,5946.0
2026-04-23,19.0,19.2,18.6,18.71,4285.0
2026-04-24,18.7,19.44,18.61,18.65,10144.0
2026-04-27,18.65,19.2,18.2,18.41,4936.0
2026-04-28,19.0,19.0,18.2,18.97,7183.0
2026-04-29,18.99,19.4,18.21,18.78,9969.0
2026-04-30,18.89,19.3,18.5,18.99,3225.0
2026-05-04,18.8,18.99,18.25,18.8,4069.0
2026-05-05,19.0,19.0,18.1,18.41,5739.0
2026-05-06,18.84,19.0,18.3,18.76,2510.0
2026-05-07,17.85,18.99,17.83,17.84,38670.0
2026-05-08,17.77,17.8,17.4,17.69,17665.0
