date,open,high,low,close,volume
2021-05-12,56.95,58.0,55.5,56.0,27637.0
2021-05-14,56.75,57.1,55.0,55.45,19683.0
2021-05-17,55.45,56.5,54.5,54.9,17981.0
2021-05-18,56.85,57.65,56.1,56.55,18545.0
2021-05-19,56.9,61.35,55.5,58.95,205635.0
2021-05-20,60.0,61.8,59.5,59.95,95518.0
2021-05-21,60.05,62.0,58.35,60.5,80344.0
2021-05-24,60.9,61.4,59.55,60.55,39382.0
2021-05-25,61.0,61.05,58.6,59.45,37431.0
2021-05-26,59.6,60.65,59.15,59.85,39623.0
2021-05-27,59.25,62.0,58.8,60.0,83162.0
2021-05-28,60.95,65.8,59.6,61.4,287857.0
2021-05-31,61.5,63.8,61.5,62.0,52346.0
2021-06-01,62.1,62.85,59.65,60.5,31066.0
2021-06-02,60.5,66.15,59.1,64.75,289999.0
2021-06-03,64.45,65.6,62.15,63.3,51922.0
2021-06-04,63.95,70.0,62.3,68.35,267868.0
2021-06-07,72.0,82.0,71.5,82.0,1066954.0
2021-06-08,82.2,83.7,74.6,76.65,473455.0
2021-06-09,77.0,80.9,75.95,77.1,235842.0
2021-06-10,78.9,78.9,68.7,72.7,453560.0
2021-06-11,73.3,73.35,69.75,71.4,152574.0
2021-06-14,71.5,71.5,67.5,69.45,78778.0
2021-06-15,69.95,71.4,68.0,69.15,49962.0
2021-06-16,69.45,73.5,68.0,72.25,130722.0
2021-06-17,71.15,73.8,69.25,70.9,88082.0
2021-06-18,71.9,74.5,68.0,72.85,119195.0
2021-06-21,72.6,74.45,70.1,71.7,57157.0
2021-06-22,71.8,72.75,70.35,71.6,32975.0
2021-06-23,72.0,75.5,70.65,71.25,55934.0
2021-06-24,71.9,72.4,70.0,70.25,27407.0
2021-06-25,71.3,71.3,69.1,69.9,23517.0
2021-06-28,69.5,73.0,69.5,70.85,22017.0
2021-06-29,71.15,71.8,70.0,70.05,21462.0
2021-06-30,70.6,72.75,70.15,70.6,28020.0
2021-07-01,71.05,72.85,70.2,71.15,24980.0
2021-07-02,70.65,71.9,69.8,70.05,20395.0
2021-07-05,71.7,71.7,69.85,70.25,18587.0
2021-07-06,70.95,71.75,68.0,68.9,24232.0
2021-07-07,69.0,72.3,68.2,71.15,41977.0
2021-07-08,71.45,73.25,70.1,70.4,37839.0
2021-07-09,70.9,73.2,70.2,72.0,96962.0
2021-07-12,72.8,78.7,72.05,74.7,215860.0
2021-07-13,75.5,78.7,74.0,76.65,137463.0
2021-07-14,77.8,77.85,73.6,74.15,42384.0
2021-07-15,75.95,88.95,74.4,87.85,1036376.0
