date,open,high,low,close,volume
2021-05-12,55.0,55.65,53.6,54.6,13170.0
2021-05-14,55.9,57.3,52.0,54.35,66257.0
2021-05-17,57.05,57.05,57.05,57.05,24981.0
2021-05-18,59.9,59.9,57.5,59.9,178036.0
2021-05-19,61.4,62.8,57.4,61.9,98410.0
2021-05-20,61.9,64.95,59.7,62.2,121596.0
2021-05-21,62.2,64.2,61.0,62.2,14790.0
2021-05-24,62.3,64.0,59.95,63.75,75266.0
2021-05-25,64.8,66.5,63.7,65.95,66874.0
2021-05-26,68.3,68.3,65.0,66.35,83388.0
2021-05-27,67.3,67.85,65.6,67.3,50569.0
2021-05-28,68.0,69.0,67.05,68.7,58206.0
2021-05-31,70.45,70.45,67.8,69.8,64451.0
2021-06-01,69.2,70.0,66.8,68.15,90557.0
2021-06-02,68.0,71.55,67.35,71.55,110561.0
2021-06-03,75.1,75.1,70.1,74.75,247218.0
2021-06-04,75.1,77.7,73.8,76.5,151751.0
2021-06-07,77.9,77.9,75.7,76.2,107598.0
2021-06-08,78.7,78.7,72.4,72.55,66123.0
2021-06-09,73.4,73.4,68.95,68.95,71863.0
2021-06-10,69.9,70.75,66.35,67.35,76616.0
2021-06-11,66.05,70.7,66.0,69.65,57643.0
2021-06-14,73.0,73.0,68.0,69.95,181679.0
2021-06-15,71.95,73.0,70.2,70.5,33249.0
2021-06-16,73.0,74.0,70.0,73.5,89491.0
2021-06-17,72.0,77.15,70.55,75.25,97006.0
2021-06-18,76.8,76.8,71.5,73.3,56485.0
2021-06-21,75.5,75.5,70.1,74.5,34553.0
2021-06-22,76.95,76.95,72.55,74.8,33090.0
2021-06-23,72.5,75.75,72.5,75.05,58651.0
2021-06-24,74.0,76.0,72.65,74.85,65892.0
2021-06-25,73.95,76.75,73.65,75.15,67767.0
2021-06-28,75.15,78.9,74.9,75.7,70900.0
2021-06-29,74.65,77.25,73.55,74.9,20629.0
2021-06-30,73.4,76.1,73.4,75.0,20268.0
2021-07-01,74.05,76.3,74.05,75.0,33427.0
2021-07-02,76.95,77.55,74.4,76.55,72259.0
2021-07-05,76.95,79.9,74.55,75.9,105696.0
2021-07-06,74.55,79.65,74.45,76.75,85776.0
2021-07-07,77.95,78.5,76.0,77.1,42038.0
2021-07-08,76.35,77.6,75.7,76.1,49521.0
2021-07-09,77.0,77.85,75.3,77.4,19656.0
2021-07-12,78.0,81.0,75.95,79.9,41910.0
2021-07-13,81.0,83.85,80.5,83.85,97225.0
2021-07-14,85.2,85.2,80.65,83.5,92437.0
2021-07-15,83.5,85.0,81.4,82.75,30062.0
2021-07-16,82.35,84.9,82.05,83.3,34736.0
2021-07-19,84.0,86.05,80.25,81.15,52969.0
2021-07-20,83.0,83.0,78.1,80.25,21464.0
2021-07-22,83.5,83.5,76.25,76.75,38539.0
2021-07-23,76.75,79.9,76.1,76.9,40253.0
2021-07-26,78.25,78.6,73.8,74.55,35789.0
2021-07-27,74.5,78.25,73.5,77.85,43097.0
2021-07-28,80.95,80.95,74.55,79.75,81173.0
2021-07-29,80.0,82.95,80.0,82.65,38032.0
2021-07-30,81.85,86.75,80.1,81.35,239088.0
2021-08-02,80.5,80.5,77.3,77.4,156253.0
2021-08-03,75.5,81.25,75.2,81.25,97407.0
2021-08-04,83.95,85.0,80.65,83.15,119588.0
2021-08-05,83.2,85.0,81.25,83.95,123111.0
2021-08-06,85.9,92.3,84.25,89.65,192067.0
2021-08-09,92.0,97.05,85.2,88.7,221334.0
2021-08-10,90.0,92.0,80.25,80.95,155810.0
2021-08-11,87.95,88.0,75.0,84.7,160659.0
2021-08-12,86.3,88.0,83.05,84.85,129580.0
2021-08-13,86.55,88.0,84.0,85.25,67466.0
2021-08-16,87.95,87.95,82.0,85.1,38783.0
2021-08-17,87.55,91.05,77.15,89.6,187484.0
2021-08-18,91.9,96.85,85.1,92.45,164317.0
2021-08-20,93.7,98.2,85.6,94.5,169087.0
2021-08-23,94.85,97.8,85.95,89.3,145024.0
2021-08-24,92.0,92.0,86.0,87.9,96393.0
2021-08-25,89.85,89.9,87.6,88.1,25315.0
2021-08-26,87.0,89.2,87.0,88.5,12687.0
2021-08-27,90.0,90.0,86.75,88.05,32885.0
2021-08-30,89.85,92.0,87.5,89.0,77469.0
2021-08-31,91.0,91.8,88.0,88.35,30848.0
2021-09-01,91.5,91.75,88.1,89.35,36745.0
2021-09-02,93.0,93.0,89.1,89.65,21363.0
2021-09-03,92.8,98.6,86.4,98.6,430938.0
2021-09-06,104.1,106.7,97.1,98.0,264380.0
2021-09-07,97.9,99.9,95.5,97.2,41747.0
2021-09-08,100.0,104.4,98.5,102.1,183708.0
2021-09-09,104.2,104.9,98.55,100.95,113371.0
2021-09-13,101.0,102.9,97.3,99.7,49743.0
2021-09-14,98.55,101.65,97.35,97.75,33397.0
2021-09-15,97.0,102.0,97.0,100.2,70413.0
2021-09-16,103.6,104.8,99.2,102.55,90594.0
2021-09-17,104.6,104.6,97.95,99.1,38373.0
2021-09-20,99.0,103.65,95.4,99.8,96991.0
2021-09-21,101.75,101.75,96.0,98.65,81543.0
2021-09-22,99.9,107.8,98.55,104.55,228620.0
2021-09-23,104.55,114.0,101.35,112.5,495900.0
2021-09-24,113.7,113.7,105.0,106.8,110315.0
2021-09-27,110.5,110.5,102.35,103.35,50361.0
2021-09-28,104.95,107.5,101.15,103.7,47106.0
2021-09-29,103.0,104.2,99.95,103.1,53080.0
2021-09-30,104.95,105.6,102.1,102.6,33518.0
2021-10-01,102.25,112.85,99.8,112.85,160911.0
2021-10-04,112.85,121.5,109.1,115.0,195843.0
2021-10-05,114.75,119.2,113.15,116.65,78093.0
2021-10-06,117.0,117.0,109.0,111.05,84184.0
2021-10-07,115.0,116.95,112.3,113.35,37392.0
2021-10-08,114.9,115.4,111.95,113.35,24385.0
2021-10-11,116.0,116.2,110.3,111.0,63616.0
2021-10-12,112.6,112.6,107.15,110.25,57836.0
2021-10-13,111.65,111.65,107.35,108.0,43835.0
2021-10-14,107.4,109.85,107.2,108.65,48281.0
2021-10-18,110.0,112.65,106.8,109.05,45642.0
2021-10-19,111.7,111.7,106.0,107.4,40353.0
2021-10-20,106.3,109.45,105.0,106.9,35410.0
2021-10-21,105.0,109.9,105.0,107.55,34555.0
2021-10-22,108.15,113.0,104.6,106.25,51727.0
2021-10-25,106.3,108.85,102.0,103.35,27160.0
2021-10-26,103.25,107.0,103.25,106.85,21149.0
2021-10-27,108.6,109.5,106.5,107.45,13668.0
2021-10-28,108.65,108.7,104.35,105.0,6263.0
2021-10-29,103.6,104.45,98.05,99.55,70182.0
2021-11-01,99.5,103.8,99.5,102.0,93893.0
2021-11-02,103.4,103.4,99.65,100.65,36000.0
2021-11-03,101.0,107.2,100.8,102.55,42790.0
2021-11-04,102.6,104.5,101.0,103.45,16926.0
2021-11-08,105.7,107.05,102.2,102.55,29650.0
