date,open,high,low,close,volume
2021-05-12,83.0,83.85,71.25,74.2,35675.0
2021-05-14,75.05,81.6,68.5,77.75,33802.0
2021-05-17,80.0,85.5,79.95,83.05,36721.0
2021-05-18,84.9,86.45,82.5,84.3,14380.0
2021-05-19,86.0,86.0,81.3,82.25,16900.0
2021-05-20,82.25,83.85,78.6,79.3,4029.0
2021-05-21,81.7,83.25,79.15,82.9,11697.0
2021-05-24,83.05,85.0,78.8,78.8,20714.0
2021-05-25,74.9,75.9,74.9,75.0,16337.0
2021-05-26,75.5,76.75,73.5,76.25,11647.0
2021-05-27,77.0,77.0,72.45,75.3,7397.0
2021-05-28,75.3,79.0,72.05,73.4,7086.0
2021-05-31,72.0,73.95,71.5,73.95,8282.0
2021-06-01,77.0,77.0,73.0,73.1,3827.0
2021-06-02,76.2,76.2,71.8,73.8,8056.0
2021-06-03,73.55,75.0,72.7,74.45,12165.0
2021-06-04,72.85,74.75,72.85,74.45,3424.0
2021-06-07,75.9,75.95,71.55,74.05,24667.0
2021-06-08,75.2,75.2,71.0,71.6,16893.0
2021-06-09,74.0,74.0,68.0,68.35,39460.0
2021-06-10,68.0,70.65,65.95,68.15,21760.0
2021-06-11,72.95,72.95,66.0,68.5,8498.0
2021-06-14,68.45,70.45,68.0,69.15,11882.0
2021-06-15,70.15,70.15,67.65,68.55,1777.0
2021-06-16,68.65,70.5,67.65,70.25,5242.0
2021-06-17,66.9,71.5,66.9,70.95,6991.0
2021-06-18,74.5,74.5,69.75,71.7,13063.0
2021-06-21,73.15,73.15,67.15,71.05,20159.0
2021-06-22,73.4,73.4,69.0,69.35,14514.0
2021-06-23,69.05,70.75,68.15,69.2,17516.0
2021-06-24,70.0,70.15,67.1,67.85,10187.0
2021-06-25,68.65,69.6,68.45,68.6,21601.0
2021-06-28,68.6,68.6,67.0,67.65,6422.0
2021-06-29,68.15,69.5,67.55,68.75,6576.0
2021-06-30,69.0,69.75,67.0,67.6,10460.0
2021-07-01,68.1,68.95,65.05,65.4,12487.0
2021-07-02,67.95,67.95,64.0,64.8,5587.0
2021-07-05,67.0,67.0,63.05,63.8,11227.0
2021-07-06,65.8,65.8,63.05,63.8,9117.0
2021-07-07,65.95,65.95,63.0,63.1,9410.0
2021-07-08,63.1,64.75,62.05,63.75,5742.0
2021-07-09,64.0,64.9,63.75,64.25,4899.0
2021-07-12,66.0,66.0,63.8,64.05,2088.0
2021-07-13,64.0,65.95,64.0,65.05,2910.0
2021-07-14,66.35,66.85,65.15,65.75,3424.0
2021-07-15,66.75,67.45,64.0,64.4,10822.0
2021-07-16,64.5,65.0,62.0,63.55,5415.0
2021-07-19,66.0,66.0,64.0,65.5,5756.0
2021-07-20,65.55,72.05,65.55,71.45,34906.0
2021-07-22,74.25,78.55,72.25,77.7,99386.0
2021-07-23,83.85,83.85,78.0,80.45,58426.0
2021-07-26,82.85,82.85,73.15,74.5,15578.0
2021-07-27,75.95,76.0,67.65,68.6,41793.0
2021-07-28,69.75,69.75,63.3,64.05,25954.0
2021-07-29,64.5,67.1,62.5,64.25,23782.0
2021-07-30,62.1,65.9,61.05,64.8,17939.0
2021-08-02,63.25,69.95,63.25,68.45,15006.0
2021-08-03,72.5,74.7,70.0,72.15,64135.0
2021-08-04,76.5,77.65,70.85,72.15,66432.0
2021-08-05,72.0,73.0,65.0,67.2,47144.0
2021-08-06,67.95,80.6,67.0,72.45,118742.0
2021-08-09,72.55,85.7,72.55,74.7,66747.0
2021-08-10,79.0,79.0,68.6,71.5,38481.0
2021-08-11,68.9,74.4,67.3,70.75,15895.0
2021-08-12,73.65,73.7,70.4,71.75,6614.0
2021-08-13,72.0,74.0,69.0,70.6,10501.0
2021-08-16,72.7,72.7,67.85,68.0,9042.0
2021-08-17,71.9,73.05,68.0,71.1,18174.0
2021-08-18,70.3,71.5,68.0,68.3,10361.0
2021-08-20,68.2,68.7,62.0,63.45,19636.0
2021-08-23,63.45,66.85,63.0,63.2,15766.0
2021-08-24,65.95,65.95,60.0,61.95,9366.0
2021-08-25,64.7,64.95,62.35,63.4,3509.0
2021-08-26,62.7,65.2,62.7,63.55,3109.0
2021-08-27,67.8,67.8,64.0,64.6,3433.0
2021-08-30,67.4,67.4,64.65,65.4,5182.0
2021-08-31,65.55,66.0,63.9,64.55,3674.0
2021-09-01,72.0,77.45,61.75,77.45,260923.0
2021-09-02,81.9,92.9,80.3,92.9,926772.0
2021-09-03,96.7,102.15,87.0,90.1,664657.0
