date,open,high,low,close,volume
2021-05-12,32.69,32.91,32.15,32.65,208890.0
2021-05-14,32.65,32.82,32.35,32.39,83614.0
2021-05-17,30.45,33.67,30.45,33.66,85393.0
2021-05-18,33.8,34.33,33.8,34.16,197979.0
2021-05-19,33.97,34.18,33.82,33.92,116561.0
2021-05-20,34.0,34.04,33.55,33.63,38910.0
2021-05-21,31.61,34.93,31.61,34.81,82997.0
2021-05-24,35.13,35.46,34.7,35.17,210369.0
2021-05-25,35.17,35.75,34.71,35.01,272766.0
2021-05-26,35.6,35.6,34.79,35.02,54034.0
2021-05-27,35.07,35.5,34.83,35.36,389424.0
2021-05-28,35.78,35.78,35.3,35.47,133282.0
2021-05-31,37.6,37.6,35.25,35.69,106740.0
2021-06-01,35.8,35.95,35.5,35.6,45701.0
2021-06-02,35.47,35.7,35.35,35.67,44368.0
2021-06-03,35.7,35.99,35.7,35.88,69988.0
2021-06-04,35.9,36.05,35.51,35.57,416786.0
2021-06-07,35.73,35.8,35.6,35.71,69306.0
2021-06-08,35.6,35.65,35.24,35.34,155673.0
2021-06-09,35.31,35.62,34.92,35.02,273615.0
2021-06-10,35.1,35.43,35.0,35.35,66125.0
2021-06-11,35.45,35.55,35.16,35.25,85088.0
2021-06-14,35.19,35.22,34.62,35.2,153793.0
2021-06-15,35.21,35.53,35.21,35.45,399486.0
2021-06-16,37.12,37.12,35.2,35.25,68837.0
2021-06-17,35.1,35.1,34.68,34.86,459902.0
2021-06-18,35.01,35.01,34.19,34.84,54881.0
2021-06-21,34.58,35.18,34.21,35.14,44172.0
2021-06-22,35.4,35.5,34.93,35.0,164608.0
2021-06-23,35.21,35.21,34.85,34.9,192628.0
2021-06-24,34.85,35.26,34.85,35.14,130877.0
2021-06-25,35.31,35.76,35.2,35.59,486691.0
2021-06-28,35.77,35.8,35.5,35.64,125425.0
2021-06-29,35.5,35.59,35.27,35.38,85246.0
2021-06-30,35.3,35.58,35.15,35.17,326190.0
2021-07-01,35.08,35.25,35.04,35.05,155793.0
2021-07-02,35.17,35.24,35.03,35.16,115686.0
2021-07-05,33.05,35.54,33.05,35.52,93877.0
2021-07-06,35.52,36.07,35.45,35.83,278545.0
2021-07-07,35.83,36.08,35.67,36.01,81564.0
2021-07-08,38.17,38.17,35.52,35.65,183742.0
2021-07-09,33.51,36.16,33.51,35.46,198353.0
2021-07-12,35.54,35.77,35.41,35.53,69333.0
2021-07-13,35.7,36.0,35.69,35.94,72214.0
2021-07-14,36.16,36.16,35.8,35.99,115840.0
2021-07-15,35.4,36.29,35.4,36.24,72213.0
2021-07-16,36.59,36.59,35.98,36.11,88625.0
2021-07-19,35.8,35.8,35.3,35.44,231428.0
2021-07-20,36.5,36.5,34.74,34.79,75111.0
2021-07-22,35.1,35.32,34.89,35.04,445111.0
2021-07-23,35.04,35.4,34.63,35.34,418488.0
2021-07-26,39.93,39.93,35.05,35.24,120531.0
2021-07-27,35.51,35.59,35.07,35.11,172542.0
2021-07-28,35.18,35.18,34.51,34.91,87155.0
2021-07-29,35.25,35.25,34.9,34.99,43092.0
2021-07-30,35.2,35.2,34.73,34.93,32550.0
2021-08-02,35.2,35.2,34.95,35.03,70854.0
2021-08-03,35.4,35.54,35.03,35.51,88222.0
2021-08-04,35.7,36.5,35.59,36.31,249786.0
2021-08-05,36.31,36.4,36.0,36.2,164618.0
2021-08-06,36.5,36.5,35.8,36.2,1252010.0
2021-08-09,36.9,36.9,36.14,36.36,117636.0
2021-08-10,36.8,36.8,36.26,36.36,45031.0
2021-08-11,35.27,36.6,34.17,36.19,135247.0
2021-08-12,36.44,36.44,36.07,36.32,86383.0
2021-08-13,36.6,36.6,36.25,36.5,143437.0
2021-08-16,37.6,37.6,36.0,36.42,55293.0
2021-08-17,36.4,36.4,36.02,36.26,97228.0
2021-08-18,36.6,36.6,35.81,35.94,146630.0
2021-08-20,35.94,35.94,35.34,35.4,130337.0
2021-08-23,36.1,36.1,35.22,35.49,149278.0
2021-08-24,36.0,36.14,35.31,36.0,49086.0
2021-08-25,36.3,36.3,35.91,35.95,97342.0
2021-08-26,36.0,36.15,35.79,36.0,101332.0
2021-08-27,35.91,36.27,35.8,36.18,1857949.0
2021-08-30,36.3,36.8,36.19,36.75,131815.0
2021-08-31,36.76,36.95,36.65,36.84,136136.0
2021-09-01,37.05,37.35,36.8,36.98,363704.0
2021-09-02,39.2,39.2,35.88,37.24,174219.0
2021-09-03,37.24,38.33,37.03,37.26,336553.0
2021-09-06,37.5,37.5,36.55,37.07,320717.0
2021-09-07,36.51,37.37,36.48,36.79,1825772.0
2021-09-08,37.35,37.35,36.52,37.11,172101.0
2021-09-09,37.2,37.2,36.88,36.98,247459.0
2021-09-13,37.69,37.69,36.67,36.81,186734.0
2021-09-14,39.02,39.02,36.8,36.99,216570.0
2021-09-15,36.99,37.3,36.87,37.2,193653.0
2021-09-16,37.6,38.09,37.2,38.03,291148.0
2021-09-17,38.15,38.43,29.89,38.02,1128591.0
2021-09-20,40.3,40.3,37.46,37.57,976935.0
2021-09-21,37.35,37.7,36.95,37.58,133144.0
2021-09-22,38.0,38.0,37.3,37.35,17517.0
2021-09-23,38.0,38.16,37.36,38.14,64270.0
2021-09-24,38.14,38.5,38.02,38.15,96874.0
2021-09-27,38.5,39.1,38.15,38.54,83145.0
2021-09-28,39.1,39.1,37.68,38.35,424657.0
2021-09-29,38.5,38.5,37.75,38.16,63274.0
2021-09-30,38.16,38.51,37.82,37.89,49403.0
2021-10-01,37.9,37.9,37.4,37.64,46388.0
2021-10-04,38.0,38.35,37.6,38.04,143830.0
2021-10-05,38.1,38.19,37.82,38.15,41874.0
2021-10-06,37.8,38.48,37.8,37.88,348910.0
2021-10-07,37.5,38.5,37.5,38.12,21630.0
2021-10-08,38.5,38.82,38.04,38.12,22224.0
2021-10-11,38.77,38.8,38.22,38.61,104424.0
2021-10-12,38.7,38.92,38.51,38.82,28781.0
2021-10-13,39.49,39.49,38.82,38.94,152060.0
2021-10-14,39.0,39.7,39.0,39.65,72738.0
2021-10-18,39.65,40.31,39.65,40.1,136207.0
2021-10-19,42.51,42.51,39.82,40.02,239594.0
2021-10-20,40.02,40.2,39.7,39.98,236261.0
2021-10-21,40.4,40.67,39.9,40.49,1133921.0
2021-10-22,41.7,42.01,40.54,41.38,431865.0
2021-10-25,42.97,42.97,38.89,41.6,295110.0
2021-10-26,41.6,41.8,41.24,41.59,562700.0
2021-10-27,41.96,41.96,41.25,41.42,207044.0
2021-10-28,42.66,42.66,39.83,39.99,141859.0
2021-10-29,40.66,40.66,38.95,39.56,330600.0
2021-11-01,41.94,41.94,39.55,40.29,92357.0
2021-11-02,39.48,41.0,39.48,40.34,213744.0
2021-11-03,41.0,41.0,39.72,39.76,106683.0
2021-11-04,40.0,40.04,39.83,39.9,3272.0
2021-11-08,40.6,40.6,39.36,39.86,111671.0
2021-11-09,39.9,39.94,39.65,39.79,36137.0
2021-11-10,39.79,40.5,39.25,39.33,52693.0
2021-11-11,39.2,39.2,38.8,38.97,91388.0
2021-11-12,39.67,39.67,38.91,39.13,31979.0
2021-11-15,39.83,39.83,38.98,39.1,282757.0
2021-11-16,39.12,39.12,38.58,38.69,45511.0
2021-11-17,38.52,38.85,38.36,38.44,73921.0
2021-11-18,39.59,39.59,37.74,38.3,304759.0
2021-11-22,39.44,39.83,37.06,37.55,107558.0
2021-11-23,37.55,37.73,37.07,37.56,971506.0
2021-11-24,38.68,39.81,37.51,37.72,76191.0
2021-11-25,37.65,37.87,37.48,37.69,91853.0
2021-11-26,37.52,37.52,36.33,36.45,127242.0
2021-11-29,36.5,37.15,35.76,36.38,128801.0
2021-11-30,36.39,37.12,35.9,36.05,121901.0
2021-12-01,36.28,36.8,36.22,36.77,29626.0
2021-12-02,36.71,36.96,36.62,36.92,32201.0
2021-12-03,36.92,37.4,36.5,36.64,844297.0
2021-12-06,38.84,38.84,36.15,36.18,35701.0
2021-12-07,36.51,37.26,36.37,37.06,138433.0
2021-12-08,37.3,37.87,37.23,37.66,3178730.0
2021-12-09,38.35,38.35,37.36,37.54,178113.0
2021-12-10,37.84,37.84,37.13,37.55,61851.0
2021-12-13,38.68,39.2,37.32,37.44,79798.0
2021-12-14,38.23,38.23,36.97,37.3,186777.0
2021-12-15,37.38,37.48,37.18,37.2,50128.0
2021-12-16,39.43,39.43,36.85,36.93,168440.0
2021-12-17,36.83,36.83,35.93,36.02,159575.0
2021-12-20,37.1,38.18,34.42,34.81,375858.0
2021-12-21,35.52,35.52,34.76,34.95,478755.0
2021-12-22,35.2,35.67,35.07,35.39,29983.0
2021-12-23,35.9,35.9,35.35,35.54,461464.0
2021-12-24,35.54,35.61,34.93,35.09,704494.0
2021-12-27,35.84,35.84,34.53,35.34,298932.0
2021-12-28,35.62,35.64,35.35,35.49,98723.0
2021-12-29,35.42,35.7,35.23,35.47,304982.0
2021-12-30,35.29,35.5,35.14,35.38,293853.0
2021-12-31,35.5,36.0,35.43,35.87,476690.0
2022-01-03,36.95,36.95,35.9,36.84,455817.0
2022-01-04,37.54,37.55,36.77,37.26,350775.0
2022-01-05,37.26,38.24,36.7,38.06,385938.0
2022-01-06,38.2,38.2,37.41,37.87,77750.0
2022-01-07,38.06,38.5,37.82,38.17,106675.0
2022-01-10,38.87,38.87,38.34,38.73,39001.0
2022-01-11,41.05,41.05,38.46,38.77,14636.0
2022-01-12,38.98,39.17,38.93,39.04,21358.0
2022-01-13,38.9,39.0,38.75,38.84,231274.0
2022-01-14,38.69,38.85,38.41,38.76,36526.0
2022-01-17,38.85,39.0,38.56,38.63,69657.0
2022-01-18,38.71,39.26,38.47,38.64,200620.0
2022-01-19,40.95,40.95,38.18,38.45,53383.0
2022-01-20,38.49,38.54,38.03,38.26,120824.0
2022-01-21,40.56,40.56,37.61,37.87,96970.0
2022-01-24,38.57,38.57,36.8,37.24,287888.0
2022-01-25,36.97,38.2,36.82,38.16,57603.0
2022-01-27,38.16,38.7,37.02,38.38,271917.0
2022-01-28,38.7,38.8,37.68,38.1,128130.0
2022-01-31,39.2,39.2,38.06,38.43,17734.0
2022-02-01,38.76,39.17,37.99,38.89,122541.0
2022-02-02,41.22,41.22,38.89,39.68,299538.0
2022-02-03,39.68,40.0,39.25,39.39,98490.0
2022-02-04,39.39,39.66,39.0,39.23,30647.0
2022-02-07,41.59,41.59,38.25,38.44,132172.0
2022-02-08,39.4,39.4,37.75,38.45,529554.0
