date,open,high,low,close,volume
2021-05-12,44.98,46.46,43.77,44.24,128710.0
2021-05-14,44.42,45.41,42.42,43.19,82938.0
2021-05-17,44.82,46.86,42.97,46.27,196168.0
2021-05-18,46.86,47.32,43.5,43.99,116110.0
2021-05-19,44.08,45.32,43.04,43.71,126580.0
2021-05-20,44.14,45.07,43.04,43.34,139763.0
2021-05-21,44.14,44.58,43.37,43.68,79443.0
2021-05-24,44.27,48.71,43.93,47.94,462298.0
2021-05-25,48.12,50.56,47.54,48.06,374198.0
2021-05-26,48.43,56.72,48.09,55.21,1391669.0
2021-05-27,56.66,60.39,56.11,57.4,1683139.0
2021-05-28,57.96,65.97,57.4,64.46,2863522.0
2021-05-31,65.72,65.91,58.02,58.02,941512.0
2021-06-01,52.22,52.22,52.22,52.22,129840.0
2021-06-02,49.66,50.77,47.01,48.31,1181076.0
2021-06-03,49.82,50.71,48.71,50.71,125826.0
2021-06-04,52.1,52.1,48.4,49.11,98143.0
2021-06-07,49.11,49.94,47.51,48.21,108754.0
2021-06-08,48.21,49.14,46.67,46.89,112318.0
2021-06-09,47.69,48.09,45.69,47.44,145994.0
2021-06-10,47.91,48.61,45.99,48.06,60854.0
2021-06-11,47.04,49.26,46.89,47.54,59821.0
2021-06-14,47.01,48.09,45.93,46.27,63482.0
2021-06-15,46.27,47.47,45.99,46.27,61945.0
2021-06-16,46.86,47.14,45.99,46.3,36619.0
2021-06-17,45.13,47.32,45.13,46.98,67210.0
2021-06-18,45.93,47.75,45.01,47.35,54114.0
2021-06-21,47.35,49.32,45.62,48.12,102481.0
2021-06-22,48.12,49.17,46.86,47.32,51539.0
2021-06-23,47.47,48.4,46.24,46.52,39343.0
2021-06-24,46.52,47.44,45.93,46.03,27535.0
2021-06-25,47.01,47.01,45.62,46.43,32923.0
2021-06-28,46.24,47.47,46.24,47.01,26651.0
2021-06-29,47.01,47.01,45.62,46.15,49377.0
2021-06-30,46.86,46.86,45.01,45.1,58042.0
2021-07-01,45.13,45.75,43.28,44.82,33581.0
2021-07-02,45.9,45.9,44.58,45.04,36809.0
2021-07-05,45.75,45.75,44.39,45.32,30743.0
2021-07-06,45.53,47.57,45.32,47.57,96268.0
2021-07-07,48.71,48.71,46.92,47.94,39880.0
2021-07-08,48.55,48.55,46.12,46.24,73529.0
2021-07-09,47.1,47.1,45.38,46.15,17047.0
2021-07-12,47.04,48.43,46.24,48.4,99703.0
2021-07-13,49.76,50.25,48.71,49.66,99261.0
2021-07-14,49.66,52.13,48.31,51.24,170970.0
2021-07-15,51.76,51.79,49.94,50.53,38493.0
2021-07-16,51.79,53.02,51.64,53.02,173083.0
