date,open,high,low,close,volume
2021-05-12,204.95,209.9,200.75,205.2,2783.0
2021-05-14,205.2,210.0,200.75,207.2,3988.0
2021-05-17,209.95,209.95,200.15,203.2,2628.0
2021-05-18,207.5,207.5,202.05,204.7,1119.0
2021-05-19,203.0,208.75,201.05,206.25,3183.0
2021-05-20,206.0,208.5,200.15,207.55,2848.0
2021-05-21,208.95,208.95,201.0,203.0,4385.0
2021-05-24,203.0,210.0,201.0,209.35,9554.0
2021-05-25,209.3,209.9,203.0,207.0,2077.0
2021-05-26,213.0,213.0,206.05,210.45,4330.0
2021-05-27,205.0,213.0,205.0,211.55,1738.0
2021-05-28,218.0,221.0,214.5,216.65,8413.0
2021-05-31,216.0,223.9,210.1,218.5,3356.0
2021-06-01,208.05,219.0,208.05,212.9,3274.0
2021-06-02,216.8,216.8,209.0,214.15,2140.0
2021-06-03,214.15,218.0,208.95,214.4,5519.0
2021-06-04,213.0,216.15,209.0,215.0,4109.0
2021-06-07,208.0,222.0,208.0,217.25,5009.0
2021-06-08,220.0,220.0,210.05,218.1,2865.0
2021-06-09,218.1,225.0,216.0,221.35,8625.0
2021-06-10,221.35,229.75,220.0,224.0,7892.0
2021-06-11,229.0,232.0,224.0,231.75,13118.0
2021-06-14,231.75,243.3,229.0,243.3,16249.0
2021-06-15,243.3,255.45,238.3,254.7,16826.0
2021-06-16,264.0,264.9,250.0,251.6,21827.0
2021-06-17,255.0,255.0,240.2,245.0,3996.0
2021-06-18,244.0,245.0,232.75,241.4,8088.0
2021-06-21,243.0,243.0,229.35,231.25,8114.0
2021-06-22,233.5,242.8,233.5,242.8,18014.0
2021-06-23,243.2,254.9,243.2,253.5,16750.0
2021-06-24,260.0,260.0,246.0,246.9,2338.0
2021-06-25,246.8,252.0,244.0,249.6,2865.0
2021-06-28,251.0,255.0,247.1,249.65,2784.0
2021-06-29,248.0,262.1,241.15,247.0,5538.0
2021-06-30,257.9,257.9,241.1,250.5,8663.0
2021-07-01,251.5,254.0,241.0,244.35,2877.0
2021-07-02,242.0,252.0,241.1,249.65,1696.0
2021-07-05,254.95,254.95,242.2,253.7,3838.0
2021-07-06,245.1,256.0,245.1,248.35,3125.0
2021-07-07,256.0,257.0,248.05,249.15,2117.0
2021-07-08,246.6,252.0,246.6,247.0,1357.0
2021-07-09,246.9,252.0,246.9,249.0,1492.0
2021-07-12,252.0,252.0,244.4,246.9,1392.0
2021-07-13,246.9,246.9,242.25,246.05,702.0
2021-07-14,242.3,251.8,242.3,248.95,854.0
2021-07-15,252.0,252.0,242.0,244.35,1623.0
2021-07-16,242.1,249.8,242.1,244.95,1745.0
2021-07-19,245.0,249.85,240.0,243.1,1354.0
2021-07-20,249.8,249.8,235.0,236.35,3611.0
2021-07-22,236.4,244.95,233.25,236.4,1459.0
2021-07-23,236.05,241.7,232.05,235.1,3877.0
2021-07-26,232.5,236.35,226.95,227.85,4783.0
2021-07-27,222.95,230.0,222.95,226.95,2277.0
2021-07-28,226.4,238.25,223.95,228.35,14406.0
2021-07-29,229.75,235.75,228.0,229.95,2137.0
2021-07-30,235.0,235.0,225.0,230.5,3259.0
2021-08-02,235.3,235.3,223.1,224.3,5586.0
2021-08-03,231.0,231.0,217.7,218.95,9934.0
2021-08-04,229.8,229.8,220.0,220.65,1861.0
2021-08-05,218.45,231.65,216.2,231.65,16054.0
2021-08-06,246.6,246.6,222.5,229.75,6182.0
2021-08-09,229.75,234.0,219.5,228.05,11400.0
2021-08-10,239.0,239.0,219.0,220.85,6008.0
2021-08-11,222.95,230.8,207.0,212.2,11506.0
2021-08-12,216.1,232.9,216.0,227.4,5801.0
2021-08-13,231.05,231.05,221.0,224.45,1870.0
2021-08-16,227.45,227.45,218.1,220.3,2431.0
2021-08-17,228.1,228.1,212.0,216.4,3043.0
2021-08-18,220.0,224.15,207.4,208.8,2964.0
2021-08-20,201.0,211.25,201.0,207.2,4640.0
2021-08-23,210.0,215.1,198.0,203.0,5975.0
2021-08-24,203.55,214.0,202.55,203.9,2444.0
2021-08-25,219.0,219.0,205.45,207.75,1892.0
2021-08-26,207.85,211.15,201.7,203.55,1293.0
2021-08-27,214.0,214.0,202.0,210.75,1847.0
2021-08-30,210.6,212.1,207.0,210.85,1040.0
2021-08-31,210.9,212.2,210.0,212.0,1053.0
2021-09-01,224.0,224.0,208.0,209.8,3779.0
2021-09-02,217.9,221.0,208.1,216.45,2066.0
