date,open,high,low,close,volume
2023-02-23,10.9,11.4,10.9,11.4,14428.0
2023-02-24,11.95,11.95,11.95,11.95,8919.0
2023-02-27,12.5,12.5,12.5,12.5,3765.0
2023-02-28,13.1,13.1,13.1,13.1,3804.0
2023-03-01,13.75,13.75,13.75,13.75,1997.0
2023-03-02,14.4,14.4,14.4,14.4,4062.0
2023-03-03,15.1,15.1,15.1,15.1,729.0
2023-03-06,15.85,15.85,15.85,15.85,1333.0
2023-03-08,16.6,16.6,16.6,16.6,1207.0
2023-03-09,17.4,17.4,17.4,17.4,22350.0
2023-03-10,19.1,19.1,19.1,19.1,12524.0
2023-03-13,21.0,21.0,21.0,21.0,3838.0
2023-03-14,23.1,23.1,23.1,23.1,1720.0
2023-03-15,24.25,24.25,24.25,24.25,8897.0
2023-03-16,25.45,25.45,25.45,25.45,6297.0
2023-03-17,26.7,26.7,26.7,26.7,1941.0
2023-03-20,28.0,28.0,28.0,28.0,17377.0
2023-03-21,29.4,29.4,29.4,29.4,5047.0
2023-03-22,30.85,30.85,30.85,30.85,710.0
2023-03-23,32.35,32.35,32.35,32.35,1558.0
2023-03-24,33.95,33.95,33.95,33.95,3218.0
2023-03-27,35.6,35.6,32.25,32.25,326796.0
2023-03-28,30.65,30.65,30.65,30.65,15285.0
2023-03-29,29.15,29.15,29.15,29.15,12037.0
2023-03-31,27.7,27.7,27.7,27.7,6877.0
2023-04-03,26.35,28.9,26.35,26.35,470293.0
2023-04-05,25.05,26.9,25.05,25.05,317005.0
2023-04-06,24.6,26.3,23.8,25.7,738904.0
2023-04-10,25.0,25.85,24.45,24.45,186193.0
2023-04-11,23.35,24.3,23.25,23.25,76487.0
2023-04-12,23.0,23.35,22.1,22.1,37945.0
2023-04-13,21.3,21.9,21.0,21.0,93043.0
2023-04-17,20.1,20.35,19.95,19.95,15049.0
2023-04-18,18.95,19.9,18.95,18.95,70051.0
2023-04-19,18.0,18.0,18.0,18.0,13894.0
2023-04-20,17.1,18.9,17.1,18.9,93302.0
2023-04-21,19.8,19.8,19.8,19.8,8125.0
2023-04-24,20.75,20.75,20.75,20.75,9982.0
2023-04-25,21.75,21.75,20.3,21.75,261666.0
2023-04-26,22.8,22.8,22.05,22.8,181770.0
2023-04-27,23.75,23.9,21.75,22.3,447134.0
2023-04-28,22.0,22.0,21.2,21.3,140833.0
2023-05-02,21.8,21.85,20.25,20.35,65778.0
2023-05-03,19.95,20.75,19.45,20.05,38163.0
2023-05-04,20.0,21.05,20.0,21.05,21624.0
2023-05-05,22.1,22.1,22.1,22.1,24440.0
2023-05-08,23.2,23.2,23.2,23.2,32013.0
2023-05-09,24.35,24.35,22.05,22.05,317961.0
2023-05-10,22.45,23.15,21.35,23.15,84617.0
2023-05-11,24.3,24.3,23.2,24.3,77848.0
2023-05-12,24.45,24.5,23.1,23.3,121544.0
2023-05-15,23.95,23.95,22.3,22.55,61154.0
2023-05-16,23.15,23.15,21.65,21.85,43886.0
2023-05-17,22.0,22.9,21.35,22.9,56887.0
2023-05-18,24.0,24.0,24.0,24.0,45785.0
2023-05-19,23.55,25.2,22.8,24.85,163082.0
2023-05-22,24.8,24.8,23.6,23.65,64507.0
2023-05-23,24.2,24.45,22.8,23.35,34514.0
2023-05-24,24.2,24.2,22.65,23.85,21950.0
2023-05-25,24.35,24.45,23.05,23.35,17369.0
2023-05-26,23.25,24.2,22.55,22.8,21085.0
2023-05-29,22.5,23.65,22.05,22.2,29591.0
2023-05-30,21.6,22.75,21.6,22.2,21187.0
2023-05-31,22.2,23.2,21.8,21.95,26074.0
2023-06-01,22.4,22.4,21.05,22.05,30605.0
2023-06-02,22.3,22.75,21.95,22.05,14357.0
2023-06-05,21.65,22.4,21.55,21.85,22211.0
2023-06-06,21.95,22.4,21.75,21.9,17477.0
2023-06-07,22.5,22.75,21.15,22.05,18892.0
2023-06-08,22.45,22.45,21.3,21.5,13971.0
2023-06-09,21.45,21.45,20.9,20.95,13940.0
2023-06-12,20.9,21.5,20.0,20.2,25999.0
2023-06-13,20.2,20.75,19.2,20.1,44852.0
2023-06-14,19.7,20.45,19.6,19.85,7928.0
2023-06-15,19.85,19.9,19.2,19.6,16280.0
2023-06-16,20.0,20.0,19.2,19.4,16197.0
2023-06-19,20.0,20.0,19.05,19.25,6153.0
2023-06-20,19.65,19.85,18.6,19.4,11140.0
2023-06-21,19.6,19.8,19.05,19.15,7406.0
2023-06-22,19.7,19.7,18.7,19.15,9363.0
2023-06-23,18.75,19.0,18.3,18.5,6542.0
2023-06-26,19.15,19.15,17.8,18.2,6198.0
2023-06-27,18.6,19.1,18.2,18.6,12003.0
2023-06-28,19.0,19.0,18.2,18.25,8344.0
2023-06-30,19.0,19.0,17.55,18.0,19334.0
2023-07-03,18.0,18.9,18.0,18.3,15236.0
2023-07-04,18.25,18.7,18.0,18.4,10130.0
2023-07-05,17.85,18.65,17.8,17.95,11547.0
2023-07-06,18.2,18.2,17.4,17.75,17403.0
2023-07-07,18.2,18.55,17.2,17.95,24257.0
2023-07-10,17.4,18.5,17.4,17.65,7058.0
2023-07-11,17.5,18.2,17.3,17.5,7997.0
2023-07-12,17.3,17.3,16.8,17.0,13309.0
2023-07-13,17.3,17.3,16.6,16.8,7536.0
2023-07-14,16.8,16.8,16.25,16.4,6265.0
2023-07-17,17.0,17.0,15.6,15.65,35808.0
2023-07-18,15.95,16.05,15.0,15.15,21612.0
2023-07-19,15.15,15.15,15.0,15.05,8393.0
2023-07-20,15.0,15.35,14.5,14.85,12061.0
2023-07-21,14.6,15.35,14.35,14.85,28695.0
2023-07-24,14.85,15.3,14.5,14.85,6300.0
2023-07-25,15.3,15.3,14.7,14.7,4953.0
2023-07-26,14.6,15.1,14.5,14.95,13100.0
2023-07-27,14.95,15.2,14.5,14.75,7429.0
2023-07-28,15.0,15.0,14.4,14.5,16005.0
2023-07-31,14.5,15.2,14.5,15.2,11979.0
2023-08-01,15.25,15.95,15.25,15.95,28746.0
2023-08-02,16.5,16.7,15.55,16.6,19461.0
2023-08-03,16.6,17.4,16.45,17.4,22762.0
2023-08-04,18.0,18.05,16.85,17.3,16670.0
2023-08-07,16.95,16.95,16.95,16.95,1886.0
2023-08-08,16.65,16.7,16.65,16.65,4041.0
2023-08-09,16.35,16.35,16.35,16.35,2861.0
2023-08-10,16.05,16.05,16.05,16.05,3790.0
2023-08-11,15.75,15.8,15.75,15.75,8213.0
2023-08-14,15.75,15.75,15.45,15.45,3975.0
2023-08-16,15.45,15.45,15.15,15.15,3425.0
2023-08-17,14.85,14.85,14.85,14.85,3762.0
2023-08-18,14.85,14.85,14.55,14.55,4577.0
2023-08-21,14.25,14.35,14.25,14.3,6490.0
2023-08-22,14.3,14.3,14.2,14.2,5996.0
2023-08-23,14.05,14.3,14.05,14.3,4204.0
2023-08-24,14.35,14.35,14.05,14.15,3320.0
2023-08-25,14.15,14.15,13.9,13.9,4254.0
2023-08-28,13.65,13.9,13.65,13.9,8128.0
2023-08-29,13.9,14.15,13.9,14.15,1237.0
2023-08-30,14.4,14.4,14.4,14.4,654.0
2023-08-31,14.65,14.65,14.65,14.65,5185.0
2023-09-01,14.9,14.9,14.9,14.9,3265.0
2023-09-04,14.85,14.9,14.85,14.9,1447.0
2023-09-05,15.0,15.15,15.0,15.15,7783.0
2023-09-06,15.15,15.45,15.15,15.45,9344.0
2023-09-07,15.6,15.75,15.6,15.75,12571.0
2023-09-08,15.75,16.05,15.75,16.05,8249.0
2023-09-11,16.3,16.65,15.8,15.8,41036.0
2023-09-12,15.9,15.9,15.05,15.15,10023.0
2023-09-13,15.0,15.9,14.4,15.65,23165.0
2023-09-14,15.85,16.4,15.3,16.4,33080.0
2023-09-15,17.1,17.2,17.1,17.2,14672.0
2023-09-18,18.0,18.05,17.0,17.95,27784.0
2023-09-20,18.25,18.45,17.35,17.65,15533.0
2023-09-21,17.5,18.0,16.85,17.45,12541.0
2023-09-22,17.1,17.1,17.1,17.1,2384.0
2023-09-25,17.1,17.1,16.8,16.8,2874.0
2023-09-26,16.8,16.8,16.5,16.5,1734.0
2023-09-27,16.2,16.6,16.2,16.45,2712.0
2023-09-28,16.15,16.5,16.15,16.5,995.0
2023-09-29,16.2,16.2,16.2,16.2,7670.0
2023-10-03,15.9,15.9,15.9,15.9,1194.0
2023-10-04,15.9,15.9,15.6,15.6,756.0
2023-10-05,15.3,15.35,15.3,15.3,968.0
2023-10-06,15.0,15.1,15.0,15.1,1651.0
2023-10-09,14.9,14.9,14.8,14.8,3617.0
2023-10-10,14.8,14.8,14.75,14.75,2895.0
2023-10-11,14.75,14.8,14.75,14.8,4458.0
2023-10-12,15.05,15.05,14.8,15.0,2903.0
2023-10-13,15.05,15.05,14.9,15.0,1820.0
2023-10-16,15.3,15.3,15.05,15.05,2566.0
2023-10-17,14.8,15.35,14.8,15.35,5068.0
2023-10-18,15.35,15.35,15.05,15.35,759.0
2023-10-19,15.1,15.25,15.05,15.05,7655.0
2023-10-20,15.0,15.1,15.0,15.1,3223.0
2023-10-23,15.1,15.1,15.0,15.1,4287.0
2023-10-25,15.1,15.1,14.8,14.8,1276.0
2023-10-26,14.7,14.7,14.7,14.7,85.0
2023-10-27,14.7,14.7,14.4,14.4,781.0
2023-10-30,14.7,15.1,13.7,14.05,5071.0
2023-10-31,14.65,14.65,13.35,14.35,10605.0
2023-11-01,14.35,15.05,13.95,14.65,10803.0
2023-11-02,14.65,14.9,14.0,14.75,24402.0
2023-11-03,14.75,14.85,14.15,14.3,12561.0
2023-11-06,14.4,14.85,14.0,14.4,23729.0
2023-11-07,14.4,14.6,14.1,14.4,2895.0
2023-11-08,14.4,15.1,14.15,15.1,17080.0
2023-11-09,15.1,15.85,15.1,15.85,13840.0
2023-11-10,16.55,16.6,15.85,16.6,9850.0
2023-11-12,17.0,17.0,16.0,16.7,16190.0
