date,open,high,low,close,volume
2021-11-02,71.45,74.45,71.16,71.42,4190.0
2021-11-03,71.8,72.0,71.1,71.11,7272.0
2021-11-04,82.0,82.0,71.51,71.54,2071.0
2021-11-08,71.54,73.0,71.5,72.15,29658.0
2021-11-09,72.15,75.28,72.15,72.15,1463.0
2021-11-10,72.4,74.31,72.0,72.56,1913.0
2021-11-11,71.51,73.5,71.51,72.15,4617.0
2021-11-12,74.31,74.31,72.51,73.23,1617.0
2021-11-15,73.6,73.94,73.31,73.82,1991.0
2021-11-16,76.68,76.68,73.6,74.08,1000.0
2021-11-17,74.08,74.65,73.9,74.54,2432.0
2021-11-18,74.8,74.99,73.1,73.45,18496.0
2021-11-22,76.0,76.0,71.71,72.12,1382.0
2021-11-23,73.0,73.89,71.81,72.83,67722.0
2021-11-24,58.05,74.2,58.05,72.36,7071.0
2021-11-25,76.0,76.0,71.15,72.34,1756.0
2021-11-26,71.33,72.1,70.61,71.34,10062.0
2021-11-29,75.93,75.93,68.36,70.58,8339.0
2021-11-30,74.3,74.3,70.1,70.73,260.0
2021-12-01,73.94,73.94,57.01,70.1,2463.0
2021-12-02,69.0,72.5,68.9,70.75,686.0
2021-12-03,72.5,72.5,69.62,71.15,350.0
2021-12-06,70.6,72.05,69.55,70.07,760.0
2021-12-07,70.4,70.4,68.9,69.21,2550.0
2021-12-08,73.0,73.0,68.92,70.1,753.0
2021-12-09,70.6,71.5,70.16,70.75,343.0
2021-12-10,73.4,73.4,69.99,71.17,647.0
2021-12-13,71.17,72.95,70.0,71.51,2256.0
2021-12-14,72.5,72.5,69.23,70.44,3178.0
2021-12-15,70.99,70.99,70.05,70.05,594.0
2021-12-16,76.0,76.0,70.06,70.34,320.0
2021-12-17,73.85,73.85,68.7,69.11,306.0
2021-12-20,69.9,70.34,67.01,67.43,1054.0
2021-12-21,70.0,70.0,67.0,68.07,794.0
2021-12-22,72.5,72.5,67.11,68.54,654.0
2021-12-23,68.8,72.0,67.6,69.14,2173.0
2021-12-24,73.85,81.95,67.6,68.68,1012.0
2021-12-27,82.25,82.25,67.0,68.93,831.0
2021-12-28,72.0,72.0,66.65,69.1,483.0
2021-12-29,82.2,82.2,68.7,69.74,505.0
2021-12-30,70.0,71.5,69.35,69.47,552.0
2021-12-31,70.0,71.0,68.45,70.56,210.0
2022-01-03,74.3,74.3,69.56,71.15,1357.0
2022-01-04,73.0,73.0,70.29,70.55,183.0
2022-01-05,73.0,73.0,70.07,71.61,1493.0
2022-01-06,71.8,72.6,70.0,71.22,894.0
2022-01-07,74.0,74.0,71.0,72.4,1054.0
2022-01-10,73.5,82.25,71.06,72.6,12976.0
2022-01-11,72.45,74.2,71.85,72.55,3354.0
2022-01-12,73.1,73.6,71.95,72.18,862.0
2022-01-13,72.6,73.3,70.95,72.62,406.0
2022-01-14,73.0,73.0,71.95,72.27,1038.0
2022-01-17,73.4,73.4,70.8,72.32,3044.0
2022-01-18,72.6,73.3,71.0,71.52,455.0
2022-01-19,71.5,71.5,70.41,70.63,1195.0
2022-01-20,71.0,71.8,70.15,70.29,229.0
2022-01-21,70.6,71.8,69.65,69.99,579.0
2022-01-24,70.97,70.97,67.03,67.98,1747.0
2022-01-25,70.5,70.5,67.12,69.29,501.0
2022-01-27,69.3,69.3,67.0,68.23,299.0
2022-01-28,67.0,72.5,67.0,68.22,1594.0
2022-01-31,68.22,70.3,67.66,69.0,896.0
2022-02-01,68.8,70.97,68.0,70.4,448.0
2022-02-02,70.4,71.96,70.18,70.68,279.0
2022-02-03,69.22,71.5,69.22,70.17,1065.0
2022-02-04,71.49,71.49,69.1,70.35,172.0
2022-02-07,69.06,71.99,68.35,69.01,185.0
2022-02-08,70.93,82.25,68.35,69.25,400.0
2022-02-09,68.36,70.22,68.36,69.57,283.0
2022-02-10,82.25,82.25,68.35,70.09,316.0
2022-02-11,71.71,71.71,68.15,69.21,355.0
2022-02-14,69.86,69.86,67.3,67.45,753.0
2022-02-15,68.1,69.99,67.38,69.47,267.0
2022-02-16,76.44,76.44,68.51,69.63,2427.0
2022-02-17,71.0,71.4,68.7,69.57,3623.0
2022-02-18,70.9,70.9,68.21,69.36,140.0
2022-02-21,69.2,69.72,68.01,69.21,319.0
2022-02-22,69.0,69.58,67.5,68.89,327.0
2022-02-23,82.2,82.2,67.34,69.1,1185.0
2022-02-24,72.7,72.7,66.0,66.67,916.0
2022-02-25,69.7,69.7,66.4,67.57,739.0
2022-02-28,69.0,69.0,66.06,67.77,1961320.0
2022-03-02,67.77,68.68,65.85,66.53,2854.0
2022-03-03,67.1,67.6,65.7,65.7,318.0
2022-03-04,67.0,67.0,63.52,63.76,2027.0
2022-03-07,64.8,64.8,63.26,63.49,895.0
2022-03-08,64.5,64.5,62.05,63.7,580.0
2022-03-09,63.4,64.87,63.2,64.7,2415.0
2022-03-10,67.66,67.66,64.4,65.9,681.0
2022-03-11,66.1,66.99,65.0,66.49,2231.0
2022-03-14,69.8,69.8,65.5,66.66,809.0
2022-03-15,68.2,68.2,66.0,66.78,1657.0
2022-03-16,66.02,67.99,66.02,67.67,301.0
2022-03-17,67.67,69.7,67.65,69.14,727.0
2022-03-21,71.21,71.21,68.0,68.28,593.0
2022-03-22,68.0,68.19,66.8,67.8,2368.0
2022-03-23,79.4,79.4,67.38,67.47,696.0
2022-03-24,68.1,69.9,67.2,67.54,411.0
2022-03-25,68.1,68.1,66.58,66.74,316.0
2022-03-28,66.0,68.7,65.6,67.4,2869.0
2022-03-29,69.7,69.7,66.15,67.5,249.0
2022-03-30,67.6,68.6,67.6,68.36,776.0
2022-03-31,68.0,68.8,67.23,68.5,595.0
2022-04-01,68.8,68.99,68.35,68.99,812.0
2022-04-04,69.0,69.99,68.0,69.96,287946.0
2022-04-05,70.6,71.1,69.3,70.6,2090.0
2022-04-06,74.7,74.7,70.22,71.07,2932.0
2022-04-07,72.0,72.0,69.84,70.52,141229.0
2022-04-08,70.8,72.05,70.51,71.92,30770.0
2022-04-11,74.0,74.0,71.06,71.44,316.0
2022-04-12,72.1,72.1,70.17,70.9,47431.0
2022-04-13,70.9,71.2,70.19,70.51,551.0
2022-04-18,72.97,72.97,69.45,70.82,565.0
2022-04-19,72.0,72.0,69.0,69.3,26454.0
2022-04-20,71.7,71.7,69.6,70.34,739.0
2022-04-21,68.0,71.5,68.0,71.25,1754.0
2022-04-22,70.99,71.49,70.41,70.85,591.0
2022-04-25,68.73,73.7,68.73,69.98,1078.0
2022-04-26,70.71,71.2,70.5,71.14,244994.0
2022-04-27,71.5,71.5,70.61,70.9,30033.0
2022-04-28,70.9,72.0,70.9,71.71,1321.0
2022-04-29,71.96,72.22,70.51,70.67,24198.0
2022-05-02,70.67,72.18,70.41,70.93,646.0
2022-05-04,71.0,71.2,68.32,69.0,64933.0
2022-05-05,68.0,74.75,67.6,68.78,933.0
2022-05-06,66.72,69.5,66.72,67.85,920.0
2022-05-09,70.7,70.7,65.51,66.89,21033.0
2022-05-10,67.5,67.65,66.5,66.86,12098.0
2022-05-11,66.59,66.59,65.21,65.88,5474.0
2022-05-12,66.0,66.5,64.43,64.99,11327.0
2022-05-13,65.5,67.05,65.5,65.74,40514.0
2022-05-16,66.0,67.2,65.71,66.49,1175.0
2022-05-17,66.61,67.96,66.5,67.94,248.0
2022-05-18,70.7,70.7,67.7,68.08,20142.0
2022-05-19,68.0,68.0,66.5,66.73,107.0
2022-05-20,67.0,68.3,67.0,68.0,1665.0
2022-05-23,70.7,70.7,67.2,69.0,609.0
2022-05-24,68.8,68.8,67.55,67.85,561.0
2022-05-25,68.0,71.12,66.3,66.62,1895.0
2022-05-26,67.0,67.61,65.65,67.23,384.0
2022-05-27,67.3,68.25,67.2,68.15,2617.0
2022-05-30,68.5,69.4,68.5,69.21,933.0
2022-05-31,71.0,71.0,67.4,69.84,2607.0
2022-06-01,71.12,71.12,68.61,68.61,774.0
2022-06-02,68.61,68.99,68.28,68.71,516.0
2022-06-03,69.0,69.0,67.79,68.25,628.0
2022-06-06,68.0,68.2,67.35,68.13,413.0
2022-06-07,67.1,67.34,66.81,67.34,1064.0
2022-06-08,67.2,67.21,66.46,66.82,727.0
2022-06-09,66.5,67.49,66.36,67.48,50178.0
2022-06-10,65.5,68.0,65.5,67.22,1340.0
2022-06-13,68.9,68.9,65.76,66.42,2250.0
2022-06-14,67.0,67.0,66.0,66.29,150.0
2022-06-15,66.25,66.5,66.0,66.24,45.0
2022-06-16,71.12,71.12,65.0,65.43,11420.0
2022-06-17,65.2,65.2,64.2,64.59,10931.0
2022-06-20,67.7,67.7,64.41,65.0,537.0
2022-06-21,65.2,66.46,65.2,66.31,1604.0
2022-06-22,73.9,73.9,65.1,65.53,296.0
2022-06-23,68.7,68.7,65.65,66.78,37761.0
2022-06-24,67.0,67.79,67.0,67.58,2370.0
2022-06-27,67.6,68.48,67.6,68.0,1738.0
2022-06-28,68.0,68.2,67.35,68.19,515.0
