date,open,high,low,close,volume
2021-05-12,329.85,329.85,312.05,316.45,19885.0
2021-05-14,317.0,334.2,315.5,318.9,38113.0
2021-05-17,315.0,321.8,305.55,315.5,11015.0
2021-05-18,316.0,323.0,306.35,317.05,17701.0
2021-05-19,313.0,324.05,312.0,316.8,16676.0
2021-05-20,316.7,380.15,316.7,368.2,204369.0
2021-05-21,385.0,387.7,362.0,365.2,133443.0
2021-05-24,366.0,400.0,366.0,388.9,221569.0
2021-05-25,395.0,401.0,368.0,373.1,85810.0
2021-05-26,376.1,380.65,368.1,374.1,57385.0
2021-05-27,379.9,379.9,367.65,367.85,17933.0
2021-05-28,367.65,374.55,359.0,362.85,20409.0
2021-05-31,368.8,393.9,358.25,375.25,42958.0
2021-06-01,379.9,379.9,360.0,365.05,29292.0
2021-06-02,365.1,365.95,362.1,364.6,16231.0
2021-06-03,369.9,374.95,363.6,365.55,28740.0
2021-06-04,371.8,375.0,363.55,364.9,18102.0
2021-06-07,366.05,374.05,364.1,367.25,17532.0
2021-06-08,371.85,371.95,362.1,367.8,11245.0
2021-06-09,367.8,372.0,348.05,349.85,27522.0
2021-06-10,357.9,364.5,349.0,362.0,21640.0
2021-06-11,362.0,366.25,355.25,357.1,7411.0
2021-06-14,367.85,367.85,345.65,353.8,24177.0
2021-06-15,359.95,365.0,352.25,356.65,15051.0
2021-06-16,363.0,363.0,351.55,353.0,13766.0
2021-06-17,353.0,395.0,349.95,377.45,297023.0
2021-06-18,388.4,388.4,354.95,368.45,45363.0
2021-06-21,360.0,375.0,360.0,365.25,19170.0
2021-06-22,366.0,376.0,361.0,362.0,13546.0
2021-06-23,368.0,370.0,358.05,359.65,14892.0
2021-06-24,357.0,375.0,356.45,369.8,64204.0
2021-06-25,375.0,375.0,365.5,368.25,10400.0
2021-06-28,368.0,374.0,362.0,364.5,10240.0
2021-06-29,365.0,372.25,360.0,361.0,8654.0
2021-06-30,368.0,387.0,358.0,374.25,93269.0
2021-07-01,374.9,377.95,365.6,371.8,14839.0
2021-07-02,375.0,376.7,369.05,374.6,16311.0
2021-07-05,384.0,384.0,375.1,380.2,16114.0
2021-07-06,382.9,387.0,369.8,372.0,11580.0
2021-07-07,370.0,373.75,366.0,367.9,8160.0
2021-07-08,376.95,394.0,366.15,380.75,96216.0
2021-07-09,376.25,392.0,374.6,382.15,19754.0
2021-07-12,384.0,390.0,382.0,382.75,30791.0
2021-07-13,383.15,412.0,383.15,402.0,147654.0
2021-07-14,404.0,410.0,396.0,398.95,57389.0
2021-07-15,402.4,410.0,388.9,393.45,60005.0
2021-07-16,390.15,399.9,382.25,385.5,50657.0
2021-07-19,384.15,384.5,372.55,377.25,45686.0
2021-07-20,375.0,377.9,350.05,360.5,98680.0
2021-07-22,365.0,385.0,360.0,380.35,71318.0
2021-07-23,382.8,382.8,364.1,368.0,19820.0
2021-07-26,372.0,408.0,370.1,405.55,408715.0
2021-07-27,408.9,411.35,386.75,393.8,102309.0
2021-07-28,399.2,399.2,378.1,390.05,25955.0
2021-07-29,391.0,396.65,391.0,395.2,25002.0
2021-07-30,395.9,404.95,388.0,393.45,60472.0
2021-08-02,400.0,400.0,392.25,394.35,22200.0
2021-08-03,400.0,400.0,381.5,385.0,22101.0
2021-08-04,379.0,384.75,365.6,372.95,32919.0
2021-08-05,382.0,382.0,351.65,358.9,54808.0
2021-08-06,369.8,369.8,350.1,351.1,33425.0
2021-08-09,353.0,360.0,339.0,342.75,78701.0
2021-08-10,349.5,349.8,325.05,336.6,42969.0
2021-08-11,341.5,355.0,330.0,346.35,53437.0
2021-08-12,350.0,365.0,348.05,364.3,24681.0
2021-08-13,368.9,372.9,360.45,364.8,40427.0
2021-08-16,378.8,378.8,365.0,367.2,22391.0
2021-08-17,371.6,371.6,357.0,358.55,14976.0
2021-08-18,358.0,366.55,350.05,353.9,15426.0
2021-08-20,363.0,363.0,345.0,346.9,16123.0
2021-08-23,345.1,354.3,328.1,333.15,41155.0
2021-08-24,333.15,348.0,332.75,342.45,12883.0
2021-08-25,350.0,361.95,340.75,355.95,13117.0
2021-08-26,362.0,362.0,336.2,341.75,19610.0
2021-08-27,341.95,352.25,341.0,345.2,8105.0
2021-08-30,345.5,356.75,343.2,347.7,17302.0
2021-08-31,343.05,353.0,343.05,346.4,17679.0
2021-09-01,351.8,351.8,329.7,340.55,17190.0
2021-09-02,339.0,350.0,336.15,348.55,12673.0
