date,open,high,low,close,volume
2021-05-12,33.5,34.75,32.15,32.45,19469.0
2021-05-14,31.95,32.7,31.0,31.65,16591.0
2021-05-17,32.9,32.9,30.1,30.45,21423.0
2021-05-18,31.0,31.45,29.55,30.0,34485.0
2021-05-19,30.95,31.1,28.8,29.75,35175.0
2021-05-20,30.0,31.2,30.0,31.2,39135.0
2021-05-21,31.2,32.75,31.2,32.75,47317.0
2021-05-24,33.75,33.75,31.15,31.35,41755.0
2021-05-25,31.45,32.9,31.45,31.55,32426.0
2021-05-26,32.7,33.1,31.6,33.1,22449.0
2021-05-27,34.75,34.75,34.05,34.75,22505.0
2021-05-28,36.35,36.45,35.2,36.45,37014.0
2021-05-31,37.5,37.5,34.7,34.9,73433.0
2021-06-01,33.65,34.95,33.35,33.45,20674.0
2021-06-02,34.9,35.0,33.05,33.45,39738.0
2021-06-03,32.7,35.1,32.55,33.0,53634.0
2021-06-04,33.35,34.5,33.0,33.55,34505.0
2021-06-07,33.75,34.7,31.9,33.45,56707.0
2021-06-08,33.45,34.75,32.8,33.3,61768.0
2021-06-09,33.95,34.35,32.4,32.8,50424.0
2021-06-10,33.35,34.2,32.0,34.0,37083.0
2021-06-11,35.1,35.7,34.6,35.7,61713.0
2021-06-14,37.0,37.45,35.0,37.45,88593.0
2021-06-15,37.5,39.3,37.5,38.7,92362.0
2021-06-16,40.0,40.0,37.2,38.05,36827.0
2021-06-17,39.8,39.8,36.15,36.15,46738.0
2021-06-18,36.45,36.45,34.35,34.7,49262.0
2021-06-21,35.35,35.35,33.0,33.05,120776.0
2021-06-22,34.2,34.25,33.1,33.8,52027.0
2021-06-23,35.0,35.0,34.05,34.25,16554.0
2021-06-24,35.0,35.95,34.6,35.95,42255.0
2021-06-25,37.3,37.7,36.0,37.7,72410.0
2021-06-28,39.35,39.35,35.85,35.85,98598.0
2021-06-29,35.85,37.1,34.1,34.15,92211.0
2021-06-30,35.85,35.85,35.85,35.85,10916.0
2021-07-01,37.6,37.6,37.6,37.6,20678.0
2021-07-02,39.45,39.45,39.45,39.45,32392.0
2021-07-05,41.4,41.4,41.4,41.4,19433.0
2021-07-06,43.45,43.45,43.45,43.45,17200.0
2021-07-07,45.6,45.6,43.1,45.6,388847.0
2021-07-08,47.85,47.85,46.85,47.85,72609.0
2021-07-09,50.2,50.2,48.1,50.2,156669.0
2021-07-12,52.7,52.7,51.3,52.7,131334.0
2021-07-13,54.8,55.3,54.2,55.3,66927.0
2021-07-14,56.85,58.05,54.7,58.0,245572.0
2021-07-15,59.25,60.9,58.0,60.9,83701.0
2021-07-16,63.9,63.9,61.05,63.9,152144.0
2021-07-19,63.9,67.05,63.9,67.05,81258.0
2021-07-20,70.4,70.4,70.4,70.4,22067.0
2021-07-22,73.9,73.9,73.9,73.9,13122.0
2021-07-23,77.55,77.55,77.55,77.55,8696.0
2021-07-26,81.4,81.4,73.7,73.7,658759.0
2021-07-27,70.05,77.35,70.05,77.35,458883.0
2021-07-28,81.2,81.2,73.6,81.2,267705.0
2021-07-29,84.0,85.25,81.75,85.25,223771.0
2021-07-30,89.5,89.5,85.0,89.5,217524.0
2021-08-02,91.6,93.95,90.0,93.95,168878.0
2021-08-03,96.95,96.95,89.3,89.3,119189.0
2021-08-04,84.85,84.85,84.85,84.85,9031.0
2021-08-05,80.65,80.65,80.65,80.65,8588.0
2021-08-06,76.65,76.65,76.65,76.65,6254.0
2021-08-09,72.85,72.85,72.85,72.85,13280.0
2021-08-10,69.25,69.25,69.25,69.25,8184.0
