date,open,high,low,close,volume
2024-10-28,200.0,200.0,160.51,161.95,7640370.0
2024-10-29,161.0,169.9,155.0,157.25,2052812.0
2024-10-30,158.99,164.0,158.6,161.35,672612.0
2024-10-31,163.7,165.29,160.21,160.79,328820.0
2024-11-01,161.7,162.39,160.1,160.97,124267.0
2024-11-04,162.95,162.95,152.7,154.25,553939.0
2024-11-05,155.99,156.35,153.0,154.32,372935.0
2024-11-06,155.8,162.3,154.55,159.01,631348.0
2024-11-07,160.0,165.22,157.95,158.74,513600.0
2024-11-08,158.99,159.4,154.64,155.7,211588.0
2024-11-11,155.39,156.94,152.9,153.7,165684.0
2024-11-12,154.85,155.53,150.0,150.64,216642.0
2024-11-13,150.05,150.51,144.8,146.08,213234.0
2024-11-14,146.35,149.75,144.58,148.14,156802.0
2024-11-18,148.15,149.99,143.5,144.28,144267.0
2024-11-19,144.15,147.47,143.0,144.27,168123.0
2024-11-21,143.51,143.51,139.1,141.46,188757.0
2024-11-22,142.0,155.44,140.93,150.42,314729.0
2024-11-25,154.99,158.25,151.61,155.77,1367300.0
2024-11-26,155.02,157.59,153.5,155.92,331290.0
2024-11-27,157.95,164.8,155.61,157.24,295832.0
2024-11-28,157.48,162.19,156.45,160.09,361634.0
2024-11-29,160.2,174.0,160.09,171.02,1520269.0
2024-12-02,170.75,179.94,168.05,169.79,1118297.0
2024-12-03,170.0,175.0,169.17,169.78,398880.0
2024-12-04,170.7,179.8,170.11,173.18,631556.0
2024-12-05,175.99,178.7,172.25,174.9,356492.0
2024-12-06,184.45,198.5,183.0,193.84,5895921.0
2024-12-09,194.85,196.4,185.16,186.91,763296.0
2024-12-10,186.9,188.2,178.0,180.06,572350.0
2024-12-11,179.55,189.0,179.01,183.85,508225.0
2024-12-12,185.7,204.9,183.63,191.67,3986839.0
2024-12-13,190.0,206.0,189.04,198.79,3228813.0
2024-12-16,200.01,210.0,196.1,198.18,1801919.0
2024-12-17,198.0,199.0,192.0,192.49,643076.0
2024-12-18,192.15,197.79,191.0,196.25,658498.0
2024-12-19,191.35,195.85,190.31,191.81,559710.0
2024-12-20,193.5,204.95,187.0,189.6,1428147.0
2024-12-23,193.14,194.04,185.0,186.31,492116.0
2024-12-24,185.6,193.18,181.55,182.53,490298.0
2024-12-26,183.06,207.0,182.8,204.3,2150379.0
2024-12-27,207.0,214.0,198.5,201.87,2405000.0
2024-12-30,201.99,203.0,189.0,190.26,711530.0
2024-12-31,190.3,194.9,190.0,192.82,453129.0
2025-01-01,193.0,195.55,191.49,193.71,262328.0
2025-01-02,194.38,199.9,192.15,194.19,380346.0
2025-01-03,195.8,196.4,189.01,189.94,349542.0
2025-01-06,195.2,199.7,184.72,187.07,775247.0
2025-01-07,190.5,195.1,187.93,193.93,250408.0
2025-01-08,195.1,196.0,188.27,190.28,218723.0
2025-01-09,190.7,190.7,182.25,183.14,198665.0
2025-01-10,183.17,183.25,172.42,178.86,338861.0
2025-01-13,175.0,177.81,165.0,166.83,323521.0
2025-01-14,170.18,172.19,166.39,168.89,228909.0
2025-01-15,170.0,173.4,164.51,171.2,244706.0
2025-01-16,172.0,176.29,170.1,171.93,140090.0
2025-01-17,172.28,172.99,168.97,170.83,97795.0
2025-01-20,171.0,174.0,171.0,173.25,96362.0
2025-01-21,173.8,173.8,169.0,169.32,111537.0
2025-01-22,168.1,168.4,163.17,165.25,1041110.0
2025-01-23,165.0,183.0,165.0,178.84,615153.0
2025-01-24,175.4,178.98,169.11,172.44,143995.0
2025-01-27,170.8,170.8,160.68,164.78,219211.0
2025-01-28,165.9,168.04,155.0,161.22,163825.0
2025-01-29,163.68,170.42,160.18,167.44,100983.0
2025-01-30,168.7,174.79,166.57,167.62,125486.0
2025-01-31,168.0,175.75,168.0,173.52,143978.0
2025-02-01,175.0,177.39,168.66,170.98,145392.0
2025-02-03,169.98,171.35,166.33,169.75,57427.0
2025-02-04,171.45,174.16,169.11,169.98,79826.0
2025-02-05,170.9,176.8,169.41,172.88,111057.0
