date,open,high,low,close,volume
2021-05-12,11.85,12.38,11.73,11.89,2743614.0
2021-05-14,12.09,12.17,11.48,11.61,1093050.0
2021-05-17,11.61,11.85,11.61,11.73,550532.0
2021-05-18,11.81,12.05,11.56,11.77,1012954.0
2021-05-19,11.77,11.89,11.61,11.65,563408.0
2021-05-20,11.69,11.77,11.52,11.56,516621.0
2021-05-21,11.56,11.73,11.56,11.61,667935.0
2021-05-24,11.69,11.93,11.65,11.81,1020364.0
2021-05-25,11.85,14.16,11.69,13.47,16401581.0
2021-05-26,13.59,13.59,12.82,12.94,2267386.0
2021-05-27,12.94,13.07,12.46,12.66,1411225.0
2021-05-28,12.66,12.82,12.09,12.17,1624736.0
2021-05-31,12.34,12.38,11.85,11.89,1642539.0
2021-06-01,11.93,12.09,11.73,11.93,997210.0
2021-06-02,11.61,12.58,11.61,12.46,1545407.0
2021-06-03,12.74,12.74,12.17,12.29,921505.0
2021-06-04,12.34,13.11,12.09,12.5,3179719.0
2021-06-07,12.34,12.98,12.25,12.46,3197322.0
2021-06-08,12.46,12.54,12.29,12.34,849421.0
2021-06-09,12.38,12.46,11.97,12.09,1066725.0
2021-06-10,12.13,12.29,12.09,12.13,654484.0
2021-06-11,12.21,12.29,12.05,12.09,967669.0
2021-06-14,12.17,12.25,11.85,12.05,618615.0
2021-06-15,12.17,12.25,12.01,12.13,1099309.0
2021-06-16,12.17,12.25,12.01,12.05,612228.0
2021-06-17,11.97,12.74,11.93,12.25,2384301.0
2021-06-18,12.34,12.34,11.77,12.01,1006165.0
2021-06-21,11.89,12.74,11.81,12.34,2708700.0
2021-06-22,12.54,14.77,12.5,14.77,24054828.0
2021-06-23,15.14,15.14,13.15,13.23,15009584.0
2021-06-24,13.11,13.63,12.82,13.07,6181035.0
2021-06-25,13.11,13.67,13.03,13.19,2812079.0
2021-06-28,13.31,13.76,13.11,13.35,3565967.0
2021-06-29,13.47,13.47,12.46,12.74,2329529.0
2021-06-30,12.82,13.27,12.7,12.78,1855118.0
2021-07-01,12.9,12.94,12.78,12.82,609913.0
2021-07-02,12.82,13.07,12.78,12.9,850770.0
2021-07-05,12.94,13.23,12.86,12.9,1458422.0
2021-07-06,12.9,14.77,12.9,13.88,18990559.0
2021-07-07,13.88,16.39,13.88,15.74,16511135.0
2021-07-08,16.11,16.39,15.09,15.38,7131842.0
2021-07-09,15.18,15.83,15.05,15.38,3551676.0
2021-07-12,15.54,15.99,15.01,15.22,7052316.0
2021-07-13,15.38,15.58,15.09,15.18,2012202.0
2021-07-14,15.18,15.34,14.53,14.73,1939369.0
2021-07-15,14.73,15.09,14.73,15.01,1425082.0
2021-07-16,15.26,15.26,14.65,14.69,1164242.0
2021-07-19,14.53,14.61,14.2,14.28,1408797.0
2021-07-20,14.32,14.49,13.51,13.96,1706181.0
2021-07-22,14.36,15.34,14.12,14.81,4389565.0
2021-07-23,15.05,15.05,14.24,14.36,1713705.0
2021-07-26,14.45,14.93,14.12,14.28,1499845.0
2021-07-27,14.36,14.53,13.88,14.28,1206812.0
2021-07-28,14.4,14.49,13.19,14.0,3884528.0
2021-07-29,14.12,14.73,13.92,14.12,2177955.0
2021-07-30,14.12,14.61,14.04,14.32,2633520.0
2021-08-02,14.53,14.53,14.04,14.12,1276805.0
2021-08-03,14.2,14.69,14.08,14.36,2237032.0
2021-08-04,14.4,14.49,13.88,14.04,1143953.0
2021-08-05,14.16,14.16,13.39,13.72,904274.0
2021-08-06,13.8,14.24,13.76,13.88,1822740.0
2021-08-09,14.0,14.0,13.39,13.55,515927.0
2021-08-10,13.59,13.67,12.66,12.86,1061929.0
2021-08-11,12.98,13.19,12.42,12.82,1828354.0
2021-08-12,13.19,13.35,12.82,13.15,533018.0
2021-08-13,13.31,13.63,13.11,13.43,1251521.0
2021-08-16,13.43,13.51,12.9,13.03,2774672.0
2021-08-17,13.03,13.19,12.74,12.82,719971.0
2021-08-18,12.86,13.11,12.42,12.62,2550931.0
2021-08-20,12.17,12.62,12.05,12.13,989190.0
2021-08-23,12.17,12.5,11.24,11.52,1091307.0
2021-08-24,11.56,11.97,11.48,11.85,602609.0
2021-08-25,12.17,12.29,11.89,12.05,483017.0
2021-08-26,12.09,12.42,11.93,12.09,614494.0
2021-08-27,12.01,12.58,11.97,12.25,634842.0
2021-08-30,12.42,12.46,12.25,12.34,488531.0
2021-08-31,12.5,12.5,12.21,12.25,488545.0
2021-09-01,12.46,12.9,12.17,12.66,913481.0
2021-09-02,12.78,13.07,12.5,12.78,557417.0
2021-09-03,12.98,13.15,12.74,12.86,637805.0
2021-09-06,12.9,13.47,12.82,13.31,1686706.0
2021-09-07,13.27,13.31,12.94,13.03,456241.0
2021-09-08,13.03,13.15,12.86,12.9,313682.0
2021-09-09,12.86,13.23,12.78,12.9,647699.0
2021-09-13,12.94,13.15,12.78,12.98,568221.0
2021-09-14,13.07,13.43,12.98,13.27,855419.0
2021-09-15,13.19,14.2,13.19,14.08,4640299.0
2021-09-16,14.08,14.69,13.96,14.28,5715405.0
2021-09-17,14.45,14.73,13.67,13.84,1800531.0
2021-09-20,13.47,14.04,13.35,13.47,882693.0
2021-09-21,13.47,13.47,12.98,13.23,824040.0
2021-09-22,13.23,13.39,13.11,13.11,440142.0
2021-09-23,13.19,13.39,13.15,13.31,1045143.0
2021-09-24,13.27,13.35,12.94,13.03,682808.0
2021-09-27,13.07,13.15,12.7,12.82,828333.0
2021-09-28,12.9,13.11,12.74,12.86,654244.0
2021-09-29,12.9,13.31,12.78,12.94,951157.0
2021-09-30,13.19,13.51,13.03,13.11,1001670.0
2021-10-01,12.98,13.15,12.94,13.07,451938.0
2021-10-04,13.19,13.35,12.94,13.11,1206119.0
2021-10-05,13.07,13.43,12.98,13.11,841234.0
2021-10-06,13.11,13.27,12.98,13.03,649508.0
2021-10-07,13.11,14.04,13.03,13.72,3412057.0
2021-10-08,13.96,14.0,13.39,13.59,1154356.0
2021-10-11,13.67,13.67,13.35,13.39,802005.0
2021-10-12,13.39,13.84,13.23,13.51,1437145.0
2021-10-13,13.55,14.04,13.47,13.67,2144348.0
2021-10-14,13.8,14.08,13.31,13.55,1624385.0
2021-10-18,13.55,14.24,13.11,13.27,3380420.0
2021-10-19,13.35,13.51,12.9,12.98,1448239.0
2021-10-20,13.07,13.15,12.9,13.07,728860.0
2021-10-21,13.15,13.35,12.94,13.07,1123611.0
2021-10-22,13.11,13.31,12.78,12.9,965974.0
2021-10-25,13.11,13.11,12.38,12.7,1202733.0
2021-10-26,12.7,13.27,12.62,12.9,2102353.0
2021-10-27,13.19,13.19,12.7,12.82,1006571.0
2021-10-28,12.82,12.82,12.58,12.62,706601.0
2021-10-29,12.7,12.7,12.34,12.62,503601.0
2021-11-01,12.54,12.9,12.5,12.66,361634.0
2021-11-02,12.66,12.9,12.66,12.82,351793.0
2021-11-03,12.98,12.98,12.66,12.7,276274.0
2021-11-04,12.86,12.9,12.74,12.82,211157.0
2021-11-08,12.78,12.86,12.34,12.62,701729.0
2021-11-09,12.62,12.78,12.58,12.62,329043.0
2021-11-10,12.66,12.7,12.54,12.62,363152.0
2021-11-11,12.54,12.58,12.34,12.38,429987.0
2021-11-12,12.5,12.5,12.25,12.29,284100.0
2021-11-15,12.46,12.46,12.17,12.21,319152.0
2021-11-16,12.17,12.17,12.01,12.09,363693.0
2021-11-17,12.05,12.25,12.01,12.05,390941.0
2021-11-18,12.13,12.38,11.81,11.97,392205.0
2021-11-22,12.01,12.09,11.52,11.65,567507.0
2021-11-23,11.69,11.93,11.56,11.73,279917.0
2021-11-24,11.81,12.09,11.81,11.89,459551.0
2021-11-25,11.89,12.01,11.85,11.93,198292.0
2021-11-26,11.52,12.09,11.52,11.65,587885.0
2021-11-29,11.56,11.73,11.28,11.36,398687.0
2021-11-30,11.44,11.69,11.4,11.44,232415.0
2021-12-01,11.52,11.56,11.32,11.48,191913.0
2021-12-02,11.52,11.52,11.36,11.48,269242.0
2021-12-03,11.56,12.05,11.48,11.65,439239.0
2021-12-06,11.65,11.73,11.52,11.56,256546.0
2021-12-07,11.56,11.73,11.52,11.69,295713.0
2021-12-08,11.77,11.93,11.73,11.89,298004.0
2021-12-09,11.97,12.17,11.85,11.97,424670.0
2021-12-10,12.05,12.42,11.97,12.25,605500.0
2021-12-13,12.34,12.46,12.05,12.09,380876.0
2021-12-14,12.01,12.17,11.89,11.97,205461.0
2021-12-15,12.09,12.09,11.85,11.93,198200.0
2021-12-16,11.97,12.05,11.73,11.81,261933.0
2021-12-17,11.77,11.81,11.44,11.52,393314.0
2021-12-20,11.44,11.44,11.04,11.16,475068.0
2021-12-21,11.24,11.56,11.16,11.24,329300.0
2021-12-22,11.52,11.52,11.24,11.32,325850.0
2021-12-23,11.44,11.69,11.32,11.36,325798.0
2021-12-24,11.52,11.52,11.2,11.32,370749.0
2021-12-27,11.36,11.36,11.16,11.28,304677.0
2021-12-28,11.28,12.09,11.28,11.77,555318.0
2021-12-29,11.61,11.89,11.4,11.48,661217.0
2021-12-30,11.48,12.9,11.44,12.01,5913272.0
2021-12-31,12.29,12.34,11.93,12.01,648268.0
2022-01-03,12.05,12.62,11.97,12.21,2465804.0
2022-01-04,12.58,12.62,12.13,12.17,776337.0
2022-01-05,12.17,12.34,12.01,12.13,598033.0
2022-01-06,12.05,12.17,11.89,12.09,538551.0
2022-01-07,12.09,12.34,11.93,12.01,800471.0
2022-01-10,12.05,12.29,12.05,12.17,675842.0
2022-01-11,12.17,12.46,12.05,12.29,1131782.0
2022-01-12,12.29,12.46,12.09,12.13,561466.0
2022-01-13,12.21,12.38,12.09,12.13,545324.0
2022-01-14,12.13,12.29,12.09,12.13,347535.0
2022-01-17,12.17,12.34,12.13,12.17,360788.0
2022-01-18,12.17,12.25,11.97,12.01,555930.0
2022-01-19,12.09,12.17,11.85,12.09,507111.0
2022-01-20,12.13,12.29,12.05,12.09,418895.0
2022-01-21,12.09,12.13,11.89,11.93,480021.0
2022-01-24,11.81,11.93,11.4,11.52,615701.0
2022-01-25,11.52,11.69,11.4,11.61,464339.0
2022-01-27,11.73,11.77,11.44,11.65,519316.0
2022-01-28,11.69,11.97,11.69,11.77,422364.0
2022-01-31,11.81,12.38,11.69,12.13,1222400.0
2022-02-01,12.46,12.46,11.93,12.05,530810.0
2022-02-02,12.13,12.34,12.05,12.17,479573.0
2022-02-03,12.17,12.25,11.89,12.01,537388.0
2022-02-04,12.09,12.09,11.93,11.97,310595.0
2022-02-07,12.05,12.29,11.93,12.01,586957.0
2022-02-08,12.05,12.17,11.89,11.93,346572.0
2022-02-09,11.93,12.09,11.89,12.01,268414.0
2022-02-10,12.05,12.38,11.93,12.17,920220.0
2022-02-11,12.09,12.13,11.93,12.01,316387.0
2022-02-14,11.4,11.73,11.24,11.32,879796.0
