date,open,high,low,close,volume
2021-05-12,32.55,32.8,31.1,31.65,1350455.0
2021-05-14,32.15,32.45,31.05,31.15,719303.0
2021-05-17,31.0,33.25,31.0,32.45,991071.0
2021-05-18,32.8,33.0,31.75,32.15,597952.0
2021-05-19,32.2,34.0,32.2,32.95,1545658.0
2021-05-20,33.0,34.1,32.1,32.8,1870624.0
2021-05-21,32.45,32.7,31.4,32.55,1784454.0
2021-05-24,32.55,33.7,31.85,32.55,824084.0
2021-05-25,32.95,33.8,32.75,33.45,988580.0
2021-05-26,33.8,33.9,32.9,33.45,813168.0
2021-05-27,33.6,33.7,32.7,32.8,326642.0
2021-05-28,33.3,33.8,32.1,32.25,691471.0
2021-05-31,32.45,33.5,32.0,32.25,546854.0
2021-06-01,32.5,32.75,31.8,32.25,516203.0
2021-06-02,32.15,32.85,32.05,32.6,387757.0
2021-06-03,32.85,34.0,32.5,32.7,837948.0
2021-06-04,32.8,32.95,31.9,32.05,622942.0
2021-06-07,32.1,33.4,32.1,32.45,812396.0
2021-06-08,33.7,34.35,32.9,32.95,1098582.0
2021-06-09,33.75,33.75,32.5,32.75,705500.0
2021-06-10,33.0,33.25,32.2,33.05,654784.0
2021-06-11,33.4,34.6,32.3,34.0,1412479.0
2021-06-14,34.75,38.0,33.15,37.85,6099432.0
2021-06-15,38.3,40.35,36.75,37.75,3766901.0
2021-06-16,38.05,38.5,36.7,37.3,1758839.0
2021-06-17,36.4,38.6,36.4,36.85,850357.0
2021-06-18,37.25,37.25,33.0,35.75,2013892.0
2021-06-21,35.45,37.2,34.0,36.9,901376.0
2021-06-22,37.3,38.4,36.1,37.4,1154257.0
2021-06-23,39.1,39.15,36.05,36.4,1289900.0
2021-06-24,36.55,36.7,35.6,35.7,460966.0
2021-06-25,36.05,36.7,35.4,35.7,971826.0
2021-06-28,36.0,37.0,35.6,36.05,597907.0
2021-06-29,36.1,38.7,35.9,37.75,2645464.0
2021-06-30,38.25,39.3,36.65,37.15,1922628.0
2021-07-01,37.5,38.0,37.15,37.8,529580.0
2021-07-02,38.2,38.75,37.75,38.0,769707.0
2021-07-05,38.5,39.85,38.5,39.55,2284891.0
2021-07-06,39.85,39.9,37.6,38.0,960376.0
2021-07-07,38.0,38.95,37.0,38.05,682459.0
2021-07-08,38.35,38.8,37.4,37.6,416739.0
2021-07-09,37.5,38.9,37.5,38.15,568681.0
2021-07-12,38.5,38.85,37.8,37.95,514566.0
2021-07-13,38.05,39.0,37.6,38.05,679483.0
2021-07-14,38.15,38.8,37.75,37.85,238710.0
2021-07-15,38.1,38.3,35.45,37.3,893818.0
2021-07-16,37.3,38.25,36.8,37.4,378759.0
2021-07-19,37.05,37.5,37.0,37.0,378708.0
2021-07-20,37.0,37.0,35.65,35.9,498574.0
2021-07-22,36.5,37.2,35.9,36.35,496367.0
2021-07-23,36.75,37.4,36.0,36.75,447992.0
2021-07-26,37.0,37.9,36.85,37.25,407065.0
2021-07-27,38.0,38.0,36.6,36.95,347038.0
2021-07-28,36.7,36.95,35.5,36.2,620229.0
2021-07-29,36.5,39.7,36.2,38.15,2770392.0
2021-07-30,38.4,39.45,38.1,38.35,1131493.0
2021-08-02,39.1,39.85,38.4,39.25,1063470.0
2021-08-03,39.5,41.7,39.25,40.9,5010373.0
2021-08-04,41.0,41.6,39.2,39.4,2110789.0
2021-08-05,39.3,39.6,37.7,38.8,848197.0
2021-08-06,38.85,39.6,38.1,38.3,494081.0
2021-08-09,38.8,38.85,36.95,37.15,676411.0
2021-08-10,37.35,37.8,33.0,35.3,1159579.0
2021-08-11,35.3,35.9,33.2,35.25,859318.0
2021-08-12,35.35,36.4,35.3,35.8,462417.0
2021-08-13,35.4,36.5,35.4,36.15,493567.0
2021-08-16,36.25,40.0,35.65,37.7,1287667.0
2021-08-17,37.7,38.5,35.8,36.5,565253.0
2021-08-18,36.95,36.95,35.45,35.8,586588.0
2021-08-20,35.0,36.2,33.35,34.8,965352.0
2021-08-23,35.15,35.5,33.5,33.95,620900.0
2021-08-24,34.7,36.5,33.85,36.3,800048.0
2021-08-25,37.0,37.25,35.25,35.45,394441.0
2021-08-26,35.0,36.6,35.0,35.4,381464.0
2021-08-27,35.15,36.4,35.0,35.15,464084.0
2021-08-30,35.4,36.15,35.25,35.5,344367.0
2021-08-31,35.5,35.8,35.0,35.55,312702.0
2021-09-01,35.9,36.3,35.1,35.25,674107.0
2021-09-02,35.25,36.2,35.1,35.5,2264969.0
2021-09-03,35.7,35.9,35.1,35.5,273221.0
2021-09-06,35.5,36.2,35.05,35.3,417701.0
2021-09-07,35.5,36.55,35.05,35.95,546514.0
2021-09-08,35.7,39.0,35.7,38.7,3307258.0
2021-09-09,39.5,40.2,38.35,39.85,2288698.0
2021-09-13,41.0,44.3,40.4,40.85,4165757.0
2021-09-14,41.2,41.5,39.15,39.9,1116576.0
2021-09-15,40.15,41.85,39.7,40.1,1203330.0
2021-09-16,40.6,40.75,39.45,39.6,705832.0
2021-09-17,39.85,40.0,38.0,38.4,778323.0
2021-09-20,37.95,39.7,36.7,37.05,571727.0
2021-09-21,36.7,37.5,36.4,37.25,326046.0
2021-09-22,37.3,38.3,36.8,37.0,456688.0
2021-09-23,37.45,38.15,37.3,37.8,495019.0
2021-09-24,37.85,38.8,36.5,36.85,798430.0
2021-09-27,36.85,37.95,36.4,37.05,396336.0
2021-09-28,36.95,37.25,35.8,36.45,364469.0
2021-09-29,36.95,38.0,36.25,37.75,445451.0
2021-09-30,37.55,38.15,36.85,37.1,339531.0
2021-10-01,36.85,37.55,36.65,37.15,295687.0
2021-10-04,37.75,37.75,36.7,36.85,432390.0
2021-10-05,36.5,37.15,36.5,37.0,915966.0
2021-10-06,37.05,37.6,36.6,36.9,1184113.0
2021-10-07,37.5,37.9,36.95,37.1,366974.0
2021-10-08,37.15,37.55,36.55,36.85,391557.0
2021-10-11,37.4,37.4,36.5,36.65,279629.0
2021-10-12,36.8,36.95,35.5,35.85,490378.0
2021-10-13,36.1,37.0,35.9,36.25,485884.0
2021-10-14,36.85,37.15,36.2,36.55,458103.0
2021-10-18,36.6,37.25,35.95,36.9,543669.0
2021-10-19,37.25,37.4,36.55,36.65,328042.0
2021-10-20,36.15,36.65,35.2,35.55,453281.0
2021-10-21,35.7,36.95,35.6,36.15,243207.0
2021-10-22,36.4,36.4,33.35,34.65,882146.0
2021-10-25,35.05,35.05,32.15,33.35,714335.0
2021-10-26,33.55,35.0,32.55,34.2,612062.0
2021-10-27,34.5,35.3,33.95,34.6,313542.0
2021-10-28,34.8,34.8,33.05,33.4,381271.0
2021-10-29,33.4,34.35,32.7,33.95,424519.0
2021-11-01,34.1,34.35,32.95,33.55,302581.0
2021-11-02,33.95,34.55,33.0,33.8,309563.0
2021-11-03,33.9,34.5,33.6,33.85,185826.0
2021-11-04,34.45,35.0,34.0,34.75,226558.0
2021-11-08,35.25,36.1,34.5,35.75,499809.0
2021-11-09,35.7,36.5,35.25,35.7,402475.0
2021-11-10,35.0,37.65,34.8,36.5,935652.0
2021-11-11,36.65,36.75,34.5,34.95,315669.0
2021-11-12,35.45,36.3,34.5,35.2,442295.0
2021-11-15,35.8,35.8,34.3,34.5,188016.0
2021-11-16,34.55,34.95,33.25,33.7,386649.0
2021-11-17,33.45,34.3,33.35,33.7,207703.0
2021-11-18,33.7,34.25,33.4,33.55,234131.0
2021-11-22,33.5,34.05,33.05,33.8,288785.0
2021-11-23,33.2,34.6,33.2,33.9,189549.0
2021-11-24,34.5,35.7,34.25,35.4,609021.0
2021-11-25,35.8,35.8,34.4,34.55,218898.0
2021-11-26,34.5,34.5,33.1,33.3,252917.0
2021-11-29,33.6,33.8,31.1,31.5,568926.0
2021-11-30,31.2,32.6,31.2,31.6,151009.0
2021-12-01,31.85,33.25,31.05,31.2,371179.0
2021-12-02,31.45,32.15,31.25,31.6,368828.0
2021-12-03,31.65,34.85,31.65,33.35,835249.0
2021-12-06,34.0,34.8,33.05,33.3,389971.0
2021-12-07,33.6,34.05,33.2,33.45,202906.0
2021-12-08,33.7,34.75,33.55,34.5,403826.0
2021-12-09,35.0,35.2,34.25,34.5,250581.0
2021-12-10,34.4,37.9,34.4,37.05,2494970.0
2021-12-13,37.2,38.2,36.45,36.65,627492.0
2021-12-14,36.45,36.65,33.4,36.2,612637.0
2021-12-15,36.35,36.8,35.35,35.45,322578.0
2021-12-16,35.65,35.95,35.0,35.15,204322.0
2021-12-17,35.15,35.25,34.1,34.3,157951.0
2021-12-20,33.25,33.9,32.6,32.75,313869.0
2021-12-21,33.05,33.7,31.5,32.5,320390.0
2021-12-22,32.85,33.7,32.5,32.75,192430.0
2021-12-23,33.3,33.7,32.6,32.85,232409.0
2021-12-24,33.05,33.45,31.9,32.8,563128.0
2021-12-27,32.9,34.5,32.3,33.6,1324699.0
2021-12-28,35.0,35.5,34.45,34.65,1244625.0
2021-12-29,34.5,37.85,33.8,36.75,2069169.0
2021-12-30,36.9,37.4,35.5,35.9,829121.0
2021-12-31,36.0,37.4,35.95,36.3,484354.0
2022-01-03,36.7,37.2,36.3,36.8,893173.0
2022-01-04,37.45,37.45,35.55,35.95,642101.0
2022-01-05,35.5,36.65,35.0,35.35,627794.0
2022-01-06,35.3,36.2,34.5,35.0,684942.0
2022-01-07,35.05,36.55,34.4,35.2,914398.0
2022-01-10,35.45,36.25,35.25,35.8,587515.0
2022-01-11,35.8,36.5,35.35,36.3,1013837.0
2022-01-12,36.9,36.9,35.3,35.85,652687.0
2022-01-13,36.45,37.5,35.85,37.25,1578675.0
2022-01-14,37.4,39.2,37.1,38.6,2685284.0
2022-01-17,39.6,40.4,38.6,39.9,1876413.0
2022-01-18,41.45,47.0,40.1,43.65,9494036.0
2022-01-19,44.15,48.0,43.8,46.6,6273419.0
2022-01-20,46.45,47.0,43.2,44.5,3522055.0
2022-01-21,44.5,46.95,42.55,43.2,3948941.0
2022-01-24,43.9,44.6,39.3,40.05,2517621.0
2022-01-25,40.0,41.95,38.25,39.65,2008474.0
2022-01-27,39.0,40.85,38.95,39.9,1022447.0
2022-01-28,40.6,43.3,39.0,39.4,2475397.0
2022-01-31,40.2,40.9,39.45,39.75,679499.0
