date,open,high,low,close,volume
2025-10-10,1001.43,1001.44,1001.43,1001.44,700.0
2025-10-13,1026.47,1026.47,996.0,1001.56,4.0
2025-10-14,1001.69,1001.71,1001.69,1001.71,680.0
2025-10-15,1001.85,1001.85,1001.85,1001.85,1.0
2025-10-16,1006.85,1006.85,1001.97,1001.97,2.0
2025-10-24,1003.42,1003.42,1003.42,1003.42,66.0
2025-10-28,1003.71,1003.71,1003.71,1003.71,50.0
2025-10-31,1004.44,1004.44,1004.44,1004.44,1.0
2025-11-04,1004.85,1004.85,1004.85,1004.85,1.0
2025-11-06,1009.87,1009.87,1004.98,1004.98,5.0
2025-11-10,1005.5,1005.5,1005.5,1005.5,66.0
2025-11-11,1005.64,1005.64,1005.64,1005.64,2.0
2025-11-12,1005.79,1005.79,1005.79,1005.79,248.0
2025-11-14,1006.33,1006.33,1006.33,1006.33,1.0
2025-11-17,1006.48,1006.48,1006.48,1006.48,1640.0
2025-11-26,1007.71,1007.73,1007.71,1007.73,1041.0
2025-11-27,1007.87,1007.87,1007.87,1007.87,11.0
2025-11-28,1008.29,1008.3,1008.29,1008.3,2604.0
2025-12-01,1008.41,1008.42,1008.41,1008.41,2002.0
2025-12-02,1008.57,1008.57,1008.56,1008.57,2048.0
2025-12-03,1008.69,1008.71,1008.69,1008.71,5023.0
2025-12-04,1008.82,1008.82,1008.82,1008.82,4100.0
2025-12-05,1009.25,1009.25,1009.23,1009.24,3524.0
2025-12-08,1009.39,1009.39,1009.39,1009.39,10305.0
2025-12-09,1009.53,1009.53,1009.53,1009.53,3500.0
2025-12-10,1009.66,1009.66,1009.65,1009.66,2502.0
2025-12-11,1009.78,1009.79,1009.78,1009.78,4024.0
2025-12-12,1010.18,1010.19,1010.18,1010.18,13777.0
2025-12-15,1010.32,1010.32,1010.32,1010.32,2500.0
2025-12-16,1010.46,1010.46,1010.45,1010.46,2510.0
2025-12-17,1010.61,1010.61,1010.59,1010.59,4500.0
2025-12-18,1010.74,1010.74,1010.72,1010.72,4634.0
2025-12-19,1011.13,1011.13,1011.12,1011.12,3100.0
2025-12-22,1011.26,1011.28,1011.26,1011.28,2325.0
2025-12-23,1011.42,1011.42,1011.42,1011.42,400.0
2025-12-24,1011.7,1011.7,1011.69,1011.7,2520.0
2025-12-26,1012.1,1012.12,1012.1,1012.12,7270.0
2025-12-29,1012.26,1012.26,1012.24,1012.24,2500.0
2025-12-30,1012.4,1012.4,1012.4,1012.4,500.0
2025-12-31,1012.54,1012.54,1012.54,1012.54,77152.0
2026-01-01,1012.68,1012.68,1012.67,1012.68,2613.0
2026-01-02,1013.07,1013.09,1013.07,1013.08,5695.0
2026-01-05,1013.21,1013.23,1013.21,1013.23,2995.0
2026-01-06,1013.35,1013.35,1013.35,1013.35,3383.0
2026-01-07,1013.51,1013.51,1013.49,1013.5,1686.0
2026-01-08,1013.65,1013.65,1013.65,1013.65,2500.0
2026-01-09,1014.08,1014.09,1014.08,1014.09,2551.0
2026-01-12,1014.21,1014.22,1014.21,1014.22,5105.0
2026-01-13,1014.37,1014.37,1014.37,1014.37,2000.0
2026-01-14,1014.65,1014.65,1014.64,1014.65,2560.0
2026-01-16,1015.04,1015.06,1015.04,1015.06,1154.0
2026-01-19,1015.17,1015.19,1015.17,1015.17,5530.0
2026-01-20,1015.33,1015.33,1015.32,1015.33,901.0
2026-01-21,1010.0,1015.46,1010.0,1015.46,2621.0
2026-01-22,1015.61,1015.61,1015.61,1015.61,3598.0
2026-01-23,1016.17,1016.17,1016.14,1016.15,3506.0
2026-01-27,1016.28,1016.29,1016.28,1016.28,4180.0
2026-01-28,1016.41,1016.42,1016.41,1016.42,19746.0
2026-01-29,1016.57,1016.57,1016.57,1016.57,2000.0
2026-01-30,1016.97,1016.99,1016.97,1016.99,5500.0
2026-02-01,1020.0,1020.0,1017.05,1017.05,2.0
2026-02-02,1017.12,1017.12,1017.11,1017.11,1001.0
2026-02-03,1017.24,1017.24,1017.23,1017.23,6511.0
2026-02-04,1017.33,1017.33,1017.33,1017.33,7000.0
2026-02-05,1017.46,1017.46,1017.44,1017.46,3378.0
2026-02-06,1018.13,1018.13,1017.79,1017.79,1066.0
2026-02-09,1017.9,1017.92,1017.9,1017.9,18683.0
2026-02-10,1018.0,1018.02,1018.0,1018.02,4480.0
2026-02-11,1018.15,1018.15,1018.14,1018.15,2509.0
2026-02-12,1018.27,1018.27,1018.26,1018.27,1586.0
2026-02-13,1018.64,1018.64,1018.64,1018.64,1500.0
2026-02-16,1018.79,1018.79,1018.77,1018.77,6060.0
2026-02-17,1018.92,1018.92,1018.92,1018.92,3219.0
2026-02-18,1019.18,1019.18,1019.18,1019.18,2800.0
2026-02-19,1019.41,1019.41,1019.17,1019.17,2100.0
2026-02-20,1019.58,1019.58,1019.57,1019.58,3110.0
2026-02-23,1019.69,1019.71,1019.69,1019.69,37625.0
2026-02-24,1019.84,1019.84,1019.83,1019.84,2469.0
2026-02-25,1019.97,1019.97,1019.97,1019.97,2002.0
2026-02-26,1020.1,1020.1,1020.09,1020.09,2061.0
2026-02-27,1020.48,1020.48,1020.48,1020.48,3060.0
