date,open,high,low,close,volume
2025-04-15,26.7,26.7,25.75,26.11,81179.0
2025-04-16,26.63,26.63,25.92,25.94,104010.0
2025-04-17,25.94,26.76,25.72,26.38,4285493.0
2025-04-21,26.5,29.22,26.0,26.97,411582.0
2025-04-22,27.6,27.97,26.8,27.03,37694.0
2025-04-23,27.57,28.0,26.97,27.56,74406.0
2025-04-24,28.11,28.11,27.4,27.49,152696.0
2025-04-25,27.62,28.47,26.76,26.98,84723.0
2025-04-28,27.2,27.31,26.91,27.29,63982.0
2025-04-29,27.43,27.54,27.24,27.41,64101.0
2025-04-30,27.54,27.54,27.0,27.19,70597.0
2025-05-02,27.5,27.73,27.09,27.18,109512.0
2025-05-05,27.72,29.0,27.19,28.12,146483.0
2025-05-06,29.27,29.27,27.33,27.43,95816.0
2025-05-07,27.98,27.98,27.39,27.8,16388.0
2025-05-08,27.91,28.07,27.35,27.5,94361.0
2025-05-09,27.56,27.65,27.15,27.38,67734.0
2025-05-12,26.83,28.52,26.82,28.46,27674.0
2025-05-13,29.04,29.7,28.31,28.39,105935.0
2025-05-14,28.53,30.2,28.28,28.74,75221.0
2025-05-15,28.88,29.97,28.65,29.2,84506.0
2025-05-16,29.5,29.98,29.01,29.44,106768.0
2025-05-19,30.0,30.0,29.35,29.54,128156.0
2025-05-20,29.79,29.79,29.0,29.01,192883.0
2025-05-21,29.59,29.59,29.0,29.24,136273.0
2025-05-22,29.49,29.49,28.82,29.12,90913.0
2025-05-23,29.34,29.92,28.23,28.57,67086.0
2025-05-26,28.79,29.97,28.57,29.54,91835.0
2025-05-27,29.69,29.84,29.35,29.45,83989.0
2025-05-28,29.74,29.75,29.25,29.29,40609.0
2025-05-29,29.43,29.46,29.24,29.43,82047.0
2025-05-30,30.02,30.02,29.0,29.16,52036.0
2025-06-02,29.3,29.97,28.87,29.06,102729.0
2025-06-03,29.64,29.89,28.9,29.03,175206.0
2025-06-04,29.17,29.34,29.03,29.18,98210.0
2025-06-05,29.38,29.43,29.19,29.31,69686.0
2025-06-06,29.45,29.99,29.21,29.59,84995.0
2025-06-09,29.45,30.67,29.45,29.79,80578.0
2025-06-10,30.09,30.87,29.78,29.88,105880.0
2025-06-11,30.0,30.05,29.79,29.98,99703.0
2025-06-12,29.98,30.29,29.0,29.44,154314.0
2025-06-13,29.43,31.94,28.87,29.9,112253.0
2025-06-16,29.87,29.87,28.85,29.31,405740.0
2025-06-17,29.45,29.47,29.01,29.09,78986.0
2025-06-18,29.16,29.5,29.04,29.12,49165.0
2025-06-19,29.3,29.5,28.8,29.0,22972.0
2025-06-20,29.47,29.47,28.85,29.18,9848.0
2025-06-23,29.76,29.76,28.75,28.98,98083.0
2025-06-24,29.7,29.87,28.95,29.12,82845.0
2025-06-25,29.26,29.43,29.12,29.19,134197.0
2025-06-26,29.47,29.47,29.12,29.27,22791.0
2025-06-27,29.51,29.61,29.39,29.54,101692.0
2025-06-30,29.68,29.82,29.34,29.5,141394.0
2025-07-01,30.09,30.09,29.22,29.35,119707.0
2025-07-02,29.49,29.84,29.14,29.3,68588.0
2025-07-03,29.44,29.68,29.15,29.52,68904.0
2025-07-04,29.69,29.85,29.35,29.51,98668.0
2025-07-07,29.51,29.71,23.56,29.49,88502.0
2025-07-08,29.49,29.81,29.2,29.42,94899.0
2025-07-09,29.68,29.68,29.3,29.44,36038.0
2025-07-10,29.64,29.64,28.0,29.39,12466.0
2025-07-11,29.34,29.52,28.99,29.02,97781.0
2025-07-14,29.6,29.77,28.9,29.23,45848.0
2025-07-15,29.37,29.66,29.33,29.61,74218.0
2025-07-17,29.74,29.82,29.57,29.66,39081.0
2025-07-18,30.25,30.57,29.5,29.59,516208.0
2025-07-21,29.59,29.78,29.3,29.68,159599.0
2025-07-22,29.5,29.83,29.5,29.53,60579.0
2025-07-23,29.67,29.76,29.5,29.69,12661.0
2025-07-24,29.88,30.2,29.39,29.65,50297.0
2025-07-25,29.58,29.65,29.16,29.22,104359.0
2025-07-28,29.95,29.95,28.98,29.1,77820.0
2025-07-29,29.55,29.8,29.05,29.55,69650.0
2025-07-30,29.17,29.64,29.17,29.35,38072.0
2025-07-31,29.47,29.48,28.8,29.08,26013.0
2025-08-01,29.22,29.33,28.7,28.8,74038.0
2025-08-04,28.8,29.4,28.53,29.17,82123.0
2025-08-05,29.65,29.65,29.05,29.26,67587.0
2025-08-06,29.4,29.49,28.75,29.02,82890.0
2025-08-07,29.16,29.28,28.3,28.98,57102.0
2025-08-08,28.99,29.55,28.65,28.72,35667.0
2025-08-11,28.0,29.41,28.0,28.86,21528.0
2025-08-12,29.0,29.33,28.76,28.8,58017.0
2025-08-13,29.27,29.3,28.89,29.06,55784.0
2025-08-14,29.64,29.64,28.4,29.14,45456.0
2025-08-18,29.72,29.99,29.7,29.89,88592.0
2025-08-19,30.63,30.63,29.91,30.41,163674.0
2025-08-20,29.64,31.15,29.64,30.7,115409.0
2025-08-21,30.94,30.97,30.28,30.42,37914.0
2025-08-22,30.63,30.63,30.1,30.28,55769.0
2025-08-25,31.03,31.03,30.2,30.45,73832.0
2025-08-26,30.69,30.69,30.07,30.19,104372.0
2025-08-28,30.34,30.48,29.92,30.04,55348.0
2025-08-29,30.64,30.64,29.71,29.94,86233.0
2025-09-01,30.47,30.6,30.02,30.55,57513.0
2025-09-02,30.74,30.89,30.55,30.72,100264.0
2025-09-03,30.87,31.08,30.59,30.83,113594.0
2025-09-04,31.0,31.63,30.64,30.79,146870.0
2025-09-05,31.09,31.09,30.71,30.98,28059.0
