date,open,high,low,close,volume
2021-05-12,0.95,0.95,0.95,0.95,2980549.0
2021-05-14,1.0,1.0,1.0,1.0,8705286.0
2021-05-17,1.05,1.05,1.05,1.05,4972501.0
2021-05-18,1.1,1.1,1.0,1.0,24650783.0
2021-05-19,0.95,0.95,0.95,0.95,1629382.0
2021-05-20,0.9,0.9,0.9,0.9,1330043.0
2021-05-21,0.9,0.95,0.9,0.95,5896526.0
2021-05-24,1.0,1.0,0.95,1.0,7714307.0
2021-05-25,1.0,1.05,0.95,1.05,7202789.0
2021-05-26,1.05,1.05,1.0,1.05,4873866.0
2021-05-27,1.05,1.1,1.0,1.1,10225878.0
2021-05-28,1.15,1.15,1.1,1.15,10267979.0
2021-05-31,1.2,1.2,1.15,1.2,8484076.0
2021-06-01,1.25,1.25,1.2,1.25,11414291.0
2021-06-02,1.3,1.3,1.25,1.3,8024571.0
2021-06-03,1.35,1.35,1.35,1.35,1017646.0
2021-06-04,1.4,1.4,1.4,1.4,1693952.0
2021-06-07,1.45,1.45,1.4,1.45,12174079.0
2021-06-08,1.5,1.5,1.45,1.5,2164412.0
2021-06-09,1.55,1.55,1.55,1.55,1565635.0
2021-06-10,1.6,1.6,1.6,1.6,2925039.0
2021-06-11,1.65,1.65,1.6,1.65,11970697.0
2021-06-14,1.7,1.7,1.7,1.7,1507697.0
2021-06-15,1.75,1.75,1.75,1.75,680879.0
2021-06-16,1.8,1.8,1.8,1.8,808786.0
2021-06-17,1.85,1.85,1.85,1.85,1288684.0
2021-06-18,1.9,1.9,1.9,1.9,4199561.0
2021-06-21,1.95,1.95,1.95,1.95,1671907.0
2021-06-22,2.0,2.0,2.0,2.0,1503044.0
2021-06-23,2.1,2.1,2.1,2.1,594074.0
2021-06-24,2.2,2.2,2.2,2.2,3970439.0
2021-06-25,2.3,2.3,2.1,2.1,11845457.0
2021-06-28,2.0,2.0,2.0,2.0,3137460.0
2021-06-29,1.9,1.9,1.9,1.9,3154382.0
2021-06-30,1.85,1.85,1.85,1.85,1535894.0
2021-07-01,1.8,1.8,1.8,1.8,883370.0
2021-07-02,1.75,1.75,1.75,1.75,1258534.0
2021-07-05,1.7,1.7,1.7,1.7,1789865.0
2021-07-06,1.65,1.75,1.65,1.75,14462267.0
