date,open,high,low,close,volume
2021-05-12,287.5,293.58,285.53,287.93,18642.0
2021-05-14,287.55,290.5,283.0,283.88,19126.0
2021-05-17,286.1,303.53,284.98,299.83,46546.0
2021-05-18,298.5,304.5,293.0,294.63,22974.0
2021-05-19,296.5,296.75,290.05,291.83,14696.0
2021-05-20,294.5,296.95,289.53,290.53,11739.0
2021-05-21,291.0,297.5,290.03,291.63,22365.0
2021-05-24,293.85,314.0,293.75,304.9,151939.0
2021-05-25,310.0,311.5,301.4,304.45,39819.0
2021-05-26,307.5,324.35,305.03,322.8,144451.0
2021-05-27,324.4,359.43,323.5,347.13,464019.0
2021-05-28,349.9,354.5,330.53,333.08,113520.0
2021-05-31,335.0,342.65,324.0,330.08,82692.0
2021-06-01,333.0,342.33,328.3,335.6,77734.0
2021-06-02,334.0,335.6,329.03,331.23,36819.0
2021-06-03,335.0,342.93,334.98,336.5,51237.0
2021-06-04,342.05,346.5,336.53,341.8,48154.0
2021-06-07,344.73,344.73,334.0,335.2,31547.0
2021-06-08,339.95,343.05,330.13,333.83,36436.0
2021-06-09,336.5,339.9,327.43,328.85,39382.0
2021-06-10,334.95,336.45,329.08,332.73,16358.0
2021-06-11,335.0,338.23,330.0,332.23,26637.0
2021-06-14,328.0,331.9,318.0,325.0,29616.0
2021-06-15,326.75,341.5,326.75,337.6,53831.0
2021-06-16,340.0,344.0,332.95,334.28,29082.0
2021-06-17,334.28,341.68,330.0,332.33,28977.0
2021-06-18,334.55,340.05,305.5,324.0,47666.0
2021-06-21,320.0,332.0,319.78,327.3,19568.0
2021-06-22,332.0,343.0,330.63,337.63,37786.0
2021-06-23,344.95,349.5,340.05,344.93,75470.0
2021-06-24,348.7,381.45,345.58,349.9,577957.0
2021-06-25,352.3,359.5,341.1,350.1,78438.0
2021-06-28,357.0,376.2,352.0,372.73,276142.0
2021-06-29,376.5,384.48,368.0,371.53,125283.0
2021-06-30,374.0,379.43,367.75,372.15,69592.0
2021-07-01,402.5,409.48,368.05,373.33,381049.0
2021-07-02,375.0,389.5,372.55,376.3,250864.0
2021-07-05,381.2,397.0,380.05,392.28,135626.0
2021-07-06,394.5,399.13,378.68,383.08,81094.0
2021-07-07,382.5,389.85,380.13,387.28,36693.0
2021-07-08,389.95,389.95,378.98,380.83,56205.0
2021-07-09,377.63,411.5,376.75,400.23,135477.0
2021-07-12,404.98,407.5,392.03,394.85,58619.0
2021-07-13,396.5,403.5,390.0,393.55,26808.0
2021-07-14,393.5,400.0,387.78,392.3,31061.0
2021-07-15,392.48,398.25,386.55,388.38,16799.0
2021-07-16,396.98,401.53,389.2,396.48,40300.0
2021-07-19,394.5,402.35,390.65,399.03,36016.0
2021-07-20,399.0,402.5,384.0,386.18,38893.0
2021-07-22,386.5,392.68,384.03,385.68,25965.0
2021-07-23,389.0,389.0,380.6,382.18,17296.0
2021-07-26,379.55,397.0,379.55,391.1,44250.0
2021-07-27,395.95,413.68,389.5,406.43,81474.0
2021-07-28,409.23,409.35,393.15,404.1,57738.0
2021-07-29,402.75,403.43,393.48,397.98,25327.0
2021-07-30,398.35,407.5,396.5,400.98,35102.0
2021-08-02,400.5,428.03,400.28,405.6,113840.0
2021-08-03,410.88,416.0,407.0,409.38,27370.0
2021-08-04,415.0,422.0,405.33,407.45,48433.0
2021-08-05,409.38,414.58,391.23,400.73,52001.0
2021-08-06,412.43,412.43,398.0,400.2,27864.0
2021-08-09,400.15,408.78,390.53,393.7,30058.0
2021-08-10,390.1,394.5,372.73,377.05,33917.0
2021-08-11,376.0,376.43,347.53,358.9,64152.0
2021-08-12,362.0,382.0,361.15,379.08,48914.0
2021-08-13,382.5,399.0,374.0,377.68,28728.0
2021-08-16,376.58,406.05,359.5,396.3,102225.0
2021-08-17,462.5,475.55,443.33,471.23,1265950.0
2021-08-18,487.5,519.35,476.0,507.83,1477067.0
2021-08-20,490.0,509.48,481.0,488.3,348273.0
2021-08-23,488.28,498.25,445.0,453.68,174420.0
2021-08-24,452.45,490.0,440.55,485.05,157422.0
2021-08-25,499.5,499.5,470.0,475.75,151370.0
2021-08-26,478.3,484.9,470.58,480.68,48689.0
2021-08-27,483.5,498.25,461.33,482.55,205800.0
2021-08-30,499.5,522.0,485.48,491.25,601704.0
2021-08-31,493.38,529.93,493.35,520.83,272996.0
2021-09-01,524.78,572.9,523.03,570.28,516948.0
2021-09-02,575.0,582.2,551.28,562.13,195214.0
2021-09-03,564.48,592.5,526.73,536.15,466090.0
2021-09-06,544.4,589.75,540.03,586.13,396597.0
2021-09-07,589.0,589.25,557.53,569.0,157598.0
2021-09-08,569.0,579.0,558.0,563.75,67679.0
2021-09-09,566.0,569.35,550.28,555.78,52135.0
2021-09-13,558.65,602.55,557.5,593.25,367213.0
2021-09-14,597.13,611.5,575.0,587.65,116805.0
2021-09-15,592.5,601.0,565.55,574.43,68820.0
2021-09-16,579.85,600.0,547.9,555.38,356003.0
2021-09-17,570.0,574.5,531.0,551.03,93701.0
2021-09-20,545.0,562.0,536.0,539.8,58131.0
2021-09-21,527.0,564.0,520.0,558.23,158092.0
2021-09-22,560.95,572.3,557.25,571.18,75467.0
2021-09-23,574.98,579.0,557.0,559.7,39423.0
2021-09-24,559.7,565.93,545.08,550.83,32293.0
2021-09-27,550.83,560.5,541.35,550.25,38133.0
2021-09-28,551.0,556.0,540.0,545.3,32301.0
2021-09-29,539.4,555.0,532.73,547.48,23183.0
2021-09-30,547.48,565.0,545.65,551.25,44698.0
2021-10-01,554.3,555.0,545.0,549.8,20820.0
2021-10-04,549.85,569.83,549.85,559.13,40186.0
2021-10-05,557.48,562.5,550.0,559.75,29398.0
2021-10-06,564.5,567.5,550.05,557.18,46071.0
2021-10-07,574.5,597.0,565.0,584.5,138139.0
2021-10-08,593.2,594.13,569.33,571.15,43560.0
2021-10-11,574.5,585.55,565.1,566.6,88932.0
2021-10-12,569.5,577.9,553.1,556.53,37855.0
2021-10-13,569.0,571.4,559.25,562.68,52014.0
2021-10-14,555.43,642.5,555.43,633.2,450575.0
2021-10-18,655.0,671.98,630.0,637.65,244151.0
2021-10-19,642.1,645.0,600.0,607.6,115191.0
2021-10-20,600.03,609.98,567.5,578.6,106375.0
2021-10-21,581.0,604.28,564.53,596.13,99455.0
2021-10-22,608.0,608.98,564.23,579.05,47878.0
2021-10-25,579.5,596.0,556.53,564.1,45515.0
2021-10-26,577.0,634.98,571.53,622.15,126789.0
2021-10-27,629.15,650.0,614.5,634.53,165213.0
2021-10-28,636.43,646.48,616.0,623.88,65007.0
2021-10-29,629.0,646.0,605.0,624.88,75865.0
2021-11-01,632.43,647.5,627.58,632.73,48098.0
2021-11-02,640.03,650.0,628.0,631.85,78573.0
2021-11-03,633.6,637.08,615.0,618.43,37325.0
2021-11-04,618.43,643.5,618.43,632.98,15888.0
2021-11-08,637.9,637.9,616.98,624.73,34303.0
2021-11-09,624.0,633.95,613.55,620.68,42764.0
2021-11-10,619.95,660.35,615.7,650.43,162887.0
2021-11-11,661.0,665.0,625.0,627.58,74061.0
2021-11-12,635.0,639.85,622.5,629.75,34203.0
2021-11-15,634.0,634.0,587.78,590.95,107262.0
2021-11-16,602.43,602.5,574.0,577.6,78863.0
2021-11-17,579.95,579.95,553.0,555.83,107687.0
2021-11-18,562.45,586.75,556.43,578.2,115002.0
2021-11-22,582.0,586.85,545.0,549.28,128944.0
2021-11-23,546.0,589.0,540.58,580.0,85107.0
2021-11-24,582.5,589.35,562.5,569.7,39816.0
2021-11-25,565.0,582.5,561.0,575.28,27268.0
2021-11-26,570.0,573.9,545.0,550.43,48925.0
2021-11-29,539.0,558.9,513.0,553.8,70923.0
2021-11-30,554.0,577.25,554.0,558.55,40505.0
2021-12-01,555.0,564.68,551.0,555.68,22015.0
2021-12-02,568.88,592.5,554.88,575.05,131095.0
2021-12-03,582.0,629.0,581.58,603.3,230437.0
2021-12-06,604.4,617.5,573.13,579.35,66371.0
2021-12-07,592.2,614.0,586.0,610.03,75844.0
2021-12-08,614.5,622.3,598.0,600.28,39957.0
2021-12-09,605.0,613.93,595.58,598.58,35749.0
2021-12-10,604.0,605.1,585.0,588.13,28439.0
2021-12-13,600.0,609.03,592.65,603.45,37855.0
2021-12-14,607.0,613.68,586.18,587.7,32517.0
2021-12-15,595.0,598.0,587.6,589.65,14564.0
2021-12-16,595.98,597.5,581.5,586.98,65496.0
2021-12-17,592.0,594.98,552.53,557.8,43842.0
2021-12-20,550.0,551.5,531.03,542.35,45558.0
2021-12-21,542.35,564.13,542.35,555.8,20171.0
2021-12-22,567.5,567.5,557.6,559.4,11324.0
2021-12-23,571.5,615.0,562.3,609.65,222314.0
2021-12-24,612.4,630.5,588.3,595.6,142398.0
2021-12-27,590.3,593.6,580.03,583.13,36665.0
2021-12-28,583.75,590.5,571.5,574.65,47614.0
2021-12-29,575.0,582.6,555.85,562.65,44804.0
2021-12-30,559.95,574.5,555.65,566.05,43007.0
2021-12-31,570.05,578.53,561.1,566.0,29256.0
2022-01-03,569.0,573.68,567.0,569.53,24337.0
2022-01-04,570.5,588.05,570.5,581.78,45552.0
2022-01-05,584.0,587.48,572.5,574.03,20569.0
2022-01-06,562.5,576.55,562.5,566.38,25517.0
2022-01-07,565.03,586.98,565.03,582.6,37130.0
2022-01-10,582.6,609.5,578.0,598.65,114778.0
2022-01-11,600.0,609.0,588.0,591.68,59597.0
2022-01-12,598.8,601.05,586.7,589.83,21042.0
2022-01-13,595.0,642.48,591.83,633.95,231256.0
2022-01-14,633.95,680.0,632.5,662.2,387427.0
2022-01-17,682.5,688.8,660.23,664.48,107942.0
2022-01-18,674.45,675.98,627.5,632.18,82158.0
2022-01-19,633.0,649.0,620.03,640.83,51436.0
2022-01-20,642.5,664.98,640.03,646.33,51755.0
2022-01-21,632.8,654.5,613.33,619.4,48373.0
2022-01-24,626.23,626.23,559.53,573.0,67691.0
2022-01-25,574.0,595.0,547.98,574.33,60009.0
2022-01-27,574.0,589.0,562.88,578.45,31803.0
2022-01-28,575.0,596.98,575.0,583.68,29097.0
2022-01-31,590.0,592.28,562.8,569.88,47893.0
2022-02-01,576.95,586.33,563.5,566.53,43836.0
2022-02-02,570.0,599.0,567.3,596.03,40103.0
2022-02-03,596.03,599.95,589.68,598.08,20050.0
2022-02-04,597.53,601.43,581.0,585.0,13682.0
2022-02-07,592.33,592.33,566.88,570.5,27558.0
2022-02-08,570.5,577.25,552.18,556.38,40925.0
2022-02-09,561.5,572.0,558.0,565.05,18879.0
2022-02-10,569.48,577.5,557.53,568.9,21935.0
2022-02-11,556.5,574.9,555.5,559.9,21136.0
2022-02-14,517.5,559.43,517.5,528.6,67731.0
2022-02-15,525.5,535.0,483.28,530.58,119305.0
2022-02-16,549.5,564.95,526.33,538.63,43310.0
2022-02-17,538.63,554.0,537.38,546.7,30991.0
2022-02-18,540.0,546.28,527.5,529.05,19262.0
2022-02-21,529.0,529.0,502.98,505.8,24262.0
2022-02-22,495.0,499.73,486.5,489.0,49905.0
2022-02-23,497.5,509.2,495.15,502.83,25667.0
2022-02-24,494.5,495.75,469.8,476.8,54006.0
2022-02-25,480.0,505.78,480.0,499.03,24536.0
2022-02-28,494.0,507.5,482.5,504.85,21627.0
2022-03-02,499.5,510.0,494.05,500.0,28840.0
2022-03-03,501.0,533.75,499.2,500.63,33949.0
2022-03-04,502.5,505.98,487.38,491.08,21876.0
2022-03-07,482.5,486.88,466.0,475.15,41606.0
2022-03-08,471.0,486.25,463.9,472.48,26708.0
2022-03-09,474.0,482.5,465.53,478.0,51964.0
2022-03-10,500.85,512.48,485.55,489.35,33400.0
2022-03-11,493.5,505.9,485.03,489.1,35726.0
2022-03-14,492.45,497.08,480.0,482.65,26907.0
2022-03-15,482.65,496.5,472.5,476.68,37206.0
2022-03-16,485.75,499.5,480.1,487.75,31765.0
2022-03-17,496.35,504.0,492.28,493.38,33238.0
2022-03-21,499.5,501.35,485.0,486.38,50902.0
2022-03-22,486.38,490.0,476.58,483.28,34428.0
2022-03-23,487.5,494.33,480.0,482.5,36039.0
2022-03-24,478.5,488.98,475.0,478.43,28553.0
2022-03-25,483.0,484.75,470.0,475.05,20976.0
2022-03-28,473.0,480.7,454.0,455.85,48986.0
2022-03-29,458.13,465.0,450.6,454.85,42329.0
2022-03-30,461.0,464.78,450.55,453.18,38196.0
2022-03-31,453.63,458.95,449.28,450.08,39577.0
2022-04-01,452.45,473.88,452.45,469.3,35598.0
2022-04-04,468.25,481.03,465.6,478.43,29484.0
2022-04-05,487.5,510.0,482.23,500.13,187752.0
2022-04-06,500.5,509.5,495.58,497.75,27463.0
2022-04-07,498.0,501.63,480.5,484.25,34031.0
2022-04-08,485.0,499.08,484.5,485.4,18441.0
2022-04-11,490.0,494.45,487.5,488.65,16282.0
2022-04-12,492.5,493.2,476.5,479.23,19842.0
2022-04-13,481.0,490.0,481.0,482.25,13165.0
2022-04-18,482.25,485.0,461.03,466.83,40949.0
2022-04-19,472.5,474.15,458.25,463.3,19891.0
2022-04-20,474.0,474.0,460.03,461.75,22789.0
2022-04-21,465.0,468.65,460.6,462.08,22896.0
2022-04-22,459.95,497.45,459.88,482.28,78714.0
2022-04-25,473.4,473.4,461.0,462.53,34189.0
2022-04-26,468.25,553.33,464.0,511.1,174517.0
2022-04-27,508.5,519.85,488.05,506.7,108756.0
2022-04-28,510.75,511.0,490.5,492.63,24061.0
2022-04-29,499.53,499.53,480.53,483.6,24538.0
2022-05-02,471.53,489.15,471.53,480.68,14904.0
2022-05-04,485.95,489.0,465.0,473.15,18627.0
2022-05-05,480.0,480.0,464.0,469.55,17690.0
2022-05-06,464.05,468.58,455.0,459.45,18230.0
2022-05-09,459.45,466.33,447.35,451.43,15382.0
2022-05-10,447.53,468.63,435.28,443.85,21830.0
2022-05-11,447.35,448.5,417.5,419.58,38110.0
2022-05-12,420.0,420.0,403.3,408.63,22809.0
2022-05-13,410.45,423.5,410.45,414.4,20636.0
2022-05-16,418.5,425.0,415.5,419.33,13968.0
2022-05-17,421.63,445.0,419.45,442.53,19030.0
2022-05-18,444.9,469.4,436.5,457.33,26740.0
2022-05-19,450.0,457.28,441.0,444.33,15306.0
2022-05-20,451.33,455.0,445.55,448.0,11844.0
2022-05-23,450.75,465.0,448.68,456.78,20008.0
2022-05-24,457.5,477.7,452.08,461.3,74739.0
2022-05-25,461.3,464.98,436.38,439.68,20883.0
2022-05-26,440.5,445.0,428.33,440.53,13202.0
2022-05-27,445.0,464.98,445.0,460.75,20816.0
2022-05-30,464.5,490.5,460.75,483.7,35979.0
2022-05-31,507.5,558.98,503.0,505.95,462090.0
2022-06-01,505.95,537.5,505.95,513.48,173536.0
2022-06-02,513.5,534.5,513.5,521.55,109749.0
2022-06-03,530.0,534.5,497.6,500.95,106618.0
2022-06-06,500.0,515.0,491.5,513.4,40652.0
2022-06-07,513.5,532.0,505.0,517.93,268677.0
2022-06-08,525.0,531.0,517.5,521.1,50420.0
2022-06-09,515.0,525.0,510.63,518.78,121104.0
2022-06-10,505.0,524.4,505.0,522.95,55185.0
2022-06-13,513.0,515.0,503.18,513.68,34590.0
2022-06-14,506.75,525.0,503.33,515.48,146021.0
2022-06-15,515.5,525.0,514.53,521.1,37482.0
2022-06-16,527.5,527.85,500.5,504.2,33362.0
2022-06-17,503.5,574.98,494.8,560.38,870266.0
2022-06-20,581.9,581.9,523.5,542.33,224039.0
2022-06-21,544.2,563.4,540.1,555.13,76389.0
2022-06-22,552.5,555.13,534.0,543.85,55198.0
2022-06-23,545.0,592.5,544.03,585.28,246788.0
2022-06-24,600.0,641.95,585.0,612.2,459091.0
2022-06-27,619.0,658.63,612.7,631.3,353913.0
2022-06-28,630.95,658.5,622.53,651.58,179830.0
2022-06-29,641.0,687.5,641.0,665.68,368771.0
2022-06-30,666.55,690.0,657.5,662.45,238943.0
2022-07-01,662.38,688.0,645.58,673.05,148726.0
2022-07-04,669.73,747.75,669.73,727.53,707741.0
2022-07-05,735.08,786.85,732.78,751.73,775622.0
2022-07-06,749.0,760.0,715.0,748.73,197041.0
2022-07-07,755.0,801.85,721.0,772.55,197790.0
2022-07-08,822.5,822.5,746.0,762.25,358135.0
2022-07-11,761.5,761.5,725.0,729.48,80462.0
2022-07-12,724.98,774.0,716.8,750.33,112598.0
2022-07-13,750.58,757.5,726.5,734.8,40627.0
2022-07-14,740.95,754.0,727.0,735.05,50252.0
2022-07-15,744.0,762.5,730.65,739.93,54595.0
2022-07-18,747.0,832.5,744.0,823.5,306503.0
2022-07-19,810.0,825.0,800.85,814.9,114635.0
2022-07-20,822.25,834.5,783.0,787.28,86384.0
2022-07-21,787.5,810.0,782.5,804.93,54269.0
2022-07-22,807.35,837.5,792.58,806.3,95790.0
2022-07-25,804.5,820.0,796.3,809.73,38342.0
2022-07-26,805.58,827.43,775.58,788.93,53144.0
2022-07-27,791.4,805.4,784.68,794.23,28434.0
2022-07-28,802.5,845.0,795.5,809.45,135225.0
2022-07-29,820.0,825.0,796.13,807.1,72799.0
2022-08-01,807.5,817.05,790.78,797.2,63187.0
2022-08-02,798.5,830.83,791.0,796.8,101558.0
2022-08-03,800.0,859.43,796.85,838.78,337547.0
2022-08-04,847.0,856.0,801.85,812.43,100666.0
2022-08-05,819.0,838.7,802.63,830.28,99025.0
2022-08-08,823.5,850.0,814.0,835.05,72560.0
2022-08-10,835.0,868.0,820.0,825.23,118836.0
2022-08-11,825.23,834.9,780.1,788.0,102424.0
2022-08-12,783.33,785.03,737.5,745.63,128333.0
2022-08-16,745.0,774.13,740.63,767.13,72427.0
2022-08-17,771.95,786.48,760.0,775.0,86230.0
2022-08-18,774.9,794.6,767.5,771.65,60653.0
2022-08-19,777.75,782.5,752.03,757.83,48647.0
2022-08-22,758.0,767.2,720.5,727.83,76409.0
2022-08-23,724.93,779.0,716.23,766.98,89035.0
2022-08-24,770.0,783.73,755.13,758.58,47166.0
2022-08-25,760.5,771.4,741.05,747.2,42273.0
2022-08-26,752.13,767.5,742.5,746.3,30794.0
2022-08-29,719.0,811.0,719.0,771.88,105960.0
2022-08-30,762.45,769.35,745.03,750.28,75391.0
2022-09-01,743.9,765.58,741.4,746.35,43663.0
2022-09-02,753.48,760.05,736.73,749.05,76048.0
2022-09-05,746.5,772.18,744.05,748.13,36300.0
2022-09-06,751.5,761.85,739.08,753.25,37879.0
2022-09-07,751.5,764.25,748.25,758.23,40479.0
2022-09-08,770.0,787.5,754.23,764.33,109051.0
2022-09-09,778.5,778.5,751.3,755.3,24387.0
2022-09-12,755.3,766.45,744.0,758.03,34958.0
2022-09-13,753.6,774.2,750.05,769.73,37685.0
2022-09-14,753.0,774.73,753.0,767.95,38022.0
2022-09-15,767.95,921.53,765.98,864.13,451179.0
2022-09-16,860.0,872.78,806.23,830.45,179657.0
2022-09-19,823.0,828.98,770.0,779.83,107899.0
2022-09-20,781.0,786.95,756.13,762.0,70384.0
2022-09-21,765.0,784.78,753.95,762.6,55079.0
2022-09-22,764.98,774.75,750.0,754.8,51809.0
2022-09-23,756.5,760.68,736.5,739.03,43813.0
2022-09-26,727.5,734.75,682.0,687.83,102602.0
2022-09-27,700.0,715.93,695.5,702.73,76929.0
2022-09-28,704.2,736.6,696.98,714.9,52569.0
2022-09-29,725.0,745.05,704.7,715.33,31172.0
2022-09-30,708.15,728.5,698.03,724.65,37496.0
2022-10-03,720.0,720.18,694.0,697.18,47535.0
2022-10-04,708.63,714.33,697.53,702.08,23472.0
2022-10-06,711.4,723.5,709.0,715.3,23495.0
2022-10-07,718.0,721.03,708.45,717.85,29101.0
2022-10-10,710.63,760.0,707.5,755.63,72806.0
2022-10-11,756.63,786.98,753.03,775.25,116867.0
2022-10-12,775.5,802.5,773.55,783.48,79345.0
2022-10-13,792.5,795.0,784.73,792.98,37620.0
2022-10-14,800.0,806.65,777.5,784.53,43499.0
2022-10-17,784.53,805.0,775.0,781.6,61187.0
2022-10-18,783.5,797.23,781.6,790.98,21816.0
2022-10-19,798.0,822.2,781.5,788.05,45738.0
2022-10-20,791.9,802.35,780.15,798.45,20849.0
2022-10-21,804.63,814.93,776.0,795.35,26817.0
2022-10-24,799.95,800.0,780.05,784.28,6854.0
2022-10-25,780.0,806.73,780.0,802.75,33358.0
2022-10-27,807.5,817.48,795.5,800.28,25043.0
2022-10-28,803.0,808.5,791.1,798.48,15743.0
2022-10-31,800.05,816.68,800.05,807.0,29358.0
2022-11-01,806.5,807.75,761.85,771.43,35272.0
2022-11-02,778.55,787.0,766.6,779.55,23996.0
2022-11-03,779.55,785.0,763.75,767.8,9754.0
2022-11-04,774.5,779.0,764.0,768.73,11005.0
2022-11-07,764.58,857.5,764.58,811.7,127881.0
2022-11-09,817.13,825.38,802.2,820.13,30000.0
2022-11-10,823.13,850.0,813.0,830.05,53582.0
2022-11-11,897.75,921.0,855.78,910.28,408766.0
2022-11-14,915.65,1026.0,914.83,1010.75,618610.0
2022-11-15,1000.65,1014.95,928.5,938.45,194972.0
2022-11-16,942.0,992.0,938.95,949.55,81504.0
2022-11-17,949.53,956.9,922.5,936.88,23031.0
2022-11-18,936.5,945.6,912.58,920.83,15429.0
2022-11-21,920.83,962.5,915.05,924.65,62987.0
2022-11-22,939.5,1022.48,926.08,1010.43,157111.0
2022-11-23,1008.5,1010.0,980.0,988.13,41738.0
2022-11-24,996.93,1012.13,977.5,993.05,32503.0
2022-11-25,992.0,1019.88,975.53,982.35,47774.0
2022-11-28,982.0,998.98,965.0,970.95,32574.0
2022-11-29,970.98,1010.0,962.75,967.2,51143.0
2022-11-30,967.5,989.53,967.5,972.7,18824.0
2022-12-01,977.0,1043.5,970.13,977.35,139625.0
2022-12-02,985.9,999.68,977.43,992.35,35965.0
2022-12-05,1000.0,1000.0,956.3,964.13,49212.0
2022-12-06,965.0,967.95,916.28,946.58,98585.0
2022-12-07,954.63,958.98,925.53,938.58,22132.0
2022-12-08,945.0,947.53,935.5,940.23,14568.0
2022-12-09,944.95,947.73,917.53,928.5,24463.0
2022-12-12,912.53,942.43,909.05,928.98,18305.0
2022-12-13,933.43,937.48,917.05,921.95,16830.0
2022-12-14,921.03,960.35,920.68,925.4,49579.0
2022-12-15,935.0,935.6,923.0,926.23,22212.0
