date,open,high,low,close,volume
2025-10-01,105.0,114.07,105.0,114.07,51575.0
2025-10-03,120.73,125.47,115.88,125.47,112162.0
2025-10-06,133.8,134.9,113.55,118.01,236500.0
2025-10-07,117.15,119.23,110.96,114.26,90944.0
2025-10-08,116.0,119.99,110.71,118.38,42045.0
2025-10-09,121.88,130.21,117.23,121.01,168441.0
2025-10-10,123.4,133.11,119.5,123.73,130973.0
2025-10-13,122.99,127.69,115.1,116.4,64813.0
2025-10-14,116.4,118.8,115.65,116.94,21160.0
2025-10-15,118.91,124.9,116.1,117.84,27664.0
2025-10-16,121.49,123.84,118.0,119.59,67398.0
2025-10-17,120.48,123.47,117.1,118.96,53373.0
2025-10-20,121.46,123.5,117.13,118.36,18840.0
2025-10-21,121.0,123.99,119.2,121.72,3676.0
2025-10-23,121.7,125.0,117.5,117.97,31031.0
2025-10-24,120.89,120.89,114.1,115.09,20274.0
2025-10-27,117.65,118.0,114.4,116.41,22038.0
2025-10-28,119.8,119.8,114.61,116.01,5946.0
2025-10-29,117.9,117.9,115.02,115.3,7760.0
2025-10-30,117.5,117.5,112.27,112.94,14892.0
2025-10-31,115.0,115.4,112.81,113.57,6433.0
2025-11-03,112.98,114.97,111.15,113.66,2675.0
2025-11-04,115.0,115.94,111.5,112.35,13896.0
2025-11-06,114.4,114.4,111.92,112.92,1568.0
2025-11-07,114.48,114.48,106.45,107.11,13347.0
2025-11-10,106.2,107.35,104.01,105.77,13141.0
2025-11-11,107.33,108.28,103.63,106.41,6073.0
2025-11-12,115.0,116.0,107.0,107.27,26368.0
2025-11-13,108.4,117.99,106.95,117.93,52018.0
2025-11-14,119.7,119.7,111.0,113.29,42412.0
2025-11-17,111.1,114.5,106.5,109.02,45333.0
2025-11-18,109.0,112.0,104.0,105.56,28914.0
2025-11-19,110.0,111.99,104.16,108.42,56523.0
2025-11-20,108.0,112.85,107.1,108.22,28397.0
2025-11-21,109.86,109.86,104.03,106.53,38883.0
2025-11-24,110.75,110.75,105.47,106.4,11223.0
2025-11-25,108.8,108.8,103.3,105.22,21738.0
2025-11-26,105.59,108.02,104.01,105.89,20812.0
2025-11-27,102.87,107.94,102.39,103.31,10988.0
2025-11-28,105.4,107.0,102.0,104.98,13659.0
2025-12-01,106.02,107.0,102.9,105.95,14173.0
2025-12-02,110.0,110.0,103.8,105.59,40026.0
2025-12-03,107.1,107.5,103.36,104.78,18205.0
2025-12-04,103.88,106.5,102.1,103.03,20433.0
2025-12-05,105.4,107.0,101.01,104.2,28155.0
2025-12-08,106.28,107.05,101.11,102.06,31213.0
2025-12-09,104.33,105.0,99.02,104.04,35104.0
2025-12-10,103.5,106.49,101.3,102.42,20536.0
2025-12-11,102.0,104.38,100.1,100.37,12454.0
2025-12-12,100.04,102.32,99.0,99.83,6870.0
2025-12-15,99.95,104.75,99.0,103.48,12013.0
2025-12-16,102.57,106.53,102.57,103.6,11173.0
2025-12-17,105.45,109.77,102.2,103.01,21757.0
2025-12-18,103.21,106.5,103.01,104.17,13569.0
2025-12-19,106.3,107.35,100.5,102.72,31132.0
2025-12-22,103.13,106.63,102.18,104.21,28414.0
2025-12-23,106.29,108.3,103.0,105.95,40094.0
2025-12-24,108.0,108.0,103.2,103.81,14568.0
2025-12-26,104.01,105.78,102.17,102.38,6294.0
2025-12-29,102.38,104.32,100.15,100.95,29231.0
2025-12-30,101.0,103.46,100.0,100.77,14590.0
2025-12-31,102.77,103.7,99.1,99.4,40376.0
2026-01-01,101.25,102.99,95.49,101.14,46138.0
2026-01-02,102.5,102.5,98.21,98.58,12546.0
2026-01-05,101.6,102.98,95.5,95.73,41804.0
2026-01-06,96.0,99.59,95.29,96.78,21907.0
2026-01-07,94.84,98.64,94.84,96.14,16974.0
2026-01-08,97.01,98.49,91.1,92.75,25246.0
2026-01-09,95.59,95.99,91.4,92.18,10398.0
2026-01-12,95.8,95.8,86.0,92.86,16495.0
2026-01-13,94.72,98.08,94.01,95.45,6939.0
2026-01-14,103.0,103.0,93.85,95.92,8162.0
2026-01-16,94.5,98.52,94.5,96.06,4412.0
2026-01-19,96.13,98.0,91.52,96.54,25007.0
2026-01-20,95.6,95.99,89.41,91.91,9365.0
2026-01-21,89.28,93.98,81.6,85.44,80659.0
2026-01-22,85.35,86.94,82.2,83.69,35395.0
2026-01-23,85.35,86.0,80.6,82.48,15546.0
2026-01-27,82.0,82.7,76.6,80.38,18763.0
2026-01-28,81.23,84.0,78.91,81.94,38098.0
2026-01-29,80.82,96.7,79.51,88.96,56739.0
2026-01-30,102.8,102.8,80.5,81.95,99704.0
2026-02-01,81.95,88.68,78.6,84.2,26205.0
2026-02-02,85.9,85.9,79.1,80.3,53209.0
2026-02-03,81.34,91.0,79.01,88.76,41837.0
2026-02-04,90.5,92.0,86.27,91.03,31589.0
2026-02-05,87.5,102.0,87.5,97.44,41805.0
2026-02-06,97.87,104.0,91.1,93.42,22490.0
2026-02-09,93.42,95.5,90.05,93.27,50126.0
2026-02-10,94.9,97.39,92.2,93.46,22670.0
2026-02-11,93.44,95.9,92.01,92.94,32139.0
2026-02-12,93.35,93.47,86.15,87.97,17136.0
2026-02-13,88.89,88.89,84.0,84.5,12220.0
2026-02-16,84.21,85.49,81.29,82.96,8434.0
2026-02-17,84.57,84.57,80.6,81.04,11436.0
2026-02-18,82.7,85.0,79.0,79.99,16619.0
2026-02-19,81.6,81.99,78.0,79.15,10142.0
2026-02-20,80.17,83.99,80.15,81.17,9156.0
2026-02-23,82.8,82.8,80.01,81.98,8325.0
2026-02-24,81.67,83.0,78.55,81.78,8665.0
2026-02-25,82.36,82.5,78.75,79.93,21299.0
2026-02-26,79.0,79.29,77.0,77.44,12850.0
2026-02-27,77.97,78.44,77.22,77.93,4547.0
2026-03-02,74.8,75.5,62.35,66.85,494455.0
2026-03-04,65.01,73.27,64.0,69.74,98769.0
2026-03-05,70.5,72.6,66.0,66.91,46057.0
2026-03-06,68.7,70.5,62.3,64.32,66121.0
2026-03-09,63.0,66.52,61.47,62.17,52807.0
2026-03-10,63.09,64.79,61.38,62.31,19769.0
2026-03-11,62.01,66.59,58.0,59.29,212194.0
2026-03-12,57.65,61.15,55.96,59.99,184186.0
2026-03-13,59.1,61.17,57.3,57.71,45251.0
2026-03-16,58.3,58.3,55.0,56.78,52150.0
2026-03-17,57.89,58.64,55.0,55.48,76486.0
2026-03-18,54.35,58.11,54.35,56.79,79129.0
2026-03-19,56.25,68.14,55.28,65.6,489058.0
2026-03-20,72.0,75.0,53.25,55.36,1587499.0
