date,open,high,low,close,volume
2021-05-12,53.9,54.5,52.5,53.0,115057.0
2021-05-14,53.85,53.95,52.5,52.8,93509.0
2021-05-17,53.5,53.5,52.5,52.7,58648.0
2021-05-18,53.0,53.5,51.85,52.4,163501.0
2021-05-19,52.75,52.8,52.35,52.5,63552.0
2021-05-20,53.0,53.2,51.7,52.45,96127.0
2021-05-21,54.7,54.7,51.2,53.65,283739.0
2021-05-24,53.75,56.25,53.75,54.65,399990.0
2021-05-25,54.9,55.3,53.75,53.95,120096.0
2021-05-26,54.5,55.0,53.8,54.15,92600.0
2021-05-27,54.15,54.5,53.95,54.35,58762.0
2021-05-28,54.95,55.6,53.9,54.9,78357.0
2021-05-31,55.9,57.6,54.85,57.6,263805.0
2021-06-01,59.9,60.45,56.5,58.5,344902.0
2021-06-02,58.95,61.4,57.3,61.0,372975.0
2021-06-03,62.8,64.05,62.0,64.05,185156.0
2021-06-04,65.8,67.25,65.2,67.25,494065.0
2021-06-07,66.9,71.3,64.1,65.45,515841.0
2021-06-08,65.5,66.7,63.1,64.15,288956.0
2021-06-09,65.5,65.9,59.8,61.6,258484.0
2021-06-10,62.1,65.65,62.1,64.15,237752.0
2021-06-11,65.5,70.55,65.05,70.55,973995.0
2021-06-14,72.5,77.6,68.0,77.6,1206543.0
2021-06-15,78.8,85.35,78.8,85.35,675727.0
2021-06-16,89.5,89.6,81.1,81.1,1145582.0
2021-06-17,77.05,77.05,77.05,77.05,46797.0
2021-06-18,73.2,77.0,73.2,74.75,1059486.0
2021-06-21,75.1,78.45,74.0,78.45,393970.0
2021-06-22,81.8,81.9,75.15,76.4,468855.0
2021-06-23,76.95,79.15,75.5,77.1,237636.0
2021-06-24,78.85,78.85,75.35,76.15,92646.0
2021-06-25,77.2,78.55,73.35,75.0,172849.0
2021-06-28,73.6,77.7,73.05,74.55,178200.0
2021-06-29,74.9,75.9,73.8,74.35,156327.0
2021-06-30,74.9,78.05,74.35,76.6,381886.0
2021-07-01,77.5,77.5,74.5,74.95,85464.0
2021-07-02,75.1,76.95,73.7,75.25,178130.0
2021-07-05,75.95,76.0,74.0,74.65,96261.0
2021-07-06,74.8,76.35,74.0,74.25,130943.0
2021-07-07,74.0,75.3,71.75,72.6,172598.0
2021-07-08,72.65,75.4,71.75,72.4,138272.0
2021-07-09,74.3,74.3,71.75,73.1,204030.0
2021-07-12,75.0,76.75,73.5,76.65,425429.0
2021-07-13,76.65,77.2,73.8,74.1,207105.0
2021-07-14,74.7,75.5,73.1,73.5,126184.0
2021-07-15,77.0,77.0,71.55,72.85,88644.0
2021-07-16,71.75,73.3,71.75,72.2,91354.0
2021-07-19,72.7,74.6,72.0,72.25,125132.0
2021-07-20,72.25,73.25,69.3,69.85,149740.0
2021-07-22,68.5,72.85,68.05,72.1,373254.0
2021-07-23,73.3,73.75,70.3,72.1,174619.0
2021-07-26,72.8,72.8,70.65,71.2,61028.0
2021-07-27,71.95,72.15,70.05,70.5,87261.0
2021-07-28,70.5,71.7,68.1,69.4,133840.0
2021-07-29,69.0,71.4,67.2,69.35,104305.0
2021-07-30,69.35,71.4,69.35,70.65,110687.0
2021-08-02,71.8,72.95,70.35,72.4,103255.0
2021-08-03,69.5,73.5,69.5,70.7,153790.0
2021-08-04,70.85,71.8,68.6,69.35,120621.0
2021-08-05,70.3,70.3,65.9,67.5,140670.0
2021-08-06,70.05,73.45,60.75,60.75,1344042.0
2021-08-09,54.7,54.7,54.7,54.7,158831.0
2021-08-10,49.25,60.15,49.25,57.55,2994843.0
2021-08-11,58.0,59.05,51.8,54.45,612649.0
2021-08-12,53.75,57.3,53.75,55.95,324285.0
2021-08-13,57.75,57.75,54.65,54.9,111737.0
2021-08-16,54.9,54.9,51.6,52.2,222586.0
2021-08-17,52.95,52.95,50.0,50.15,194230.0
2021-08-18,49.25,52.45,48.2,49.4,336429.0
2021-08-20,50.4,50.4,47.6,48.5,218255.0
2021-08-23,48.1,50.0,46.65,47.25,152883.0
2021-08-24,47.0,48.4,46.9,47.9,131995.0
2021-08-25,48.95,50.25,48.0,50.15,125168.0
2021-08-26,51.9,51.9,50.6,50.95,103139.0
2021-08-27,50.95,51.6,50.1,50.55,59246.0
2021-08-30,51.8,51.8,49.8,50.3,91612.0
2021-08-31,50.45,50.95,49.6,50.1,81767.0
2021-09-01,50.75,51.75,50.25,51.0,106184.0
2021-09-02,51.25,52.6,50.7,51.5,139093.0
2021-09-03,51.75,52.2,50.5,50.95,100189.0
2021-09-06,51.4,53.35,50.4,52.3,132369.0
2021-09-07,52.6,53.35,51.05,51.4,67315.0
2021-09-08,51.05,52.5,51.05,51.35,85332.0
2021-09-09,52.45,53.9,52.4,53.9,302598.0
2021-09-13,54.5,55.95,52.4,52.7,255939.0
2021-09-14,51.25,52.5,51.25,51.5,171114.0
2021-09-15,52.5,52.5,51.55,52.1,97033.0
2021-09-16,52.5,53.2,51.25,52.85,199218.0
2021-09-17,52.55,54.75,52.0,53.6,257380.0
2021-09-20,53.5,56.25,52.6,55.35,333771.0
2021-09-21,55.35,56.8,54.3,56.2,231618.0
2021-09-22,56.2,56.9,55.0,55.55,94361.0
2021-09-23,55.05,56.8,55.05,56.05,135170.0
2021-09-24,56.1,56.95,55.4,55.7,51335.0
2021-09-27,55.5,55.95,54.05,55.35,42083.0
2021-09-28,56.0,58.1,54.4,58.1,161041.0
2021-09-29,61.0,61.0,60.5,61.0,165059.0
2021-09-30,62.2,62.2,58.5,58.95,252978.0
2021-10-01,58.15,58.95,57.5,58.55,100785.0
2021-10-04,60.0,60.7,58.7,59.3,97441.0
2021-10-05,59.75,61.9,57.45,60.75,219247.0
2021-10-06,61.9,61.9,58.65,59.45,169697.0
2021-10-07,60.4,62.7,59.1,60.6,121856.0
2021-10-08,62.0,65.95,60.75,62.25,238084.0
2021-10-11,64.0,64.9,62.0,62.7,136522.0
2021-10-12,64.9,68.95,63.55,67.45,745771.0
2021-10-13,67.0,69.55,63.3,64.55,430466.0
2021-10-14,64.6,66.15,63.55,64.05,102599.0
2021-10-18,64.35,70.0,60.35,65.65,401733.0
2021-10-19,66.9,67.85,63.1,64.25,207349.0
2021-10-20,65.0,65.0,61.0,61.5,113570.0
2021-10-21,58.6,61.0,56.3,59.05,180903.0
2021-10-22,58.55,60.75,57.1,57.75,125051.0
2021-10-25,57.7,58.7,53.55,55.1,173620.0
2021-10-26,58.8,58.8,55.1,56.95,65750.0
2021-10-27,57.55,58.65,56.35,56.8,64762.0
2021-10-28,56.1,57.9,55.05,55.3,77428.0
2021-10-29,55.35,56.8,53.65,55.05,116639.0
2021-11-01,55.05,56.25,53.65,54.95,81561.0
2021-11-02,55.25,55.95,54.35,55.35,88492.0
2021-11-03,56.3,58.1,55.15,55.8,65299.0
2021-11-04,54.8,58.9,54.8,56.55,21003.0
2021-11-08,57.65,57.65,55.45,55.75,119623.0
2021-11-09,55.7,56.0,54.3,54.75,104373.0
2021-11-10,55.6,55.6,53.8,54.4,114323.0
2021-11-11,54.9,55.35,53.65,53.95,370982.0
2021-11-12,54.85,55.2,53.7,54.2,116226.0
2021-11-15,55.6,55.6,53.75,54.0,148015.0
2021-11-16,54.05,55.6,53.75,55.3,213594.0
2021-11-17,55.95,57.2,53.85,54.6,170324.0
2021-11-18,54.5,54.95,52.55,52.8,136797.0
2021-11-22,53.4,53.95,50.95,51.2,136080.0
2021-11-23,52.0,56.3,52.0,53.95,401807.0
2021-11-24,54.1,54.5,52.8,53.3,182744.0
2021-11-25,53.4,55.35,53.4,54.7,349880.0
2021-11-26,54.55,55.75,52.85,53.1,410471.0
2021-11-29,53.15,57.0,51.6,54.25,302909.0
2021-11-30,54.95,54.95,50.3,51.85,192004.0
2021-12-01,51.9,52.75,50.8,51.35,138270.0
2021-12-02,51.35,52.4,50.85,51.9,82755.0
2021-12-03,51.9,52.8,51.4,51.7,137442.0
2021-12-06,51.7,55.5,50.5,51.45,201551.0
2021-12-07,51.75,52.5,51.1,51.55,121293.0
2021-12-08,51.9,52.2,50.5,51.5,111464.0
2021-12-09,51.6,52.5,50.1,51.6,193859.0
2021-12-10,51.55,54.9,51.55,52.55,935742.0
2021-12-13,52.75,53.75,52.0,52.05,223412.0
2021-12-14,51.6,52.9,51.5,52.1,95029.0
2021-12-15,52.15,52.55,50.6,50.95,457169.0
2021-12-16,51.1,51.6,50.25,50.35,106296.0
2021-12-17,50.15,51.75,49.55,49.85,244772.0
2021-12-20,59.8,59.8,57.15,59.8,4554030.0
2021-12-21,61.95,62.45,52.3,54.0,1940679.0
2021-12-22,54.05,57.2,54.0,55.1,399880.0
2021-12-23,55.3,55.85,53.5,53.8,298008.0
2021-12-24,53.85,54.25,51.2,51.7,318022.0
2021-12-27,51.7,51.9,50.75,50.95,224785.0
2021-12-28,50.9,51.85,50.7,51.25,221072.0
2021-12-29,51.35,52.85,51.2,51.5,155633.0
2021-12-30,51.4,52.1,50.55,51.05,176783.0
2021-12-31,51.5,52.85,50.1,50.9,750452.0
2022-01-03,50.9,51.95,50.3,50.75,773397.0
2022-01-04,52.1,53.95,51.6,52.3,1098777.0
2022-01-05,50.4,51.6,50.4,51.4,594650.0
2022-01-06,55.0,58.5,53.0,54.25,1416737.0
2022-01-07,54.65,56.25,53.8,55.6,587263.0
2022-01-10,54.5,57.1,54.5,56.7,522006.0
2022-01-11,56.05,58.25,56.0,56.35,577560.0
2022-01-12,57.2,57.4,55.0,55.35,496101.0
2022-01-13,56.35,56.4,52.4,53.75,457291.0
2022-01-14,53.75,54.5,53.0,54.15,313480.0
2022-01-17,53.9,53.9,52.5,53.6,240353.0
2022-01-18,53.2,53.85,52.1,52.5,216554.0
2022-01-19,53.0,53.0,51.75,52.3,172679.0
2022-01-20,52.5,53.5,52.2,53.05,156034.0
2022-01-21,53.2,54.3,53.05,53.45,262974.0
2022-01-24,54.1,54.1,51.0,51.3,249825.0
2022-01-25,52.9,52.9,50.0,51.35,180672.0
2022-01-27,51.85,52.4,50.9,51.05,232638.0
2022-01-28,51.5,51.9,47.0,51.05,231958.0
2022-01-31,52.0,52.3,51.1,51.4,109348.0
2022-02-01,52.3,55.85,50.5,51.55,728298.0
2022-02-02,52.5,53.0,50.8,52.2,352737.0
2022-02-03,52.0,52.35,48.2,49.85,561256.0
2022-02-04,49.35,49.8,48.85,49.15,329718.0
2022-02-07,49.4,49.5,48.2,49.15,246136.0
2022-02-08,49.35,50.6,49.1,50.25,263857.0
2022-02-09,50.6,50.65,49.7,50.15,144442.0
2022-02-10,50.1,50.15,49.1,49.6,140746.0
2022-02-11,48.7,49.55,48.5,48.7,152137.0
2022-02-14,48.7,49.0,47.5,47.9,189245.0
2022-02-15,48.9,48.9,47.0,47.75,228946.0
2022-02-16,48.5,50.75,48.05,50.2,232453.0
2022-02-17,50.7,51.4,49.7,50.3,117463.0
2022-02-18,50.3,50.6,49.2,49.4,60261.0
2022-02-21,49.35,49.4,47.75,48.05,153097.0
2022-02-22,47.0,47.85,46.1,47.25,147373.0
2022-02-23,48.95,55.5,47.9,52.85,517070.0
2022-02-24,52.0,52.5,46.4,47.85,571295.0
2022-02-25,50.0,53.7,49.8,51.4,296432.0
2022-02-28,52.0,60.35,52.0,53.5,1179958.0
2022-03-02,54.35,56.0,54.1,55.35,692718.0
2022-03-03,56.0,56.2,53.75,54.7,339664.0
2022-03-04,56.75,58.3,55.0,56.9,502659.0
2022-03-07,56.7,56.9,54.6,55.5,337882.0
2022-03-08,54.95,56.75,54.5,56.05,253426.0
2022-03-09,56.0,57.0,55.55,56.15,192774.0
2022-03-10,56.8,56.8,55.0,55.15,231794.0
2022-03-11,53.95,53.95,47.55,50.4,1137749.0
2022-03-14,51.0,52.0,48.35,49.1,461994.0
2022-03-15,48.8,49.9,46.1,46.6,400456.0
2022-03-16,46.6,47.4,44.4,45.1,505048.0
2022-03-17,45.35,45.9,39.5,40.65,1701159.0
2022-03-21,41.5,41.5,36.55,37.15,1514480.0
2022-03-22,36.05,36.8,31.4,32.55,1832581.0
2022-03-23,32.0,35.8,31.5,35.8,877028.0
2022-03-24,36.8,39.35,36.1,39.35,550161.0
2022-03-25,40.0,42.55,38.7,39.95,1195295.0
2022-03-28,40.8,41.1,36.4,36.7,441263.0
2022-03-29,35.9,40.35,33.5,34.3,717658.0
2022-03-30,34.05,37.7,33.7,36.4,783119.0
2022-03-31,36.4,37.05,32.8,34.3,929843.0
2022-04-01,34.7,37.7,34.65,37.7,529700.0
2022-04-04,37.6,40.7,37.05,40.2,627857.0
2022-04-05,41.2,41.95,37.55,38.2,554320.0
2022-04-06,38.2,38.3,36.05,36.7,573144.0
2022-04-07,37.2,37.7,36.0,36.9,455255.0
2022-04-08,37.0,37.5,36.1,36.45,229062.0
2022-04-11,36.45,36.9,35.1,35.25,309662.0
2022-04-12,35.55,37.35,34.9,36.55,333696.0
2022-04-13,37.7,40.0,36.15,36.9,391482.0
2022-04-18,36.2,40.45,34.1,39.3,898012.0
2022-04-19,39.95,41.0,38.0,38.4,418042.0
2022-04-20,38.05,39.2,37.55,38.1,167840.0
2022-04-21,38.65,44.45,38.4,41.05,1566217.0
2022-04-22,38.5,38.9,36.0,36.8,1269754.0
2022-04-25,29.45,29.45,29.45,29.45,718361.0
