date,open,high,low,close,volume
2021-05-12,6.03,6.04,5.98,5.99,56000.0
2021-05-14,6.04,6.11,6.04,6.09,48000.0
2021-05-17,6.3,6.33,6.3,6.33,16000.0
2021-05-18,6.27,6.45,6.27,6.45,56000.0
2021-05-19,6.59,6.6,6.5,6.57,32000.0
2021-05-20,6.73,6.73,6.73,6.73,8000.0
2021-05-21,6.85,6.95,6.62,6.94,64000.0
2021-05-24,6.95,7.04,6.95,7.03,48000.0
2021-05-25,7.1,7.13,7.1,7.11,24000.0
2021-05-26,7.18,7.22,7.18,7.22,32000.0
2021-05-27,7.29,7.33,7.29,7.32,48000.0
2021-05-28,7.47,7.5,7.47,7.49,24000.0
2021-05-31,7.45,7.5,7.45,7.49,32000.0
2021-06-01,7.47,7.48,7.47,7.48,16000.0
2021-06-02,7.4,7.71,7.4,7.7,32000.0
2021-06-03,7.8,7.96,7.33,7.83,96000.0
2021-06-04,8.02,8.04,8.02,8.04,16000.0
2021-06-07,8.03,8.1,8.03,8.09,32000.0
2021-06-08,8.2,8.2,8.01,8.07,40000.0
2021-06-09,8.03,8.19,8.03,8.11,80000.0
2021-06-10,8.21,8.22,8.21,8.22,16000.0
2021-06-11,8.1,8.28,8.1,8.27,24000.0
2021-06-14,7.86,8.12,7.86,8.03,40000.0
2021-06-15,8.25,8.26,8.25,8.26,16000.0
2021-06-16,8.28,8.29,8.28,8.28,16000.0
2021-06-17,7.88,8.15,7.87,8.11,56000.0
2021-06-18,7.8,8.15,7.8,8.09,56000.0
2021-06-21,7.9,8.23,7.9,8.22,24000.0
2021-06-22,8.3,8.3,8.3,8.3,8000.0
2021-06-23,7.89,8.5,7.89,8.5,48000.0
2021-06-24,8.8,8.8,8.79,8.8,24000.0
2021-06-25,8.65,8.91,8.65,8.91,32000.0
2021-06-28,8.85,9.02,8.85,9.01,32000.0
2021-06-29,8.99,9.15,8.99,9.13,56000.0
2021-06-30,9.15,9.3,9.15,9.29,32000.0
2021-07-01,9.18,9.31,9.18,9.27,40000.0
2021-07-02,9.25,9.26,9.25,9.26,16000.0
2021-07-05,9.0,9.53,9.0,9.52,88000.0
2021-07-06,9.99,9.99,9.78,9.87,408760.0
2021-07-07,10.07,10.07,9.89,10.02,376630.0
2021-07-08,10.1,10.1,9.91,9.93,484440.0
2021-07-09,9.96,9.96,9.8,9.9,324650.0
2021-07-12,9.96,10.23,9.7,10.13,424860.0
2021-07-13,10.64,10.64,10.32,10.48,648330.0
2021-07-14,10.69,10.7,10.55,10.59,566250.0
2021-07-15,10.68,10.84,10.64,10.81,766900.0
2021-07-16,10.87,10.88,10.72,10.8,509210.0
2021-07-19,10.8,10.8,10.53,10.58,442080.0
2021-07-20,10.75,10.75,10.43,10.53,595430.0
2021-07-22,10.58,10.85,10.58,10.76,451510.0
2021-07-23,10.79,10.95,10.79,10.91,510020.0
2021-07-26,11.1,11.1,10.85,11.03,665070.0
2021-07-27,11.2,11.2,11.03,11.07,698490.0
2021-07-28,11.19,11.19,10.87,11.06,318830.0
2021-07-29,11.17,11.26,11.05,11.25,494200.0
2021-07-30,11.54,11.54,11.19,11.31,557720.0
2021-08-02,11.38,11.49,11.3,11.46,394110.0
2021-08-03,11.48,11.8,11.43,11.69,1082190.0
2021-08-04,12.0,12.0,11.75,11.78,439320.0
2021-08-05,11.78,11.78,11.57,11.63,538920.0
2021-08-06,11.63,11.68,11.53,11.64,538730.0
2021-08-09,11.79,11.9,11.4,11.85,948470.0
2021-08-10,11.85,12.2,11.84,12.12,464560.0
2021-08-11,12.36,12.43,11.65,12.01,936860.0
2021-08-12,11.52,12.18,11.52,12.13,697440.0
2021-08-13,12.3,12.5,12.1,12.46,450290.0
2021-08-16,12.73,12.78,12.48,12.62,838140.0
2021-08-17,12.68,12.96,12.61,12.8,903840.0
2021-08-18,12.9,13.1,12.84,12.96,1348290.0
2021-08-20,13.5,13.5,12.7,12.89,598770.0
2021-08-23,12.93,13.13,12.75,12.93,612320.0
2021-08-24,12.94,13.19,12.86,13.17,1212000.0
2021-08-25,13.2,13.32,13.15,13.28,901920.0
2021-08-26,13.3,13.36,13.23,13.32,823960.0
2021-08-27,13.34,13.51,13.3,13.46,1032460.0
2021-08-30,13.6,13.9,13.6,13.82,1500030.0
2021-08-31,13.95,14.09,13.87,14.05,1139870.0
2021-09-01,14.05,14.34,13.98,14.09,1067710.0
2021-09-02,14.2,14.23,14.05,14.19,1066150.0
2021-09-03,14.3,14.31,14.18,14.3,1019160.0
2021-09-06,14.4,14.5,14.24,14.41,1051190.0
2021-09-07,14.51,14.51,14.4,14.5,898350.0
2021-09-08,14.61,14.61,14.41,14.53,1900640.0
2021-09-09,14.63,14.73,14.6,14.68,1803710.0
2021-09-13,14.95,15.4,14.9,15.05,1184330.0
2021-09-14,15.4,15.8,15.15,15.3,1233199.0
2021-09-15,15.5,16.05,14.55,14.55,1841460.0
2021-09-16,14.2,15.15,13.85,14.55,726934.0
2021-09-17,15.1,15.15,13.85,13.9,682998.0
2021-09-20,13.9,14.1,13.65,13.75,684280.0
2021-09-21,13.7,14.35,13.7,14.25,988593.0
2021-09-22,14.45,14.75,13.9,14.45,1066283.0
2021-09-23,14.7,15.1,14.4,15.05,1298504.0
2021-09-24,15.5,15.65,15.2,15.4,1327169.0
2021-09-27,15.85,15.85,14.95,15.2,1358931.0
2021-09-28,15.35,15.6,14.75,14.9,761464.0
2021-09-29,14.85,15.0,14.35,14.6,1156865.0
2021-09-30,14.5,15.25,14.45,15.1,1276596.0
