date,open,high,low,close,volume
2021-05-12,629.5,640.0,619.1,623.8,4633089.0
2021-05-14,624.2,631.25,601.6,608.3,3176782.0
2021-05-17,612.55,614.4,599.0,604.05,2155528.0
2021-05-18,605.5,616.9,602.1,608.55,1866283.0
2021-05-19,609.5,623.7,608.0,614.5,2148078.0
2021-05-20,615.85,621.45,603.95,606.95,3151384.0
2021-05-21,609.95,612.75,605.65,607.25,1185358.0
2021-05-24,610.0,619.25,603.2,605.05,2167948.0
2021-05-25,609.8,609.8,599.05,601.55,1597630.0
2021-05-26,602.7,614.95,597.1,608.4,2251359.0
2021-05-27,609.0,614.3,604.4,606.6,1827666.0
2021-05-28,609.9,614.5,599.5,607.6,2099504.0
2021-05-31,593.0,601.7,578.25,592.5,3562450.0
2021-06-01,594.15,611.85,591.0,594.7,2289905.0
2021-06-02,594.7,617.95,594.0,614.8,4039933.0
2021-06-03,617.2,624.7,613.5,616.45,2318555.0
2021-06-04,619.4,625.9,612.25,614.4,2051532.0
2021-06-07,614.45,621.45,613.0,616.3,1041338.0
2021-06-08,614.65,632.4,595.0,629.3,4672359.0
2021-06-09,635.0,643.3,616.75,623.15,5207526.0
2021-06-10,625.0,642.35,624.15,633.75,2793420.0
2021-06-11,636.95,657.9,633.6,652.9,4978752.0
2021-06-14,658.2,658.2,635.0,643.85,1892251.0
2021-06-15,647.75,649.05,638.0,640.9,1051668.0
2021-06-16,641.2,653.9,636.55,642.7,3338407.0
2021-06-17,639.9,653.5,630.0,639.5,2709838.0
2021-06-18,643.0,647.15,626.0,640.4,1921799.0
2021-06-21,638.0,647.45,632.75,641.15,1227966.0
2021-06-22,646.0,649.85,638.6,640.3,1417530.0
2021-06-23,645.0,646.95,636.0,638.95,852001.0
2021-06-24,641.0,642.75,626.0,631.25,1106106.0
2021-06-25,636.0,650.0,634.5,646.4,1332075.0
2021-06-28,649.4,672.0,644.25,667.05,3740538.0
2021-06-29,666.95,671.3,653.0,655.2,1433644.0
2021-06-30,657.8,660.15,650.0,652.55,835663.0
2021-07-01,652.4,658.0,647.1,653.15,718932.0
2021-07-02,653.15,667.9,653.15,662.7,1850323.0
2021-07-05,665.0,667.75,661.0,662.1,772577.0
2021-07-06,662.9,664.85,645.1,648.4,904205.0
2021-07-07,649.7,666.85,647.1,662.5,1841193.0
2021-07-08,662.5,664.8,646.4,649.2,934045.0
2021-07-09,649.8,667.85,645.25,665.3,2062699.0
2021-07-12,670.0,674.95,652.2,656.2,4191899.0
2021-07-13,661.0,663.8,653.05,657.5,976965.0
2021-07-14,656.9,668.5,655.8,664.25,1703147.0
2021-07-15,662.55,665.9,654.5,655.85,662530.0
2021-07-16,655.85,690.0,655.85,687.05,6432804.0
2021-07-19,676.0,690.95,676.0,682.55,1858210.0
2021-07-20,682.55,685.9,665.0,667.6,1764497.0
2021-07-22,670.0,683.05,665.9,672.3,2063487.0
2021-07-23,673.0,674.55,645.0,649.9,3292401.0
2021-07-26,650.05,650.05,623.0,626.4,3009500.0
2021-07-27,635.5,635.5,585.05,588.75,5778251.0
2021-07-28,591.95,605.45,581.8,587.65,4437698.0
2021-07-29,590.2,595.1,585.05,591.6,2245219.0
2021-07-30,593.0,611.8,590.45,607.45,2224480.0
2021-08-02,614.9,616.0,601.45,605.65,1508410.0
2021-08-03,606.0,608.7,598.25,604.4,1702042.0
2021-08-04,604.3,609.1,593.2,595.8,1145829.0
2021-08-05,598.0,603.9,591.2,599.0,1153827.0
2021-08-06,603.75,605.75,583.0,596.45,3406554.0
2021-08-09,597.3,597.9,587.0,590.8,1099044.0
2021-08-10,590.75,594.3,572.25,580.95,1209723.0
2021-08-11,582.0,585.9,565.8,578.4,1302387.0
2021-08-12,580.9,583.3,567.6,570.6,1232132.0
2021-08-13,572.9,575.9,560.0,563.25,1997335.0
2021-08-16,570.2,583.0,560.0,569.35,5163107.0
2021-08-17,569.85,569.85,550.5,554.0,1850194.0
2021-08-18,556.0,559.0,551.0,553.6,965450.0
2021-08-20,550.0,559.15,535.0,539.75,1806975.0
2021-08-23,545.0,547.9,524.05,527.65,1256480.0
2021-08-24,527.0,531.6,515.1,521.65,2628237.0
2021-08-25,522.95,527.5,518.4,519.7,969412.0
2021-08-26,519.8,524.3,511.05,512.85,1079304.0
2021-08-27,513.0,522.3,512.35,516.6,1305521.0
2021-08-30,516.7,530.85,514.65,528.25,1991723.0
2021-08-31,532.8,532.8,523.25,530.3,1721956.0
2021-09-01,531.0,535.5,528.4,532.05,1023967.0
2021-09-02,532.1,540.9,532.0,538.4,1117337.0
2021-09-03,541.0,544.0,532.25,533.75,827959.0
2021-09-06,533.0,538.95,527.3,535.85,948219.0
2021-09-07,536.4,539.45,528.0,530.5,532290.0
2021-09-08,530.0,530.0,518.3,520.15,1410873.0
2021-09-09,520.15,529.0,519.55,524.55,1103544.0
2021-09-13,526.9,527.3,517.7,518.7,782310.0
2021-09-14,520.3,533.65,520.0,531.55,1123980.0
2021-09-15,532.0,537.6,528.0,535.9,1668352.0
2021-09-16,536.1,539.5,533.05,535.4,970702.0
2021-09-17,537.85,539.45,517.1,518.85,1197562.0
2021-09-20,518.85,518.85,492.2,494.6,1804464.0
2021-09-21,496.0,508.0,489.15,506.2,1918932.0
2021-09-22,507.9,514.55,507.35,511.95,999987.0
2021-09-23,514.0,516.0,508.6,512.0,701147.0
2021-09-24,512.5,515.45,500.3,508.1,991548.0
2021-09-27,511.0,511.0,501.0,503.6,872537.0
2021-09-28,504.0,506.35,491.45,497.05,1228879.0
2021-09-29,498.0,514.75,492.6,509.1,1869419.0
2021-09-30,516.0,518.65,506.65,510.45,2313759.0
2021-10-01,508.9,514.0,505.95,513.15,1084023.0
2021-10-04,514.0,523.25,513.75,519.8,1318434.0
2021-10-05,519.85,521.55,511.0,519.8,1112710.0
2021-10-06,521.95,521.95,503.45,504.75,1147247.0
2021-10-07,506.0,518.5,505.3,517.35,1043667.0
2021-10-08,519.95,529.25,516.75,527.1,1951963.0
2021-10-11,529.95,538.85,526.3,534.0,1877006.0
2021-10-12,536.0,539.0,524.0,526.3,1442869.0
2021-10-13,527.5,535.0,525.65,529.8,909887.0
2021-10-14,530.0,534.95,523.3,524.8,751935.0
2021-10-18,525.0,528.4,517.0,519.0,1166193.0
2021-10-19,520.8,526.85,512.1,515.65,984273.0
2021-10-20,515.65,521.0,503.3,505.9,913680.0
2021-10-21,507.75,513.45,495.5,502.75,1156583.0
2021-10-22,503.5,509.85,488.35,493.15,1067329.0
2021-10-25,496.0,497.25,477.1,485.95,1421509.0
2021-10-26,490.0,509.55,487.65,507.9,1173704.0
2021-10-27,509.0,513.7,499.6,503.7,1059991.0
2021-10-28,503.7,504.7,489.2,494.5,1493336.0
2021-10-29,492.9,517.6,489.0,503.9,1225257.0
2021-11-01,503.95,515.0,502.15,514.3,706434.0
2021-11-02,514.0,520.8,507.1,515.85,1283376.0
2021-11-03,515.9,524.5,511.0,514.5,664263.0
2021-11-04,521.55,525.0,517.05,523.4,328707.0
2021-11-08,525.0,531.0,519.1,526.65,925846.0
2021-11-09,524.0,532.25,521.6,524.55,712315.0
2021-11-10,523.7,528.5,518.5,520.7,660224.0
2021-11-11,523.35,523.35,513.3,514.85,637396.0
2021-11-12,514.85,529.5,512.7,523.8,1350485.0
2021-11-15,523.95,539.55,522.3,535.75,2569062.0
