date,open,high,low,close,volume
2021-05-12,41.29,41.44,41.01,41.39,2665823.0
2021-05-14,41.27,41.65,41.08,41.49,9842362.0
2021-05-17,43.48,43.48,41.75,41.83,9634179.0
2021-05-18,42.47,42.47,42.0,42.09,5886821.0
2021-05-19,42.17,42.18,41.9,41.94,2767354.0
2021-05-20,42.47,42.47,42.1,42.13,2928165.0
2021-05-21,42.27,42.27,42.08,42.17,3604304.0
2021-05-24,44.28,44.28,42.12,42.2,3272190.0
2021-05-25,42.17,42.24,42.05,42.12,2618735.0
2021-05-26,42.67,42.69,42.36,42.64,4771571.0
2021-05-27,42.48,42.53,42.31,42.39,2753806.0
2021-05-28,44.88,44.88,42.1,42.22,3232907.0
2021-05-31,42.76,42.76,42.35,42.59,4325516.0
2021-06-01,42.78,42.91,42.56,42.83,4240959.0
2021-06-02,42.67,42.83,42.41,42.57,6237062.0
2021-06-03,42.92,42.92,42.47,42.51,4499242.0
2021-06-04,42.24,42.24,41.99,42.12,5901860.0
2021-06-07,42.57,42.57,42.17,42.28,5501444.0
2021-06-08,42.67,42.67,42.37,42.41,4163770.0
2021-06-09,42.64,42.64,42.37,42.5,6638366.0
2021-06-10,42.57,42.57,42.3,42.35,3751175.0
2021-06-11,42.87,42.87,42.55,42.63,4959477.0
2021-06-14,42.27,42.34,41.97,42.03,5586567.0
2021-06-15,42.17,42.17,41.9,42.05,4311508.0
2021-06-16,44.1,44.1,41.92,42.09,3525900.0
2021-06-17,44.89,44.89,41.26,41.35,7758865.0
2021-06-18,41.17,41.17,40.71,40.96,7724176.0
2021-06-21,40.87,40.98,40.58,40.95,4204092.0
2021-06-22,41.14,41.14,40.8,40.93,2965899.0
2021-06-23,41.18,41.18,40.88,41.0,2032574.0
2021-06-24,44.1,44.1,40.77,40.9,2193111.0
2021-06-25,40.92,40.99,40.72,40.95,3318404.0
2021-06-28,44.0,44.0,40.8,40.82,3324387.0
2021-06-29,40.82,40.88,40.62,40.73,2013217.0
2021-06-30,40.48,40.63,40.4,40.52,3863423.0
2021-07-01,41.17,41.17,40.75,40.91,3813939.0
2021-07-02,41.24,41.24,40.94,41.15,3035684.0
2021-07-05,41.28,41.28,41.06,41.2,2238472.0
2021-07-06,41.54,41.68,41.26,41.61,3076197.0
2021-07-07,41.6,41.79,41.46,41.72,3949972.0
2021-07-08,41.72,41.98,41.51,41.74,3835093.0
2021-07-09,41.74,41.74,41.43,41.58,2942805.0
2021-07-12,44.1,44.1,41.38,41.5,2574523.0
2021-07-13,41.78,41.78,41.51,41.52,1945630.0
2021-07-14,42.0,42.39,40.1,41.64,2132668.0
2021-07-15,41.97,42.0,41.72,41.98,3478484.0
2021-07-16,41.98,41.98,41.81,41.85,1832927.0
2021-07-19,43.6,43.6,41.54,41.62,1838895.0
2021-07-20,42.13,42.13,41.65,41.69,3560043.0
2021-07-22,44.1,44.1,39.2,41.3,3231236.0
2021-07-23,38.65,43.55,38.65,41.36,2373676.0
2021-07-26,42.0,42.0,41.26,41.4,2621876.0
2021-07-27,40.58,41.62,40.58,41.35,3569252.0
2021-07-28,42.28,42.28,40.78,41.37,1985702.0
2021-07-29,42.58,42.58,41.41,41.68,2648324.0
2021-07-30,42.38,42.38,41.28,41.92,2040165.0
2021-08-02,41.94,41.94,41.51,41.53,2151973.0
2021-08-03,42.28,42.28,41.36,41.48,2742824.0
2021-08-04,41.94,42.28,41.45,41.53,1349682.0
2021-08-05,44.4,44.4,41.4,41.56,2365330.0
2021-08-06,41.88,41.88,40.78,41.3,2105799.0
2021-08-09,41.08,42.28,39.68,40.36,7917513.0
2021-08-10,40.84,40.84,40.08,40.22,5540994.0
2021-08-11,40.87,40.87,40.16,40.26,3400031.0
2021-08-12,40.94,40.94,39.88,40.56,3244252.0
2021-08-13,40.98,41.24,40.08,40.5,3253709.0
2021-08-16,41.42,41.42,40.63,40.78,3404513.0
2021-08-17,41.68,41.68,40.38,41.18,3492704.0
2021-08-18,41.0,41.19,40.95,41.03,1995891.0
2021-08-20,41.48,41.48,40.74,40.97,2846275.0
2021-08-23,41.34,41.34,40.63,41.01,2345631.0
2021-08-24,41.58,41.58,41.01,41.18,2663194.0
2021-08-25,41.48,41.48,40.85,41.04,1641519.0
2021-08-26,44.4,44.4,40.68,40.8,1741050.0
2021-08-27,41.38,41.38,40.84,40.86,2143301.0
2021-08-30,41.78,41.78,41.0,41.01,2593436.0
2021-08-31,41.48,41.8,40.82,40.83,3318327.0
2021-09-01,44.23,44.23,40.78,40.83,3368321.0
2021-09-02,41.24,41.24,40.75,40.92,2147433.0
2021-09-03,40.66,40.98,40.66,40.92,2236960.0
2021-09-06,41.48,41.48,41.05,41.21,3188389.0
2021-09-07,41.62,41.62,40.94,41.06,1856286.0
2021-09-08,41.22,41.22,40.75,40.88,2457445.0
2021-09-09,41.22,41.22,40.53,40.79,2317747.0
2021-09-13,40.95,40.95,40.5,40.72,3071349.0
2021-09-14,41.12,41.12,40.34,40.73,2019311.0
2021-09-15,41.43,41.43,40.58,40.96,4593529.0
2021-09-16,41.22,41.22,40.46,40.52,7757035.0
2021-09-17,40.52,40.52,39.96,40.2,7078265.0
2021-09-20,40.32,40.32,39.58,40.17,6530151.0
2021-09-21,43.6,43.6,40.12,40.23,4222239.0
2021-09-22,40.64,40.67,40.41,40.6,3523204.0
2021-09-23,40.48,40.48,40.21,40.34,4144040.0
2021-09-24,40.22,40.22,39.99,40.05,6573931.0
2021-09-27,40.62,40.62,39.98,40.01,6448927.0
2021-09-28,40.12,40.12,39.9,39.94,4523276.0
2021-09-29,40.32,40.32,39.92,40.02,4920311.0
2021-09-30,40.36,40.36,39.65,39.72,6960363.0
2021-10-01,40.65,40.65,40.0,40.21,5920969.0
2021-10-04,39.88,40.72,39.88,40.24,6907829.0
2021-10-05,40.58,40.6,40.31,40.35,3486231.0
2021-10-06,40.48,40.48,40.3,40.45,3648125.0
2021-10-07,40.95,40.95,40.41,40.55,4512371.0
2021-10-08,40.82,40.82,40.5,40.54,2632366.0
2021-10-11,40.92,40.92,40.48,40.7,4870323.0
2021-10-12,40.98,40.98,40.75,40.84,3692920.0
2021-10-13,41.12,41.12,40.74,40.92,4781734.0
2021-10-14,41.06,41.55,41.06,41.52,5940090.0
2021-10-18,44.0,44.0,40.52,40.98,8075613.0
2021-10-19,41.24,41.24,41.01,41.2,3396263.0
2021-10-20,41.52,41.52,40.88,41.06,4359620.0
2021-10-21,41.27,41.38,41.07,41.17,4069266.0
2021-10-22,35.8,43.88,35.8,41.29,2449953.0
2021-10-25,41.53,41.66,41.33,41.58,6275955.0
2021-10-26,41.79,41.81,41.58,41.66,4449235.0
2021-10-27,41.72,44.5,41.09,41.33,2725005.0
2021-10-28,43.8,43.8,41.3,41.57,3762963.0
2021-10-29,41.92,41.92,41.18,41.5,3459177.0
2021-11-01,41.72,41.72,40.98,41.28,3810487.0
2021-11-02,41.32,41.54,41.32,41.45,6446940.0
2021-11-03,41.44,41.44,40.78,41.1,2904207.0
2021-11-04,41.78,42.97,41.1,41.36,3104231.0
2021-11-08,42.08,42.08,41.46,41.5,4645164.0
2021-11-09,41.96,41.96,41.42,41.67,3392048.0
2021-11-10,41.78,41.84,41.56,41.79,3598237.0
2021-11-11,42.57,42.75,39.3,42.7,7209037.0
2021-11-12,42.97,42.97,40.1,42.45,3350209.0
2021-11-15,42.88,42.88,42.16,42.65,3314639.0
2021-11-16,42.98,42.98,42.38,42.8,3456788.0
2021-11-17,42.8,42.8,42.08,42.54,3333642.0
2021-11-18,43.08,43.08,42.5,42.61,2523169.0
2021-11-22,42.47,42.47,42.15,42.23,3812844.0
2021-11-23,42.06,42.06,40.44,41.34,5111606.0
2021-11-24,41.68,41.68,41.0,41.2,3087852.0
2021-11-25,41.46,41.46,41.2,41.3,1942891.0
2021-11-26,41.64,41.88,41.21,41.77,4643543.0
2021-11-29,41.76,41.76,41.36,41.62,11883229.0
2021-11-30,41.68,41.68,41.16,41.51,9675176.0
2021-12-01,41.43,41.43,40.73,41.21,3555487.0
2021-12-02,41.57,41.57,40.93,40.98,2871409.0
2021-12-03,41.27,41.27,40.85,40.92,3570987.0
2021-12-06,41.78,41.78,41.15,41.3,4868492.0
2021-12-07,41.72,41.72,41.03,41.22,6156889.0
2021-12-08,41.52,41.57,41.22,41.47,5311149.0
2021-12-09,41.78,41.78,41.06,41.35,2032038.0
2021-12-10,41.42,41.42,41.15,41.27,1538190.0
2021-12-13,41.68,41.68,41.4,41.55,2730323.0
2021-12-14,41.46,41.78,41.46,41.55,1741396.0
2021-12-15,41.78,41.78,41.03,41.47,3778408.0
2021-12-16,42.17,42.17,41.6,41.72,2259600.0
2021-12-17,41.88,42.45,41.88,42.14,4523690.0
2021-12-20,42.56,42.56,41.72,41.86,4534504.0
2021-12-21,42.12,42.12,41.38,41.69,2549098.0
2021-12-22,41.96,41.96,41.23,41.52,1411905.0
2021-12-23,42.22,42.22,41.62,41.69,2260536.0
2021-12-24,42.08,42.08,41.43,41.71,1541465.0
2021-12-27,42.04,42.04,41.52,41.59,2219251.0
2021-12-28,41.92,41.92,41.28,41.61,2262844.0
2021-12-29,41.88,41.88,41.42,41.5,1661395.0
2021-12-30,41.78,43.78,41.15,41.22,2342863.0
2021-12-31,41.92,41.92,41.36,41.48,1731890.0
2022-01-03,42.07,44.25,41.54,41.73,9144638.0
2022-01-04,41.78,41.78,41.15,41.46,4681329.0
2022-01-05,41.98,43.0,41.36,41.56,2839093.0
2022-01-06,41.82,41.82,41.18,41.24,2415846.0
2022-01-07,41.58,41.58,41.01,41.09,2969814.0
2022-01-10,41.44,41.44,40.76,41.07,3641805.0
2022-01-11,41.58,43.0,40.88,41.21,3010372.0
2022-01-12,41.68,41.68,41.21,41.33,2258367.0
2022-01-13,41.82,41.82,41.22,41.42,1817380.0
2022-01-14,41.32,41.78,41.23,41.53,3926645.0
2022-01-17,41.82,41.82,41.18,41.53,2644534.0
2022-01-18,41.82,41.82,41.28,41.52,2549058.0
2022-01-19,41.84,41.84,41.33,41.6,1830780.0
2022-01-20,42.44,42.44,41.68,42.05,4187268.0
2022-01-21,42.38,42.38,41.75,41.84,9839700.0
2022-01-24,42.14,42.14,41.66,42.04,12373380.0
2022-01-25,42.32,42.32,41.74,42.06,5243707.0
2022-01-27,42.16,42.16,41.6,41.82,2730577.0
2022-01-28,41.88,41.88,41.23,41.43,2163132.0
2022-01-31,41.72,41.72,41.03,41.25,8624680.0
2022-02-01,41.68,41.68,41.2,41.55,2575407.0
2022-02-02,41.92,41.92,41.12,41.51,2103178.0
2022-02-03,41.36,41.88,41.36,41.56,1519387.0
2022-02-04,41.85,41.85,41.47,41.6,1583137.0
2022-02-07,41.88,41.88,41.28,41.63,1982504.0
2022-02-08,41.97,41.98,41.52,41.82,1918554.0
2022-02-09,42.18,42.5,41.71,41.99,2543561.0
2022-02-10,41.88,42.38,41.88,42.17,2478102.0
2022-02-11,42.5,42.5,41.88,42.19,4052801.0
2022-02-14,43.32,43.32,42.33,42.96,9337588.0
2022-02-15,43.06,43.5,42.61,42.72,15219667.0
2022-02-16,43.08,43.08,42.22,42.64,2893357.0
2022-02-17,43.08,43.47,42.56,43.39,7597957.0
2022-02-18,43.85,43.85,39.5,43.18,4018280.0
2022-02-21,43.64,48.8,42.82,43.1,5190610.0
2022-02-22,43.74,43.74,43.18,43.38,7953166.0
2022-02-23,43.72,43.72,42.88,43.09,3618230.0
2022-02-24,43.97,44.82,43.22,44.62,17716412.0
2022-02-25,44.62,44.62,43.25,43.62,17738310.0
2022-02-28,43.99,44.21,43.55,43.59,7633640.0
2022-03-02,44.2,45.85,43.81,44.39,10668971.0
2022-03-03,44.85,44.91,43.4,44.4,4136756.0
2022-03-04,44.4,45.52,44.4,44.65,6157186.0
2022-03-07,45.25,46.2,45.25,46.0,15897977.0
2022-03-08,46.4,46.47,45.18,45.93,13287272.0
2022-03-09,47.6,47.6,45.4,45.66,10485976.0
2022-03-10,43.65,46.8,43.65,44.8,14283266.0
2022-03-11,45.88,45.88,44.84,45.28,6661457.0
2022-03-14,45.88,45.88,44.52,44.64,7715591.0
2022-03-15,44.98,45.45,44.01,44.33,11720963.0
2022-03-16,44.5,44.5,43.38,44.23,5549265.0
2022-03-17,44.78,46.25,43.7,44.23,5724381.0
2022-03-21,44.82,45.48,43.77,44.14,6197187.0
2022-03-22,44.96,44.96,44.16,44.32,5629993.0
2022-03-23,44.87,44.87,43.72,44.42,8813459.0
2022-03-24,45.27,45.27,44.38,44.58,4797761.0
2022-03-25,45.42,45.61,44.0,44.79,6162885.0
2022-03-28,45.24,45.24,44.27,44.49,8152023.0
2022-03-29,44.84,44.84,43.88,44.18,2477168.0
2022-03-30,44.64,44.64,43.88,44.11,2699794.0
2022-03-31,44.48,44.48,43.99,44.12,4088541.0
2022-04-01,43.15,44.9,43.15,44.57,5340702.0
2022-04-04,44.72,44.72,43.88,44.22,5545988.0
2022-04-05,44.58,44.58,44.0,44.31,5064068.0
2022-04-06,44.58,44.58,44.13,44.49,2283303.0
2022-04-07,44.78,44.78,41.8,44.64,2527931.0
2022-04-08,45.08,45.08,44.43,44.66,1741546.0
2022-04-11,45.18,45.28,44.56,45.22,3623747.0
2022-04-12,44.88,45.58,44.88,45.2,4327749.0
2022-04-13,46.3,46.3,44.3,45.73,4390115.0
2022-04-18,45.8,46.29,45.8,46.19,7062605.0
2022-04-19,46.32,46.32,45.63,45.98,4461027.0
2022-04-20,47.49,47.49,44.93,45.22,7594980.0
2022-04-21,47.6,47.6,45.09,45.21,2159625.0
2022-04-22,45.84,45.84,45.08,45.33,2997378.0
2022-04-25,45.26,45.26,44.58,44.9,2842944.0
2022-04-26,44.84,44.84,44.44,44.64,2256816.0
2022-04-27,45.24,45.24,44.36,44.43,2670040.0
2022-04-28,44.3,50.2,44.05,44.33,2871800.0
2022-04-29,52.45,52.45,38.6,44.79,4709439.0
2022-05-02,44.47,44.59,44.1,44.16,4645318.0
2022-05-04,43.98,45.65,43.66,43.98,4326871.0
2022-05-05,45.4,45.45,44.11,44.54,3874078.0
2022-05-06,46.82,46.82,42.75,44.55,4765135.0
2022-05-09,44.89,45.25,44.01,44.42,4932473.0
2022-05-10,44.79,45.13,44.13,44.26,4762974.0
2022-05-11,44.14,44.16,43.18,44.06,2945267.0
2022-05-12,43.78,44.54,43.65,44.02,2448614.0
2022-05-13,43.84,45.0,43.15,43.42,6268886.0
2022-05-16,43.58,43.58,43.0,43.14,4339791.0
2022-05-17,43.78,44.41,43.31,43.54,2297137.0
2022-05-18,43.52,43.52,43.01,43.39,2809408.0
2022-05-19,43.65,43.74,43.15,43.59,3101059.0
2022-05-20,43.35,43.98,43.35,43.92,1442916.0
2022-05-23,44.44,44.44,44.05,44.25,2140814.0
2022-05-24,44.38,44.38,43.78,44.07,1742995.0
2022-05-25,44.34,44.34,44.03,44.12,1725313.0
2022-05-26,45.11,45.11,43.77,43.87,2024163.0
2022-05-27,44.28,44.28,43.87,44.08,1370322.0
2022-05-30,44.28,44.38,43.88,43.98,2903680.0
2022-05-31,44.09,44.09,43.83,43.95,1265893.0
2022-06-01,43.88,43.88,43.47,43.52,2238485.0
2022-06-02,44.3,44.3,43.58,43.98,1975583.0
2022-06-03,44.56,44.8,44.14,44.15,1767101.0
2022-06-06,44.95,44.95,43.3,44.0,2337622.0
2022-06-07,44.18,44.18,43.59,43.86,1464099.0
2022-06-08,44.06,44.06,43.74,43.88,1227638.0
2022-06-09,44.14,44.14,43.68,43.95,1208810.0
2022-06-10,44.15,44.15,43.75,43.81,1088837.0
2022-06-13,44.69,44.69,44.11,44.19,5159270.0
2022-06-14,44.08,44.08,43.36,43.57,2820945.0
2022-06-15,43.67,43.74,43.23,43.61,2091201.0
2022-06-16,43.95,43.95,43.53,43.72,2170013.0
2022-06-17,44.14,44.14,43.86,44.08,2039843.0
2022-06-20,44.06,44.06,43.74,43.82,2583650.0
2022-06-21,44.08,44.08,43.62,43.78,3212517.0
2022-06-22,43.78,43.79,43.46,43.68,1702697.0
2022-06-23,43.98,43.98,43.61,43.76,2159396.0
2022-06-24,44.6,44.6,43.21,43.66,2826062.0
2022-06-27,43.97,43.97,43.62,43.87,3381786.0
2022-06-28,43.8,43.93,43.56,43.8,2173213.0
2022-06-29,44.04,44.04,43.55,43.76,1372013.0
2022-06-30,44.6,44.6,43.54,43.76,2636944.0
2022-07-01,43.87,44.9,43.8,44.36,9083077.0
2022-07-04,45.05,45.05,41.7,44.68,3696528.0
2022-07-05,45.38,45.38,44.38,44.8,2799231.0
2022-07-06,44.44,44.59,42.1,44.17,4719772.0
2022-07-07,44.9,44.9,43.18,43.59,7871542.0
2022-07-08,43.94,44.15,43.12,43.57,1646453.0
2022-07-11,44.09,44.4,43.27,43.56,2527931.0
2022-07-12,43.81,43.9,43.29,43.62,1798323.0
2022-07-13,43.86,43.9,43.21,43.44,2941632.0
2022-07-14,43.95,43.95,43.04,43.3,1465436.0
2022-07-15,43.69,43.7,42.86,43.11,1889788.0
2022-07-18,43.65,43.7,42.6,43.55,2649053.0
2022-07-19,43.75,43.75,43.05,43.39,2033750.0
2022-07-20,43.64,43.64,43.02,43.39,2727549.0
2022-07-21,43.32,43.32,42.95,43.03,2536379.0
2022-07-22,43.6,43.84,43.22,43.69,2743924.0
2022-07-25,44.29,44.29,43.31,43.6,7496829.0
2022-07-26,43.89,43.89,43.31,43.46,4145903.0
2022-07-27,45.46,45.46,43.17,43.57,2639482.0
2022-07-28,44.07,44.08,43.64,44.02,1860323.0
2022-07-29,38.3,44.49,38.3,44.06,3799713.0
2022-08-01,44.44,44.44,43.83,44.22,3672587.0
2022-08-02,44.49,44.51,44.01,44.18,2404168.0
2022-08-03,44.18,44.27,43.91,44.19,2213499.0
2022-08-04,44.48,44.83,43.93,44.66,3192387.0
2022-08-05,44.96,44.99,44.37,44.72,2218906.0
2022-08-08,44.85,44.91,44.41,44.62,2202250.0
2022-08-10,44.99,45.2,44.61,44.87,4815067.0
2022-08-11,44.87,44.95,44.55,44.91,2336609.0
2022-08-12,45.12,45.12,44.68,45.0,5335944.0
2022-08-16,45.16,45.16,44.62,44.65,3136639.0
2022-08-17,44.84,44.98,44.28,44.6,2652324.0
2022-08-18,44.73,44.73,44.35,44.55,2115125.0
2022-08-19,44.53,44.53,44.26,44.42,1588648.0
2022-08-22,44.11,44.59,43.95,43.99,2676258.0
2022-08-23,44.29,44.29,43.91,44.15,2369737.0
2022-08-24,44.46,44.46,44.06,44.33,2177388.0
2022-08-25,44.69,44.75,44.25,44.64,2207667.0
2022-08-26,44.69,44.75,44.28,44.3,2403321.0
2022-08-29,44.47,44.47,41.6,43.85,3588407.0
2022-08-30,43.82,44.22,43.42,43.9,2717694.0
2022-09-01,43.58,43.7,43.23,43.35,5014410.0
2022-09-02,43.53,43.53,43.11,43.37,2592415.0
2022-09-05,43.7,43.79,43.24,43.54,2440863.0
2022-09-06,43.84,43.89,43.37,43.5,3275297.0
2022-09-07,43.45,43.46,43.15,43.41,2873935.0
2022-09-08,43.74,43.77,43.24,43.6,1485287.0
2022-09-09,43.76,43.85,43.31,43.66,1677773.0
2022-09-12,48.0,48.0,43.32,43.6,3909092.0
2022-09-13,43.58,43.58,43.32,43.5,2180910.0
2022-09-14,43.49,43.51,43.15,43.18,2513567.0
2022-09-15,43.27,43.28,42.86,43.05,7819360.0
2022-09-16,42.94,43.2,42.21,42.26,5272807.0
2022-09-19,42.74,42.81,42.2,42.34,6588351.0
2022-09-20,42.78,42.79,42.35,42.49,3125863.0
2022-09-21,42.69,42.72,42.24,42.7,2429479.0
2022-09-22,42.8,43.04,42.31,42.99,4283507.0
2022-09-23,43.29,43.29,42.71,42.82,2355990.0
2022-09-26,42.87,42.87,42.27,42.64,2868912.0
2022-09-27,42.89,42.89,42.31,42.42,2785259.0
2022-09-28,42.12,42.62,42.12,42.3,1773850.0
2022-09-29,42.55,43.16,42.51,42.9,3330240.0
2022-09-30,43.28,43.35,42.74,43.16,2654545.0
2022-10-03,43.44,43.44,43.11,43.14,5004653.0
2022-10-04,43.49,44.15,43.48,44.05,5484223.0
2022-10-06,44.58,45.0,44.12,44.28,4782138.0
2022-10-07,44.3,44.54,44.12,44.49,3208191.0
2022-10-10,44.4,44.63,43.7,43.73,3643998.0
2022-10-11,44.47,44.48,43.35,43.42,2163274.0
2022-10-12,43.22,43.68,42.99,43.59,2786712.0
2022-10-13,43.83,43.84,43.42,43.69,1957699.0
2022-10-14,43.67,43.67,43.22,43.26,3757412.0
2022-10-17,43.38,45.6,43.01,43.24,2052094.0
2022-10-18,43.22,43.28,43.01,43.12,2538797.0
2022-10-19,43.74,43.87,42.87,43.19,3615050.0
2022-10-20,43.18,44.37,42.87,43.04,1937458.0
2022-10-21,43.08,43.21,42.7,42.73,5502791.0
2022-10-24,44.36,44.37,43.07,43.48,3722883.0
2022-10-25,43.68,43.91,43.13,43.17,2942957.0
2022-10-27,37.6,43.74,37.6,43.46,1876894.0
2022-10-28,43.74,43.74,43.07,43.28,1956627.0
2022-10-31,43.38,43.38,43.01,43.23,2202954.0
2022-11-01,43.49,43.49,42.96,43.31,2306222.0
2022-11-02,43.5,43.54,43.07,43.5,2114895.0
2022-11-03,43.48,43.48,42.95,43.0,3452084.0
2022-11-04,43.46,43.46,43.02,43.29,1894906.0
2022-11-07,43.45,44.09,43.45,43.74,3090161.0
2022-11-09,43.95,44.43,43.87,43.97,5393284.0
2022-11-10,44.29,44.29,43.76,44.18,2125679.0
2022-11-11,44.56,44.82,44.24,44.76,5847659.0
2022-11-14,44.85,44.95,44.51,44.82,4678336.0
2022-11-15,45.27,45.28,44.65,45.15,6931363.0
2022-11-16,45.29,45.44,44.91,45.35,4986732.0
2022-11-17,45.33,45.41,45.03,45.17,2284358.0
2022-11-18,45.27,45.31,44.92,45.26,2779991.0
2022-11-21,45.16,45.16,44.62,44.8,1910550.0
2022-11-22,45.04,45.11,44.62,44.9,1808560.0
2022-11-23,45.1,45.1,44.63,44.77,1970626.0
2022-11-24,45.28,45.28,44.76,45.04,4073101.0
2022-11-25,45.3,45.31,44.88,44.98,1910506.0
2022-11-28,45.26,45.26,44.71,45.12,3409844.0
2022-11-29,45.06,45.15,44.54,45.1,2438774.0
2022-11-30,45.21,45.26,45.0,45.1,1984004.0
2022-12-01,45.51,45.56,45.16,45.37,3594010.0
2022-12-02,46.03,46.03,45.52,45.88,4102571.0
2022-12-05,46.3,46.3,45.81,46.09,3622012.0
2022-12-06,45.97,45.97,45.52,45.82,2339290.0
2022-12-07,46.08,46.08,45.58,45.84,1502324.0
2022-12-08,46.21,46.21,45.68,46.06,1618610.0
