date,open,high,low,close,volume
2024-10-24,7.64,7.84,7.64,7.83,150448.0
2024-10-25,7.89,8.6,7.59,7.78,174075.0
2024-10-28,7.77,7.99,7.62,7.82,163030.0
2024-10-29,7.95,8.2,7.7,7.88,343690.0
2024-10-30,8.09,8.13,7.9,7.95,414774.0
2024-10-31,8.07,8.09,7.85,7.95,150502.0
2024-11-01,7.99,8.25,7.8,7.92,350569.0
2024-11-04,8.0,8.04,7.8,7.81,189412.0
2024-11-05,7.89,7.89,7.71,7.83,402337.0
2024-11-06,7.9,7.9,7.68,7.79,2075048.0
2024-11-07,7.75,7.78,7.57,7.64,182763.0
2024-11-08,7.75,7.77,7.67,7.72,197837.0
2024-11-11,7.75,7.85,7.6,7.66,134670.0
2024-11-12,7.5,7.7,7.46,7.47,166400.0
2024-11-13,7.55,7.55,7.41,7.49,213330.0
2024-11-14,7.65,7.65,7.34,7.38,142335.0
2024-11-18,7.38,7.53,7.37,7.47,151617.0
2024-11-19,7.59,7.59,7.5,7.56,125688.0
2024-11-21,7.7,7.7,7.41,7.66,263236.0
2024-11-22,7.71,7.76,7.3,7.74,225862.0
2024-11-25,7.79,7.79,7.49,7.62,214672.0
2024-11-26,7.47,7.61,7.4,7.52,171519.0
2024-11-27,7.61,7.63,7.5,7.61,101875.0
2024-11-28,7.6,7.62,7.45,7.61,80110.0
2024-11-29,7.55,7.7,7.55,7.63,74137.0
2024-12-02,7.62,7.62,7.49,7.58,88690.0
2024-12-03,7.51,7.7,7.51,7.6,152703.0
2024-12-04,7.68,7.68,7.51,7.6,109327.0
2024-12-05,7.55,7.68,7.52,7.6,79729.0
2024-12-06,7.52,7.73,7.52,7.61,99111.0
2024-12-09,7.46,7.95,7.46,7.62,72394.0
2024-12-10,7.74,7.74,7.63,7.67,85297.0
2024-12-11,7.52,7.83,7.52,7.73,68331.0
2024-12-12,7.82,7.82,7.65,7.77,111496.0
2024-12-13,7.77,7.77,7.67,7.69,48631.0
2024-12-16,7.84,8.16,7.6,7.65,95639.0
2024-12-17,7.55,7.75,7.55,7.61,52403.0
2024-12-18,7.75,7.75,7.53,7.62,79127.0
2024-12-19,7.59,7.6,7.45,7.57,64461.0
2024-12-20,7.52,7.56,7.46,7.5,67666.0
2024-12-23,7.65,7.77,7.47,7.58,102578.0
2024-12-24,7.67,7.67,7.5,7.57,63156.0
2024-12-26,7.42,7.67,7.42,7.6,63742.0
2024-12-27,7.7,7.7,7.51,7.62,76673.0
2024-12-30,7.68,7.75,7.54,7.57,42318.0
2024-12-31,7.67,7.67,7.5,7.57,53494.0
2025-01-01,7.65,7.66,7.52,7.61,47459.0
2025-01-02,7.73,7.73,7.56,7.64,53148.0
2025-01-03,7.76,7.78,7.64,7.71,92203.0
2025-01-06,7.76,7.8,7.61,7.67,85182.0
2025-01-07,7.61,7.77,7.61,7.69,103641.0
2025-01-08,7.78,7.78,7.6,7.68,157514.0
2025-01-09,7.68,7.78,7.67,7.73,131469.0
2025-01-10,7.8,7.8,7.69,7.75,110299.0
2025-01-13,7.76,7.86,7.71,7.79,130286.0
2025-01-14,7.82,7.82,7.7,7.75,52003.0
2025-01-15,7.83,7.83,7.68,7.78,65738.0
2025-01-16,7.88,7.88,7.71,7.83,80498.0
2025-01-17,7.9,7.91,7.77,7.89,128410.0
2025-01-20,7.94,7.94,7.81,7.86,111552.0
2025-01-21,7.98,7.98,7.73,7.93,122937.0
2025-01-22,8.0,8.05,7.93,7.95,185369.0
2025-01-23,8.05,8.05,7.88,7.97,215846.0
2025-01-24,8.08,8.09,7.91,8.05,240202.0
2025-01-27,8.07,8.1,7.95,8.03,236071.0
2025-01-28,8.11,8.14,7.92,7.99,108349.0
2025-01-29,7.99,8.15,7.95,8.03,80827.0
2025-01-30,8.15,8.15,8.03,8.06,102259.0
2025-01-31,8.19,8.22,8.07,8.19,251771.0
2025-02-01,8.2,8.32,8.17,8.23,293267.0
2025-02-03,8.24,8.3,8.16,8.26,166239.0
2025-02-04,8.27,8.39,8.23,8.33,271072.0
2025-02-05,8.34,8.47,8.34,8.45,216901.0
2025-02-06,8.46,8.95,8.3,8.38,291380.0
2025-02-07,8.41,8.52,8.4,8.47,171549.0
2025-02-10,8.57,8.59,8.45,8.52,314113.0
2025-02-11,8.55,8.69,8.41,8.49,383840.0
2025-02-12,8.51,8.54,8.4,8.49,288936.0
2025-02-13,8.52,8.65,8.51,8.53,206690.0
2025-02-14,8.64,8.64,8.53,8.57,126973.0
2025-02-17,8.4,8.59,8.4,8.5,304277.0
2025-02-18,8.51,8.59,8.51,8.55,195767.0
2025-02-19,8.56,8.62,8.55,8.6,183760.0
