date,open,high,low,close,volume
2021-05-12,7.0,7.25,6.9,7.05,456621.0
2021-05-14,7.15,7.4,6.95,7.15,345936.0
2021-05-17,7.3,7.35,6.95,7.1,160846.0
2021-05-18,7.1,7.3,7.0,7.0,97901.0
2021-05-19,7.0,7.15,7.0,7.0,115805.0
2021-05-20,7.15,7.15,6.95,7.05,117532.0
2021-05-21,7.15,7.15,6.8,7.0,89956.0
2021-05-24,7.1,7.35,7.05,7.35,179067.0
2021-05-25,7.65,7.7,7.4,7.7,110864.0
2021-05-26,7.7,8.05,7.4,8.05,452760.0
2021-05-27,8.45,8.45,8.25,8.45,143242.0
2021-05-28,8.85,8.85,8.15,8.85,751384.0
2021-05-31,9.25,9.25,9.1,9.25,116483.0
2021-06-01,9.7,9.7,9.15,9.7,743387.0
2021-06-02,10.15,10.15,10.0,10.15,209194.0
2021-06-03,10.65,10.65,10.35,10.65,865625.0
2021-06-04,11.0,11.15,11.0,11.15,195778.0
2021-06-07,11.7,11.7,11.7,11.7,31264.0
2021-06-08,12.25,12.25,12.25,12.25,98898.0
2021-06-09,12.85,12.85,12.85,12.85,45505.0
2021-06-10,13.45,13.45,13.45,13.45,33142.0
2021-06-11,14.1,14.1,14.1,14.1,60391.0
2021-06-14,14.8,14.8,13.4,14.8,1616965.0
2021-06-15,15.5,15.5,15.1,15.5,134409.0
2021-06-16,16.25,16.25,16.25,16.25,69613.0
2021-06-17,17.05,17.05,17.05,17.05,77772.0
2021-06-18,17.9,17.9,16.35,17.9,1316012.0
2021-06-21,18.75,18.75,18.75,18.75,126612.0
2021-06-22,19.65,19.65,19.65,19.65,39620.0
2021-06-23,20.6,20.6,20.6,20.6,51100.0
2021-06-24,21.6,21.6,21.6,21.6,131420.0
2021-06-25,22.55,22.65,21.6,22.65,645544.0
2021-06-28,23.75,23.75,23.75,23.75,68212.0
2021-06-29,24.9,24.9,24.9,24.9,50961.0
2021-06-30,26.1,26.1,26.1,26.1,41245.0
2021-07-01,27.4,27.4,27.4,27.4,88000.0
2021-07-02,28.75,28.75,28.75,28.75,79334.0
2021-07-05,30.15,30.15,30.15,30.15,113864.0
2021-07-06,31.65,31.65,28.65,29.5,2859436.0
2021-07-07,28.05,28.5,28.05,28.05,365517.0
2021-07-08,26.65,26.65,26.65,26.65,137174.0
2021-07-09,25.35,27.7,25.35,25.35,4466466.0
2021-07-12,24.45,26.3,24.1,24.5,3752590.0
2021-07-13,24.4,25.7,23.3,23.3,1706581.0
2021-07-14,22.4,24.45,22.15,24.1,1741856.0
2021-07-15,25.1,25.1,22.9,23.0,1350121.0
2021-07-16,22.6,23.4,21.85,21.85,843783.0
2021-07-19,21.5,21.85,20.8,20.85,879561.0
2021-07-20,21.75,21.85,19.85,21.85,319777.0
2021-07-22,22.9,22.9,22.9,22.9,136145.0
2021-07-23,24.0,24.0,24.0,24.0,153544.0
2021-07-26,25.2,25.2,22.8,24.4,946307.0
2021-07-27,24.85,24.85,23.2,23.2,265306.0
2021-07-28,22.1,22.75,22.05,22.05,116663.0
2021-07-29,20.95,20.95,20.95,20.95,116263.0
2021-07-30,20.0,21.95,20.0,21.85,456517.0
2021-08-02,22.3,22.3,20.8,21.1,404116.0
2021-08-03,21.0,21.5,20.05,20.05,240071.0
2021-08-04,19.05,20.2,19.05,19.05,276002.0
2021-08-05,18.1,18.75,18.1,18.1,169371.0
2021-08-06,18.85,19.0,17.35,19.0,208402.0
2021-08-09,19.45,19.5,18.05,18.4,320627.0
2021-08-10,18.2,18.7,17.5,17.5,227738.0
2021-08-11,16.75,17.6,16.65,16.65,130334.0
2021-08-12,15.85,16.85,15.85,15.95,541792.0
2021-08-13,15.9,15.9,15.2,15.2,158446.0
2021-08-16,14.45,14.45,14.45,14.45,96769.0
2021-08-17,13.75,13.75,13.75,13.75,86958.0
2021-08-18,13.1,13.1,13.1,13.1,209173.0
2021-08-20,12.45,13.75,12.45,13.75,508735.0
2021-08-23,14.4,14.4,13.75,14.4,337906.0
2021-08-24,14.7,15.1,13.75,14.95,190097.0
2021-08-25,15.25,15.65,15.0,15.65,203529.0
2021-08-26,16.35,16.4,16.0,16.4,109468.0
2021-08-27,17.2,17.2,15.6,16.5,369968.0
2021-08-30,16.35,16.5,15.7,15.7,150547.0
2021-08-31,15.0,15.4,14.95,14.95,198446.0
2021-09-01,14.35,14.7,14.25,14.25,154182.0
2021-09-02,14.2,14.95,13.7,14.95,172820.0
2021-09-03,15.35,15.4,14.25,14.25,305931.0
2021-09-06,14.25,14.95,14.05,14.95,124404.0
2021-09-07,15.5,15.65,15.1,15.65,132720.0
2021-09-08,16.4,16.4,16.4,16.4,150018.0
2021-09-09,16.9,16.9,15.65,16.05,187253.0
2021-09-13,15.3,16.4,15.25,15.45,162585.0
2021-09-14,15.05,15.55,14.75,15.15,109571.0
2021-09-15,15.4,15.9,15.0,15.9,137812.0
2021-09-16,16.5,16.5,15.15,16.3,213205.0
