date,open,high,low,close,volume
2021-05-12,180.15,198.45,178.65,192.55,6069163.0
2021-05-14,197.5,209.0,185.65,194.7,4070447.0
2021-05-17,205.0,215.95,196.5,199.85,2397525.0
2021-05-18,199.0,201.5,186.0,186.9,1149364.0
2021-05-19,187.0,195.9,176.1,189.85,2445735.0
2021-05-20,192.0,197.0,188.3,191.1,2017802.0
2021-05-21,204.0,208.0,198.0,199.5,2303610.0
2021-05-24,201.95,204.0,196.5,197.7,1287429.0
2021-05-25,198.0,199.8,190.05,191.85,744265.0
2021-05-26,191.95,196.0,187.45,189.2,552066.0
2021-05-27,190.0,192.2,185.05,186.25,391559.0
2021-05-28,186.95,191.3,183.0,184.3,319819.0
2021-05-31,185.6,186.65,181.05,182.05,319071.0
2021-06-01,182.3,183.0,172.25,176.3,467999.0
2021-06-02,176.0,194.0,175.15,192.65,1151345.0
2021-06-03,193.65,194.4,187.25,189.2,566764.0
2021-06-04,189.3,193.5,189.3,190.7,565874.0
2021-06-07,191.0,191.6,185.65,186.35,513460.0
2021-06-08,187.25,189.0,183.2,184.05,257091.0
2021-06-09,184.5,192.75,180.6,183.6,538833.0
2021-06-10,185.0,186.9,177.65,182.65,275740.0
2021-06-11,185.4,190.35,183.6,186.9,366421.0
2021-06-14,188.4,188.4,180.2,183.0,274046.0
2021-06-15,185.0,185.2,182.0,182.35,163906.0
2021-06-16,182.85,187.0,179.6,180.8,229901.0
2021-06-17,179.6,183.0,176.55,179.0,160133.0
2021-06-18,181.15,182.0,172.0,175.65,260633.0
2021-06-21,174.0,179.7,171.1,173.75,187822.0
2021-06-22,175.45,179.0,172.1,172.45,295430.0
2021-06-23,174.0,178.0,171.3,172.9,289371.0
2021-06-24,173.65,174.6,171.3,172.6,94235.0
2021-06-25,172.6,179.9,172.6,175.25,251304.0
2021-06-28,177.9,185.2,176.2,184.4,500971.0
2021-06-29,185.9,186.0,181.05,183.3,203121.0
2021-06-30,184.7,191.9,182.5,187.3,864923.0
2021-07-01,188.4,190.0,182.0,183.2,150711.0
2021-07-02,184.7,186.75,181.05,182.2,127726.0
2021-07-05,183.65,187.65,183.0,184.35,155917.0
2021-07-06,184.35,187.8,181.05,181.7,140109.0
2021-07-07,183.15,194.9,181.55,193.2,893084.0
2021-07-08,194.7,198.5,189.0,191.0,803542.0
2021-07-09,190.5,193.95,186.6,189.7,164108.0
2021-07-12,191.25,193.7,186.3,187.65,157329.0
2021-07-13,189.15,190.6,182.7,185.5,189969.0
2021-07-14,186.5,186.95,182.0,183.2,129461.0
2021-07-15,184.3,188.0,183.0,183.3,119320.0
2021-07-16,183.5,187.2,183.0,184.0,127921.0
2021-07-19,184.0,184.9,178.05,179.05,204465.0
2021-07-20,179.05,182.95,172.2,175.1,212554.0
2021-07-22,179.0,182.0,176.55,180.75,95596.0
2021-07-23,180.0,185.35,178.75,181.85,191663.0
2021-07-26,182.0,184.95,181.25,184.25,133342.0
2021-07-27,184.25,192.3,184.25,187.3,508812.0
2021-07-28,188.0,188.0,183.0,186.5,109467.0
2021-07-29,186.5,187.85,183.6,184.35,111352.0
2021-07-30,184.0,185.5,183.0,184.1,84157.0
2021-08-02,186.0,194.0,184.5,192.3,372891.0
2021-08-03,194.0,195.0,188.1,192.0,478218.0
2021-08-04,193.5,204.65,192.45,196.85,1653281.0
2021-08-05,197.0,199.9,187.15,188.55,299494.0
2021-08-06,188.8,191.0,183.15,187.5,138597.0
2021-08-09,192.0,194.5,185.8,188.2,196761.0
2021-08-10,189.0,193.0,173.0,185.0,335668.0
2021-08-11,185.5,196.6,176.6,192.1,605758.0
2021-08-12,201.0,224.4,195.0,217.8,5044432.0
2021-08-13,220.0,232.0,216.05,218.4,2445263.0
2021-08-16,218.4,221.7,211.1,217.55,962922.0
2021-08-17,217.55,220.6,185.95,199.0,2020847.0
2021-08-18,198.95,209.5,191.4,206.95,833001.0
2021-08-20,204.4,208.8,195.15,196.15,317613.0
2021-08-23,198.4,202.05,178.2,180.5,597432.0
2021-08-24,180.5,189.75,178.65,184.4,324208.0
2021-08-25,186.3,192.0,183.05,188.0,203512.0
2021-08-26,189.8,190.0,183.3,185.2,147020.0
2021-08-27,186.4,187.55,183.1,184.7,102460.0
2021-08-30,185.1,191.4,184.25,187.0,161472.0
2021-08-31,187.95,188.9,182.65,185.25,104671.0
2021-09-01,186.0,191.75,185.3,187.4,166096.0
2021-09-02,189.55,192.0,187.0,188.1,143680.0
2021-09-03,190.0,194.2,188.25,192.65,206243.0
2021-09-06,193.0,195.45,190.25,191.0,110336.0
2021-09-07,191.85,193.4,185.1,185.85,142069.0
2021-09-08,189.85,206.85,186.6,201.95,1107450.0
2021-09-09,204.9,206.8,198.0,199.7,396657.0
2021-09-13,200.9,201.9,196.0,198.1,216641.0
2021-09-14,199.7,205.0,197.7,198.45,223111.0
2021-09-15,200.0,215.6,198.7,213.45,1076481.0
2021-09-16,213.45,217.7,208.95,212.25,491195.0
2021-09-17,211.7,213.5,201.0,204.85,295386.0
2021-09-20,204.0,206.0,194.15,195.2,298989.0
2021-09-21,195.2,197.0,188.45,195.95,189814.0
2021-09-22,196.9,201.1,196.3,197.55,94330.0
2021-09-23,198.9,203.3,196.0,199.0,163063.0
2021-09-24,200.45,201.95,194.5,195.35,131411.0
2021-09-27,196.8,198.25,191.95,192.85,121192.0
2021-09-28,193.0,202.5,192.35,195.6,149489.0
2021-09-29,192.0,197.7,191.95,193.05,100858.0
2021-09-30,193.15,196.15,193.15,194.05,78966.0
2021-10-01,194.05,194.2,192.0,192.75,79035.0
2021-10-04,192.05,211.0,192.05,207.6,696073.0
2021-10-05,210.0,213.0,203.25,204.55,454927.0
2021-10-06,206.0,208.55,198.3,200.1,283989.0
2021-10-07,201.9,202.5,198.0,198.65,141854.0
