date,open,high,low,close,volume
2021-05-12,44.85,49.7,44.2,47.55,745354.0
2021-05-14,47.95,48.75,45.5,46.4,142421.0
2021-05-17,46.75,47.9,45.0,45.75,138642.0
2021-05-18,46.65,47.2,45.4,45.65,103886.0
2021-05-19,45.9,46.4,45.05,45.45,70969.0
2021-05-20,45.5,47.4,44.9,45.15,137039.0
2021-05-21,45.9,50.4,45.15,49.4,722178.0
2021-05-24,52.0,54.9,51.0,51.3,786249.0
2021-05-25,51.65,53.0,50.0,50.55,262340.0
2021-05-26,50.0,59.8,50.0,56.55,2362225.0
2021-05-27,56.2,61.55,53.95,57.35,970533.0
2021-05-28,57.85,59.6,55.5,56.35,316582.0
2021-05-31,56.95,57.9,55.0,56.05,184409.0
2021-06-01,56.45,56.8,53.1,53.7,138545.0
2021-06-02,54.0,59.7,54.0,58.8,1138154.0
2021-06-03,59.1,63.3,59.1,61.9,2271965.0
2021-06-04,62.6,65.0,61.9,64.65,676558.0
2021-06-07,67.0,77.55,66.5,74.85,3784912.0
2021-06-08,75.4,75.8,70.0,72.35,768937.0
2021-06-09,73.8,73.8,70.0,71.25,410814.0
2021-06-10,72.0,72.7,67.1,68.75,571293.0
2021-06-11,69.25,70.95,65.5,67.1,314140.0
2021-06-14,68.4,68.4,62.55,64.85,242421.0
2021-06-15,66.0,68.3,65.15,66.3,134572.0
2021-06-16,65.15,67.8,64.2,64.65,92952.0
2021-06-17,64.0,66.5,63.85,64.65,84339.0
2021-06-18,65.0,65.25,58.2,60.25,340472.0
2021-06-21,61.7,62.9,59.65,60.25,176723.0
2021-06-22,62.0,64.5,61.5,63.0,254538.0
2021-06-23,63.05,64.6,61.8,62.5,112078.0
2021-06-24,63.5,64.5,61.75,63.5,262879.0
2021-06-25,63.0,64.0,60.8,62.0,120025.0
2021-06-28,63.45,63.9,61.5,63.55,152051.0
2021-06-29,63.6,64.0,61.7,62.05,123363.0
2021-06-30,62.7,64.45,62.3,63.25,174833.0
2021-07-01,63.25,63.95,61.5,62.3,76137.0
2021-07-02,62.95,67.5,62.1,66.0,553807.0
2021-07-05,66.4,69.9,66.0,68.55,551443.0
2021-07-06,68.6,69.45,65.2,66.1,211637.0
2021-07-07,66.0,66.8,64.9,65.2,66910.0
2021-07-08,66.1,66.3,63.9,64.1,76342.0
2021-07-09,64.7,67.0,64.35,65.15,86694.0
2021-07-12,66.5,67.0,64.0,64.45,113949.0
2021-07-13,64.75,68.9,64.3,67.7,331020.0
2021-07-14,67.6,70.0,66.15,69.6,455505.0
2021-07-15,70.5,74.0,68.5,69.4,746405.0
2021-07-16,69.95,70.0,67.1,67.3,112946.0
2021-07-19,66.1,67.9,65.5,65.7,77001.0
2021-07-20,67.0,67.0,62.7,63.15,126470.0
2021-07-22,64.4,65.9,64.0,64.2,86285.0
2021-07-23,65.0,66.95,64.0,64.3,53541.0
2021-07-26,63.2,64.65,61.9,62.6,92085.0
2021-07-27,63.0,64.85,62.8,63.45,84451.0
2021-07-28,64.55,64.6,61.7,61.9,88287.0
2021-07-29,61.85,63.5,61.1,61.4,107205.0
2021-07-30,61.5,63.05,61.4,61.7,58174.0
2021-08-02,64.35,67.4,61.05,64.95,403360.0
2021-08-03,66.8,68.0,64.9,65.2,157641.0
2021-08-04,64.95,65.7,62.55,63.45,96592.0
2021-08-05,63.9,63.9,61.05,62.15,60476.0
2021-08-06,63.0,65.85,62.6,63.6,55315.0
2021-08-09,64.9,65.85,62.1,62.7,58707.0
2021-08-10,62.4,64.0,57.5,59.95,79349.0
2021-08-11,60.0,61.4,52.35,57.65,170580.0
2021-08-12,58.95,63.0,56.1,61.05,75716.0
2021-08-13,60.2,60.9,55.5,56.3,308533.0
2021-08-16,54.55,56.0,53.5,53.75,143017.0
2021-08-17,54.2,56.6,53.2,55.8,125787.0
2021-08-18,56.85,56.85,54.0,54.5,49572.0
2021-08-20,54.0,55.45,51.25,52.7,52063.0
2021-08-23,53.0,53.6,48.05,48.6,110145.0
2021-08-24,48.7,52.1,48.7,50.9,52482.0
2021-08-25,52.3,54.0,51.45,52.3,75647.0
2021-08-26,52.45,53.4,50.4,51.4,42939.0
2021-08-27,52.05,53.45,50.4,52.05,80412.0
2021-08-30,52.85,53.3,52.35,52.9,48424.0
2021-08-31,53.45,53.5,52.6,52.75,40308.0
2021-09-01,53.5,62.5,52.25,59.45,960612.0
2021-09-02,59.8,59.8,55.0,57.3,181200.0
2021-09-03,57.6,59.65,57.05,57.75,124055.0
2021-09-06,57.8,58.9,55.75,56.4,78139.0
2021-09-07,56.55,57.1,54.65,55.15,93271.0
2021-09-08,54.65,55.85,54.3,54.7,58441.0
2021-09-09,54.7,55.8,52.7,53.8,69460.0
2021-09-13,53.1,55.8,53.1,54.65,120069.0
2021-09-14,55.0,56.05,54.7,55.2,57388.0
2021-09-15,55.2,60.9,55.2,57.85,363997.0
2021-09-16,57.85,58.3,56.0,56.35,94722.0
2021-09-17,56.4,58.65,55.4,56.1,60912.0
