date,open,high,low,close,volume
2021-05-12,9.7,9.7,8.95,9.35,1172069.0
2021-05-14,9.5,9.5,9.2,9.25,405749.0
2021-05-17,9.45,9.7,9.3,9.65,994650.0
2021-05-18,9.75,9.8,9.2,9.25,1015760.0
2021-05-19,9.45,9.6,9.15,9.4,641801.0
2021-05-20,9.35,9.5,9.15,9.4,498895.0
2021-05-21,9.5,9.5,9.25,9.3,578022.0
2021-05-24,9.35,9.45,9.3,9.35,420862.0
2021-05-25,9.45,9.45,9.3,9.35,407723.0
2021-05-26,9.5,9.8,9.4,9.8,1493105.0
2021-05-27,10.0,10.25,9.9,10.25,1331426.0
2021-05-28,10.6,10.75,10.35,10.75,1902792.0
2021-05-31,11.25,11.25,11.25,11.25,750758.0
2021-06-01,11.75,11.75,10.7,10.75,3511489.0
2021-06-02,10.7,11.25,10.3,11.25,1961834.0
2021-06-03,11.45,11.65,10.85,11.35,2430377.0
2021-06-04,11.45,11.6,10.9,11.2,1533537.0
2021-06-07,11.45,12.3,11.25,12.3,2920418.0
2021-06-08,12.85,13.5,12.5,13.5,3105618.0
2021-06-09,14.3,14.85,14.0,14.85,2127378.0
2021-06-10,15.5,15.55,15.25,15.55,863301.0
2021-06-11,16.3,16.3,15.05,16.3,5811732.0
2021-06-14,16.9,16.9,15.5,15.75,3977077.0
2021-06-15,16.0,16.5,15.8,16.5,753077.0
2021-06-16,17.2,17.3,16.05,17.25,4748949.0
2021-06-17,17.3,18.1,16.8,18.1,1600386.0
2021-06-18,18.7,19.0,17.2,18.9,6634211.0
2021-06-21,18.8,19.8,18.1,19.8,2069456.0
2021-06-22,20.6,20.75,20.4,20.75,595885.0
2021-06-23,21.75,21.75,19.8,20.25,5259251.0
2021-06-24,20.65,20.8,19.25,19.25,1191968.0
2021-06-25,18.3,18.3,18.3,18.3,384225.0
2021-06-28,17.4,17.4,17.4,17.4,263327.0
2021-06-29,16.55,16.55,16.55,16.55,310014.0
2021-06-30,16.0,17.35,15.75,17.35,7738374.0
2021-07-01,17.65,17.85,16.5,16.55,2968002.0
2021-07-02,16.55,17.15,16.55,16.7,1080789.0
2021-07-05,17.15,17.5,16.75,17.5,1869453.0
2021-07-06,17.95,18.35,16.65,17.35,3368378.0
2021-07-07,17.3,17.4,16.7,16.95,1131584.0
2021-07-08,17.25,17.3,16.25,16.8,1096447.0
2021-07-09,17.05,17.2,16.6,16.95,829592.0
2021-07-12,17.1,17.15,16.4,16.7,789381.0
2021-07-13,17.1,17.1,16.55,16.65,767653.0
2021-07-14,16.65,17.45,16.4,16.7,2903437.0
2021-07-15,17.0,17.0,16.55,16.65,633963.0
2021-07-16,16.95,17.35,16.4,16.8,1607744.0
2021-07-19,16.9,16.9,16.4,16.45,653997.0
2021-07-20,16.45,16.5,15.65,15.7,1087498.0
2021-07-22,15.55,16.25,15.55,15.9,796664.0
2021-07-23,16.15,16.15,15.3,15.35,570498.0
2021-07-26,15.4,15.45,14.75,14.85,740840.0
2021-07-27,14.85,15.55,14.85,15.55,812762.0
2021-07-28,16.2,16.2,15.35,15.7,857318.0
2021-07-29,16.0,16.0,15.3,15.5,460346.0
2021-07-30,15.6,16.1,15.35,15.65,520926.0
2021-08-02,15.85,16.0,15.3,15.4,538979.0
2021-08-03,15.45,15.7,15.3,15.45,491787.0
2021-08-04,15.85,15.85,14.8,14.95,467578.0
2021-08-05,15.25,15.25,14.25,14.35,664792.0
2021-08-06,14.05,14.55,14.05,14.15,544937.0
2021-08-09,14.8,14.85,14.05,14.35,2106823.0
2021-08-10,14.35,14.35,13.65,13.65,627893.0
2021-08-11,13.65,13.8,13.0,13.0,733241.0
2021-08-12,12.95,13.65,12.45,13.65,1991792.0
2021-08-13,13.65,14.15,13.1,13.35,889077.0
2021-08-16,13.55,13.8,12.7,12.7,692050.0
2021-08-17,12.6,12.6,12.1,12.15,799845.0
2021-08-18,12.2,12.75,12.2,12.75,654679.0
2021-08-20,12.75,13.35,12.7,12.9,897571.0
2021-08-23,13.05,13.05,12.3,12.3,391352.0
2021-08-24,12.3,12.45,11.85,12.25,496789.0
2021-08-25,12.5,12.85,12.3,12.85,338209.0
2021-08-26,13.35,13.35,12.45,12.7,400634.0
2021-08-27,13.0,13.0,12.4,12.55,267755.0
2021-08-30,12.8,13.15,12.6,13.15,604669.0
2021-08-31,13.15,13.3,12.8,13.0,486170.0
2021-09-01,13.25,13.25,12.8,12.85,316404.0
2021-09-02,12.95,13.15,12.85,12.95,344175.0
2021-09-03,12.9,13.1,12.85,12.9,310511.0
2021-09-06,12.9,12.95,12.3,12.4,1426419.0
2021-09-07,12.7,12.95,12.55,12.9,543874.0
2021-09-08,12.85,12.85,12.6,12.65,264407.0
2021-09-09,12.85,12.85,12.6,12.8,306285.0
2021-09-13,13.0,13.4,12.8,13.4,1007248.0
2021-09-14,14.05,14.05,13.8,14.05,413322.0
2021-09-15,14.55,14.75,14.5,14.75,410158.0
2021-09-16,15.25,15.45,14.5,14.85,2346569.0
