date,open,high,low,close,volume
2021-05-12,2349.99,2349.99,2287.08,2290.92,2053932.0
2021-05-14,2290.87,2343.5,2288.02,2338.04,1388970.0
2021-05-17,2346.05,2355.89,2327.86,2337.45,811243.0
2021-05-18,2362.87,2369.02,2328.3,2335.48,1153722.0
2021-05-19,2321.46,2341.13,2305.72,2321.22,1323590.0
2021-05-20,2321.46,2323.43,2301.79,2305.87,856235.0
2021-05-21,2301.79,2327.51,2301.79,2323.67,771492.0
2021-05-24,2316.54,2321.41,2287.28,2298.39,1194864.0
2021-05-25,2316.54,2331.1,2299.82,2305.77,1098457.0
2021-05-26,2317.28,2331.49,2306.95,2315.56,811095.0
2021-05-27,2314.58,2314.58,2284.97,2288.41,3755182.0
2021-05-28,2295.25,2311.62,2281.48,2283.79,1215325.0
2021-05-31,2287.03,2306.71,2282.26,2301.84,1178704.0
2021-06-01,2308.67,2324.41,2292.54,2319.79,1141451.0
2021-06-02,2317.53,2334.89,2311.62,2320.28,1113091.0
2021-06-03,2330.31,2332.33,2306.71,2324.66,868532.0
2021-06-04,2331.3,2331.3,2295.84,2303.8,1283795.0
2021-06-07,2315.56,2315.56,2292.93,2301.1,1128300.0
2021-06-08,2301.1,2323.43,2297.02,2320.48,1106664.0
2021-06-09,2323.43,2333.22,2307.3,2317.53,1072858.0
2021-06-10,2325.4,2360.76,2316.79,2339.95,1944339.0
2021-06-11,2342.12,2349.54,2321.46,2327.86,1128097.0
2021-06-14,2319.89,2336.31,2298.44,2325.99,1761632.0
2021-06-15,2321.46,2355.89,2321.46,2352.89,1215463.0
2021-06-16,2346.05,2379.35,2344.73,2368.58,2153668.0
2021-06-17,2358.84,2386.29,2347.43,2378.22,1555777.0
2021-06-18,2380.48,2455.93,2365.73,2442.35,3937751.0
2021-06-21,2433.55,2487.7,2426.71,2473.29,2506277.0
2021-06-22,2476.98,2492.57,2441.12,2449.58,1945883.0
2021-06-23,2454.26,2472.95,2418.06,2439.99,1035668.0
2021-06-24,2449.34,2463.9,2433.7,2449.49,759681.0
2021-06-25,2447.37,2449.29,2405.07,2408.66,1112942.0
2021-06-28,2410.09,2424.75,2397.5,2420.02,694906.0
2021-06-29,2414.91,2456.72,2405.07,2451.85,1354397.0
2021-06-30,2451.85,2464.09,2422.78,2430.94,1447245.0
2021-07-01,2443.44,2443.44,2422.78,2437.53,735043.0
2021-07-02,2437.53,2451.99,2411.96,2446.68,860231.0
2021-07-05,2458.19,2472.36,2444.47,2458.24,761700.0
2021-07-06,2449.34,2457.16,2428.68,2432.12,461782.0
2021-07-07,2417.86,2450.13,2405.91,2441.12,623145.0
2021-07-08,2421.99,2429.42,2398.63,2407.58,1114426.0
2021-07-09,2400.15,2424.25,2398.63,2411.42,538094.0
2021-07-12,2412.94,2419.73,2390.32,2404.24,543898.0
2021-07-13,2414.91,2415.45,2390.32,2396.91,994396.0
2021-07-14,2399.96,2401.48,2369.66,2375.42,1377829.0
2021-07-15,2385.4,2385.4,2361.79,2372.96,693792.0
2021-07-16,2380.48,2390.32,2366.71,2377.92,545405.0
2021-07-19,2360.86,2377.53,2359.33,2369.32,463873.0
2021-07-20,2363.76,2419.83,2363.76,2395.14,1061476.0
2021-07-22,2409.99,2467.04,2336.71,2339.31,3546044.0
2021-07-23,2343.1,2352.69,2316.25,2319.59,1517589.0
2021-07-26,2318.76,2321.46,2299.82,2310.35,1311535.0
2021-07-27,2310.35,2320.92,2293.92,2304.15,1656945.0
2021-07-28,2311.62,2329.77,2304.84,2322.84,912373.0
2021-07-29,2322.84,2332.68,2291.95,2296.62,1012663.0
2021-07-30,2301.79,2318.07,2280.15,2295.2,1708251.0
2021-08-02,2303.76,2314.97,2286.64,2294.71,1229936.0
2021-08-03,2291.95,2353.92,2288.11,2347.87,1733476.0
2021-08-04,2347.87,2355.64,2328.89,2338.28,1588974.0
2021-08-05,2351.95,2351.95,2315.56,2319.2,921757.0
2021-08-06,2319.2,2341.87,2319.0,2332.77,1432661.0
2021-08-09,2340.59,2355.89,2336.07,2345.56,921476.0
2021-08-10,2354.91,2354.91,2320.58,2342.91,1061370.0
2021-08-11,2350.97,2355.89,2323.63,2351.41,1300594.0
2021-08-12,2355.89,2374.09,2338.63,2353.23,1226064.0
2021-08-13,2361.79,2370.3,2349.0,2365.23,1033159.0
2021-08-16,2364.74,2397.06,2353.58,2386.78,1146309.0
2021-08-17,2393.27,2446.83,2391.35,2443.24,1921902.0
2021-08-18,2444.42,2459.18,2413.93,2445.45,1545643.0
2021-08-20,2449.34,2587.05,2435.57,2576.63,5779927.0
2021-08-23,2582.13,2629.2,2552.13,2591.13,2163220.0
2021-08-24,2590.99,2614.59,2567.38,2590.0,1482854.0
2021-08-25,2589.02,2622.91,2577.85,2601.81,1746570.0
2021-08-26,2588.04,2653.74,2588.04,2622.86,2117291.0
2021-08-27,2625.42,2646.07,2607.81,2634.22,1176229.0
2021-08-30,2647.65,2661.57,2627.97,2643.81,1168190.0
2021-08-31,2644.01,2692.75,2631.96,2679.62,2535891.0
2021-09-01,2700.17,2729.68,2670.66,2688.27,1775792.0
2021-09-02,2703.13,2764.11,2685.57,2755.31,1946183.0
2021-09-03,2756.44,2762.88,2710.99,2721.52,1561823.0
2021-09-06,2744.44,2778.87,2729.98,2735.19,1444978.0
