date,open,high,low,close,volume
2021-05-12,84.95,86.9,79.7,80.15,997204.0
2021-05-14,81.45,83.0,78.75,79.45,866404.0
2021-05-17,80.05,80.8,75.25,76.15,890236.0
2021-05-18,76.2,87.5,75.1,84.5,5680202.0
2021-05-19,83.75,93.65,82.55,91.15,7254166.0
2021-05-20,91.55,95.2,88.25,89.95,3188434.0
2021-05-21,90.6,92.3,87.8,88.25,960623.0
2021-05-24,89.0,90.45,86.65,87.1,652374.0
2021-05-25,87.4,88.9,86.0,86.15,505420.0
2021-05-26,86.75,92.75,86.4,89.15,2177130.0
2021-05-27,89.85,89.9,86.7,87.15,459797.0
2021-05-28,87.3,91.6,86.2,86.8,821991.0
2021-05-31,87.15,88.35,86.2,86.6,417563.0
2021-06-01,87.45,91.5,84.05,89.7,2171430.0
2021-06-02,89.1,91.2,88.0,88.75,881765.0
2021-06-03,89.3,90.0,88.6,89.25,729553.0
2021-06-04,89.8,96.0,89.2,91.5,3874544.0
2021-06-07,92.2,98.8,92.2,95.9,5411502.0
2021-06-08,96.0,97.7,93.15,95.05,1375107.0
2021-06-09,96.0,102.5,96.0,98.6,7359076.0
2021-06-10,98.4,98.65,94.4,95.4,2420445.0
2021-06-11,96.5,97.5,93.45,93.9,876980.0
2021-06-14,95.9,95.95,90.25,91.4,853768.0
2021-06-15,91.9,93.4,90.5,90.75,575062.0
2021-06-16,91.0,92.6,89.0,89.5,537885.0
2021-06-17,88.15,92.45,87.75,89.5,833291.0
2021-06-18,89.6,90.8,84.5,87.6,484412.0
2021-06-21,85.0,88.4,84.7,87.0,334760.0
2021-06-22,87.8,89.1,86.05,86.4,373414.0
2021-06-23,87.5,88.65,84.65,85.3,477603.0
2021-06-24,87.0,87.0,84.05,84.6,511300.0
2021-06-25,85.05,88.35,84.6,85.05,1150394.0
2021-06-28,85.65,86.35,84.15,84.9,769026.0
2021-06-29,85.0,86.3,83.7,84.3,540633.0
2021-06-30,84.85,85.3,84.0,84.3,369478.0
2021-07-01,84.85,94.2,84.5,88.1,1755645.0
2021-07-02,88.5,89.75,86.2,86.85,419552.0
2021-07-05,87.4,87.75,84.65,84.9,492915.0
2021-07-06,85.3,86.6,83.85,84.2,598126.0
2021-07-07,84.5,85.9,82.8,83.4,496640.0
2021-07-08,83.65,84.55,81.8,82.25,469331.0
2021-07-09,84.4,86.85,83.1,83.75,1379144.0
2021-07-12,84.0,86.25,82.5,84.8,861189.0
2021-07-13,86.7,87.45,84.8,85.2,1061091.0
2021-07-14,85.5,88.3,84.4,86.8,1178716.0
2021-07-15,87.0,87.15,85.0,85.35,313225.0
