date,open,high,low,close,volume
2021-05-12,455.4,488.15,452.2,469.65,432529.0
2021-05-14,474.9,487.85,455.95,461.65,151826.0
2021-05-17,461.7,465.15,451.3,453.6,60803.0
2021-05-18,462.95,463.5,450.5,452.4,53738.0
2021-05-19,453.0,460.55,450.5,451.2,60276.0
2021-05-20,452.0,475.4,446.7,460.35,183367.0
2021-05-21,463.8,468.8,456.05,462.6,88963.0
2021-05-24,465.8,469.45,456.0,460.95,53383.0
2021-05-25,462.2,468.0,455.0,456.95,87041.0
2021-05-26,459.9,473.15,457.5,463.0,149958.0
2021-05-27,465.0,469.2,460.1,463.1,144984.0
2021-05-28,463.5,488.9,463.5,471.75,526755.0
2021-05-31,475.2,476.15,461.0,465.7,129701.0
2021-06-01,466.0,471.9,456.0,457.1,143501.0
2021-06-02,460.0,548.5,456.05,548.5,1819620.0
2021-06-03,556.0,628.85,511.0,516.1,4661728.0
2021-06-04,514.0,619.3,513.0,594.7,5474722.0
2021-06-07,604.4,636.7,575.1,586.8,1963605.0
2021-06-08,591.0,594.1,561.15,565.45,624340.0
2021-06-09,570.55,596.75,553.55,558.0,631764.0
2021-06-10,564.0,592.8,564.0,587.15,717037.0
2021-06-11,590.0,601.4,575.1,578.6,516808.0
2021-06-14,581.0,589.8,558.45,573.0,397797.0
2021-06-15,576.4,592.55,569.0,575.55,346500.0
2021-06-16,577.4,583.15,565.8,568.75,245672.0
2021-06-17,570.0,578.8,555.7,558.45,190641.0
2021-06-18,562.0,599.0,533.35,579.45,1467755.0
2021-06-21,588.75,679.0,587.0,650.65,5077993.0
2021-06-22,663.85,667.9,625.0,628.35,1334826.0
2021-06-23,633.85,641.95,600.55,607.65,631833.0
2021-06-24,611.0,626.0,592.05,594.6,531406.0
2021-06-25,599.0,623.75,596.15,609.75,541378.0
2021-06-28,613.55,637.4,594.1,626.7,762447.0
2021-06-29,625.5,654.9,612.0,614.95,1294791.0
2021-06-30,618.8,623.55,592.5,595.1,458972.0
2021-07-01,596.0,606.7,585.95,590.65,282098.0
2021-07-02,586.35,613.1,586.35,592.6,457892.0
2021-07-05,593.0,611.95,593.0,605.15,369063.0
2021-07-06,608.0,614.95,593.65,596.2,218108.0
2021-07-07,595.0,601.2,590.2,593.05,141000.0
2021-07-08,597.95,605.0,584.2,588.55,188760.0
2021-07-09,591.95,597.7,587.0,592.7,129562.0
2021-07-12,597.5,617.95,592.2,603.25,587567.0
2021-07-13,608.5,618.0,605.7,608.2,362522.0
2021-07-14,610.0,619.0,603.35,607.15,313090.0
2021-07-15,610.0,611.7,600.1,601.55,144179.0
2021-07-16,606.4,607.0,592.0,594.55,180041.0
2021-07-19,592.0,597.1,582.05,585.95,206558.0
2021-07-20,588.9,591.0,567.05,570.75,221272.0
2021-07-22,575.9,588.8,565.25,569.2,262924.0
2021-07-23,574.4,584.9,565.15,579.75,316993.0
2021-07-26,579.75,593.5,576.95,583.4,355075.0
2021-07-27,589.0,590.75,568.65,572.35,252588.0
2021-07-28,575.9,579.7,557.65,565.15,204325.0
2021-07-29,568.9,569.7,557.5,559.55,137716.0
2021-07-30,562.0,589.0,562.0,579.7,512586.0
2021-08-02,584.9,588.0,571.1,573.7,164626.0
2021-08-03,576.05,583.65,565.1,567.3,2234972.0
2021-08-04,572.0,574.3,555.1,562.35,1732579.0
2021-08-05,556.0,565.15,541.1,543.6,261460.0
2021-08-06,544.2,558.8,541.0,542.5,250884.0
2021-08-09,544.0,546.4,526.0,530.15,179911.0
2021-08-10,532.7,546.5,505.8,518.4,630947.0
2021-08-11,508.05,514.95,482.0,490.25,377697.0
2021-08-12,495.0,539.85,490.05,530.8,578403.0
2021-08-13,530.8,539.0,513.15,516.35,197016.0
2021-08-16,518.0,518.0,482.6,498.7,142659.0
2021-08-17,500.0,515.0,491.0,494.2,163802.0
2021-08-18,496.5,507.5,490.0,491.9,121410.0
2021-08-20,483.0,500.0,475.0,479.5,134877.0
2021-08-23,489.0,489.0,461.15,463.7,119725.0
2021-08-24,465.0,476.45,463.5,469.95,94002.0
2021-08-25,473.0,486.55,473.0,482.65,224664.0
2021-08-26,480.2,491.9,476.05,478.8,166308.0
2021-08-27,478.1,516.0,478.0,508.5,376837.0
2021-08-30,506.35,516.9,501.1,504.55,238281.0
2021-08-31,506.0,509.05,493.65,496.1,97080.0
2021-09-01,499.7,506.95,495.65,498.25,110553.0
2021-09-02,500.7,529.4,499.45,513.95,268318.0
2021-09-03,517.6,518.7,503.6,505.85,146618.0
2021-09-06,509.0,513.9,503.0,506.5,92234.0
2021-09-07,509.7,514.15,504.0,506.3,90403.0
2021-09-08,511.35,545.0,508.0,537.65,770914.0
2021-09-09,537.7,549.75,533.3,539.8,338662.0
2021-09-13,538.0,538.0,519.0,520.8,142602.0
2021-09-14,525.0,546.0,518.5,541.1,337016.0
2021-09-15,544.0,548.0,529.85,532.1,175767.0
2021-09-16,535.75,549.0,530.05,532.0,224722.0
2021-09-17,535.0,535.0,515.0,526.3,162486.0
2021-09-20,514.0,525.0,505.1,508.15,98238.0
2021-09-21,508.8,512.3,495.1,504.7,104128.0
2021-09-22,507.0,538.95,505.0,533.3,370033.0
2021-09-23,537.5,546.0,531.55,533.1,245047.0
2021-09-24,534.4,543.0,511.0,512.4,335166.0
2021-09-27,516.0,541.0,515.05,528.5,340841.0
2021-09-28,530.0,531.85,512.8,515.7,183597.0
2021-09-29,512.0,523.0,509.45,515.0,103758.0
2021-09-30,517.9,520.2,509.0,512.5,184336.0
2021-10-01,508.0,514.7,504.0,506.6,94273.0
2021-10-04,507.1,525.5,507.1,520.75,176943.0
2021-10-05,520.0,569.8,519.0,551.85,1320700.0
2021-10-06,553.0,559.7,530.0,531.65,310159.0
2021-10-07,535.85,547.85,530.2,536.8,211608.0
2021-10-08,539.6,539.9,530.0,531.95,128262.0
2021-10-11,533.8,539.85,525.3,527.85,152611.0
