date,open,high,low,close,volume
2026-04-20,170.95,178.05,155.0,174.8,1271.0
2026-04-21,178.2,179.2,172.0,176.65,4731.0
2026-04-22,178.1,194.3,177.0,194.3,16942.0
2026-04-23,213.0,213.7,201.05,213.0,61970.0
2026-04-24,223.7,223.7,192.3,198.85,36761.0
2026-04-27,199.95,208.7,194.75,202.8,10557.0
2026-04-28,204.8,204.8,183.0,187.5,24547.0
2026-04-29,187.5,192.5,180.05,182.9,11509.0
2026-04-30,184.8,189.05,174.35,186.4,9292.0
2026-05-04,191.6,192.48,183.05,184.5,5199.0
2026-05-05,184.0,188.99,180.0,180.68,3963.0
2026-05-06,183.6,183.6,175.25,178.69,7230.0
2026-05-07,180.47,186.1,177.98,180.88,5939.0
2026-05-08,176.0,184.9,176.0,180.43,7666.0
