date,open,high,low,close,volume
2021-05-12,63.25,65.25,63.25,65.06,4500.0
2021-05-14,65.61,65.61,63.76,64.33,5400.0
2021-05-17,64.33,67.16,64.33,66.01,15600.0
2021-05-18,68.75,69.31,67.51,69.27,15600.0
2021-05-19,69.44,72.73,69.44,72.73,11700.0
2021-05-20,76.37,76.37,76.37,76.37,9000.0
2021-05-21,80.18,80.18,80.18,80.18,1800.0
2021-05-24,84.19,84.19,76.25,84.19,33000.0
2021-05-25,88.11,88.4,86.56,88.4,12300.0
2021-05-26,92.81,92.82,87.56,92.82,8700.0
2021-05-27,93.81,97.46,93.81,97.41,14100.0
2021-05-28,102.19,102.28,100.32,102.28,15900.0
2021-05-31,107.19,107.39,97.16,97.16,14100.0
2021-06-01,92.31,92.31,92.31,92.31,5100.0
2021-06-02,87.69,96.92,87.69,96.92,35100.0
2021-06-03,101.56,101.63,95.34,100.22,13800.0
2021-06-04,97.5,103.25,97.5,103.25,9600.0
2021-06-07,108.25,108.25,108.25,108.25,1200.0
2021-06-08,113.66,113.66,113.66,113.66,1200.0
2021-06-09,119.23,119.34,118.66,119.34,21600.0
2021-06-10,125.3,125.3,125.0,125.25,27600.0
2021-06-11,131.51,131.51,131.51,131.51,2400.0
2021-06-14,138.09,138.09,128.75,138.09,21600.0
2021-06-15,144.99,144.99,144.99,144.99,3600.0
2021-06-16,152.23,152.23,152.23,152.23,2400.0
2021-06-17,159.83,159.83,159.83,159.83,1200.0
2021-06-18,151.84,151.84,151.84,151.84,9600.0
2021-06-21,144.25,144.25,144.25,144.25,1200.0
2021-06-22,137.04,137.04,137.04,137.04,1200.0
2021-06-23,130.19,130.19,130.19,130.19,2400.0
2021-06-24,123.69,123.69,123.69,123.69,2400.0
2021-06-25,117.51,117.51,117.51,117.51,1200.0
2021-06-28,111.64,111.64,111.64,111.64,6000.0
2021-06-29,106.06,106.06,106.06,106.06,3600.0
2021-06-30,100.76,111.36,100.76,111.36,78000.0
2021-07-01,116.93,116.93,116.93,116.93,2400.0
2021-07-02,122.76,122.76,122.76,122.76,4800.0
2021-07-05,128.9,128.9,125.0,128.1,36000.0
2021-07-06,122.59,127.08,121.7,121.7,7200.0
2021-07-07,115.64,124.49,115.63,121.25,33600.0
2021-07-08,121.33,123.6,116.25,116.86,31200.0
2021-07-09,116.25,121.75,116.25,121.7,20400.0
2021-07-12,125.99,126.94,116.79,120.53,19200.0
2021-07-13,124.45,124.45,120.01,123.25,12800.0
2021-07-14,121.25,121.25,117.09,117.09,17200.0
2021-07-15,111.31,122.5,111.31,117.6,33200.0
2021-07-16,123.48,123.48,123.48,123.48,34400.0
2021-07-19,129.64,129.64,125.75,129.64,33600.0
2021-07-20,135.71,136.11,125.75,135.1,28000.0
2021-07-22,141.85,141.85,128.35,129.2,35600.0
2021-07-23,130.0,135.0,122.75,133.96,33200.0
2021-07-26,140.63,140.65,135.5,140.65,20400.0
2021-07-27,147.68,147.68,147.68,147.68,3200.0
2021-07-28,155.05,155.05,152.5,155.05,90800.0
2021-07-29,162.8,162.8,161.25,162.8,57600.0
2021-07-30,170.94,170.94,164.75,170.85,112400.0
2021-08-02,179.39,179.39,177.45,179.39,102800.0
2021-08-03,188.35,188.35,170.43,170.43,86000.0
2021-08-04,162.56,167.25,161.91,161.91,22400.0
2021-08-05,153.83,154.53,153.83,153.83,18400.0
2021-08-06,148.3,161.51,148.3,155.18,78000.0
2021-08-09,159.0,162.93,148.34,150.65,58400.0
2021-08-10,149.5,150.0,143.13,143.13,31200.0
2021-08-11,138.5,150.28,135.98,150.15,28000.0
2021-08-12,157.0,157.5,150.5,157.19,21600.0
2021-08-13,163.68,165.0,157.5,163.93,15200.0
2021-08-16,171.23,171.99,162.75,166.1,28000.0
2021-08-17,171.05,171.05,166.1,167.03,10400.0
2021-08-18,171.03,171.03,158.68,160.78,20800.0
2021-08-20,157.5,160.0,152.74,152.74,30000.0
2021-08-23,151.25,159.5,145.11,145.11,22000.0
2021-08-24,145.11,149.75,137.86,148.76,50000.0
2021-08-25,148.76,153.46,147.56,150.93,14000.0
2021-08-26,146.93,157.35,146.93,155.06,12400.0
2021-08-27,157.45,158.65,147.56,153.05,20000.0
2021-08-30,155.5,160.5,153.0,157.54,26400.0
2021-08-31,158.78,164.74,158.25,159.85,29600.0
2021-09-01,160.03,163.13,157.5,160.13,17200.0
2021-09-02,159.75,162.23,156.5,156.76,29200.0
2021-09-03,158.93,158.93,151.14,152.83,24800.0
2021-09-06,160.0,160.45,147.78,157.35,124000.0
2021-09-07,161.0,161.1,149.5,154.1,108800.0
2021-09-08,150.6,161.8,148.0,161.8,137600.0
2021-09-09,166.73,169.88,162.13,169.88,66400.0
2021-09-13,175.5,178.35,175.0,178.35,48800.0
2021-09-14,187.25,187.25,180.75,187.25,74400.0
2021-09-15,196.6,196.6,192.0,196.6,73600.0
2021-09-16,200.0,204.75,196.5,199.5,72000.0
2021-09-17,201.0,201.0,189.53,189.53,43200.0
2021-09-20,180.05,189.4,180.05,183.25,89600.0
2021-09-21,181.5,183.0,174.1,181.48,72000.0
2021-09-22,181.48,182.98,175.5,181.48,22400.0
2021-09-23,181.48,185.88,180.0,184.75,51200.0
2021-09-24,185.0,189.98,181.05,182.68,32000.0
2021-09-27,180.0,184.4,177.5,179.23,40000.0
2021-09-28,179.25,184.28,170.75,178.8,71200.0
2021-09-29,178.5,183.5,173.0,182.33,31200.0
2021-09-30,182.98,184.5,179.13,181.9,18400.0
2021-10-01,175.65,180.0,175.65,178.9,22400.0
2021-10-04,178.5,180.75,174.05,177.5,20800.0
2021-10-05,179.95,180.0,173.0,179.65,44800.0
2021-10-06,183.75,184.0,176.05,180.83,12000.0
2021-10-07,179.5,180.83,177.5,179.33,20800.0
2021-10-08,178.0,179.0,175.0,178.45,17600.0
2021-10-11,174.53,177.48,174.53,175.13,38400.0
2021-10-12,171.63,173.13,171.28,171.7,25600.0
2021-10-13,177.23,177.23,171.5,174.25,14400.0
2021-10-14,179.95,179.95,172.5,172.6,12000.0
2021-10-18,172.6,189.85,172.6,184.28,58400.0
2021-10-19,177.53,183.43,168.5,171.8,93600.0
2021-10-20,160.98,168.85,154.63,158.9,99200.0
2021-10-21,160.0,172.23,160.0,170.18,26800.0
2021-10-22,176.0,176.0,167.5,167.5,11600.0
2021-10-25,167.5,169.5,155.5,162.55,74400.0
2021-10-26,166.75,166.75,156.5,158.38,34800.0
2021-10-27,157.5,157.5,150.28,155.1,43600.0
2021-10-28,155.1,157.0,153.0,156.2,30400.0
2021-10-29,155.05,158.0,155.0,156.03,17600.0
2021-11-01,155.13,161.5,155.13,156.18,26800.0
2021-11-02,158.0,158.5,155.68,157.08,10800.0
2021-11-03,159.73,159.73,156.0,157.95,12000.0
2021-11-04,159.98,159.98,157.5,158.5,8800.0
2021-11-08,158.5,158.5,155.0,155.48,24800.0
2021-11-09,155.68,158.25,155.45,157.15,12000.0
2021-11-10,156.0,156.0,154.5,155.45,38000.0
2021-11-11,148.5,160.0,148.0,158.35,25200.0
2021-11-12,156.63,166.0,156.63,164.55,16400.0
2021-11-15,169.2,169.2,158.08,163.55,13600.0
2021-11-16,163.55,163.55,156.38,157.53,6400.0
2021-11-17,156.3,160.45,156.0,156.23,16400.0
2021-11-18,155.03,158.5,153.65,158.5,12000.0
2021-11-22,158.0,159.8,155.0,155.0,14400.0
2021-11-23,155.28,157.0,155.0,155.05,28800.0
2021-11-24,155.55,158.0,155.05,155.13,10800.0
2021-11-25,155.33,156.23,155.0,155.0,12400.0
2021-11-26,155.03,156.73,155.0,155.0,18400.0
2021-11-29,154.5,154.5,147.5,152.2,60000.0
