date,open,high,low,close,volume
2021-05-12,490.61,505.35,490.61,494.44,53592.0
2021-05-14,492.8,515.61,482.03,488.51,27607.0
2021-05-17,488.24,494.44,474.55,477.42,45797.0
2021-05-18,483.63,517.44,480.11,505.03,902364.0
2021-05-19,507.13,512.88,481.03,485.13,204908.0
2021-05-20,486.41,493.76,475.46,481.12,202894.0
2021-05-21,483.22,494.53,480.52,487.23,109049.0
2021-05-24,490.88,497.36,482.76,493.62,94608.0
2021-05-25,498.27,498.27,484.72,486.78,48074.0
2021-05-26,500.01,500.1,485.5,485.68,121042.0
2021-05-27,487.05,489.06,480.02,482.35,48757.0
2021-05-28,483.67,487.82,476.42,482.99,68244.0
2021-05-31,487.96,505.44,478.52,500.46,266986.0
2021-06-01,500.1,511.05,494.76,498.05,265290.0
2021-06-02,497.36,506.49,496.54,502.24,95108.0
2021-06-03,501.06,509.23,491.16,496.77,78734.0
2021-06-04,499.37,527.57,499.37,503.66,476839.0
2021-06-07,508.59,517.71,504.84,508.72,132298.0
2021-06-08,513.74,527.48,509.45,524.1,658466.0
2021-06-09,533.87,542.49,528.44,532.36,605840.0
2021-06-10,542.99,542.99,534.0,537.47,185608.0
2021-06-11,542.03,542.03,531.13,535.42,201745.0
2021-06-14,541.99,542.76,522.05,538.52,159543.0
2021-06-15,541.3,544.86,535.69,542.22,64976.0
2021-06-16,549.2,558.46,524.74,526.93,228857.0
2021-06-17,522.91,537.52,522.91,532.54,108163.0
2021-06-18,536.56,544.82,517.48,523.87,249821.0
2021-06-21,520.18,537.52,515.84,534.09,61094.0
2021-06-22,538.43,538.43,531.49,534.6,50718.0
2021-06-23,534.87,537.42,520.22,524.74,162015.0
2021-06-24,527.48,529.3,518.81,521.27,44312.0
2021-06-25,529.21,529.21,517.44,521.27,92562.0
2021-06-28,527.93,527.93,511.96,515.61,152583.0
2021-06-29,517.48,526.56,505.85,508.91,99941.0
2021-06-30,509.27,517.12,500.1,503.7,49698.0
2021-07-01,509.86,524.74,500.88,502.88,182987.0
2021-07-02,511.05,513.79,504.02,511.6,30319.0
2021-07-05,516.43,521.86,509.23,519.49,87506.0
2021-07-06,523.74,539.34,519.54,527.98,272059.0
2021-07-07,532.95,534.87,523.14,531.67,105594.0
2021-07-08,527.66,540.94,522.55,531.17,69247.0
2021-07-09,531.17,533.91,515.61,518.81,64079.0
2021-07-12,522.78,537.61,521.55,533.73,102884.0
2021-07-13,537.88,542.9,506.49,540.16,101396.0
2021-07-14,544.31,546.64,527.48,531.67,59065.0
2021-07-15,531.67,542.08,527.48,530.17,78090.0
2021-07-16,530.44,538.38,527.48,530.99,53683.0
2021-07-19,529.21,533.04,522.91,529.35,39022.0
2021-07-20,538.34,538.43,510.09,517.58,58302.0
2021-07-22,536.6,536.6,524.78,531.81,42861.0
2021-07-23,529.53,575.8,529.53,541.85,758897.0
2021-07-26,543.86,563.98,538.43,548.92,316928.0
2021-07-27,556.59,563.98,538.88,553.99,442814.0
2021-07-28,557.55,562.79,549.84,558.82,193366.0
2021-07-29,561.24,621.47,556.95,613.03,2048628.0
2021-07-30,612.35,735.64,602.31,682.98,2689341.0
2021-08-02,675.32,749.24,662.68,729.71,3332057.0
2021-08-03,711.82,728.79,670.75,682.57,415805.0
2021-08-04,679.38,679.38,635.44,641.92,402747.0
2021-08-05,645.11,680.79,638.81,643.15,359300.0
2021-08-06,647.94,648.08,621.57,626.49,161317.0
2021-08-09,632.33,652.5,623.39,627.45,108526.0
2021-08-10,630.96,639.27,611.44,615.04,98770.0
2021-08-11,624.21,624.21,585.7,601.31,139376.0
2021-08-12,604.13,629.69,604.13,618.28,118504.0
2021-08-13,625.08,647.94,624.03,633.47,152093.0
2021-08-16,638.72,656.88,633.98,636.9,103184.0
2021-08-17,637.9,643.33,630.6,636.03,62356.0
2021-08-18,636.03,647.03,634.66,641.92,92152.0
2021-08-20,640.59,675.32,635.76,655.51,572208.0
2021-08-23,660.62,724.32,635.21,716.34,1231072.0
2021-08-24,716.34,721.72,669.25,677.23,298246.0
2021-08-25,677.23,702.69,660.9,668.15,164701.0
2021-08-26,674.86,675.23,654.6,668.65,122126.0
2021-08-27,674.04,706.34,672.35,699.14,554940.0
2021-08-30,734.63,748.32,703.84,715.97,676825.0
2021-08-31,703.61,719.9,694.57,699.23,146741.0
2021-09-01,700.87,710.59,674.77,678.69,157794.0
2021-09-02,689.92,696.58,665.28,672.62,96293.0
2021-09-03,677.0,680.02,654.14,659.94,113302.0
2021-09-06,664.23,675.32,650.36,651.45,101360.0
2021-09-07,656.79,656.79,641.09,645.11,106996.0
2021-09-08,647.94,672.12,645.11,669.11,212738.0
2021-09-09,661.63,670.98,650.68,657.2,77631.0
2021-09-13,660.72,660.72,643.38,645.7,147225.0
2021-09-14,647.85,655.06,634.98,638.77,213711.0
2021-09-15,638.77,665.73,638.58,650.63,208066.0
2021-09-16,655.79,668.02,647.94,654.01,74045.0
2021-09-17,655.24,670.75,648.4,663.82,140576.0
2021-09-20,661.45,670.25,648.9,652.18,68992.0
