date,open,high,low,close,volume
2021-05-12,18.75,18.8,17.2,17.2,163424.0
2021-05-14,17.2,17.5,16.35,16.9,190887.0
2021-05-17,17.2,17.2,16.15,16.2,134882.0
2021-05-18,16.0,16.65,15.8,15.95,143204.0
2021-05-19,15.65,16.5,15.2,16.25,141271.0
2021-05-20,16.8,16.8,15.85,16.05,133739.0
2021-05-21,16.05,16.05,15.45,15.8,128146.0
2021-05-24,16.3,16.3,15.05,15.2,53889.0
2021-05-25,15.45,15.45,14.7,14.9,42642.0
2021-05-26,14.8,15.5,14.8,14.95,52586.0
2021-05-27,15.5,15.65,15.05,15.65,75447.0
2021-05-28,16.35,16.4,14.9,15.15,114817.0
2021-05-31,15.35,15.35,14.6,14.65,40126.0
2021-06-01,14.65,14.95,14.3,14.45,31019.0
2021-06-02,14.55,14.95,14.2,14.6,23951.0
2021-06-03,15.25,15.3,15.05,15.3,49564.0
2021-06-04,15.3,15.65,14.9,15.0,51443.0
2021-06-07,14.5,15.75,14.5,15.4,65857.0
2021-06-08,16.0,16.0,15.15,15.55,79074.0
2021-06-09,15.9,16.05,15.05,15.2,122301.0
2021-06-10,15.5,15.95,15.0,15.7,63289.0
2021-06-11,15.5,16.3,15.4,15.95,159380.0
2021-06-14,16.65,16.65,15.5,15.75,129755.0
2021-06-15,16.5,16.5,15.45,15.95,149014.0
2021-06-16,15.95,16.4,15.4,15.7,330384.0
2021-06-17,15.2,16.2,15.2,15.45,557731.0
2021-06-18,15.9,15.9,14.7,14.85,125793.0
2021-06-21,14.45,15.05,14.3,14.6,242921.0
2021-06-22,15.1,15.3,14.95,15.3,39752.0
2021-06-23,16.05,16.05,14.55,14.6,295214.0
2021-06-24,14.8,15.1,13.9,14.05,432003.0
2021-06-25,14.3,14.45,13.65,14.2,485925.0
2021-06-28,14.4,14.9,14.1,14.9,169410.0
2021-06-29,15.5,15.6,14.65,15.5,506965.0
2021-06-30,15.95,15.95,15.1,15.4,510331.0
2021-07-01,16.1,16.1,15.0,15.2,643055.0
2021-07-02,15.25,15.6,14.45,14.45,440496.0
2021-07-05,13.9,14.55,13.9,14.5,246928.0
2021-07-06,15.0,15.0,14.05,14.35,354095.0
2021-07-07,14.3,14.5,14.0,14.05,74685.0
2021-07-08,13.85,14.5,13.85,13.9,53829.0
2021-07-09,13.9,14.5,13.7,14.2,307186.0
2021-07-12,14.5,14.7,14.0,14.2,242386.0
2021-07-13,14.15,14.65,14.15,14.45,90188.0
2021-07-14,14.55,14.65,14.15,14.35,36097.0
2021-07-15,14.6,14.65,14.2,14.3,78429.0
2021-07-16,14.85,14.85,13.8,14.15,67818.0
2021-07-19,14.5,14.5,14.1,14.2,59694.0
2021-07-20,14.5,14.5,13.7,14.1,47380.0
2021-07-22,14.45,14.45,14.0,14.0,17905.0
2021-07-23,14.5,14.5,13.5,13.8,20183.0
2021-07-26,13.65,14.25,13.15,13.25,41110.0
2021-07-27,13.8,13.8,13.2,13.5,32340.0
2021-07-28,13.45,13.5,13.0,13.45,43223.0
2021-07-29,12.95,14.0,12.95,13.9,28038.0
2021-07-30,14.35,14.35,13.55,13.7,32922.0
2021-08-02,14.05,14.05,13.25,13.65,42564.0
2021-08-03,13.95,13.95,13.55,13.8,17933.0
2021-08-04,14.1,14.1,13.35,13.35,17136.0
2021-08-05,13.35,13.75,12.95,13.2,26471.0
2021-08-06,13.3,13.55,12.9,13.15,16094.0
2021-08-09,13.45,13.45,13.0,13.05,15451.0
2021-08-10,12.75,13.3,11.85,12.25,24720.0
2021-08-11,12.5,12.95,11.05,11.9,36724.0
2021-08-12,12.0,13.05,12.0,12.75,51746.0
2021-08-13,13.25,13.25,12.1,12.65,45438.0
2021-08-16,12.65,12.65,11.55,12.1,25607.0
2021-08-17,12.1,12.3,11.6,11.95,51855.0
2021-08-18,12.15,12.15,11.25,11.45,59522.0
2021-08-20,11.05,12.4,11.05,11.95,31703.0
2021-08-23,12.3,12.55,11.3,11.95,46546.0
2021-08-24,11.95,12.45,11.6,12.15,56530.0
2021-08-25,12.6,12.7,12.0,12.15,33613.0
2021-08-26,12.55,12.55,11.7,12.1,28367.0
2021-08-27,12.45,12.45,11.85,11.9,29894.0
2021-08-30,11.9,12.15,11.7,11.8,18789.0
2021-08-31,11.45,12.15,11.25,11.45,56011.0
2021-09-01,11.9,11.9,11.35,11.7,35917.0
2021-09-02,12.1,12.5,11.55,12.15,48877.0
2021-09-03,12.3,12.85,11.9,12.45,40916.0
2021-09-06,11.85,13.0,11.85,12.5,69133.0
2021-09-07,13.0,13.0,12.15,12.5,51141.0
2021-09-08,12.35,12.65,12.05,12.3,18202.0
2021-09-09,11.9,12.75,11.9,12.4,37464.0
2021-09-13,12.7,12.85,12.25,12.35,28788.0
2021-09-14,13.25,13.25,12.0,12.4,16339.0
2021-09-15,12.5,13.5,12.3,13.3,389430.0
2021-09-16,13.75,14.6,12.8,14.05,119718.0
2021-09-17,14.45,15.45,14.05,14.4,334048.0
