date,open,high,low,close,volume
2026-04-20,11.3,11.3,10.0,10.9,7578.0
2026-04-21,10.95,11.25,10.0,10.2,40956.0
2026-04-22,10.6,10.9,10.15,10.35,17151.0
2026-04-23,10.0,10.65,10.0,10.2,33643.0
2026-04-24,10.4,10.7,10.1,10.3,1915.0
2026-04-27,10.9,10.9,10.15,10.25,12373.0
2026-04-28,9.6,10.8,9.6,10.5,16373.0
2026-04-29,10.1,10.5,10.1,10.4,5913.0
2026-04-30,10.9,10.95,9.9,10.55,64475.0
2026-05-04,9.02,10.95,9.02,10.33,28930.0
2026-05-05,10.7,12.39,10.17,12.39,316749.0
2026-05-06,14.38,14.86,13.65,14.86,1156126.0
2026-05-07,16.21,16.34,15.11,16.16,1052817.0
2026-05-08,15.77,15.85,14.76,15.15,519462.0
