date,open,high,low,close,volume
2021-05-12,77.95,77.95,73.25,74.0,2886.0
2021-05-14,72.5,76.0,72.5,76.0,4300.0
2021-05-17,76.75,76.75,74.5,75.1,1861.0
2021-05-18,75.4,78.45,74.0,75.8,3479.0
2021-05-19,76.75,77.0,74.05,76.9,4627.0
2021-05-20,76.05,76.95,75.8,76.15,9825.0
2021-05-21,75.0,77.75,75.0,76.75,4002.0
2021-05-24,79.0,79.0,74.55,76.95,7985.0
2021-05-25,77.8,77.8,74.05,76.45,3744.0
2021-05-26,74.0,78.0,73.75,74.75,7763.0
2021-05-27,75.95,76.95,74.05,76.15,2965.0
2021-05-28,76.85,76.95,74.5,76.05,2113.0
2021-05-31,75.9,75.9,73.25,75.3,1581.0
2021-06-01,73.05,75.0,73.05,74.1,4588.0
2021-06-02,74.1,74.9,73.35,74.5,2864.0
2021-06-03,72.5,75.0,72.05,74.35,5707.0
2021-06-04,74.55,75.0,73.25,74.0,2637.0
2021-06-07,74.95,76.65,73.2,75.6,4089.0
2021-06-08,75.0,76.45,73.1,75.8,4460.0
2021-06-09,76.0,76.0,74.0,74.3,3918.0
2021-06-10,74.3,76.9,73.9,75.0,7021.0
2021-06-11,76.95,77.0,74.05,76.95,3657.0
2021-06-14,76.95,76.95,74.15,75.7,6833.0
2021-06-15,76.95,76.95,74.25,75.75,4470.0
2021-06-16,74.05,76.5,74.05,75.95,2239.0
2021-06-17,75.95,75.95,74.05,74.65,2373.0
2021-06-18,76.45,76.9,73.15,74.4,3592.0
2021-06-21,72.95,75.9,72.95,74.95,750.0
2021-06-22,73.5,78.0,73.5,76.8,8903.0
2021-06-23,76.8,76.8,75.0,75.0,2362.0
2021-06-24,76.5,76.5,73.65,74.3,1170.0
2021-06-25,75.8,76.9,73.6,73.8,3347.0
2021-06-28,74.8,74.85,72.2,73.15,3836.0
2021-06-29,73.15,74.5,71.25,73.85,3237.0
2021-06-30,74.35,76.0,72.05,75.25,5752.0
2021-07-01,75.45,75.95,73.25,74.0,4798.0
2021-07-02,74.9,75.0,74.0,74.3,839.0
2021-07-05,76.5,76.5,72.6,73.75,9173.0
2021-07-06,73.65,74.75,73.45,73.6,4086.0
2021-07-07,74.5,74.5,72.05,73.25,2343.0
2021-07-08,73.3,74.0,72.5,73.75,2268.0
2021-07-09,73.9,74.0,72.0,72.8,2037.0
2021-07-12,72.05,73.7,72.0,72.7,3362.0
2021-07-13,72.9,73.3,72.0,72.4,1652.0
2021-07-14,72.4,72.95,72.0,72.4,2703.0
2021-07-15,73.75,73.75,70.2,72.05,1883.0
2021-07-16,72.95,73.0,71.75,72.65,3396.0
2021-07-19,72.6,72.95,69.25,72.7,3754.0
2021-07-20,72.8,72.8,70.6,71.75,1175.0
2021-07-22,70.4,74.8,68.5,72.2,6523.0
2021-07-23,72.0,72.0,70.9,70.9,1381.0
2021-07-26,73.9,74.4,69.1,74.15,4698.0
2021-07-27,74.05,74.2,71.45,72.2,3817.0
2021-07-28,70.3,75.6,70.3,73.3,4980.0
2021-07-29,74.4,74.4,70.25,72.45,2864.0
2021-07-30,73.6,74.0,70.7,73.5,3455.0
2021-08-02,73.5,73.5,71.3,72.45,936.0
2021-08-03,70.55,72.7,70.55,70.95,2656.0
2021-08-04,72.65,73.0,71.0,71.0,3219.0
2021-08-05,71.1,71.1,67.45,69.5,1449.0
2021-08-06,69.5,70.95,69.5,70.75,939.0
2021-08-09,70.0,72.0,67.5,68.3,2607.0
2021-08-10,69.75,71.7,66.2,69.2,1866.0
2021-08-11,66.75,69.5,66.15,68.1,1984.0
2021-08-12,65.8,67.95,65.25,67.7,1559.0
2021-08-13,67.9,70.5,67.0,69.15,1647.0
2021-08-16,66.7,72.4,66.7,69.15,2485.0
2021-08-17,70.55,70.55,66.6,69.15,1925.0
2021-08-18,68.0,69.95,67.0,67.5,2365.0
2021-08-20,68.95,69.8,64.55,66.2,2876.0
2021-08-23,68.95,68.95,63.2,63.8,962.0
2021-08-24,61.1,64.95,61.0,62.85,987.0
2021-08-25,61.0,64.45,61.0,62.85,984.0
2021-08-26,63.8,63.8,61.5,62.0,835.0
2021-08-27,63.5,63.5,61.55,62.1,1700.0
2021-08-30,62.1,63.95,62.1,62.2,2535.0
2021-08-31,63.0,65.3,60.15,65.2,3400.0
2021-09-01,66.5,68.45,65.25,68.45,3536.0
2021-09-02,71.75,71.85,71.75,71.85,1027.0
2021-09-03,75.4,75.4,71.85,75.4,13219.0
2021-09-06,79.15,79.15,78.8,79.15,9491.0
2021-09-07,83.1,83.1,82.85,83.1,6673.0
2021-09-08,87.25,87.25,87.25,87.25,6872.0
2021-09-09,91.6,91.6,91.6,91.6,2392.0
2021-09-13,96.15,96.15,96.15,96.15,5093.0
2021-09-14,100.95,100.95,100.95,100.95,6194.0
2021-09-15,105.95,105.95,105.95,105.95,3100.0
2021-09-16,111.2,111.2,111.2,111.2,5967.0
2021-09-17,116.7,116.7,105.65,105.65,11726.0
2021-09-20,100.4,100.4,100.4,100.4,2502.0
2021-09-21,95.4,95.4,95.4,95.4,1093.0
2021-09-22,90.65,90.65,90.65,90.65,1453.0
2021-09-23,86.15,86.15,86.15,86.15,2735.0
2021-09-24,81.85,81.85,81.85,81.85,2119.0
2021-09-27,77.85,85.9,77.8,85.9,9490.0
2021-09-28,89.95,90.15,89.95,90.15,3952.0
2021-09-29,94.65,94.65,94.65,94.65,4489.0
2021-09-30,99.35,99.35,89.95,90.95,15734.0
2021-10-01,92.8,92.8,86.45,89.85,7893.0
2021-10-04,90.0,90.0,86.0,88.0,9342.0
2021-10-05,84.5,91.6,84.5,89.75,5768.0
2021-10-06,89.4,90.0,86.0,86.45,5666.0
2021-10-07,89.05,90.5,86.55,88.8,4038.0
2021-10-08,92.45,92.45,86.25,90.95,7446.0
2021-10-11,92.0,92.0,86.55,88.65,3086.0
2021-10-12,88.65,91.0,84.3,88.5,7803.0
2021-10-13,89.5,89.5,86.1,87.55,3791.0
2021-10-14,88.0,89.95,86.1,87.85,4087.0
2021-10-18,89.9,89.9,84.85,85.4,5252.0
2021-10-19,85.0,89.0,83.05,84.6,3121.0
2021-10-20,85.0,85.0,81.4,82.75,3476.0
2021-10-21,81.5,82.9,81.0,82.3,1712.0
2021-10-22,84.0,86.4,79.1,83.15,5321.0
2021-10-25,87.0,87.3,82.05,84.0,2407.0
2021-10-26,84.0,85.0,81.25,84.0,2438.0
2021-10-27,84.0,84.0,81.5,83.35,1347.0
2021-10-28,82.85,82.85,79.55,79.9,3245.0
2021-10-29,77.9,79.25,76.3,77.85,3726.0
2021-11-01,79.4,79.45,77.0,78.8,1359.0
2021-11-02,78.8,80.0,77.0,79.55,1568.0
2021-11-03,80.0,80.65,77.0,80.2,2156.0
2021-11-04,80.2,83.0,80.2,82.15,571.0
2021-11-08,82.1,84.9,78.2,81.8,2305.0
2021-11-09,81.0,85.0,78.55,83.85,2700.0
2021-11-10,83.95,84.0,80.7,82.8,860.0
2021-11-11,81.0,82.85,80.0,81.35,821.0
2021-11-12,82.5,82.5,79.0,82.2,3318.0
2021-11-15,82.95,82.95,78.15,80.3,3258.0
2021-11-16,80.85,82.5,79.1,80.85,2628.0
2021-11-17,81.85,81.85,79.0,79.4,2860.0
2021-11-18,80.35,81.1,77.3,80.0,2054.0
2021-11-22,80.0,80.0,76.0,76.3,864.0
2021-11-23,76.1,79.5,74.0,77.8,1923.0
2021-11-24,78.0,79.9,78.0,79.5,1838.0
2021-11-25,79.95,81.05,76.55,78.55,3070.0
2021-11-26,78.5,78.55,75.7,76.95,1527.0
2021-11-29,78.0,78.0,73.25,75.8,1705.0
2021-11-30,77.35,77.35,72.15,75.1,1071.0
2021-12-01,74.0,78.85,73.0,75.4,2666.0
2021-12-02,75.4,76.75,72.55,74.95,991.0
2021-12-03,75.5,78.65,73.0,74.65,2303.0
2021-12-06,73.2,78.25,73.2,77.5,2188.0
2021-12-07,80.95,80.95,74.15,77.9,2413.0
2021-12-08,77.9,79.8,75.25,77.85,1340.0
2021-12-09,79.4,79.4,75.5,77.4,805.0
2021-12-10,77.4,78.9,75.1,77.95,1775.0
2021-12-13,77.95,80.3,77.95,78.05,1066.0
2021-12-14,78.05,78.05,76.1,77.95,1119.0
2021-12-15,79.8,79.8,76.55,77.15,1251.0
2021-12-16,77.0,81.0,75.15,80.7,12198.0
2021-12-17,83.15,84.7,79.2,81.85,2523.0
2021-12-20,83.45,85.25,77.8,80.1,7304.0
2021-12-21,81.7,84.0,77.25,80.2,856.0
2021-12-22,83.95,83.95,77.2,79.3,2379.0
2021-12-23,79.95,79.95,76.55,78.85,1476.0
2021-12-24,80.45,80.45,76.65,78.0,1297.0
2021-12-27,75.1,79.8,75.1,76.15,1151.0
2021-12-28,77.7,77.7,74.25,75.25,13202.0
2021-12-29,77.95,77.95,74.0,74.2,3116.0
2021-12-30,74.2,75.05,72.9,73.95,71061.0
2021-12-31,73.0,76.85,72.0,75.75,1373.0
2022-01-03,75.9,77.0,75.8,76.45,7227.0
2022-01-04,77.95,77.95,73.65,75.9,3510.0
2022-01-05,75.0,77.5,74.0,77.1,5019.0
2022-01-06,77.1,77.8,75.05,76.0,2313.0
2022-01-07,76.0,77.0,75.0,76.85,2241.0
2022-01-10,75.35,80.65,74.5,79.15,8378.0
2022-01-11,82.95,82.95,77.0,78.95,3337.0
2022-01-12,77.0,82.85,77.0,80.25,15337.0
2022-01-13,77.3,83.8,77.3,81.85,3314.0
2022-01-14,83.05,83.05,79.25,81.5,6576.0
2022-01-17,78.5,82.75,78.5,81.0,4845.0
2022-01-18,82.65,82.65,78.0,78.4,4438.0
2022-01-19,78.4,80.8,75.5,77.15,2960.0
2022-01-20,78.95,81.0,75.2,79.6,3898.0
2022-01-21,79.6,81.5,78.5,80.45,4423.0
2022-01-24,81.7,81.7,76.45,76.45,2394.0
2022-01-25,72.8,79.9,72.8,75.2,6547.0
2022-01-27,72.0,78.9,72.0,78.45,1593.0
2022-01-28,78.45,82.35,76.85,79.15,1707.0
2022-01-31,81.9,81.9,76.5,78.3,2538.0
2022-02-01,78.3,79.2,75.25,76.3,2152.0
2022-02-02,76.4,77.75,74.05,75.75,4662.0
2022-02-03,77.3,79.25,75.0,76.7,1237.0
2022-02-04,76.75,76.85,75.0,75.95,2187.0
2022-02-07,76.2,77.85,75.0,76.95,2637.0
2022-02-08,76.95,77.5,74.15,75.25,970.0
2022-02-09,75.5,78.3,73.0,74.1,1644.0
2022-02-10,73.55,76.85,73.55,75.4,1809.0
2022-02-11,75.3,75.3,74.5,74.95,289.0
2022-02-14,73.5,74.95,71.25,71.5,1844.0
2022-02-15,69.35,73.6,68.5,70.0,1030.0
2022-02-16,70.0,71.65,68.1,71.0,3716.0
2022-02-17,73.35,74.55,68.2,71.05,6995.0
2022-02-18,74.35,74.35,70.0,71.7,2719.0
2022-02-21,72.0,72.4,68.15,69.7,2371.0
2022-02-22,66.3,70.4,66.25,66.25,3146.0
2022-02-23,67.6,69.55,63.1,69.55,3295.0
2022-02-24,66.2,69.9,66.1,66.1,2548.0
2022-02-25,63.25,67.95,63.25,67.4,1685.0
2022-02-28,67.4,68.95,64.25,67.95,698.0
2022-03-02,66.6,70.6,64.65,69.1,1628.0
2022-03-03,70.0,71.1,68.0,70.35,2052.0
2022-03-04,67.1,70.3,67.1,69.5,1518.0
2022-03-07,69.5,71.0,66.05,68.8,666.0
2022-03-08,65.6,69.95,65.6,69.5,505.0
2022-03-09,68.15,69.5,68.0,69.0,1029.0
2022-03-10,66.25,71.0,66.25,70.55,2842.0
2022-03-11,67.6,73.8,67.6,70.35,1604.0
2022-03-14,71.8,72.8,68.4,71.15,2959.0
2022-03-15,72.6,72.6,68.7,70.9,1410.0
2022-03-16,72.4,72.45,68.1,70.85,2808.0
2022-03-17,70.0,72.9,68.0,72.0,5903.0
2022-03-21,70.6,71.9,68.65,68.75,1940.0
2022-03-22,68.75,71.9,67.0,68.35,1037.0
2022-03-23,67.0,71.5,67.0,69.1,4325.0
2022-03-24,69.75,71.9,67.65,69.8,1601.0
2022-03-25,71.65,71.65,67.55,69.9,1195.0
2022-03-28,67.55,71.65,66.6,68.2,1568.0
2022-03-29,66.85,69.75,66.7,66.8,1792.0
2022-03-30,67.0,69.45,66.6,68.7,2126.0
2022-03-31,68.7,69.15,68.05,69.05,328.0
2022-04-01,71.1,71.1,67.0,69.0,1981.0
2022-04-04,71.0,71.0,67.0,69.1,2545.0
2022-04-05,71.45,72.55,66.7,72.55,2884.0
