date,open,high,low,close,volume
2021-05-12,51.12,52.27,49.09,50.64,49411.0
2021-05-14,52.79,52.79,50.29,51.56,40199.0
2021-05-17,52.59,52.59,50.48,51.2,23721.0
2021-05-18,51.2,53.74,51.2,53.74,123850.0
2021-05-19,54.69,56.4,53.98,56.4,100261.0
2021-05-20,59.1,59.22,57.71,59.1,154500.0
2021-05-21,62.03,62.03,62.03,62.03,160770.0
2021-05-24,65.13,65.13,65.13,65.13,33840.0
2021-05-25,68.38,68.38,61.87,63.34,1023094.0
2021-05-26,63.26,65.8,61.91,63.34,141366.0
2021-05-27,64.3,65.45,62.91,64.61,57393.0
2021-05-28,65.09,65.25,61.4,61.4,53908.0
2021-05-31,58.34,59.53,58.34,58.34,60666.0
2021-06-01,55.64,58.74,55.44,55.44,132417.0
2021-06-02,52.71,56.44,52.71,53.26,386927.0
2021-06-03,54.77,55.92,53.98,55.88,107343.0
2021-06-04,57.87,58.26,55.64,56.12,58372.0
2021-06-07,56.12,56.64,54.29,54.97,97733.0
2021-06-08,55.48,55.76,54.1,55.05,58886.0
2021-06-09,55.92,57.19,54.81,55.13,56897.0
2021-06-10,55.25,57.87,55.13,56.56,162511.0
2021-06-11,57.07,57.43,55.48,55.88,46823.0
2021-06-14,56.52,57.59,53.1,56.56,103644.0
2021-06-15,57.87,58.66,56.64,56.79,80101.0
2021-06-16,57.43,58.74,56.71,57.67,66562.0
2021-06-17,58.02,58.02,55.6,55.84,45130.0
2021-06-18,55.96,56.52,53.66,55.09,48489.0
2021-06-21,55.01,57.07,53.82,56.64,41615.0
2021-06-22,57.67,57.91,55.68,56.32,37047.0
2021-06-23,56.48,57.07,55.68,56.04,14201.0
2021-06-24,56.04,56.95,55.56,56.12,15126.0
2021-06-25,56.52,56.52,54.97,55.6,21057.0
2021-06-28,55.6,58.38,55.6,58.38,67722.0
2021-06-29,58.94,61.28,57.39,58.5,154790.0
2021-06-30,58.7,59.29,55.6,56.68,58363.0
2021-07-01,57.27,57.87,55.96,57.59,26245.0
2021-07-02,57.55,58.7,57.11,58.18,45028.0
