date,open,high,low,close,volume
2021-05-12,499.95,506.9,499.95,504.05,39323.0
2021-05-14,509.35,509.35,500.0,500.85,39778.0
2021-05-17,501.0,518.0,501.0,507.7,42765.0
2021-05-18,507.7,530.0,501.5,514.4,127454.0
2021-05-19,517.0,534.0,505.85,521.75,97901.0
2021-05-20,526.95,529.95,519.0,522.95,66504.0
2021-05-21,529.95,532.5,523.15,524.4,67730.0
2021-05-24,524.45,545.0,524.45,536.45,168761.0
2021-05-25,544.0,548.0,538.0,540.35,89846.0
2021-05-26,548.9,554.0,543.2,548.55,89565.0
2021-05-27,550.0,568.0,548.55,562.5,129470.0
2021-05-28,562.55,572.95,538.0,558.4,531116.0
2021-05-31,547.3,555.0,540.0,545.3,71917.0
2021-06-01,550.0,554.0,535.0,547.4,73564.0
2021-06-02,547.0,558.9,541.2,556.55,58794.0
2021-06-03,560.0,563.95,546.0,549.6,56200.0
2021-06-04,552.0,557.6,545.0,548.05,51027.0
2021-06-07,552.7,567.0,548.25,562.15,144081.0
2021-06-08,567.95,572.4,562.5,567.65,75200.0
2021-06-09,570.5,575.0,546.7,552.25,79559.0
2021-06-10,554.25,565.0,548.15,554.35,91502.0
2021-06-11,559.95,575.0,557.35,571.95,148713.0
2021-06-14,575.0,583.2,561.2,574.9,93663.0
2021-06-15,580.0,584.05,573.65,574.4,50240.0
2021-06-16,575.0,582.4,566.1,568.4,50630.0
2021-06-17,568.9,579.5,561.95,565.45,71127.0
2021-06-18,568.25,568.25,543.0,556.95,71639.0
2021-06-21,552.9,567.0,548.0,560.9,84761.0
2021-06-22,570.0,574.9,562.5,565.7,96162.0
2021-06-23,566.0,641.8,566.0,614.5,1416926.0
2021-06-24,621.2,628.7,604.5,616.7,282266.0
2021-06-25,625.0,625.8,598.05,601.5,81441.0
2021-06-28,599.0,625.0,599.0,613.4,150396.0
2021-06-29,615.2,623.7,602.1,606.0,69625.0
2021-06-30,608.85,613.75,597.55,605.95,48096.0
2021-07-01,604.2,618.2,604.2,607.2,45633.0
2021-07-02,607.6,616.9,601.0,603.75,36218.0
2021-07-05,604.65,612.9,604.65,606.65,65666.0
2021-07-06,609.8,696.8,601.55,641.9,3918871.0
2021-07-07,644.7,669.0,640.15,648.2,626114.0
2021-07-08,648.25,665.95,631.0,639.15,252351.0
2021-07-09,642.0,658.95,638.45,644.35,237986.0
2021-07-12,649.95,658.25,641.1,645.55,101691.0
2021-07-13,652.05,665.0,645.25,649.4,254354.0
2021-07-14,650.05,662.8,645.0,647.6,128863.0
2021-07-15,653.6,654.9,635.0,638.7,100022.0
2021-07-16,641.9,652.55,632.1,634.3,67545.0
2021-07-19,630.0,648.95,624.95,637.65,79249.0
2021-07-20,645.0,645.0,610.1,613.8,115961.0
2021-07-22,622.0,624.9,607.8,609.55,83927.0
2021-07-23,612.0,617.9,600.15,602.3,66786.0
2021-07-26,605.0,613.9,595.4,599.05,85102.0
2021-07-27,604.95,607.85,586.1,588.1,53863.0
2021-07-28,590.0,599.0,577.0,587.6,89567.0
2021-07-29,590.55,599.0,588.8,593.95,40457.0
2021-07-30,598.85,620.0,594.55,609.45,78987.0
2021-08-02,611.0,651.75,611.0,644.05,343242.0
2021-08-03,644.6,658.75,631.25,633.1,116456.0
2021-08-04,633.95,648.9,615.0,620.15,105317.0
2021-08-05,604.1,628.0,600.35,617.75,77042.0
2021-08-06,622.0,630.7,604.5,609.9,77719.0
2021-08-09,614.5,616.8,600.9,602.8,50283.0
2021-08-10,603.95,608.0,570.8,579.4,85993.0
2021-08-11,581.0,607.8,561.0,603.55,317744.0
2021-08-12,605.0,616.5,600.55,602.75,84712.0
2021-08-13,600.1,607.0,592.2,596.15,68679.0
2021-08-16,594.05,601.4,588.05,591.55,40060.0
2021-08-17,583.0,610.0,583.0,594.2,81925.0
2021-08-18,594.0,603.6,589.7,592.4,36543.0
2021-08-20,582.0,589.95,580.0,581.25,42565.0
2021-08-23,584.45,589.45,562.05,564.3,39265.0
2021-08-24,571.9,584.95,562.9,570.55,50182.0
2021-08-25,572.65,589.1,572.65,583.95,33164.0
2021-08-26,580.3,588.1,572.0,574.9,21350.0
2021-08-27,575.2,579.65,567.25,569.75,31862.0
2021-08-30,572.95,583.5,569.05,572.7,46427.0
2021-08-31,575.4,580.85,568.95,572.6,34405.0
2021-09-01,574.95,622.0,569.05,610.05,285909.0
2021-09-02,607.0,626.0,605.6,613.8,127203.0
2021-09-03,615.4,622.5,595.55,602.0,75221.0
2021-09-06,605.4,613.0,599.0,600.6,45307.0
2021-09-07,601.2,609.0,590.35,592.35,47314.0
2021-09-08,582.45,597.95,582.45,594.2,21236.0
2021-09-09,596.0,597.1,588.05,592.75,33929.0
2021-09-13,592.75,606.05,592.75,596.15,43325.0
2021-09-14,597.25,604.65,590.6,594.9,46445.0
2021-09-15,597.7,624.35,594.55,612.45,170418.0
2021-09-16,617.85,618.6,593.0,598.7,133103.0
2021-09-17,601.75,605.0,590.0,598.65,75445.0
2021-09-20,604.45,604.45,579.0,586.6,67062.0
2021-09-21,582.05,592.0,574.0,585.95,47464.0
