date,open,high,low,close,volume
2021-05-12,66.5,73.75,62.0,63.9,68740362.0
2021-05-14,64.9,66.7,60.65,61.85,14545728.0
2021-05-17,62.7,64.65,60.55,62.0,12837826.0
2021-05-18,63.0,63.45,60.85,61.2,5077924.0
2021-05-19,61.4,65.5,60.9,62.1,11079772.0
2021-05-20,62.45,62.75,61.2,61.4,2951771.0
2021-05-21,62.0,62.3,60.55,60.7,3045734.0
2021-05-24,60.75,62.7,60.6,61.0,7286506.0
2021-05-25,61.75,61.75,60.3,60.65,3191346.0
2021-05-26,60.95,62.0,59.65,60.05,5679025.0
2021-05-27,60.4,61.7,59.25,60.95,3824331.0
2021-05-28,61.7,61.75,60.0,60.2,2187298.0
2021-05-31,60.6,60.75,60.0,60.15,2152530.0
2021-06-01,60.4,63.55,59.7,60.15,12125029.0
2021-06-02,60.3,62.4,60.2,61.15,4974200.0
2021-06-03,61.5,61.9,60.55,60.7,2913636.0
2021-06-04,61.1,65.7,60.65,63.85,25772229.0
2021-06-07,65.0,66.6,64.25,65.1,9321420.0
2021-06-08,65.2,65.3,63.3,64.25,7055591.0
2021-06-09,64.6,66.9,62.55,63.3,11049413.0
2021-06-10,63.85,64.9,63.5,64.4,3455250.0
2021-06-11,65.95,66.8,64.6,65.05,6194056.0
2021-06-14,65.35,65.4,62.5,63.55,3902690.0
2021-06-15,63.75,64.7,63.2,63.45,2952565.0
2021-06-16,63.85,64.35,62.6,63.0,5270975.0
2021-06-17,62.45,64.75,61.8,62.25,5008783.0
2021-06-18,62.85,62.85,58.8,61.1,3851349.0
2021-06-21,60.0,61.65,59.05,60.65,3679387.0
2021-06-22,61.5,62.9,61.25,62.0,3279750.0
2021-06-23,62.6,62.85,61.6,61.8,2454748.0
2021-06-24,62.25,62.6,60.65,60.9,4810978.0
2021-06-25,61.3,64.2,61.05,62.75,6573596.0
2021-06-28,63.3,65.65,62.55,63.4,17632759.0
2021-06-29,63.9,64.2,60.0,60.65,6911860.0
2021-06-30,61.15,62.45,60.85,61.05,5535122.0
2021-07-01,61.35,61.4,60.65,60.8,2251625.0
2021-07-02,60.9,61.75,59.8,60.2,3848899.0
2021-07-05,60.5,61.1,60.3,60.45,2029719.0
2021-07-06,60.7,61.8,60.4,60.6,3775548.0
2021-07-07,60.45,60.95,60.15,60.5,1843123.0
2021-07-08,60.6,63.2,60.55,60.9,4650069.0
2021-07-09,60.95,61.7,60.7,61.0,1841707.0
2021-07-12,61.5,61.9,60.65,60.85,2171835.0
2021-07-13,61.3,61.45,60.4,60.7,1964331.0
2021-07-14,60.85,60.95,60.25,60.45,1644526.0
2021-07-15,60.3,62.4,59.95,60.3,2973573.0
2021-07-16,60.4,61.15,59.9,60.05,2330200.0
2021-07-19,60.0,61.15,59.9,60.25,2308656.0
2021-07-20,60.4,60.55,58.45,59.05,2184994.0
2021-07-22,59.4,59.85,58.8,59.0,1472698.0
2021-07-23,59.2,59.35,57.95,58.1,1933187.0
2021-07-26,58.05,58.3,56.8,57.05,1795177.0
2021-07-27,57.35,57.75,56.1,56.55,1593629.0
2021-07-28,57.4,57.4,55.2,56.5,1509226.0
2021-07-29,56.75,57.95,56.7,57.5,2161248.0
2021-07-30,57.5,60.4,57.5,59.3,4233721.0
2021-08-02,59.75,60.3,58.7,58.85,1779756.0
2021-08-03,58.7,59.35,58.3,58.65,1169379.0
2021-08-04,58.95,59.9,58.3,58.8,2383103.0
2021-08-05,58.95,59.05,57.6,58.4,1191000.0
2021-08-06,58.1,58.85,58.05,58.5,848341.0
2021-08-09,58.55,58.9,57.15,57.6,1261405.0
2021-08-10,57.8,58.05,55.0,55.45,2113447.0
2021-08-11,55.8,56.15,53.2,54.95,2011967.0
2021-08-12,54.65,56.0,54.65,55.85,1215478.0
2021-08-13,55.85,56.75,55.65,56.4,1377931.0
2021-08-16,55.05,55.8,53.8,54.1,1625169.0
2021-08-17,54.1,54.25,52.55,52.9,1203042.0
2021-08-18,53.3,53.3,51.75,51.95,1607225.0
2021-08-20,51.95,53.05,51.05,51.25,2273107.0
2021-08-23,51.65,51.7,49.8,50.05,1509353.0
2021-08-24,50.9,51.75,50.1,50.85,1921803.0
2021-08-25,51.0,51.75,50.4,50.55,1532453.0
2021-08-26,50.8,51.1,50.0,50.45,1092001.0
2021-08-27,50.35,52.7,50.25,52.0,4020303.0
2021-08-30,52.5,52.9,51.3,51.6,2129988.0
2021-08-31,51.65,54.7,51.55,52.65,6080584.0
2021-09-01,52.85,52.9,51.55,52.0,2928856.0
2021-09-02,52.45,52.5,51.9,52.1,1183939.0
2021-09-03,52.25,52.75,52.15,52.45,1549028.0
2021-09-06,52.85,52.85,52.1,52.2,1008929.0
2021-09-07,52.0,52.45,51.55,51.8,1195372.0
2021-09-08,52.1,52.8,51.85,52.5,1240387.0
2021-09-09,52.5,53.45,52.3,52.95,1677873.0
2021-09-13,53.15,54.0,52.8,53.4,2040601.0
2021-09-14,53.45,54.45,53.0,53.7,2255402.0
2021-09-15,54.0,56.25,53.7,55.8,4233775.0
2021-09-16,57.35,58.8,57.0,57.25,6207638.0
2021-09-17,57.7,58.4,55.4,55.85,3569534.0
2021-09-20,55.45,56.15,55.0,55.15,1721996.0
2021-09-21,54.25,54.6,53.55,54.15,1463404.0
2021-09-22,54.0,56.85,53.7,56.3,3517418.0
2021-09-23,56.5,58.5,56.4,56.75,2891296.0
2021-09-24,57.0,57.6,55.8,56.0,1478892.0
2021-09-27,56.1,56.45,55.15,55.4,1137037.0
2021-09-28,55.5,58.3,55.45,57.7,5855595.0
2021-09-29,57.5,62.4,57.15,61.05,20148719.0
2021-09-30,61.5,62.8,60.75,61.35,4834629.0
2021-10-01,60.95,62.7,60.5,61.7,4670507.0
2021-10-04,62.0,63.9,62.0,62.65,4801727.0
2021-10-05,63.05,63.8,62.6,62.9,3620185.0
2021-10-06,63.55,67.4,62.9,63.9,17845461.0
2021-10-07,64.4,68.75,64.3,68.4,16278593.0
2021-10-08,69.1,71.25,69.0,69.5,12617139.0
2021-10-11,70.25,72.9,69.65,70.45,13816939.0
2021-10-12,71.5,72.0,68.65,69.25,5519353.0
2021-10-13,71.0,71.9,70.5,71.05,11304329.0
2021-10-14,71.95,78.8,70.35,77.8,41179495.0
2021-10-18,78.65,80.1,76.05,76.65,14293784.0
2021-10-19,77.05,77.4,70.1,71.2,10032790.0
2021-10-20,71.4,71.45,67.0,68.95,9544067.0
2021-10-21,69.5,70.15,66.15,66.5,7368395.0
2021-10-22,66.65,67.5,62.0,63.6,8857105.0
2021-10-25,64.05,65.85,62.85,64.45,5596654.0
2021-10-26,64.8,64.9,63.25,64.05,2966483.0
2021-10-27,64.45,65.9,63.75,64.3,3181812.0
2021-10-28,64.2,64.25,62.2,62.55,2788099.0
2021-10-29,62.7,64.15,61.5,63.65,2962825.0
2021-11-01,64.0,64.4,62.85,64.0,2341729.0
2021-11-02,64.2,65.15,63.75,64.05,1795320.0
2021-11-03,64.4,69.8,64.2,66.85,12335707.0
2021-11-04,67.4,68.0,67.3,67.65,1099301.0
2021-11-08,68.0,68.15,66.5,67.15,2748764.0
2021-11-09,67.45,67.7,66.3,66.5,1815813.0
2021-11-10,66.4,67.25,65.4,65.95,1673467.0
2021-11-11,65.7,66.4,64.0,64.8,1978877.0
2021-11-12,67.0,68.9,66.1,68.4,10568831.0
2021-11-15,68.95,69.85,67.0,68.1,4823112.0
2021-11-16,68.05,68.3,66.2,66.5,2951826.0
2021-11-17,66.25,67.65,66.0,66.5,1807778.0
2021-11-18,66.5,66.85,62.85,63.75,3772104.0
2021-11-22,63.95,64.3,61.75,62.65,2286533.0
2021-11-23,62.0,64.5,61.85,63.95,2086279.0
2021-11-24,64.45,66.5,64.4,65.6,2404350.0
2021-11-25,65.85,66.2,64.85,65.2,1563732.0
2021-11-26,64.7,64.7,62.45,62.7,1961424.0
2021-11-29,61.6,62.2,51.4,59.0,3751373.0
2021-11-30,59.3,60.7,56.4,57.25,6022251.0
2021-12-01,58.0,58.25,56.75,57.75,1851193.0
2021-12-02,58.3,59.4,57.45,58.85,1282552.0
2021-12-03,58.95,59.75,58.7,58.95,1334992.0
2021-12-06,59.1,59.35,58.0,58.4,1219319.0
2021-12-07,59.0,60.3,58.75,59.1,1488333.0
2021-12-08,59.5,60.7,59.4,60.35,1202238.0
2021-12-09,60.8,61.6,59.9,61.25,1496030.0
2021-12-10,61.2,62.3,61.05,61.45,1168887.0
2021-12-13,61.55,62.6,60.7,61.0,997683.0
2021-12-14,60.2,61.3,60.0,60.65,946659.0
2021-12-15,61.0,62.9,61.0,61.6,2829385.0
2021-12-16,61.95,62.3,60.65,61.1,924950.0
2021-12-17,61.2,61.2,58.95,60.1,1560324.0
2021-12-20,59.4,59.45,56.85,57.8,1641973.0
2021-12-21,58.45,59.2,57.55,58.3,1224392.0
2021-12-22,58.25,59.8,58.25,59.1,833092.0
2021-12-23,59.55,59.7,58.75,58.9,920980.0
2021-12-24,59.35,59.4,58.1,58.4,753192.0
2021-12-27,58.65,59.05,57.75,58.6,838500.0
2021-12-28,58.8,60.15,58.75,59.65,1076216.0
2021-12-29,59.3,60.7,59.25,59.85,1257440.0
2021-12-30,60.0,64.1,59.0,63.05,3716217.0
2021-12-31,62.75,63.15,61.6,62.05,1893445.0
2022-01-03,61.9,63.3,61.75,62.85,1103400.0
2022-01-04,62.75,63.45,61.6,61.9,1570722.0
2022-01-05,62.0,62.4,61.5,61.85,918413.0
2022-01-06,61.5,63.7,61.1,63.3,1929138.0
2022-01-07,63.95,64.45,62.1,62.7,2099978.0
2022-01-10,63.0,63.65,62.75,62.9,1430496.0
2022-01-11,63.2,66.6,62.7,66.15,8447427.0
2022-01-12,66.55,68.15,66.1,66.3,4598827.0
2022-01-13,66.7,67.8,65.6,66.7,3373092.0
2022-01-14,66.65,67.2,65.15,66.3,3146233.0
2022-01-17,66.5,70.5,66.5,69.65,10148845.0
2022-01-18,70.25,71.0,68.05,68.35,5187376.0
2022-01-19,68.05,72.95,67.05,71.1,11504516.0
2022-01-20,71.0,72.25,69.5,70.0,4289219.0
2022-01-21,69.9,69.9,66.2,67.2,3320753.0
2022-01-24,66.5,67.65,63.55,64.9,3373592.0
2022-01-25,64.6,66.25,63.85,65.45,1753186.0
2022-01-27,64.9,65.65,64.0,65.1,2043987.0
2022-01-28,65.85,68.8,65.85,66.4,3267043.0
2022-01-31,67.25,67.75,66.1,66.75,1307018.0
2022-02-01,67.0,67.85,65.25,65.5,2044784.0
2022-02-02,66.0,68.85,66.0,68.25,3243127.0
2022-02-03,68.65,68.75,64.1,67.0,2375394.0
2022-02-04,67.2,70.8,67.2,68.1,5917089.0
2022-02-07,69.1,74.2,69.1,73.65,17039415.0
2022-02-08,74.5,75.0,70.9,72.8,7300553.0
2022-02-09,72.95,73.3,71.4,71.65,2762641.0
