date,open,high,low,close,volume
2021-05-12,8.97,8.97,7.37,7.94,79919.0
2021-05-14,9.13,9.13,7.8,7.97,23335.0
2021-05-17,8.68,8.68,7.93,7.97,19243.0
2021-05-18,6.93,9.0,6.93,8.04,31998.0
2021-05-19,8.0,8.55,7.7,8.07,42547.0
2021-05-20,9.12,9.12,7.94,7.99,15445.0
2021-05-21,9.03,9.03,6.95,8.03,19529.0
2021-05-24,6.98,8.75,6.98,8.01,26038.0
2021-05-25,6.97,8.73,6.97,8.08,25863.0
2021-05-26,9.13,9.13,8.01,8.17,10988.0
2021-05-27,9.23,9.23,7.9,8.18,14488.0
2021-05-28,8.91,8.91,8.1,8.18,14052.0
2021-05-31,7.45,8.92,7.45,8.19,13110.0
2021-06-01,9.25,9.25,8.12,8.19,18574.0
2021-06-02,9.25,9.25,7.45,8.17,20422.0
2021-06-03,8.9,8.9,8.1,8.2,25641.0
2021-06-04,7.13,8.94,7.13,8.24,9515.0
2021-06-07,9.31,9.31,8.2,8.3,22822.0
2021-06-08,9.04,9.04,7.55,8.36,18895.0
2021-06-09,9.45,9.45,8.2,8.35,16943.0
2021-06-10,9.43,9.43,7.77,8.39,12459.0
2021-06-11,9.48,9.48,8.3,8.44,10534.0
2021-06-14,9.2,9.2,8.2,8.45,30415.0
2021-06-15,9.21,9.21,8.22,8.5,16364.0
2021-06-16,8.7,8.7,8.43,8.44,11259.0
2021-06-17,9.17,9.17,7.87,8.38,34337.0
2021-06-18,8.47,8.47,8.31,8.4,42128.0
2021-06-21,8.4,8.44,8.3,8.42,15355.0
2021-06-22,7.32,9.51,7.32,8.45,60917.0
2021-06-23,9.72,9.72,7.69,8.4,15599.0
2021-06-24,7.64,8.55,7.64,8.5,18273.0
2021-06-25,7.74,8.58,7.74,8.53,13896.0
2021-06-28,9.64,9.64,7.76,8.55,12898.0
2021-06-29,9.32,9.32,7.78,8.52,16401.0
2021-06-30,8.6,8.7,8.5,8.53,7873.0
2021-07-01,8.53,8.6,8.47,8.51,16273.0
2021-07-02,9.61,9.61,8.4,8.49,13659.0
2021-07-05,8.57,8.6,7.72,8.54,20497.0
2021-07-06,8.6,8.98,8.25,8.39,116382.0
2021-07-07,9.64,9.64,8.2,8.48,57229.0
2021-07-08,9.75,9.75,8.4,8.42,18027.0
2021-07-09,8.48,8.48,8.35,8.41,16546.0
2021-07-12,7.32,8.6,7.32,8.42,22767.0
2021-07-13,9.52,9.52,8.33,8.43,18567.0
2021-07-14,8.6,8.6,8.0,8.54,14234.0
2021-07-15,8.55,8.63,8.4,8.59,22904.0
2021-07-16,8.67,8.67,8.45,8.61,11552.0
2021-07-19,8.97,8.97,8.41,8.54,12307.0
2021-07-20,9.31,9.31,8.45,8.52,13697.0
2021-07-22,7.75,9.62,7.75,8.61,34988.0
2021-07-23,8.8,8.97,8.51,8.63,14507.0
2021-07-26,9.75,9.75,7.85,8.6,20850.0
2021-07-27,9.72,9.72,8.53,8.58,26510.0
2021-07-28,9.35,9.35,7.81,8.56,11945.0
2021-07-29,8.63,8.66,7.79,8.64,7790.0
2021-07-30,9.27,9.27,7.97,8.69,11215.0
2021-08-02,9.82,9.82,8.6,8.74,17111.0
2021-08-03,9.53,9.53,8.65,8.82,13967.0
2021-08-04,9.62,9.62,8.03,8.79,11351.0
2021-08-05,9.94,9.94,8.71,8.84,8275.0
2021-08-06,9.99,9.99,8.74,8.86,14092.0
2021-08-09,9.66,9.66,8.8,8.84,18195.0
2021-08-10,9.17,9.17,8.8,8.82,13048.0
2021-08-11,8.89,8.89,8.74,8.86,8828.0
2021-08-12,8.93,8.96,8.82,8.95,11658.0
2021-08-13,9.02,9.05,8.86,9.05,14131.0
2021-08-16,9.11,9.12,8.91,9.03,20871.0
2021-08-17,9.97,9.97,8.95,9.11,16391.0
