date,open,high,low,close,volume
2021-05-12,71.9,79.0,70.85,73.75,210233.0
2021-05-14,75.4,88.5,74.0,84.55,1213424.0
2021-05-17,85.95,88.7,80.0,80.7,502421.0
2021-05-18,81.65,86.8,77.8,82.6,929851.0
2021-05-19,81.1,83.1,80.25,80.75,90366.0
2021-05-20,81.6,85.45,80.4,81.75,153384.0
2021-05-21,83.0,83.2,80.75,81.95,80293.0
2021-05-24,82.35,83.55,80.05,80.85,147056.0
2021-05-25,81.25,82.45,81.0,81.15,118119.0
2021-05-26,82.5,83.0,81.0,81.95,61573.0
2021-05-27,82.85,85.2,81.05,81.65,123578.0
2021-05-28,82.0,82.2,80.3,80.55,38967.0
2021-05-31,78.0,80.4,78.0,79.3,85164.0
2021-06-01,79.55,82.9,79.55,80.6,85508.0
2021-06-02,81.0,82.0,80.5,80.8,150425.0
2021-06-03,81.95,85.25,81.05,83.4,173356.0
2021-06-04,84.85,84.85,81.3,81.85,65736.0
2021-06-07,82.85,83.55,81.3,82.15,103878.0
2021-06-08,82.15,83.15,81.25,81.9,37648.0
2021-06-09,82.15,82.85,80.5,81.15,52017.0
2021-06-10,82.0,85.5,80.1,82.75,126018.0
2021-06-11,83.7,85.0,83.0,83.65,133601.0
2021-06-14,83.9,83.9,81.75,82.6,86059.0
2021-06-15,82.3,85.0,82.05,83.75,122632.0
2021-06-16,84.0,84.4,82.0,82.7,144016.0
2021-06-17,81.55,83.7,80.55,81.05,68203.0
2021-06-18,81.3,82.45,78.3,80.05,57010.0
2021-06-21,80.0,83.85,78.05,82.35,217505.0
2021-06-22,84.7,84.75,79.6,80.75,258210.0
2021-06-23,80.3,82.15,80.3,81.45,60782.0
2021-06-24,81.55,82.45,80.35,80.9,95833.0
2021-06-25,81.95,82.85,80.5,81.0,27472.0
2021-06-28,81.95,83.0,80.4,80.95,123815.0
2021-06-29,81.7,82.15,80.0,80.3,93630.0
2021-06-30,82.0,82.05,79.9,80.15,282623.0
2021-07-01,81.5,81.5,79.5,80.4,431728.0
2021-07-02,82.0,95.8,80.05,92.2,1736217.0
2021-07-05,93.0,98.6,91.35,94.85,1062840.0
2021-07-06,95.65,96.75,85.0,90.6,357395.0
2021-07-07,89.2,91.9,89.0,89.75,237735.0
