date,open,high,low,close,volume
2021-05-12,26.0,26.0,24.95,25.25,60526.0
2021-05-14,25.3,25.8,24.3,24.55,34001.0
2021-05-17,24.95,25.3,24.3,24.9,46297.0
2021-05-18,25.55,27.9,25.0,27.05,422161.0
2021-05-19,27.35,29.55,26.85,28.95,790485.0
2021-05-20,29.75,30.45,28.5,29.15,715172.0
2021-05-21,29.15,30.7,29.1,30.2,662172.0
2021-05-24,33.8,36.2,33.1,36.2,2144973.0
2021-05-25,39.0,39.8,38.1,39.8,3575688.0
2021-05-26,41.95,41.95,36.2,38.6,1533681.0
2021-05-27,39.5,39.5,37.5,38.6,755181.0
2021-05-28,38.55,39.65,37.55,37.95,404757.0
2021-05-31,38.5,40.0,38.0,39.4,699748.0
2021-06-01,40.0,40.0,37.0,38.1,319400.0
2021-06-02,38.9,39.25,38.2,38.9,241316.0
2021-06-03,39.95,39.95,38.5,39.45,399351.0
2021-06-04,39.9,43.35,39.0,41.45,1758934.0
2021-06-07,42.4,42.6,40.5,41.85,544060.0
2021-06-08,42.5,42.8,41.0,41.1,244683.0
2021-06-09,41.9,41.95,39.4,39.8,346299.0
2021-06-10,39.8,40.8,39.7,40.05,212917.0
2021-06-11,40.8,40.8,39.4,39.7,220764.0
2021-06-14,39.65,39.65,38.0,39.05,218430.0
2021-06-15,39.8,39.85,39.0,39.25,163621.0
2021-06-16,39.8,39.8,38.5,38.7,110451.0
2021-06-17,38.5,39.4,38.05,38.45,163914.0
2021-06-18,39.45,39.45,37.45,38.5,171911.0
2021-06-21,37.5,38.6,37.5,38.05,103302.0
2021-06-22,39.0,39.5,38.3,38.7,179193.0
2021-06-23,39.9,39.9,38.5,38.65,124053.0
2021-06-24,38.7,39.0,37.9,38.65,94102.0
2021-06-25,37.9,40.5,37.9,38.8,284590.0
2021-06-28,39.6,39.6,37.55,38.35,104343.0
2021-06-29,39.2,39.5,38.2,38.55,134876.0
2021-06-30,38.6,38.9,37.8,38.05,118778.0
2021-07-01,38.5,38.7,37.8,38.45,93515.0
2021-07-02,38.9,38.9,37.5,38.1,111599.0
2021-07-05,38.3,38.75,38.1,38.55,98234.0
2021-07-06,38.9,39.6,38.1,38.25,190320.0
2021-07-07,38.8,39.95,38.1,38.9,279370.0
2021-07-08,39.65,40.5,37.9,38.75,254711.0
2021-07-09,38.3,39.8,38.25,38.65,116726.0
2021-07-12,38.65,39.35,37.65,38.0,176575.0
2021-07-13,38.8,38.8,37.6,37.9,147795.0
2021-07-14,37.3,38.2,37.3,37.9,78188.0
2021-07-15,38.0,38.3,37.45,37.7,82105.0
2021-07-16,37.05,38.2,37.05,37.5,85699.0
2021-07-19,37.05,37.9,36.8,37.15,87559.0
2021-07-20,36.8,37.3,35.0,36.25,133939.0
2021-07-22,37.25,37.8,36.3,36.6,74346.0
2021-07-23,37.4,37.4,35.1,36.05,61148.0
2021-07-26,36.75,36.75,35.4,36.35,77155.0
2021-07-27,36.75,37.8,36.0,36.2,63572.0
2021-07-28,36.5,37.3,36.2,36.8,171281.0
2021-07-29,37.3,37.45,35.5,35.95,94602.0
2021-07-30,36.1,37.85,36.1,37.4,183545.0
2021-08-02,37.8,39.4,37.45,38.45,232368.0
2021-08-03,39.15,39.15,37.5,37.7,116289.0
2021-08-04,38.3,39.25,37.0,37.15,176434.0
2021-08-05,37.0,37.65,36.0,36.3,66615.0
2021-08-06,36.55,38.85,36.55,37.1,215691.0
2021-08-09,37.8,39.7,36.6,37.3,437578.0
2021-08-10,37.2,37.6,35.0,36.15,124644.0
2021-08-11,35.45,36.7,34.2,35.3,125158.0
2021-08-12,35.7,38.3,35.7,36.95,241486.0
2021-08-13,37.4,37.8,36.2,36.35,92837.0
2021-08-16,36.35,37.0,35.5,35.95,89702.0
2021-08-17,35.6,35.95,35.05,35.2,39654.0
2021-08-18,35.2,38.0,34.5,36.3,349161.0
2021-08-20,35.55,36.0,35.1,35.4,68665.0
2021-08-23,35.5,36.45,34.45,35.0,87479.0
2021-08-24,34.55,35.35,34.25,35.1,68901.0
2021-08-25,35.2,35.95,35.2,35.4,40007.0
2021-08-26,35.4,35.9,35.05,35.15,30928.0
2021-08-27,35.35,35.7,34.75,35.05,63431.0
2021-08-30,35.05,35.5,34.4,34.8,58298.0
2021-08-31,35.15,35.4,34.55,34.6,63425.0
2021-09-01,34.3,35.2,34.3,34.85,64931.0
2021-09-02,34.75,35.7,34.7,34.8,84618.0
2021-09-03,35.45,35.7,34.65,35.1,78707.0
2021-09-06,35.45,36.5,35.05,35.65,87837.0
2021-09-07,36.05,36.05,35.3,35.5,46099.0
2021-09-08,35.3,35.9,34.8,35.4,66998.0
2021-09-09,35.7,37.7,35.45,36.25,496041.0
2021-09-13,36.65,36.8,35.95,36.25,223204.0
2021-09-14,36.5,36.6,35.8,36.0,65261.0
2021-09-15,35.6,37.3,35.6,36.1,145832.0
2021-09-16,36.2,36.45,35.5,35.7,87865.0
2021-09-17,36.15,36.25,34.85,34.95,89504.0
2021-09-20,34.65,38.3,34.0,34.6,1400076.0
2021-09-21,34.95,37.15,34.6,36.65,291857.0
2021-09-22,37.8,39.1,36.55,37.75,734736.0
2021-09-23,37.45,39.3,37.45,38.2,469388.0
2021-09-24,38.45,38.7,36.4,36.65,226197.0
2021-09-27,37.35,41.4,36.1,39.8,2745911.0
2021-09-28,39.95,41.8,39.15,39.85,1278859.0
2021-09-29,39.35,40.7,38.9,39.45,359930.0
2021-09-30,39.1,39.7,38.35,38.5,178385.0
2021-10-01,38.45,39.5,38.05,38.55,152137.0
2021-10-04,38.95,40.0,38.6,39.0,279534.0
2021-10-05,38.65,39.85,38.0,38.25,229981.0
2021-10-06,38.2,39.15,37.7,37.85,350871.0
2021-10-07,38.45,39.8,38.0,38.3,327644.0
2021-10-08,39.2,40.7,38.75,39.35,692255.0
2021-10-11,40.0,41.3,39.5,39.85,708146.0
2021-10-12,40.0,40.95,39.5,39.75,337460.0
2021-10-13,40.25,40.3,39.0,39.4,465660.0
2021-10-14,39.5,39.9,38.7,39.0,247715.0
2021-10-18,39.7,42.6,39.5,40.65,1337508.0
2021-10-19,41.15,42.2,38.6,39.85,601524.0
2021-10-20,42.85,43.8,41.1,41.6,1817743.0
2021-10-21,42.1,42.65,40.0,40.45,411052.0
2021-10-22,40.7,41.35,38.75,39.2,273793.0
2021-10-25,39.4,39.95,37.8,38.05,189890.0
2021-10-26,38.55,39.3,38.3,38.55,130146.0
2021-10-27,38.8,39.45,38.5,38.65,130544.0
2021-10-28,38.1,38.65,37.05,37.4,150712.0
2021-10-29,37.25,37.8,36.3,36.85,142068.0
2021-11-01,37.4,37.7,36.85,37.4,89632.0
