date,open,high,low,close,volume
2021-05-12,7.2,7.35,7.05,7.2,98236.0
2021-05-14,7.35,7.45,6.9,7.05,124304.0
2021-05-17,7.05,7.2,7.0,7.05,51854.0
2021-05-18,7.2,7.25,6.85,6.9,264967.0
2021-05-19,7.1,7.15,6.8,6.85,61317.0
2021-05-20,6.85,7.1,6.65,6.9,120449.0
2021-05-21,7.05,7.05,6.85,6.95,80147.0
2021-05-24,7.1,7.15,6.75,6.9,135466.0
2021-05-25,7.0,7.1,6.85,6.95,97334.0
2021-05-26,7.1,7.25,7.0,7.25,121378.0
2021-05-27,7.6,7.6,7.6,7.6,113585.0
2021-05-28,7.95,7.95,7.45,7.5,288312.0
2021-05-31,7.75,7.85,7.3,7.6,144860.0
2021-06-01,7.55,7.75,7.3,7.4,68425.0
2021-06-02,7.3,7.75,7.15,7.7,120818.0
2021-06-03,7.45,8.05,7.45,8.05,175148.0
2021-06-04,8.4,8.45,8.1,8.45,189284.0
2021-06-07,8.85,8.85,8.85,8.85,63022.0
2021-06-08,9.25,9.25,9.25,9.25,114630.0
2021-06-09,9.6,9.7,8.8,9.7,904007.0
2021-06-10,10.15,10.15,10.15,10.15,95583.0
2021-06-11,10.65,10.65,10.65,10.65,130169.0
2021-06-14,11.15,11.15,10.15,11.15,868871.0
2021-06-15,11.7,11.7,10.7,11.7,626244.0
2021-06-16,12.25,12.25,11.7,12.25,555931.0
2021-06-17,12.3,12.85,12.2,12.8,370549.0
2021-06-18,13.3,13.4,12.2,13.35,893143.0
2021-06-21,13.4,13.5,12.7,13.0,403026.0
2021-06-22,13.6,13.6,12.4,13.45,863028.0
2021-06-23,14.1,14.1,13.9,14.1,585680.0
2021-06-24,14.75,14.75,13.7,13.8,536999.0
2021-06-25,13.65,13.65,13.15,13.15,148191.0
2021-06-28,12.55,13.75,12.55,12.95,488347.0
2021-06-29,13.0,13.0,12.35,12.35,359382.0
2021-06-30,11.8,12.95,11.8,12.65,335171.0
2021-07-01,12.55,13.1,12.25,12.7,228004.0
2021-07-02,12.85,13.15,12.75,13.0,392234.0
2021-07-05,13.3,13.65,13.0,13.6,623269.0
2021-07-06,13.65,14.25,13.5,13.7,340462.0
2021-07-07,13.8,13.9,13.05,13.05,267022.0
2021-07-08,13.35,13.35,12.4,12.4,298287.0
2021-07-09,12.8,13.0,12.0,12.85,195318.0
2021-07-12,12.6,13.4,12.55,13.0,329761.0
2021-07-13,13.1,13.65,13.1,13.65,216512.0
2021-07-14,14.3,14.3,14.0,14.3,447659.0
2021-07-15,14.7,15.0,14.3,15.0,436985.0
2021-07-16,15.75,15.75,15.4,15.7,328797.0
2021-07-19,15.5,16.45,15.1,16.45,472542.0
2021-07-20,17.0,17.15,15.65,15.65,657350.0
2021-07-22,15.4,16.15,14.9,15.2,520598.0
2021-07-23,15.7,15.7,14.45,14.65,199998.0
2021-07-26,14.95,15.35,14.25,15.25,348673.0
2021-07-27,15.25,15.95,14.6,14.95,392564.0
2021-07-28,14.55,15.6,14.25,15.4,215130.0
2021-07-29,15.65,16.0,15.0,15.15,511719.0
2021-07-30,15.0,15.45,14.8,14.95,268356.0
2021-08-02,15.4,15.65,14.5,15.6,409931.0
2021-08-03,15.5,16.25,15.0,15.45,316584.0
2021-08-04,15.1,16.2,14.8,14.95,533554.0
2021-08-05,14.95,15.25,14.25,14.5,238253.0
2021-08-06,13.8,14.7,13.8,14.45,153424.0
2021-08-09,14.5,14.85,13.8,13.85,175910.0
2021-08-10,13.35,14.25,13.2,13.2,240947.0
2021-08-11,13.0,13.2,12.55,12.55,131300.0
2021-08-12,11.95,13.15,11.95,13.05,307111.0
2021-08-13,12.95,13.65,12.95,13.4,115008.0
2021-08-16,13.0,13.4,12.75,12.75,143073.0
2021-08-17,12.5,12.9,12.15,12.25,108480.0
2021-08-18,12.1,12.8,12.05,12.7,186656.0
2021-08-20,12.7,12.7,12.1,12.1,53863.0
2021-08-23,12.2,12.4,11.5,11.5,60934.0
2021-08-24,10.95,11.25,10.95,10.95,161860.0
2021-08-25,10.55,11.35,10.5,11.05,108873.0
2021-08-26,11.3,11.6,10.8,11.6,209884.0
2021-08-27,12.15,12.15,12.15,12.15,41694.0
2021-08-30,12.75,12.75,12.75,12.75,22507.0
2021-08-31,13.35,13.35,12.5,13.1,379228.0
2021-09-01,12.55,13.35,12.45,13.15,183834.0
2021-09-02,13.8,13.8,12.5,12.8,265963.0
2021-09-03,12.9,12.9,12.2,12.25,134928.0
2021-09-06,12.25,12.5,11.65,11.8,179993.0
2021-09-07,11.9,12.1,11.25,11.35,322589.0
2021-09-08,11.7,11.85,11.05,11.55,148483.0
2021-09-09,11.7,11.95,11.3,11.45,106333.0
2021-09-13,11.6,11.8,11.1,11.65,102770.0
2021-09-14,11.25,12.2,11.25,12.0,173915.0
2021-09-15,12.1,12.35,11.65,11.85,85334.0
2021-09-16,12.2,12.2,11.65,11.95,157863.0
2021-09-17,11.9,11.95,11.4,11.4,198204.0
2021-09-20,11.9,11.9,10.85,10.9,167810.0
2021-09-21,10.95,11.35,10.5,11.2,169140.0
2021-09-22,11.35,11.7,11.0,11.6,122330.0
2021-09-23,11.25,12.15,11.1,12.15,240155.0
2021-09-24,12.75,12.75,12.4,12.75,223425.0
2021-09-27,12.8,13.0,12.15,12.6,168472.0
2021-09-28,12.6,13.05,12.35,12.95,97243.0
2021-09-29,13.0,13.1,12.45,12.7,140014.0
2021-09-30,12.6,13.3,12.25,13.3,126962.0
2021-10-01,13.4,13.65,12.95,13.25,121580.0
2021-10-04,13.25,13.9,13.25,13.85,347602.0
2021-10-05,13.6,14.0,13.55,13.75,99934.0
2021-10-06,13.9,14.1,13.15,13.3,287521.0
2021-10-07,13.8,13.8,13.15,13.35,105075.0
2021-10-08,13.7,13.7,12.8,13.3,123121.0
2021-10-11,13.45,13.8,12.65,12.75,211184.0
2021-10-12,12.25,12.9,12.15,12.2,243038.0
2021-10-13,12.2,12.6,12.05,12.15,173320.0
2021-10-14,12.3,12.45,11.85,12.1,136599.0
2021-10-18,12.2,12.55,11.95,12.05,257289.0
2021-10-19,12.35,12.6,11.75,12.0,270198.0
2021-10-20,11.8,12.15,11.4,11.8,260732.0
2021-10-21,11.6,11.9,11.25,11.35,101030.0
2021-10-22,10.85,11.65,10.85,11.05,163377.0
2021-10-25,11.45,11.6,10.5,11.1,204815.0
2021-10-26,11.25,11.65,10.85,11.6,187372.0
2021-10-27,11.75,11.75,11.15,11.3,79989.0
