date,open,high,low,close,volume
2021-05-12,213.6,213.6,200.0,201.7,38120.0
2021-05-14,205.0,205.0,192.0,192.75,32843.0
2021-05-17,192.0,206.3,189.95,198.5,60821.0
2021-05-18,199.0,201.95,193.65,194.95,24908.0
2021-05-19,197.4,204.6,195.1,197.9,44275.0
2021-05-20,196.1,198.7,187.95,192.4,16226.0
2021-05-21,193.0,195.7,182.25,185.8,32102.0
2021-05-24,188.0,189.9,183.05,187.15,17029.0
2021-05-25,187.7,195.45,187.7,191.5,17274.0
2021-05-26,191.45,195.0,186.85,189.35,8706.0
2021-05-27,191.25,192.95,187.15,189.55,10125.0
2021-05-28,192.8,192.8,184.35,185.45,9471.0
2021-05-31,189.85,218.8,185.1,203.95,179496.0
2021-06-01,209.5,209.5,194.3,201.1,39072.0
2021-06-02,204.7,205.0,193.9,195.8,30414.0
2021-06-03,204.35,204.35,198.0,200.05,17477.0
2021-06-04,204.4,207.0,195.35,204.45,20745.0
2021-06-07,209.0,229.0,205.55,224.0,189218.0
2021-06-08,225.9,235.0,215.35,225.9,122807.0
2021-06-09,225.9,233.5,217.8,222.3,81071.0
2021-06-10,224.25,229.4,217.85,220.85,30470.0
2021-06-11,223.8,239.7,218.05,220.0,52766.0
2021-06-14,221.2,226.4,209.35,220.15,30967.0
2021-06-15,229.0,229.0,223.0,226.3,60996.0
2021-06-16,225.0,227.3,220.0,222.9,23288.0
2021-06-17,216.1,225.0,216.1,222.2,15774.0
2021-06-18,222.2,225.95,207.25,215.1,22573.0
2021-06-21,215.0,223.25,209.05,222.0,23234.0
2021-06-22,226.0,226.5,218.55,220.35,17520.0
2021-06-23,224.95,224.95,218.05,219.0,16276.0
2021-06-24,224.4,262.8,219.05,262.8,570867.0
2021-06-25,268.0,286.8,261.3,265.6,641071.0
2021-06-28,268.8,318.7,268.8,318.7,498529.0
2021-06-29,337.0,350.55,332.45,350.55,366672.0
2021-06-30,380.0,380.0,330.6,346.1,412013.0
2021-07-01,342.0,348.9,316.55,335.4,121625.0
2021-07-02,340.0,368.9,337.3,368.9,125094.0
2021-07-05,379.7,379.7,346.05,350.15,170712.0
2021-07-06,349.8,351.1,325.0,331.25,95664.0
2021-07-07,325.0,325.65,309.55,314.15,61094.0
2021-07-08,322.8,339.0,307.0,327.65,90372.0
2021-07-09,336.0,340.0,327.3,334.45,59098.0
2021-07-12,344.0,344.0,326.0,328.05,51267.0
2021-07-13,331.7,340.0,323.05,327.1,48930.0
2021-07-14,326.0,326.0,312.0,315.45,51025.0
2021-07-15,315.45,319.1,301.0,302.9,48706.0
2021-07-16,305.15,308.8,296.4,304.3,30221.0
2021-07-19,297.0,330.0,297.0,322.55,111252.0
2021-07-20,317.9,317.9,306.45,306.45,12097.0
2021-07-22,306.45,306.45,291.15,293.0,25165.0
2021-07-23,293.0,299.5,279.15,286.35,16857.0
2021-07-26,295.0,295.95,280.35,285.05,7390.0
2021-07-27,286.35,299.3,280.6,299.3,15912.0
2021-07-28,299.05,303.7,286.0,293.0,4865.0
2021-07-29,299.85,307.65,282.6,306.25,16923.0
2021-07-30,293.8,309.0,290.95,294.1,9816.0
2021-08-02,295.1,302.7,282.1,284.7,7987.0
2021-08-03,284.5,290.6,275.0,280.55,15258.0
2021-08-04,287.0,294.55,280.0,282.1,30737.0
2021-08-05,280.0,286.0,277.0,279.0,7813.0
