date,open,high,low,close,volume
2021-05-12,47.9,47.9,45.45,45.75,248179.0
2021-05-14,46.6,46.6,44.25,44.8,144273.0
2021-05-17,45.8,47.0,44.9,45.7,274791.0
2021-05-18,45.9,47.0,45.2,45.85,273179.0
2021-05-19,45.95,55.0,45.9,54.7,3615754.0
2021-05-20,56.2,58.7,53.5,57.05,2141927.0
2021-05-21,57.3,58.1,55.05,55.55,526993.0
2021-05-24,56.2,63.5,53.55,61.65,2156305.0
2021-05-25,62.25,64.9,59.0,59.7,1107484.0
2021-05-26,55.5,56.6,53.0,55.05,1284383.0
2021-05-27,55.65,58.7,55.0,56.25,592123.0
2021-05-28,56.85,56.85,53.6,53.9,307845.0
2021-05-31,54.6,54.6,51.8,52.6,277587.0
2021-06-01,53.8,54.4,50.9,51.2,275573.0
2021-06-02,52.0,52.95,51.0,52.55,227659.0
2021-06-03,53.0,53.95,51.8,52.35,255991.0
2021-06-04,52.5,55.0,52.5,53.3,379769.0
2021-06-07,54.0,54.45,52.8,53.9,207665.0
2021-06-08,54.4,59.4,53.0,57.6,902994.0
2021-06-09,58.2,61.9,55.75,57.65,1026219.0
2021-06-10,58.4,62.45,58.4,61.55,754110.0
2021-06-11,62.0,69.4,62.0,66.6,1951393.0
2021-06-14,67.2,67.9,59.4,63.95,726783.0
2021-06-15,64.8,74.0,64.5,71.75,1514998.0
2021-06-16,72.4,75.8,70.55,72.5,1118566.0
2021-06-17,71.9,73.65,69.45,71.55,510683.0
2021-06-18,71.7,72.4,65.15,67.75,433016.0
2021-06-21,65.85,69.3,64.9,66.9,166236.0
2021-06-22,67.4,68.45,64.1,66.85,359841.0
2021-06-23,67.85,73.0,67.35,69.45,452579.0
2021-06-24,69.65,83.3,69.1,76.0,2825525.0
2021-06-25,76.6,82.3,74.4,80.0,920997.0
2021-06-28,80.0,82.3,76.35,78.1,581877.0
2021-06-29,78.55,79.95,76.4,77.4,169264.0
2021-06-30,78.3,80.0,74.55,75.3,278318.0
