date,open,high,low,close,volume
2021-05-12,127.74,130.6,126.56,128.46,1083550.0
2021-05-14,130.0,132.33,123.2,129.53,2027085.0
2021-05-17,134.0,134.0,128.1,130.3,4161610.0
2021-05-18,129.99,130.98,125.8,126.84,1059385.0
2021-05-19,127.0,128.4,124.68,126.87,842400.0
2021-05-20,128.91,130.07,125.62,127.28,529545.0
2021-05-21,127.29,128.43,124.8,125.59,268940.0
2021-05-24,126.54,128.0,125.12,126.92,605075.0
2021-05-25,127.6,128.7,123.67,125.24,1087675.0
2021-05-26,127.59,134.0,126.6,133.56,3929835.0
2021-05-27,134.4,134.97,132.39,133.53,2332330.0
2021-05-28,134.0,134.0,130.6,132.47,698495.0
2021-05-31,132.6,132.78,128.0,129.31,958685.0
2021-06-01,129.31,130.53,120.8,123.27,601260.0
2021-06-02,124.0,137.54,124.0,129.61,1380910.0
2021-06-03,129.6,131.6,127.24,128.84,335360.0
2021-06-04,130.79,134.89,128.81,133.8,761495.0
2021-06-07,133.4,134.0,131.6,132.27,318985.0
2021-06-08,132.4,133.0,127.83,129.9,302315.0
2021-06-09,128.03,132.6,128.03,130.7,1595760.0
2021-06-10,131.5,132.6,129.2,129.98,163965.0
2021-06-11,131.35,131.68,127.65,129.71,231685.0
2021-06-14,129.97,129.97,125.2,127.55,140645.0
2021-06-15,128.75,130.25,127.1,127.93,161815.0
2021-06-16,128.33,128.71,125.41,125.84,145985.0
2021-06-17,126.01,130.06,125.0,125.42,219735.0
2021-06-18,127.8,127.8,121.09,123.84,256965.0
2021-06-21,122.2,125.51,120.6,123.26,135410.0
2021-06-22,126.04,129.8,125.26,128.09,249560.0
2021-06-23,128.23,129.32,123.7,124.55,69340.0
2021-06-24,125.59,126.21,123.2,123.65,85100.0
2021-06-25,123.81,126.8,122.69,124.09,201915.0
2021-06-28,124.4,130.99,124.21,129.49,426340.0
2021-06-29,128.6,131.04,128.0,129.66,374015.0
2021-06-30,130.6,134.4,130.2,132.59,723155.0
2021-07-01,133.0,139.99,132.8,138.18,1469700.0
2021-07-02,140.38,140.38,137.21,138.76,646025.0
2021-07-05,141.0,145.99,140.63,144.29,1494280.0
2021-07-06,146.0,146.0,141.5,142.1,639105.0
2021-07-07,143.99,145.6,141.57,144.41,371065.0
2021-07-08,144.98,145.8,140.31,142.98,250445.0
2021-07-09,142.98,146.14,140.16,144.36,458415.0
2021-07-12,145.76,148.55,145.3,147.24,518000.0
2021-07-13,148.2,149.91,144.21,148.78,940660.0
2021-07-14,149.0,149.8,146.44,147.44,154840.0
2021-07-15,147.44,152.98,147.07,149.6,598610.0
2021-07-16,151.16,151.16,149.0,149.33,318075.0
2021-07-19,150.4,153.1,148.86,152.24,844720.0
2021-07-20,153.0,155.96,149.4,154.03,985135.0
2021-07-22,156.05,157.43,153.4,154.96,537990.0
2021-07-23,155.6,162.6,154.44,159.32,972735.0
2021-07-26,161.0,166.48,160.21,163.87,2565855.0
2021-07-27,165.68,169.7,163.88,164.8,1283685.0
2021-07-28,164.8,166.99,163.02,164.71,517460.0
2021-07-29,165.01,168.6,165.01,167.22,914630.0
2021-07-30,167.95,169.7,164.24,166.11,420445.0
2021-08-02,166.96,178.0,166.6,174.72,1423165.0
2021-08-03,179.4,182.48,176.9,180.74,819240.0
2021-08-04,182.38,190.4,180.72,181.59,1693780.0
2021-08-05,182.45,186.2,177.0,185.62,852785.0
2021-08-06,186.96,188.59,184.8,185.88,526850.0
2021-08-09,184.02,192.98,184.02,187.3,716190.0
2021-08-10,188.6,199.0,184.0,185.56,1583765.0
2021-08-11,186.0,189.64,178.29,185.21,781555.0
2021-08-12,185.21,194.44,185.21,188.38,598180.0
2021-08-13,189.2,193.33,186.46,187.09,541555.0
2021-08-16,184.77,192.95,183.9,185.91,738265.0
2021-08-17,186.8,187.0,183.0,185.14,590680.0
2021-08-18,185.14,186.5,175.2,178.26,1077875.0
2021-08-20,176.2,181.0,172.42,174.12,380530.0
2021-08-23,176.0,180.79,168.07,173.03,660555.0
2021-08-24,172.0,180.94,171.16,179.67,337155.0
2021-08-25,180.0,184.0,179.73,183.53,361920.0
2021-08-26,185.97,186.87,183.2,185.83,414105.0
2021-08-27,186.8,187.78,184.0,186.6,428445.0
2021-08-30,193.22,208.66,190.53,205.28,2710535.0
2021-08-31,206.0,207.8,195.6,197.99,1180375.0
2021-09-01,201.4,201.4,193.9,195.1,735200.0
2021-09-02,196.06,196.6,193.2,193.65,591460.0
2021-09-03,200.0,202.0,194.91,195.93,672215.0
2021-09-06,195.93,199.0,193.13,196.24,523290.0
2021-09-07,196.4,198.62,194.47,195.4,440790.0
2021-09-08,196.0,204.74,196.0,198.83,1034440.0
2021-09-09,199.01,201.22,197.2,198.29,415980.0
2021-09-13,197.42,202.64,197.42,198.58,281900.0
2021-09-14,200.0,207.0,200.0,203.7,819575.0
2021-09-15,206.8,212.4,204.2,209.16,795625.0
2021-09-16,215.4,215.4,207.4,207.99,364460.0
