date,open,high,low,close,volume
2021-08-09,125.0,126.3,110.5,116.7,12087442.0
2021-08-10,117.0,118.7,111.27,114.07,1803572.0
2021-08-11,113.15,114.99,107.3,112.67,986550.0
2021-08-12,112.84,116.9,111.51,115.3,549865.0
2021-08-13,115.3,117.5,113.1,115.25,360934.0
2021-08-16,115.25,115.25,109.4,110.56,334567.0
2021-08-17,110.5,110.55,105.85,106.85,237287.0
2021-08-18,107.2,110.47,106.2,109.84,247030.0
2021-08-20,107.21,109.9,105.15,109.14,221804.0
2021-08-23,109.14,110.0,106.0,107.82,157059.0
2021-08-24,108.48,108.75,105.66,108.02,101286.0
2021-08-25,108.0,109.7,107.61,108.8,81785.0
2021-08-26,107.53,110.7,107.53,110.03,84419.0
2021-08-27,109.6,111.25,108.93,109.5,64355.0
2021-08-30,108.8,110.8,106.1,109.09,86380.0
2021-08-31,110.48,111.12,109.0,109.97,58270.0
2021-09-01,110.4,110.75,108.5,110.04,52750.0
2021-09-02,109.05,110.0,107.9,108.33,33883.0
2021-09-03,108.45,109.88,106.7,108.8,68655.0
2021-09-06,107.03,109.7,105.85,109.24,113744.0
2021-09-07,109.2,110.5,108.4,110.06,82029.0
2021-09-08,110.06,110.43,108.1,109.29,40271.0
2021-09-09,108.51,109.65,107.8,109.35,49855.0
2021-09-13,108.5,109.26,107.8,108.3,40231.0
2021-09-14,108.5,109.44,107.01,107.71,63296.0
2021-09-15,107.72,108.74,107.0,107.39,116690.0
2021-09-16,107.88,108.09,106.15,106.93,63446.0
2021-09-17,107.87,109.2,105.66,107.27,127262.0
2021-09-20,107.0,107.25,105.0,106.47,26637.0
2021-09-21,105.53,106.38,102.69,104.59,65968.0
2021-09-22,104.7,109.5,103.9,105.99,65314.0
2021-09-23,106.13,107.54,105.51,106.45,39244.0
2021-09-24,107.2,107.2,104.74,105.25,24751.0
2021-09-27,105.01,105.25,103.3,104.11,33516.0
2021-09-28,104.11,104.11,102.26,102.81,60739.0
2021-09-29,102.03,105.5,100.8,102.36,32176.0
2021-09-30,102.5,108.9,102.5,105.75,103563.0
2021-10-01,105.8,109.9,105.27,109.07,151161.0
2021-10-04,111.0,111.0,106.29,108.37,62181.0
2021-10-05,108.37,109.39,105.76,107.11,140164.0
2021-10-06,107.11,107.7,106.1,106.42,53132.0
2021-10-07,107.0,107.65,106.04,106.91,26657.0
2021-10-08,106.65,108.24,106.17,106.77,39928.0
2021-10-11,107.0,107.63,105.9,106.62,33716.0
2021-10-12,106.62,106.81,105.25,106.02,24877.0
2021-10-13,106.0,107.0,105.31,106.03,28233.0
2021-10-14,105.06,107.5,105.06,106.73,49469.0
2021-10-18,107.5,109.0,106.99,108.42,60867.0
2021-10-19,109.8,115.5,109.0,112.38,258884.0
2021-10-20,113.0,113.7,109.5,110.73,52019.0
2021-10-21,112.1,112.93,109.0,110.1,28259.0
2021-10-22,109.53,112.0,105.8,106.64,27280.0
2021-10-25,112.0,113.5,107.0,111.15,199909.0
2021-10-26,111.5,117.68,104.48,115.74,193314.0
2021-10-27,116.7,118.0,113.8,117.3,65128.0
2021-10-28,117.8,119.17,112.91,114.96,59410.0
2021-10-29,117.29,118.25,114.14,116.66,70991.0
2021-11-01,117.8,118.92,108.01,111.74,255547.0
2021-11-02,111.94,115.8,110.65,112.52,118236.0
2021-11-03,113.5,117.8,113.0,116.79,80391.0
2021-11-04,118.8,120.57,116.7,118.35,44561.0
2021-11-08,118.5,124.97,117.2,119.17,220977.0
2021-11-09,120.0,122.6,119.53,121.38,78288.0
2021-11-10,120.0,122.8,115.0,117.07,61799.0
2021-11-11,116.5,118.0,111.28,113.95,38291.0
2021-11-12,114.8,117.52,113.05,116.24,34467.0
2021-11-15,117.84,118.0,111.5,111.97,41811.0
2021-11-16,112.1,120.47,112.1,114.73,142709.0
2021-11-17,115.97,116.0,114.2,115.49,27886.0
2021-11-18,115.1,116.93,112.0,113.96,99227.0
2021-11-22,114.8,115.05,108.5,109.42,32415.0
2021-11-23,109.17,112.08,108.95,110.86,54875.0
2021-11-24,110.05,113.34,110.05,111.16,51291.0
2021-11-25,112.0,114.5,110.6,111.26,37811.0
2021-11-26,110.0,110.93,105.01,105.88,35827.0
2021-11-29,105.1,106.4,99.48,102.94,31628.0
2021-11-30,104.3,110.54,102.98,104.16,43885.0
2021-12-01,105.39,108.5,105.0,107.8,25892.0
2021-12-02,107.7,110.9,106.57,110.27,24776.0
2021-12-03,110.0,113.1,109.21,112.49,27008.0
2021-12-06,115.49,117.5,111.5,113.17,75899.0
2021-12-07,113.9,114.55,110.5,113.42,20931.0
2021-12-08,114.29,114.75,110.72,111.11,20318.0
2021-12-09,112.14,114.07,110.84,113.37,19948.0
2021-12-10,112.44,116.44,112.01,112.46,25197.0
2021-12-13,112.8,117.5,112.68,113.08,55170.0
2021-12-14,112.5,119.47,112.41,117.98,114147.0
2021-12-15,116.6,121.0,115.06,117.05,116933.0
2021-12-16,117.84,118.2,114.23,115.83,28336.0
2021-12-17,116.0,116.51,112.78,114.91,45040.0
2021-12-20,112.21,114.62,107.71,109.7,94806.0
2021-12-21,114.5,114.5,110.0,110.63,70106.0
2021-12-22,111.04,115.5,111.04,112.63,70323.0
2021-12-23,113.0,114.8,112.89,114.07,43009.0
2021-12-24,114.1,116.5,112.6,114.11,34944.0
2021-12-27,113.64,115.6,112.62,114.31,12318.0
2021-12-28,114.94,115.48,111.61,113.41,58489.0
