date,open,high,low,close,volume
2021-05-12,96.0,96.0,90.65,91.5,11275.0
2021-05-14,94.75,95.9,90.75,93.1,6509.0
2021-05-17,96.45,96.6,90.45,92.5,6324.0
2021-05-18,90.4,93.45,90.0,91.45,6532.0
2021-05-19,91.0,96.0,90.5,96.0,12071.0
2021-05-20,99.0,100.8,94.55,99.75,11364.0
2021-05-21,97.8,104.7,97.8,104.7,15861.0
2021-05-24,107.0,109.9,104.25,108.9,14848.0
2021-05-25,111.6,113.5,105.5,106.8,19447.0
2021-05-26,103.75,111.2,103.0,108.6,10227.0
2021-05-27,108.6,114.0,104.45,113.05,23270.0
2021-05-28,114.95,116.0,108.0,108.9,7959.0
2021-05-31,105.3,107.8,103.5,103.6,12992.0
2021-06-01,107.45,107.45,99.0,99.85,8123.0
2021-06-02,99.8,99.8,96.3,96.45,13456.0
2021-06-03,95.0,98.0,94.95,95.6,13268.0
2021-06-04,97.6,97.6,90.85,91.7,45556.0
2021-06-07,94.8,100.0,94.0,99.3,24850.0
2021-06-08,98.5,103.8,96.25,98.35,10153.0
2021-06-09,100.0,100.0,95.05,96.4,4841.0
2021-06-10,96.4,97.25,95.15,96.95,5094.0
2021-06-11,97.0,97.5,94.3,96.05,8253.0
2021-06-14,98.95,98.95,91.25,95.8,7360.0
2021-06-15,92.1,98.95,92.1,95.75,5950.0
2021-06-16,93.4,95.8,92.25,93.3,6387.0
2021-06-17,91.0,95.85,91.0,93.45,3454.0
2021-06-18,96.8,96.8,91.5,93.95,5802.0
2021-06-21,95.0,95.0,92.0,93.2,10360.0
2021-06-22,94.0,94.0,92.1,92.95,9274.0
2021-06-23,94.0,95.45,90.9,92.6,14280.0
2021-06-24,93.0,94.95,91.2,92.35,14372.0
2021-06-25,93.45,94.0,90.7,91.8,9399.0
2021-06-28,93.4,93.4,90.55,91.25,5598.0
2021-06-29,91.25,92.85,90.3,90.95,9418.0
2021-06-30,91.1,92.25,88.15,89.6,7968.0
2021-07-01,91.5,91.5,80.65,83.75,12728.0
2021-07-02,83.0,91.05,80.1,82.65,57499.0
2021-07-05,84.0,86.35,82.2,82.7,22363.0
2021-07-06,83.25,85.9,81.05,82.1,15380.0
2021-07-07,80.55,83.2,80.5,80.65,10362.0
