date,open,high,low,close,volume
2021-05-12,61.45,61.82,59.45,60.27,58135.0
2021-05-14,61.73,61.73,58.64,59.27,55316.0
2021-05-17,61.45,61.45,57.45,57.91,158479.0
2021-05-18,58.18,60.32,57.14,57.91,66767.0
2021-05-19,58.14,61.82,58.14,60.18,185201.0
2021-05-20,61.09,64.09,59.86,61.0,231532.0
2021-05-21,63.14,63.14,60.45,61.0,58375.0
2021-05-24,60.91,62.27,59.68,62.09,55880.0
2021-05-25,63.36,63.36,61.36,61.77,60513.0
2021-05-26,61.77,62.32,60.27,60.45,56075.0
2021-05-27,60.59,64.73,59.77,61.95,256649.0
2021-05-28,62.23,62.45,60.95,61.32,27140.0
2021-05-31,61.55,63.14,61.36,62.05,86464.0
2021-06-01,62.09,63.27,60.91,62.41,88235.0
2021-06-02,62.68,64.86,61.77,63.27,149942.0
2021-06-03,63.64,72.55,63.41,69.86,1266292.0
2021-06-04,70.0,76.36,70.0,73.86,983557.0
2021-06-07,78.18,78.18,74.14,75.14,559203.0
2021-06-08,75.91,75.91,70.45,71.95,345558.0
2021-06-09,71.5,79.91,71.5,75.77,960801.0
2021-06-10,75.91,77.64,74.77,75.59,247138.0
2021-06-11,76.32,78.23,73.64,74.23,170409.0
2021-06-14,74.82,75.32,71.91,73.14,101328.0
2021-06-15,73.23,79.82,73.23,78.18,744890.0
2021-06-16,78.91,81.0,76.36,78.05,261405.0
2021-06-17,77.95,79.73,76.09,76.64,117339.0
2021-06-18,77.23,86.27,69.36,83.32,2342528.0
2021-06-21,81.82,87.55,78.27,83.18,919911.0
2021-06-22,83.64,89.91,82.64,85.77,1108840.0
2021-06-23,86.64,91.32,85.45,86.45,704429.0
2021-06-24,87.91,88.77,83.82,84.5,165658.0
2021-06-25,85.09,85.23,82.05,82.86,134995.0
2021-06-28,83.5,86.18,82.05,83.0,129739.0
2021-06-29,83.5,84.36,80.73,81.27,90769.0
2021-06-30,81.82,84.41,79.55,83.68,329617.0
2021-07-01,84.27,85.95,81.36,81.73,218647.0
2021-07-02,81.73,84.32,79.64,81.82,131136.0
2021-07-05,82.05,85.45,82.05,84.95,234394.0
2021-07-06,86.36,88.91,82.73,83.23,163388.0
2021-07-07,86.73,95.82,85.5,92.32,1777974.0
2021-07-08,92.64,94.23,87.73,88.64,328083.0
2021-07-09,89.05,90.82,87.14,88.41,167680.0
2021-07-12,88.5,90.91,88.32,88.82,150931.0
2021-07-13,89.09,92.73,89.05,92.23,393208.0
2021-07-14,92.73,96.14,89.55,94.32,583870.0
2021-07-15,94.45,94.45,90.0,90.55,146903.0
2021-07-16,90.91,91.64,88.55,89.05,105461.0
2021-07-19,88.45,89.09,85.45,87.41,120357.0
2021-07-20,88.0,88.0,81.95,83.05,154144.0
2021-07-22,83.68,86.14,82.32,84.95,185878.0
2021-07-23,84.59,87.36,82.91,83.73,138719.0
2021-07-26,84.09,85.73,81.73,82.41,70803.0
2021-07-27,82.68,85.32,82.68,84.36,94191.0
2021-07-28,84.95,92.64,82.64,89.32,324834.0
2021-07-29,92.18,94.36,84.59,85.32,654553.0
2021-07-30,86.27,87.55,83.73,84.73,115471.0
2021-08-02,85.18,86.14,83.64,84.0,95197.0
2021-08-03,84.27,86.82,83.32,84.32,86941.0
2021-08-04,84.36,86.68,82.82,83.86,99444.0
2021-08-05,83.36,89.0,82.27,85.86,368865.0
2021-08-06,86.09,87.18,84.27,85.05,85318.0
2021-08-09,85.45,87.59,83.64,86.36,186740.0
2021-08-10,86.36,86.36,82.36,83.5,114177.0
2021-08-11,83.18,83.64,76.41,79.32,171015.0
2021-08-12,79.95,83.0,79.95,81.32,80205.0
2021-08-13,80.14,87.73,80.14,83.14,427246.0
2021-08-16,82.0,83.64,79.55,80.5,67620.0
2021-08-17,80.86,80.91,76.64,77.82,83727.0
2021-08-18,77.55,79.05,75.5,77.18,54780.0
2021-08-20,74.55,76.73,72.91,73.5,61570.0
2021-08-23,73.68,76.36,65.86,68.27,138710.0
2021-08-24,68.18,71.14,66.73,70.5,69218.0
2021-08-25,70.41,76.14,70.41,73.82,82516.0
2021-08-26,72.91,75.59,70.55,71.09,72817.0
2021-08-27,70.91,72.73,70.64,72.0,30096.0
2021-08-30,73.55,74.64,71.45,72.32,94463.0
2021-08-31,73.91,73.91,71.86,72.23,37401.0
2021-09-01,72.23,74.23,71.55,72.41,78186.0
2021-09-02,72.41,74.55,71.82,73.5,67625.0
2021-09-03,74.27,74.64,72.0,72.86,39274.0
2021-09-06,74.0,74.09,70.91,71.36,47821.0
2021-09-07,72.23,72.23,70.45,70.77,31631.0
2021-09-08,70.86,73.86,70.86,73.36,76817.0
2021-09-09,73.09,74.23,71.41,71.82,79165.0
2021-09-13,73.45,73.45,71.27,71.5,31315.0
2021-09-14,72.23,72.73,71.41,72.55,71062.0
2021-09-15,72.55,75.0,72.36,73.73,79358.0
2021-09-16,73.55,75.27,73.09,74.14,65276.0
2021-09-17,75.0,75.0,71.82,72.27,43321.0
2021-09-20,71.73,72.64,70.91,71.14,27179.0
2021-09-21,70.91,75.23,69.14,72.41,109277.0
2021-09-22,73.55,74.32,71.18,71.95,29071.0
2021-09-23,73.64,74.55,71.82,72.77,51624.0
2021-09-24,72.91,73.55,71.36,71.77,36571.0
2021-09-27,72.0,81.32,71.73,78.14,597527.0
2021-09-28,79.64,81.82,76.59,77.41,123979.0
2021-09-29,77.41,77.82,75.14,76.5,58232.0
2021-09-30,80.0,81.82,78.18,80.59,375683.0
2021-10-01,79.95,80.45,78.36,79.32,57310.0
2021-10-04,80.45,80.45,76.55,78.09,106977.0
2021-10-05,78.18,83.64,77.59,81.95,386246.0
2021-10-06,81.55,85.68,80.0,82.36,295402.0
2021-10-07,84.0,84.95,83.0,83.32,92741.0
2021-10-08,84.36,84.73,82.27,82.86,66288.0
2021-10-11,83.73,83.73,80.05,80.45,41110.0
2021-10-12,80.45,82.05,77.45,79.73,112477.0
2021-10-13,79.55,82.68,79.55,80.18,74479.0
2021-10-14,80.82,80.82,78.68,79.5,37115.0
2021-10-18,80.23,80.91,78.18,78.36,51902.0
2021-10-19,78.82,85.18,77.45,78.09,47352.0
2021-10-20,78.91,78.91,76.36,76.55,32949.0
2021-10-21,76.45,78.36,74.59,76.82,30385.0
2021-10-22,78.05,78.05,74.55,75.5,23498.0
2021-10-25,76.23,76.23,71.36,71.95,43530.0
2021-10-26,71.45,75.14,71.45,73.45,36691.0
2021-10-27,73.68,77.27,72.95,75.73,43985.0
2021-10-28,74.68,75.41,72.73,73.45,21941.0
2021-10-29,72.73,74.09,71.91,72.32,25413.0
2021-11-01,73.82,74.14,72.41,73.68,12644.0
2021-11-02,74.36,75.23,73.23,73.73,17172.0
2021-11-03,73.82,75.14,72.95,73.18,54315.0
2021-11-04,74.55,75.05,73.41,74.05,8346.0
2021-11-08,75.45,77.27,74.55,75.73,82043.0
2021-11-09,75.5,77.27,75.41,76.36,36978.0
2021-11-10,76.0,77.91,76.0,77.05,37547.0
2021-11-11,77.27,78.09,75.64,76.36,39749.0
2021-11-12,78.64,81.73,72.95,74.64,177674.0
2021-11-15,76.73,77.27,73.05,73.59,49780.0
2021-11-16,74.91,74.91,73.09,73.73,18135.0
2021-11-17,73.73,74.36,73.23,73.32,18561.0
2021-11-18,73.59,73.77,71.41,71.95,24982.0
2021-11-22,72.23,72.64,69.45,70.14,39457.0
2021-11-23,70.0,72.73,69.68,71.77,35792.0
2021-11-24,72.91,75.05,72.59,73.86,39219.0
2021-11-25,74.27,74.68,72.82,73.09,12794.0
2021-11-26,72.73,72.73,71.09,71.59,27168.0
2021-11-29,73.55,73.55,68.18,69.41,64977.0
2021-11-30,69.5,71.55,69.14,70.05,16384.0
2021-12-01,69.09,72.45,69.09,70.14,23637.0
2021-12-02,70.82,74.91,70.09,74.14,61374.0
2021-12-03,74.27,74.55,70.91,72.0,28397.0
2021-12-06,72.23,73.41,70.91,71.09,14911.0
2021-12-07,71.0,72.73,70.45,71.82,12430.0
2021-12-08,71.45,73.59,71.45,72.09,38453.0
2021-12-09,73.32,74.09,71.14,71.77,73364.0
2021-12-10,71.77,73.64,71.41,72.23,18797.0
2021-12-13,73.45,73.45,71.82,72.18,22377.0
2021-12-14,72.64,73.09,70.91,71.73,41717.0
2021-12-15,71.73,73.18,70.64,71.41,42488.0
2021-12-16,72.23,72.91,70.0,72.55,37920.0
2021-12-17,72.55,72.55,70.45,71.14,18216.0
2021-12-20,70.18,70.18,67.18,67.45,24093.0
2021-12-21,68.36,72.0,67.14,68.36,22660.0
2021-12-22,67.73,72.45,67.5,69.95,55369.0
2021-12-23,70.18,70.45,69.59,69.95,12457.0
2021-12-24,70.45,70.45,68.55,68.86,6281.0
2021-12-27,67.5,68.5,65.68,67.32,35163.0
2021-12-28,67.45,69.27,67.45,68.77,20457.0
2021-12-29,69.0,70.14,67.95,69.14,16581.0
2021-12-30,68.18,71.27,68.18,70.23,25040.0
2021-12-31,71.0,71.0,68.91,69.32,23613.0
2022-01-03,70.0,74.55,69.09,71.82,71339.0
2022-01-04,71.82,77.32,70.36,75.73,213668.0
2022-01-05,76.91,78.91,74.68,76.23,248986.0
2022-01-06,75.32,75.36,73.77,74.0,40390.0
2022-01-07,75.18,77.27,73.73,75.36,43694.0
2022-01-10,75.95,78.95,74.32,77.05,134303.0
2022-01-11,78.14,78.14,75.23,75.5,59494.0
2022-01-12,76.18,77.18,74.55,75.0,55121.0
2022-01-13,75.05,76.14,72.95,73.82,55789.0
2022-01-14,74.64,76.32,73.86,74.45,40317.0
2022-01-17,75.36,80.18,75.14,77.95,215762.0
2022-01-18,78.91,79.0,75.68,76.14,50327.0
2022-01-19,76.32,77.59,75.45,76.64,83606.0
2022-01-20,77.68,78.91,75.5,76.91,150214.0
2022-01-21,75.55,77.05,74.27,75.18,54484.0
2022-01-24,76.36,76.82,71.82,73.36,67347.0
2022-01-25,72.73,74.45,68.05,73.27,46678.0
2022-01-27,73.64,73.95,71.64,72.09,20047.0
2022-01-28,72.45,75.41,72.45,74.23,30639.0
2022-01-31,75.0,76.09,74.14,75.27,32047.0
2022-02-01,75.91,78.09,74.55,75.45,125431.0
2022-02-02,75.91,80.73,74.36,77.09,317211.0
2022-02-03,78.59,78.59,76.45,77.32,79123.0
2022-02-04,78.05,78.05,74.55,74.82,58055.0
2022-02-07,75.91,76.77,74.64,75.41,37588.0
2022-02-08,76.36,76.36,73.64,74.18,37451.0
2022-02-09,76.27,82.27,75.05,81.59,685884.0
2022-02-10,81.82,81.82,77.73,78.05,194881.0
2022-02-11,76.82,80.91,76.23,76.91,235772.0
2022-02-14,76.91,76.91,70.23,71.14,75648.0
2022-02-15,70.18,73.64,70.0,72.95,47841.0
2022-02-16,72.82,75.91,70.95,71.64,108300.0
2022-02-17,73.18,75.18,71.64,73.91,100131.0
2022-02-18,72.73,74.86,72.73,73.64,45108.0
2022-02-21,73.64,75.0,72.05,73.82,57300.0
2022-02-22,70.14,72.5,68.77,70.59,49593.0
2022-02-23,69.45,73.14,69.45,71.91,24168.0
2022-02-24,68.73,70.45,63.36,64.0,118939.0
2022-02-25,64.05,68.64,64.05,65.5,68294.0
2022-02-28,66.82,71.59,63.73,70.14,92621.0
2022-03-02,71.14,72.68,68.64,70.91,59528.0
2022-03-03,71.82,73.45,70.5,71.73,30164.0
2022-03-04,71.64,71.64,69.14,70.23,13621.0
2022-03-07,70.77,72.0,66.41,70.32,63462.0
2022-03-08,70.91,73.59,69.36,72.73,43107.0
2022-03-09,73.18,75.45,71.82,74.73,39409.0
2022-03-10,76.36,76.41,74.05,74.36,40466.0
2022-03-11,73.64,81.09,73.27,79.77,261985.0
2022-03-14,81.73,88.0,80.05,86.41,944376.0
2022-03-15,86.36,91.23,81.09,83.05,971239.0
2022-03-16,84.68,90.27,83.64,87.09,950965.0
2022-03-17,87.91,92.27,85.05,85.91,584856.0
2022-03-21,86.82,103.09,84.14,101.32,2817442.0
2022-03-22,102.27,102.64,95.27,96.36,975225.0
2022-03-23,96.36,101.82,95.82,97.41,696759.0
2022-03-24,96.0,98.77,94.64,95.82,196852.0
2022-03-25,95.86,103.45,92.59,101.82,754031.0
2022-03-28,105.82,109.55,102.77,105.32,1470268.0
2022-03-29,106.09,113.45,105.18,106.95,805624.0
2022-03-30,108.0,109.77,103.73,105.0,336674.0
2022-03-31,105.0,107.64,103.64,104.68,220690.0
2022-04-01,105.27,114.36,104.45,110.73,881511.0
2022-04-04,112.41,117.5,112.09,113.73,656594.0
2022-04-05,114.55,115.14,91.0,111.64,313601.0
2022-04-06,112.41,117.91,111.82,113.5,642430.0
2022-04-07,113.5,114.95,107.5,109.55,272497.0
2022-04-08,110.0,112.05,106.91,107.59,214204.0
2022-04-11,108.18,109.95,105.73,106.55,175190.0
2022-04-12,106.45,108.82,103.09,106.41,240026.0
2022-04-13,105.55,112.55,105.55,111.82,545085.0
2022-04-18,111.73,120.91,110.18,116.73,1312989.0
2022-04-19,116.73,119.55,108.18,110.95,416460.0
2022-04-20,111.45,116.05,111.45,114.95,277895.0
2022-04-21,115.82,118.14,112.41,113.64,199422.0
2022-04-22,113.59,117.14,111.64,113.5,262336.0
2022-04-25,109.14,113.41,107.45,108.73,212289.0
2022-04-26,110.0,112.73,108.91,110.05,118819.0
2022-04-27,109.09,109.77,105.64,106.86,96317.0
2022-04-28,107.27,109.77,105.82,106.41,117273.0
2022-04-29,107.32,112.91,105.05,105.95,258729.0
2022-05-02,105.82,106.14,102.5,103.45,80474.0
2022-05-04,103.95,106.23,98.23,99.77,104321.0
2022-05-05,100.55,106.32,97.82,100.86,165126.0
2022-05-06,98.18,103.82,95.91,97.73,234615.0
2022-05-09,98.82,98.82,85.95,86.95,293320.0
2022-05-10,87.27,90.73,82.14,85.05,163693.0
2022-05-11,85.14,86.91,79.23,83.18,154738.0
2022-05-12,81.82,85.18,78.0,79.86,190166.0
2022-05-13,81.82,85.36,81.5,82.68,132754.0
2022-05-16,83.91,88.09,81.68,86.64,121630.0
2022-05-17,87.73,91.45,87.5,90.55,73603.0
2022-05-18,92.68,102.36,91.68,97.45,517204.0
2022-05-19,95.09,98.36,92.36,92.95,216264.0
2022-05-20,95.0,97.18,93.68,95.0,93635.0
2022-05-23,95.59,99.0,90.41,91.59,267529.0
