date,open,high,low,close,volume
2021-05-12,8.15,8.4,8.15,8.25,15922.0
2021-05-14,8.4,8.6,8.2,8.5,38798.0
2021-05-17,8.8,8.8,8.3,8.5,21464.0
2021-05-18,8.6,8.7,8.25,8.65,41667.0
2021-05-19,8.7,8.7,8.4,8.5,24100.0
2021-05-20,8.65,8.65,8.4,8.5,11383.0
2021-05-21,8.6,8.6,8.4,8.5,16273.0
2021-05-24,8.6,8.8,8.4,8.7,44765.0
2021-05-25,8.5,8.8,8.5,8.65,33406.0
2021-05-26,8.7,8.9,8.6,8.75,61675.0
2021-05-27,8.95,8.95,8.35,8.65,48824.0
2021-05-28,8.8,8.8,8.65,8.65,42591.0
2021-05-31,8.65,8.8,8.4,8.7,35016.0
2021-06-01,8.85,8.85,8.55,8.65,21927.0
2021-06-02,8.75,8.8,8.6,8.7,33679.0
2021-06-03,8.9,8.9,8.65,8.8,54490.0
2021-06-04,8.9,9.2,8.8,9.2,43511.0
2021-06-07,9.95,10.1,9.75,10.1,127718.0
2021-06-08,10.25,11.1,10.25,11.1,429213.0
2021-06-09,11.0,11.0,10.4,10.45,155223.0
2021-06-10,10.75,10.9,10.2,10.85,84889.0
2021-06-11,10.9,11.4,10.9,11.15,80482.0
2021-06-14,11.05,11.3,10.75,11.15,71013.0
2021-06-15,11.2,11.3,10.5,11.15,143144.0
2021-06-16,11.45,11.45,10.9,11.3,87007.0
2021-06-17,11.35,11.35,10.8,11.1,34700.0
2021-06-18,11.25,11.25,10.6,10.8,33920.0
2021-06-21,10.75,10.9,10.35,10.8,25013.0
2021-06-22,11.25,11.25,10.5,10.8,45676.0
2021-06-23,10.95,11.3,10.5,11.15,75135.0
2021-06-24,11.7,11.7,10.8,11.2,101916.0
2021-06-25,11.3,11.3,10.7,10.8,36258.0
2021-06-28,11.2,11.25,10.5,10.9,33709.0
2021-06-29,10.7,10.95,10.4,10.6,16735.0
2021-06-30,10.8,10.8,10.4,10.55,17170.0
2021-07-01,10.8,10.8,10.4,10.75,16132.0
2021-07-02,10.65,10.9,10.45,10.65,15844.0
2021-07-05,10.55,10.8,10.45,10.65,13766.0
2021-07-06,10.6,10.85,10.5,10.75,18217.0
2021-07-07,10.75,10.8,10.4,10.5,42090.0
2021-07-08,10.75,10.75,10.3,10.45,14814.0
2021-07-09,10.8,10.8,10.25,10.55,15939.0
2021-07-12,10.9,10.9,10.45,10.6,17705.0
2021-07-13,10.85,10.85,10.3,10.4,13970.0
2021-07-14,10.25,10.45,9.9,10.3,43815.0
2021-07-15,10.0,10.65,10.0,10.3,6619.0
2021-07-16,10.3,10.55,9.9,10.25,16871.0
2021-07-19,9.9,10.45,9.8,9.85,22534.0
2021-07-20,9.7,10.2,9.5,9.65,25987.0
2021-07-22,9.95,9.95,9.65,9.75,8632.0
2021-07-23,10.1,10.1,9.3,9.55,16279.0
2021-07-26,9.15,9.5,9.15,9.15,27638.0
2021-07-27,9.45,9.6,8.8,9.5,179475.0
2021-07-28,9.8,9.8,9.05,9.3,71491.0
2021-07-29,9.6,9.6,9.0,9.0,76349.0
2021-07-30,9.0,9.2,8.55,9.05,83721.0
2021-08-02,9.05,9.25,9.05,9.1,29698.0
2021-08-03,9.45,9.45,8.9,9.2,27083.0
2021-08-04,9.4,9.4,8.8,8.85,22833.0
2021-08-05,9.1,9.1,8.8,8.9,14320.0
2021-08-06,8.8,9.4,8.8,9.2,22032.0
2021-08-09,9.2,9.8,9.2,9.4,23983.0
2021-08-10,9.35,9.35,8.9,9.05,9690.0
2021-08-11,9.05,9.05,8.25,8.75,31244.0
2021-08-12,9.1,9.15,8.3,8.85,36348.0
2021-08-13,9.2,9.35,8.8,9.15,29962.0
2021-08-16,9.9,9.9,8.8,9.15,13481.0
2021-08-17,9.6,9.6,8.8,8.95,6226.0
2021-08-18,9.35,9.5,8.55,8.8,26698.0
2021-08-20,9.35,9.35,8.6,8.8,27979.0
2021-08-23,8.65,9.1,8.35,8.6,17933.0
2021-08-24,8.45,8.8,7.75,8.15,61429.0
2021-08-25,8.3,8.4,8.2,8.35,7628.0
2021-08-26,8.35,8.85,8.05,8.4,18794.0
2021-08-27,8.95,8.95,8.1,8.4,9615.0
2021-08-30,8.8,8.8,8.2,8.4,12441.0
2021-08-31,8.8,8.8,8.25,8.6,7784.0
2021-09-01,8.9,8.9,8.05,8.25,40924.0
2021-09-02,8.6,8.6,8.2,8.35,15562.0
2021-09-03,8.6,8.6,8.2,8.4,4789.0
2021-09-06,8.6,8.6,8.2,8.3,10865.0
2021-09-07,8.55,8.55,8.1,8.5,12769.0
2021-09-08,8.55,8.55,8.2,8.55,14049.0
2021-09-09,8.55,8.55,8.15,8.45,12934.0
2021-09-13,8.05,8.45,8.05,8.4,17025.0
2021-09-14,8.6,8.6,8.2,8.35,10007.0
2021-09-15,8.6,9.15,8.5,9.0,97802.0
2021-09-16,9.1,9.6,8.8,9.35,64629.0
2021-09-17,9.9,9.9,9.0,9.25,65222.0
2021-09-20,8.7,9.45,8.7,9.0,34374.0
2021-09-21,9.35,9.35,8.7,9.0,28478.0
