date,open,high,low,close,volume
2021-05-12,84.5,92.4,84.5,87.45,452931.0
2021-05-14,87.5,98.0,87.0,92.35,1405045.0
2021-05-17,93.05,96.9,93.05,94.6,494346.0
2021-05-18,95.3,95.6,92.2,92.55,103309.0
2021-05-19,93.0,104.8,92.5,101.5,2853333.0
2021-05-20,102.75,109.7,100.0,105.85,2223239.0
2021-05-21,106.75,106.8,100.55,101.7,547725.0
2021-05-24,101.1,108.5,101.1,106.85,867060.0
2021-05-25,105.7,108.0,100.95,102.8,622421.0
2021-05-26,103.55,120.75,102.8,113.6,3142564.0
2021-05-27,115.0,115.8,109.9,111.7,608742.0
2021-05-28,111.7,118.8,111.7,117.15,1409714.0
2021-05-31,120.9,126.0,118.3,124.25,1889630.0
2021-06-01,125.1,125.85,113.05,115.5,1026188.0
2021-06-02,116.0,118.9,115.45,116.9,329046.0
2021-06-03,117.0,120.0,115.5,116.1,323691.0
2021-06-04,116.5,118.65,113.7,115.15,398077.0
2021-06-07,115.9,118.0,112.05,113.85,310566.0
2021-06-08,114.4,115.05,109.5,111.05,518772.0
2021-06-09,112.1,113.9,106.1,107.55,374105.0
2021-06-10,108.6,111.45,108.05,110.45,218213.0
2021-06-11,112.0,115.0,111.15,113.15,667418.0
2021-06-14,112.85,113.85,108.5,110.4,226581.0
2021-06-15,111.6,113.95,109.35,111.55,488698.0
2021-06-16,112.05,112.55,109.7,110.65,243746.0
2021-06-17,109.0,112.4,108.0,108.55,244480.0
2021-06-18,109.0,110.65,101.65,105.7,348107.0
2021-06-21,103.1,107.25,102.3,106.75,210672.0
2021-06-22,107.25,108.9,105.5,105.85,357569.0
2021-06-23,106.75,107.55,104.9,105.3,124368.0
2021-06-24,106.6,106.95,104.65,105.0,75336.0
2021-06-25,106.0,106.4,103.2,104.55,98905.0
2021-06-28,105.7,111.95,105.0,109.05,701125.0
2021-06-29,109.8,112.0,105.25,105.85,281039.0
2021-06-30,107.05,113.9,105.95,111.45,959388.0
2021-07-01,113.0,115.0,111.3,113.7,580432.0
2021-07-02,114.0,114.2,110.0,110.45,215011.0
2021-07-05,111.55,112.45,109.1,109.75,199338.0
2021-07-06,109.75,111.0,105.5,106.3,302527.0
2021-07-07,106.75,113.45,106.2,112.95,666548.0
2021-07-08,114.0,115.5,109.6,111.0,1010059.0
2021-07-09,111.0,112.0,109.3,111.25,142795.0
2021-07-12,111.65,112.9,108.4,109.15,274718.0
2021-07-13,109.8,111.1,108.1,109.05,270600.0
2021-07-14,109.1,115.7,108.2,114.15,779090.0
2021-07-15,115.0,118.0,112.0,114.7,1230951.0
2021-07-16,115.0,115.6,112.1,112.7,278123.0
2021-07-19,111.0,114.35,111.0,111.4,238781.0
2021-07-20,113.85,116.0,108.1,112.55,1244881.0
2021-07-22,113.75,114.7,111.45,112.05,290132.0
2021-07-23,112.45,114.25,110.3,112.15,348540.0
2021-07-26,111.8,113.0,110.5,111.2,154569.0
2021-07-27,111.5,112.45,107.2,108.2,210364.0
2021-07-28,109.2,109.2,105.0,107.0,163405.0
2021-07-29,106.65,111.8,106.65,110.3,448025.0
2021-07-30,110.5,111.3,108.0,108.75,111243.0
2021-08-02,109.6,110.75,108.6,108.95,116043.0
2021-08-03,109.05,112.8,109.05,109.55,218529.0
2021-08-04,110.8,112.55,107.8,108.4,171639.0
2021-08-05,109.8,110.0,105.65,108.25,215820.0
2021-08-06,108.0,109.7,107.2,108.2,63296.0
2021-08-09,108.65,110.2,106.2,106.9,105689.0
2021-08-10,108.2,108.2,100.1,102.45,157042.0
2021-08-11,102.45,104.05,96.4,102.4,273698.0
2021-08-12,102.0,105.5,102.0,104.6,102092.0
2021-08-13,105.5,105.9,100.2,101.4,292799.0
2021-08-16,100.9,101.25,99.0,99.2,96241.0
2021-08-17,100.55,106.9,100.15,103.6,585837.0
2021-08-18,104.0,104.1,98.6,99.7,229842.0
2021-08-20,101.9,103.1,97.0,97.75,376490.0
2021-08-23,98.7,100.8,92.9,93.85,156403.0
2021-08-24,94.5,95.7,93.0,93.85,90910.0
2021-08-25,95.0,95.85,91.2,93.1,117090.0
2021-08-26,95.0,95.05,92.3,93.8,81249.0
2021-08-27,94.65,94.65,91.9,93.8,77156.0
2021-08-30,95.2,96.9,93.95,95.15,236326.0
2021-08-31,95.2,95.85,94.15,94.85,63043.0
2021-09-01,94.15,96.15,93.8,95.05,181975.0
2021-09-02,95.7,97.5,95.0,96.8,147531.0
2021-09-03,97.8,100.9,96.8,98.65,214585.0
2021-09-06,99.3,100.0,98.05,98.55,166957.0
2021-09-07,100.5,104.0,99.55,100.1,300459.0
2021-09-08,100.3,101.25,98.4,99.05,64842.0
2021-09-09,99.8,99.8,97.4,97.7,95009.0
2021-09-13,99.5,99.5,95.0,96.75,73854.0
2021-09-14,96.25,97.5,95.85,96.3,91721.0
2021-09-15,98.5,98.55,96.6,97.0,77494.0
2021-09-16,97.95,98.0,96.2,97.05,94041.0
2021-09-17,98.4,98.4,95.05,95.8,147567.0
2021-09-20,95.25,96.2,93.2,93.7,105995.0
2021-09-21,94.5,94.75,89.45,90.35,417580.0
2021-09-22,90.8,93.5,90.8,92.95,147255.0
2021-09-23,93.7,94.5,91.95,93.05,138595.0
2021-09-24,93.05,98.3,93.05,96.85,630382.0
2021-09-27,97.3,97.6,93.9,94.1,140367.0
2021-09-28,94.85,95.0,93.1,93.9,94906.0
2021-09-29,93.9,95.65,92.0,93.15,147788.0
2021-09-30,93.85,94.35,92.1,92.9,137629.0
2021-10-01,92.9,94.4,92.55,93.65,104548.0
2021-10-04,94.35,99.45,94.1,98.25,455806.0
2021-10-05,98.0,98.35,95.0,96.8,185299.0
2021-10-06,97.8,99.0,96.4,96.85,181924.0
2021-10-07,98.2,98.2,96.5,97.55,110402.0
2021-10-08,98.4,99.0,97.0,97.55,106425.0
2021-10-11,98.45,98.95,96.05,97.05,127977.0
2021-10-12,97.0,98.45,95.6,96.9,107802.0
2021-10-13,98.0,98.8,97.0,97.3,138914.0
2021-10-14,98.0,98.5,96.5,97.05,96655.0
2021-10-18,97.15,97.9,95.7,96.35,123341.0
2021-10-19,97.75,97.9,93.4,94.0,178733.0
2021-10-20,94.0,95.8,91.2,93.55,166360.0
2021-10-21,93.05,94.3,91.2,92.3,123576.0
2021-10-22,92.6,93.7,91.1,91.65,68237.0
2021-10-25,91.8,92.75,89.2,90.0,67057.0
2021-10-26,90.0,92.0,89.7,91.35,44987.0
2021-10-27,92.2,95.8,91.4,93.45,235570.0
2021-10-28,94.1,94.1,90.9,91.2,58335.0
2021-10-29,91.45,91.95,90.15,90.85,35435.0
2021-11-01,90.85,92.25,90.55,90.95,43934.0
2021-11-02,90.9,92.0,90.5,91.0,58615.0
2021-11-03,91.75,91.95,89.85,90.7,55382.0
2021-11-04,91.4,91.6,87.2,91.3,29583.0
2021-11-08,91.3,91.9,90.05,91.2,65298.0
2021-11-09,91.6,98.4,91.6,95.95,485111.0
2021-11-10,95.7,97.9,94.1,96.6,138998.0
2021-11-11,96.2,97.7,94.8,97.1,105561.0
2021-11-12,97.25,98.4,95.75,96.1,68432.0
2021-11-15,96.5,98.1,95.6,97.5,199995.0
2021-11-16,98.0,107.6,96.45,106.8,1150277.0
2021-11-17,107.45,113.7,105.6,109.8,1542830.0
2021-11-18,111.0,111.7,104.5,105.9,520613.0
2021-11-22,105.0,115.55,104.95,111.05,1184260.0
2021-11-23,110.0,113.7,109.0,111.6,474889.0
2021-11-24,112.0,115.5,107.3,108.05,636559.0
2021-11-25,109.35,110.65,105.9,108.15,274598.0
2021-11-26,107.5,107.5,105.05,105.35,130605.0
2021-11-29,104.0,104.55,95.85,102.0,194347.0
2021-11-30,103.0,108.6,96.2,102.0,242729.0
2021-12-01,103.5,104.6,101.0,101.55,67718.0
2021-12-02,101.65,105.85,101.3,105.2,139322.0
2021-12-03,105.75,107.95,103.1,103.7,132827.0
2021-12-06,104.5,105.6,102.35,102.6,107864.0
2021-12-07,105.0,109.45,102.6,106.5,199799.0
2021-12-08,107.8,107.8,105.0,106.55,100003.0
2021-12-09,107.5,107.9,105.65,106.5,61792.0
2021-12-10,106.0,109.8,105.75,108.65,158753.0
2021-12-13,109.0,109.65,106.3,106.9,77311.0
2021-12-14,108.0,109.5,106.9,108.95,134080.0
2021-12-15,108.95,109.5,106.35,106.95,125985.0
2021-12-16,108.85,108.85,105.3,106.3,134067.0
2021-12-17,106.3,107.65,105.0,105.1,95269.0
2021-12-20,105.1,106.0,104.3,104.85,242532.0
2021-12-21,104.2,109.0,104.2,106.2,161093.0
2021-12-22,106.05,111.75,106.0,109.3,248421.0
2021-12-23,110.25,110.25,106.85,107.15,98395.0
2021-12-24,107.15,111.75,106.4,109.3,237485.0
2021-12-27,109.3,117.0,107.4,113.65,1020292.0
2021-12-28,114.0,118.8,107.6,111.0,636022.0
2021-12-29,110.1,113.45,110.05,110.9,205269.0
2021-12-30,110.85,111.3,108.75,109.1,119020.0
2021-12-31,109.9,117.3,109.85,115.85,375036.0
2022-01-03,115.0,118.1,112.35,113.65,262974.0
2022-01-04,114.0,114.95,111.5,112.65,99593.0
2022-01-05,113.65,114.5,109.9,111.1,183745.0
2022-01-06,110.9,116.3,110.15,114.0,187687.0
2022-01-07,114.75,115.8,110.25,114.55,218634.0
2022-01-10,113.2,120.05,113.2,115.3,490816.0
2022-01-11,118.0,125.45,115.3,115.95,1494293.0
2022-01-12,117.3,121.0,117.1,119.75,639045.0
2022-01-13,120.6,129.7,119.4,128.85,2592016.0
2022-01-14,128.95,134.3,128.1,132.65,1728312.0
2022-01-17,135.0,141.3,132.75,135.35,1370867.0
2022-01-18,136.4,142.3,133.3,134.7,1175824.0
2022-01-19,141.6,151.0,137.35,140.75,3659929.0
2022-01-20,142.0,142.8,134.4,137.3,650363.0
2022-01-21,135.4,137.1,133.45,135.3,381615.0
2022-01-24,136.0,138.05,128.5,131.95,626558.0
2022-01-25,130.75,136.0,126.2,133.9,313050.0
2022-01-27,130.25,141.3,130.25,136.55,590089.0
2022-01-28,138.2,144.5,138.2,139.55,707336.0
2022-01-31,141.05,143.95,134.45,138.55,458769.0
2022-02-01,137.8,139.3,134.0,136.95,208575.0
2022-02-02,138.25,140.85,137.1,139.0,159559.0
2022-02-03,140.5,142.5,138.0,139.5,188357.0
2022-02-04,140.5,141.3,137.55,138.35,196507.0
2022-02-07,139.7,139.7,136.55,138.9,217913.0
2022-02-08,137.65,139.15,132.8,137.0,128723.0
2022-02-09,137.0,140.95,135.5,139.5,203395.0
2022-02-10,137.6,143.25,137.3,138.3,188241.0
2022-02-11,137.7,137.7,133.05,134.95,107455.0
2022-02-14,131.0,131.0,118.8,121.25,385602.0
2022-02-15,124.95,129.3,120.6,127.4,158980.0
2022-02-16,129.8,140.15,127.15,135.7,456961.0
2022-02-17,135.0,136.35,133.15,135.0,153429.0
2022-02-18,135.0,139.7,134.5,136.15,151285.0
2022-02-21,136.0,139.9,133.0,135.95,271856.0
2022-02-22,133.05,135.15,127.1,131.7,121077.0
2022-02-23,132.65,134.1,129.1,130.1,118984.0
2022-02-24,128.0,128.0,115.0,119.4,187429.0
2022-02-25,116.0,130.8,115.65,125.35,681819.0
2022-02-28,123.0,127.05,119.9,125.2,209110.0
2022-03-02,124.95,144.8,123.75,141.95,1013148.0
2022-03-03,143.0,148.75,135.8,137.65,580088.0
2022-03-04,136.0,141.95,133.65,135.8,311510.0
2022-03-07,134.9,141.0,130.7,134.45,388375.0
2022-03-08,135.0,140.5,133.15,137.25,371420.0
2022-03-09,136.8,140.0,132.0,137.15,213696.0
2022-03-10,140.7,142.0,136.2,137.35,212537.0
2022-03-11,136.25,140.4,136.05,138.45,94981.0
2022-03-14,140.5,140.5,135.0,135.75,165358.0
2022-03-15,137.8,139.9,132.3,133.55,127309.0
2022-03-16,135.8,138.0,135.0,135.5,46306.0
2022-03-17,137.0,137.05,131.4,131.75,124642.0
2022-03-21,130.5,130.5,118.25,127.1,415277.0
2022-03-22,128.6,128.6,123.4,124.65,99433.0
2022-03-23,125.0,126.0,122.4,123.35,83806.0
2022-03-24,122.05,124.95,121.85,123.35,115744.0
