date,open,high,low,close,volume
2021-05-12,11.01,11.58,10.71,10.97,160549.0
2021-05-14,11.14,11.27,10.49,10.58,77580.0
2021-05-17,11.19,11.76,10.49,11.23,215071.0
2021-05-18,11.23,11.62,11.1,11.32,223651.0
2021-05-19,11.19,11.58,11.1,11.36,110965.0
2021-05-20,11.58,13.07,11.27,12.8,636588.0
2021-05-21,13.11,13.85,12.59,13.07,678833.0
2021-05-24,13.24,14.68,13.11,14.2,1147851.0
2021-05-25,14.64,15.3,14.25,14.99,776594.0
2021-05-26,15.43,15.73,13.68,14.81,534023.0
2021-05-27,15.12,15.56,14.25,14.86,540053.0
2021-05-28,15.3,16.34,14.2,14.42,480228.0
2021-05-31,14.77,15.3,14.38,14.47,818852.0
2021-06-01,14.81,14.86,13.55,13.85,428977.0
2021-06-02,13.37,14.64,13.37,14.42,205547.0
2021-06-03,14.64,14.81,13.42,13.85,387078.0
2021-06-04,13.94,14.73,13.77,14.42,375668.0
2021-06-07,14.9,14.9,14.03,14.16,351773.0
2021-06-08,14.03,14.77,13.81,13.9,245862.0
2021-06-09,14.2,14.51,13.59,13.77,449426.0
2021-06-10,13.77,14.33,13.46,13.9,190384.0
2021-06-11,14.2,14.2,13.68,13.81,118454.0
2021-06-14,14.12,14.12,12.72,13.33,213542.0
2021-06-15,13.81,13.81,13.11,13.15,105532.0
2021-06-16,13.72,13.72,11.97,12.8,119714.0
2021-06-17,13.11,13.11,12.32,12.54,136399.0
2021-06-18,12.37,12.85,11.8,12.76,130646.0
2021-06-21,13.33,13.98,12.5,13.81,232221.0
2021-06-22,13.81,14.42,13.72,13.94,182084.0
2021-06-23,13.94,14.16,13.2,13.55,137062.0
2021-06-24,13.46,13.81,12.32,12.94,99235.0
2021-06-25,12.72,12.8,11.67,11.67,603357.0
2021-06-28,11.62,12.06,10.66,10.79,506583.0
2021-06-29,10.97,11.14,10.36,10.58,403342.0
2021-06-30,10.84,11.1,10.49,11.1,266499.0
2021-07-01,11.1,11.36,10.97,11.06,120209.0
2021-07-02,11.32,11.36,10.62,11.27,140032.0
2021-07-05,10.93,11.36,10.79,10.88,171498.0
2021-07-06,10.75,11.19,10.75,11.01,108328.0
2021-07-07,11.14,11.54,10.88,11.49,228728.0
2021-07-08,11.67,11.67,11.1,11.23,96676.0
2021-07-09,11.1,11.71,10.88,11.49,104052.0
2021-07-12,11.76,11.76,11.01,11.19,167743.0
2021-07-13,11.19,11.54,10.97,11.27,85308.0
2021-07-14,11.45,11.45,10.97,11.1,61081.0
2021-07-15,10.97,11.54,10.75,10.93,329939.0
2021-07-16,10.79,11.01,10.75,10.93,89745.0
2021-07-19,11.1,11.45,10.75,11.27,86702.0
2021-07-20,11.49,11.8,10.93,11.8,229576.0
2021-07-22,11.89,12.37,11.49,12.37,242251.0
2021-07-23,12.94,12.98,12.37,12.59,251367.0
2021-07-26,12.59,13.11,12.28,12.8,231138.0
2021-07-27,13.07,13.42,12.67,13.42,278146.0
2021-07-28,13.63,14.03,12.76,13.15,244870.0
2021-07-29,13.29,13.55,12.76,13.2,109118.0
2021-07-30,13.42,13.85,13.07,13.81,329349.0
2021-08-02,14.38,14.42,13.33,13.59,194286.0
2021-08-03,13.33,13.9,12.94,12.94,193592.0
2021-08-04,13.07,13.29,12.32,12.32,134958.0
2021-08-05,12.24,12.76,11.71,12.5,131303.0
2021-08-06,12.63,13.11,12.02,13.11,136613.0
2021-08-09,13.46,13.77,12.67,12.8,337782.0
2021-08-10,13.07,13.07,12.19,12.19,121552.0
2021-08-11,12.37,12.59,11.62,11.71,103672.0
2021-08-12,11.97,12.19,11.41,11.97,87874.0
2021-08-13,11.8,11.8,11.41,11.41,191844.0
2021-08-16,11.41,11.76,10.97,11.01,75234.0
2021-08-17,11.14,11.41,10.58,11.1,215307.0
2021-08-18,11.27,11.45,10.97,11.01,47837.0
2021-08-20,10.93,11.01,10.58,10.84,36776.0
2021-08-23,10.66,11.19,10.31,10.36,77480.0
2021-08-24,10.49,10.84,9.92,10.84,116016.0
2021-08-25,10.31,10.93,10.31,10.71,48083.0
2021-08-26,10.88,11.01,10.4,10.71,24232.0
2021-08-27,10.93,11.06,10.31,10.4,57394.0
2021-08-30,10.71,10.71,10.09,10.36,61523.0
2021-08-31,10.66,10.71,10.14,10.44,94367.0
2021-09-01,10.62,10.79,10.27,10.58,42555.0
2021-09-02,10.71,10.71,10.18,10.27,77489.0
2021-09-03,10.31,10.49,10.05,10.27,125268.0
2021-09-06,10.49,10.49,10.09,10.23,61149.0
2021-09-07,10.49,10.49,10.01,10.14,53025.0
2021-09-08,10.18,10.62,10.18,10.49,83717.0
2021-09-09,10.49,10.71,10.18,10.44,42292.0
2021-09-13,10.31,10.71,10.01,10.23,63480.0
2021-09-14,10.27,10.44,10.09,10.27,58434.0
2021-09-15,10.4,10.49,10.14,10.36,41178.0
2021-09-16,10.44,10.49,10.18,10.44,97869.0
2021-09-17,10.53,10.53,10.18,10.31,50540.0
2021-09-20,10.36,10.4,10.14,10.31,43433.0
2021-09-21,10.44,10.44,10.18,10.36,43620.0
2021-09-22,10.44,10.58,10.18,10.23,48989.0
2021-09-23,10.53,10.53,9.96,10.09,65760.0
2021-09-24,10.14,10.58,10.05,10.58,183435.0
2021-09-27,10.75,11.1,10.62,11.1,238338.0
2021-09-28,11.27,11.62,11.19,11.62,165612.0
2021-09-29,12.19,12.19,11.23,12.19,264947.0
2021-09-30,12.59,12.72,11.62,11.76,580225.0
2021-10-01,11.76,11.76,11.41,11.45,66654.0
2021-10-04,11.45,11.62,11.06,11.14,102035.0
2021-10-05,11.14,11.67,11.14,11.67,109632.0
2021-10-06,12.24,12.24,12.24,12.24,77577.0
2021-10-07,13.46,13.46,12.45,13.07,794865.0
2021-10-08,13.11,13.11,12.37,12.63,69108.0
2021-10-11,12.67,13.46,12.5,12.72,78412.0
2021-10-12,12.5,12.89,12.02,12.28,124140.0
2021-10-13,12.72,12.72,11.84,12.11,36468.0
2021-10-14,12.63,12.63,11.84,12.11,42369.0
2021-10-18,11.67,12.5,11.19,12.15,69384.0
2021-10-19,12.19,12.67,11.27,11.41,135433.0
2021-10-20,11.36,12.02,10.93,11.62,62676.0
