date,open,high,low,close,volume
2026-04-20,40.0,47.0,35.45,42.6,7688.0
2026-04-21,46.6,46.65,35.0,39.7,2906.0
2026-04-22,40.0,43.3,39.5,42.0,2261.0
2026-04-23,49.5,49.5,42.2,44.55,2914.0
2026-04-24,47.95,47.95,39.0,39.9,3735.0
2026-04-27,47.3,47.85,43.0,47.85,48733.0
2026-04-28,48.9,56.0,47.0,47.9,41810.0
2026-04-29,47.0,52.5,47.0,47.15,11100.0
2026-04-30,49.9,49.9,40.7,43.15,8200.0
2026-05-04,49.89,49.89,40.0,42.41,5575.0
2026-05-05,48.6,48.75,42.17,43.15,9698.0
2026-05-06,47.9,47.9,41.9,45.55,3812.0
2026-05-07,47.0,49.0,44.01,46.29,3732.0
2026-05-08,46.65,47.88,42.06,45.45,3035.0
