date,open,high,low,close,volume
2021-05-12,38.65,38.7,36.6,36.9,47094.0
2021-05-14,36.5,36.95,35.15,35.55,33670.0
2021-05-17,36.8,39.0,35.6,37.5,101643.0
2021-05-18,36.1,38.45,36.1,37.4,54517.0
2021-05-19,37.9,38.55,37.1,37.8,47326.0
2021-05-20,38.0,38.5,37.0,37.3,24307.0
2021-05-21,38.25,38.45,37.05,37.3,37591.0
2021-05-24,37.35,37.95,36.6,37.1,25646.0
2021-05-25,37.9,44.5,37.25,44.2,638052.0
2021-05-26,45.0,47.4,43.95,45.45,333329.0
2021-05-27,45.5,45.95,42.25,43.1,120685.0
2021-05-28,43.85,46.0,41.85,44.5,230671.0
2021-05-31,47.0,53.4,47.0,53.4,514873.0
2021-06-01,55.5,58.7,54.5,58.7,964148.0
2021-06-02,59.55,59.55,53.6,55.5,466564.0
2021-06-03,56.4,56.9,54.1,55.3,158128.0
2021-06-04,56.7,56.7,53.75,54.15,103366.0
2021-06-07,55.0,55.0,51.5,52.05,181388.0
2021-06-08,52.05,53.0,50.25,50.75,129872.0
2021-06-09,50.2,53.5,50.0,51.15,114699.0
2021-06-10,51.3,52.7,50.2,51.0,75225.0
2021-06-11,51.05,56.1,51.05,53.25,116218.0
2021-06-14,53.25,54.95,51.0,52.05,60385.0
2021-06-15,51.2,53.9,51.15,51.8,51327.0
2021-06-16,51.2,53.0,49.75,50.05,109095.0
2021-06-17,50.1,50.55,48.2,48.95,92580.0
2021-06-18,49.0,50.4,45.2,46.35,149070.0
2021-06-21,46.3,50.95,45.0,50.95,198963.0
2021-06-22,54.9,54.9,50.25,51.25,93894.0
2021-06-23,52.9,52.9,48.2,49.6,68287.0
2021-06-24,49.6,51.15,46.5,48.2,69488.0
2021-06-25,48.85,48.85,46.65,47.4,59385.0
2021-06-28,48.9,49.9,47.05,48.9,49425.0
2021-06-29,49.5,53.0,48.9,52.05,172729.0
2021-06-30,52.4,53.4,50.2,50.85,68412.0
2021-07-01,51.0,53.0,49.15,52.4,98849.0
2021-07-02,52.7,54.2,51.8,53.8,170643.0
2021-07-05,54.0,54.0,51.55,52.05,83201.0
2021-07-06,52.25,55.6,51.65,52.8,248836.0
2021-07-07,54.0,54.0,52.05,52.3,52908.0
2021-07-08,52.3,53.4,50.3,50.75,50767.0
2021-07-09,51.8,51.8,50.35,50.95,32316.0
2021-07-12,51.5,53.85,50.9,52.15,88980.0
2021-07-13,53.3,53.75,52.2,52.95,43928.0
2021-07-14,53.4,55.9,51.25,53.95,207208.0
2021-07-15,54.5,54.9,52.2,52.75,122416.0
2021-07-16,52.8,53.8,51.1,51.6,47839.0
2021-07-19,52.25,52.85,50.95,51.5,37323.0
2021-07-20,52.45,52.45,48.1,49.65,98249.0
2021-07-22,50.95,51.0,47.6,48.5,62549.0
2021-07-23,49.0,53.35,48.15,53.2,298980.0
2021-07-26,57.9,58.5,55.1,58.5,596500.0
2021-07-27,63.5,64.35,62.2,64.35,1019638.0
2021-07-28,64.0,64.0,61.15,61.15,140391.0
2021-07-29,58.25,59.9,58.1,58.1,97460.0
2021-07-30,56.0,58.1,55.2,55.4,283014.0
2021-08-02,57.6,58.0,53.05,55.9,152413.0
2021-08-03,56.0,57.25,54.0,54.4,97470.0
2021-08-04,55.95,56.8,53.5,55.1,74204.0
2021-08-05,56.8,56.8,53.5,53.85,40296.0
2021-08-06,53.35,56.25,53.35,54.8,36218.0
2021-08-09,54.0,57.5,53.35,53.75,74742.0
2021-08-10,53.15,54.45,51.5,51.8,34465.0
2021-08-11,50.0,52.0,49.25,51.0,68020.0
2021-08-12,51.25,53.55,50.05,53.35,28811.0
2021-08-13,53.4,55.8,53.4,54.0,21482.0
2021-08-16,52.45,52.45,51.3,51.35,57270.0
2021-08-17,51.2,52.25,49.0,49.6,41717.0
2021-08-18,51.0,51.0,47.15,47.25,77719.0
2021-08-20,46.8,47.2,45.0,45.25,60303.0
2021-08-23,45.5,46.65,43.0,43.35,27306.0
2021-08-24,43.05,45.5,41.7,45.5,25250.0
2021-08-25,47.35,47.75,43.65,47.5,65429.0
2021-08-26,48.7,48.7,45.5,46.6,14311.0
2021-08-27,46.05,47.65,46.05,46.7,8883.0
2021-08-30,47.9,48.0,46.05,47.15,13424.0
2021-08-31,48.1,48.2,47.25,47.3,8443.0
2021-09-01,48.0,49.55,46.1,47.45,27920.0
2021-09-02,48.0,49.75,47.1,48.05,45702.0
2021-09-03,47.5,49.25,47.5,48.75,12291.0
2021-09-06,49.5,50.75,48.65,49.15,22846.0
2021-09-07,49.25,49.95,48.3,48.5,27571.0
2021-09-08,49.75,49.75,48.05,48.4,7854.0
2021-09-09,48.8,49.15,48.3,48.65,5769.0
2021-09-13,48.75,50.8,48.1,49.3,28043.0
2021-09-14,49.5,49.9,47.75,48.25,15245.0
2021-09-15,48.5,49.3,47.5,47.95,16431.0
2021-09-16,48.8,48.8,47.2,47.75,19548.0
2021-09-17,48.6,48.65,45.85,46.5,33047.0
2021-09-20,45.85,47.95,45.35,46.45,29508.0
2021-09-21,45.55,47.0,44.5,45.05,40201.0
2021-09-22,46.2,46.95,45.3,46.25,24971.0
2021-09-23,47.45,47.5,44.25,45.45,42140.0
2021-09-24,45.95,45.95,44.45,44.6,26425.0
2021-09-27,44.1,45.4,44.0,44.5,20579.0
2021-09-28,44.45,45.15,44.0,44.2,17857.0
2021-09-29,44.2,45.0,43.05,44.05,23996.0
2021-09-30,44.8,44.8,43.8,44.45,19400.0
2021-10-01,45.15,45.5,43.45,44.45,22860.0
2021-10-04,45.5,45.5,42.25,42.25,125926.0
2021-10-05,41.95,44.35,41.05,44.35,94229.0
2021-10-06,46.0,46.1,44.5,44.6,40357.0
2021-10-07,45.35,46.0,44.7,44.85,22192.0
2021-10-08,45.95,45.95,44.25,44.6,33026.0
2021-10-11,44.6,46.4,43.3,46.0,42498.0
2021-10-12,46.5,47.9,45.65,47.3,35057.0
2021-10-13,48.45,48.45,45.5,45.75,21596.0
2021-10-14,47.25,47.25,44.7,44.9,26003.0
2021-10-18,45.75,45.75,43.2,44.05,37025.0
2021-10-19,42.55,44.8,42.55,43.2,36187.0
2021-10-20,44.25,44.25,42.75,42.9,11141.0
2021-10-21,44.45,44.75,42.65,43.95,18647.0
2021-10-22,45.0,45.0,42.1,42.3,14695.0
2021-10-25,42.7,42.7,41.5,41.8,9827.0
2021-10-26,42.4,43.15,41.75,42.95,9456.0
2021-10-27,43.8,44.95,42.25,43.85,12006.0
2021-10-28,43.0,45.15,42.3,42.65,18153.0
2021-10-29,42.65,43.7,41.25,42.45,7909.0
2021-11-01,43.35,44.55,42.85,44.1,39725.0
2021-11-02,45.95,45.95,43.1,43.35,9219.0
2021-11-03,43.4,44.35,42.7,42.75,11423.0
2021-11-04,43.1,44.5,43.1,43.75,3073.0
2021-11-08,45.0,45.0,42.75,43.1,6841.0
2021-11-09,42.8,44.25,41.25,41.65,46845.0
2021-11-10,42.45,42.75,41.85,42.5,12229.0
2021-11-11,44.0,44.0,41.6,42.45,10683.0
2021-11-12,43.0,43.0,41.1,41.85,24505.0
2021-11-15,42.9,42.9,40.45,40.8,26284.0
2021-11-16,40.5,41.5,39.3,40.4,24875.0
2021-11-17,40.4,41.9,40.2,40.95,14665.0
2021-11-18,42.1,42.45,39.55,40.55,12981.0
2021-11-22,39.7,40.5,38.65,39.2,18814.0
2021-11-23,41.0,41.0,38.0,39.55,21812.0
2021-11-24,40.25,40.9,39.35,40.05,11400.0
2021-11-25,41.0,41.0,40.0,40.3,9492.0
2021-11-26,42.3,42.3,39.65,40.35,27209.0
2021-11-29,39.3,42.0,38.35,38.4,20538.0
2021-11-30,39.65,39.65,36.65,37.2,20560.0
2021-12-01,38.9,38.9,36.75,37.1,14799.0
2021-12-02,36.75,38.2,36.5,37.45,35895.0
2021-12-03,37.45,38.5,36.5,37.65,17027.0
2021-12-06,37.65,39.4,36.1,36.65,42514.0
2021-12-07,38.25,38.9,36.8,38.6,25549.0
2021-12-08,39.0,40.0,38.25,39.65,19453.0
2021-12-09,40.5,42.7,40.05,41.6,42240.0
2021-12-10,43.0,43.0,40.8,41.6,25363.0
2021-12-13,42.9,42.9,41.65,42.0,12670.0
2021-12-14,42.2,42.75,40.4,40.95,46753.0
2021-12-15,41.8,41.85,40.45,41.0,10085.0
2021-12-16,40.75,45.1,40.25,45.1,128360.0
2021-12-17,48.0,48.9,43.6,45.55,170195.0
2021-12-20,46.5,46.5,41.0,41.9,100827.0
2021-12-21,41.7,44.4,41.65,43.65,25906.0
2021-12-22,44.65,45.7,43.1,44.6,74662.0
2021-12-23,45.9,46.2,44.0,44.25,36891.0
2021-12-24,45.2,45.4,42.05,43.2,21540.0
2021-12-27,44.1,44.4,42.3,42.55,37223.0
2021-12-28,43.8,43.8,42.25,42.65,19788.0
2021-12-29,43.5,43.95,42.55,43.35,12680.0
2021-12-30,43.35,46.75,42.85,45.2,166853.0
2021-12-31,45.75,46.6,44.75,45.1,70039.0
2022-01-03,45.95,46.0,44.2,45.1,57469.0
2022-01-04,45.75,45.75,44.05,44.55,28078.0
2022-01-05,44.55,47.2,44.1,45.75,161042.0
2022-01-06,45.2,45.7,43.7,44.75,61995.0
2022-01-07,45.0,46.45,44.35,45.2,78354.0
2022-01-10,45.85,46.0,43.95,44.5,59620.0
2022-01-11,45.45,46.5,44.3,45.45,115869.0
2022-01-12,46.35,46.35,44.0,44.3,90534.0
2022-01-13,44.95,44.95,43.65,44.65,24904.0
2022-01-14,45.5,49.1,44.65,49.1,197255.0
2022-01-17,53.0,53.45,47.55,52.85,489296.0
2022-01-18,53.7,56.9,52.5,53.05,290875.0
2022-01-19,52.15,55.5,50.0,50.35,79851.0
2022-01-20,50.75,55.35,50.35,55.35,150941.0
2022-01-21,57.7,60.85,56.0,59.05,967726.0
2022-01-24,60.9,61.0,53.15,54.9,286876.0
2022-01-25,54.55,60.35,52.05,60.35,264303.0
2022-01-27,59.0,66.35,58.0,66.35,812469.0
2022-01-28,66.75,69.45,63.05,63.05,244341.0
2022-01-31,62.5,63.05,59.9,59.9,90430.0
2022-02-01,57.4,59.7,56.95,57.25,99765.0
2022-02-02,55.4,60.05,55.4,56.95,177865.0
2022-02-03,56.5,58.5,55.8,56.15,100161.0
2022-02-04,56.8,58.95,55.05,58.9,102400.0
2022-02-07,59.0,59.5,56.0,56.55,89877.0
2022-02-08,56.25,57.4,53.75,53.75,89829.0
2022-02-09,52.6,54.6,51.1,51.3,100382.0
2022-02-10,51.95,53.55,51.05,52.6,47609.0
2022-02-11,53.3,53.4,50.65,51.5,42651.0
2022-02-14,49.0,52.7,48.95,49.2,62531.0
2022-02-15,48.95,50.55,46.9,49.6,82625.0
2022-02-16,48.75,51.9,48.7,49.95,50379.0
2022-02-17,50.2,50.9,47.65,48.2,31075.0
2022-02-18,48.1,49.35,47.25,47.5,26369.0
2022-02-21,47.4,47.5,45.35,45.65,30961.0
2022-02-22,45.0,45.0,43.4,43.4,26557.0
2022-02-23,43.7,45.55,43.45,45.55,49517.0
2022-02-24,43.4,44.5,43.3,43.3,29657.0
2022-02-25,42.5,44.45,42.5,43.5,40668.0
2022-02-28,44.0,44.4,42.45,43.3,23609.0
2022-03-02,44.0,44.0,42.3,43.25,16954.0
2022-03-03,44.75,44.75,42.15,43.85,24850.0
2022-03-04,43.95,44.0,42.55,43.4,13098.0
2022-03-07,43.45,43.45,41.25,41.45,35188.0
2022-03-08,40.35,42.3,40.35,41.35,22105.0
2022-03-09,42.5,43.4,42.15,43.4,23861.0
2022-03-10,44.95,45.55,42.8,43.95,52903.0
2022-03-11,42.7,44.75,42.7,43.15,27841.0
2022-03-14,43.75,43.75,41.35,42.25,49323.0
2022-03-15,42.0,43.9,41.85,41.95,79517.0
2022-03-16,42.95,42.95,42.45,42.7,50478.0
2022-03-17,43.5,44.35,42.0,42.65,57341.0
2022-03-21,42.5,43.5,41.75,43.0,37223.0
2022-03-22,43.0,43.05,42.3,42.75,14086.0
