date,open,high,low,close,volume
2026-02-06,190.0,190.75,181.15,188.95,92756.0
2026-02-09,187.65,195.9,185.1,187.73,98496.0
2026-02-10,195.9,195.9,187.3,189.2,76022.0
2026-02-11,191.0,195.5,189.13,194.84,89633.0
2026-02-12,197.0,197.0,191.51,194.68,56370.0
2026-02-13,191.0,194.0,185.0,186.3,110469.0
2026-02-16,187.99,187.99,176.99,177.32,92432.0
2026-02-17,175.6,176.99,171.93,173.22,77161.0
2026-02-18,172.1,181.88,172.1,181.88,105946.0
2026-02-19,190.97,190.97,182.0,183.87,143567.0
2026-02-20,183.87,184.69,178.0,178.85,55347.0
2026-02-23,181.0,181.89,172.0,173.32,72883.0
2026-02-24,179.0,181.98,164.66,165.66,744730.0
2026-02-25,167.0,170.0,162.5,166.25,145305.0
2026-02-26,166.25,167.6,157.94,158.69,191649.0
2026-02-27,160.1,162.12,153.0,159.86,131254.0
2026-03-02,154.0,167.85,153.1,162.8,222545.0
2026-03-04,161.0,161.05,155.5,157.81,145682.0
2026-03-05,162.0,164.9,158.21,162.02,58064.0
2026-03-06,160.69,162.4,159.5,160.13,37125.0
2026-03-09,163.9,163.9,152.13,152.47,141869.0
2026-03-10,153.0,158.5,151.91,156.26,87680.0
2026-03-11,156.0,158.58,153.0,154.75,82497.0
2026-03-12,154.5,156.99,149.62,152.62,127654.0
2026-03-13,152.3,154.8,144.99,145.27,155403.0
2026-03-16,145.0,147.69,140.1,144.28,167567.0
2026-03-17,145.1,151.49,145.07,151.49,208929.0
2026-03-18,153.0,159.06,153.0,159.06,76789.0
2026-03-19,164.63,167.01,160.5,164.68,476276.0
2026-03-20,167.0,172.91,165.51,172.48,251180.0
2026-03-23,178.0,178.0,163.86,163.86,211909.0
2026-03-24,167.8,171.5,162.15,163.83,169043.0
2026-03-25,165.99,167.15,160.0,163.45,108494.0
2026-03-27,160.45,160.45,155.28,155.28,169517.0
2026-03-30,153.0,154.0,147.52,147.52,128419.0
2026-04-01,150.0,154.89,150.0,154.89,37827.0
2026-04-02,155.5,159.0,147.15,157.64,74750.0
2026-04-06,158.7,160.39,150.1,156.52,92761.0
2026-04-07,155.0,162.0,153.0,161.66,67978.0
2026-04-08,169.69,169.74,167.07,169.74,46865.0
2026-04-09,172.0,173.1,166.26,170.89,92381.0
2026-04-10,172.0,179.43,172.0,179.43,139181.0
2026-04-13,174.5,174.98,170.46,172.89,195429.0
2026-04-15,174.0,181.53,174.0,180.8,178324.0
2026-04-16,183.99,189.84,183.44,189.84,78569.0
2026-04-17,196.4,199.33,192.0,196.1,657429.0
2026-04-20,203.0,205.9,199.93,205.9,277593.0
2026-04-21,216.19,216.19,205.9,216.19,524491.0
2026-04-22,226.99,226.99,222.0,226.99,705607.0
2026-04-23,237.0,238.33,223.0,238.33,1175902.0
2026-04-24,239.7,239.7,226.42,236.66,800077.0
2026-04-27,248.49,248.49,248.49,248.49,85467.0
2026-04-28,260.91,260.91,260.91,260.91,28199.0
2026-04-29,273.95,273.95,273.95,273.95,49851.0
2026-04-30,287.64,287.64,275.0,287.64,1573591.0
2026-05-04,297.0,302.0,273.3,295.5,1240325.0
2026-05-05,285.0,299.95,281.1,293.9,500608.0
2026-05-06,291.0,298.0,282.1,292.9,351418.0
2026-05-07,291.0,307.5,291.0,307.5,477106.0
2026-05-08,310.1,322.85,308.0,322.85,395403.0
