date,open,high,low,close,volume
2021-05-12,326.8,331.0,324.0,327.5,28911.0
2021-05-14,334.95,343.85,311.15,335.95,78058.0
2021-05-17,342.85,347.55,337.05,343.9,17593.0
2021-05-18,355.0,355.0,341.55,343.65,19143.0
2021-05-19,347.9,347.9,335.0,338.25,15089.0
2021-05-20,339.65,345.0,336.0,337.55,18354.0
2021-05-21,340.5,344.0,336.7,339.95,23957.0
2021-05-24,344.8,356.9,336.05,355.35,52914.0
2021-05-25,359.45,364.95,345.0,355.95,52184.0
2021-05-26,345.65,373.65,345.65,363.55,120068.0
2021-05-27,366.8,379.9,366.0,367.75,89303.0
2021-05-28,371.2,384.0,365.0,377.55,73884.0
2021-05-31,377.85,379.75,358.7,364.3,120082.0
2021-06-01,366.8,382.5,364.0,369.35,193781.0
2021-06-02,371.3,379.0,366.0,368.35,88278.0
2021-06-03,372.7,378.8,368.5,370.3,89048.0
2021-06-04,371.5,371.5,351.8,356.7,141103.0
2021-06-07,369.9,369.9,356.05,357.35,74202.0
2021-06-08,363.9,363.9,356.3,362.6,29421.0
2021-06-09,360.6,367.9,360.3,362.1,66571.0
2021-06-10,365.0,365.0,355.9,361.8,80580.0
2021-06-11,362.5,364.5,340.05,346.35,73096.0
2021-06-14,358.0,358.0,341.2,342.7,26905.0
2021-06-15,349.85,350.0,338.05,345.0,48217.0
2021-06-16,345.0,345.3,330.0,333.6,43659.0
2021-06-17,334.45,341.95,325.65,338.25,70075.0
2021-06-18,342.75,346.05,326.05,338.2,46980.0
2021-06-21,326.5,339.0,326.5,334.6,18311.0
2021-06-22,340.0,341.95,330.0,331.7,22032.0
2021-06-23,331.7,335.5,324.0,325.2,36912.0
2021-06-24,324.5,333.95,320.0,321.6,37582.0
2021-06-25,329.9,329.9,316.6,324.1,22038.0
2021-06-28,328.9,334.75,324.45,328.85,37162.0
2021-06-29,334.9,335.35,327.45,330.8,30529.0
2021-06-30,334.8,336.0,324.0,327.65,40260.0
2021-07-01,330.25,330.35,323.0,324.1,28115.0
2021-07-02,329.4,334.7,320.55,330.25,109565.0
2021-07-05,338.9,338.9,330.0,333.1,26847.0
2021-07-06,338.95,366.4,333.25,335.15,52513.0
2021-07-07,339.5,344.95,331.1,332.25,52908.0
2021-07-08,336.0,338.75,316.6,323.4,72523.0
2021-07-09,325.05,333.05,325.0,329.15,26736.0
2021-07-12,336.0,336.0,318.45,322.45,51258.0
2021-07-13,324.95,326.95,320.3,321.7,36065.0
2021-07-14,322.05,333.0,322.05,328.05,38881.0
2021-07-15,329.0,331.2,324.55,326.2,20843.0
2021-07-16,329.85,353.75,324.05,344.5,383073.0
2021-07-19,345.75,358.8,344.95,348.75,145740.0
2021-07-20,357.4,359.0,314.0,348.5,132352.0
2021-07-22,351.1,357.45,349.55,352.05,74048.0
2021-07-23,350.0,353.25,344.05,347.75,27476.0
2021-07-26,342.1,350.0,342.1,346.15,25401.0
2021-07-27,347.95,347.95,337.5,343.6,28146.0
2021-07-28,338.5,348.55,334.0,335.05,27001.0
