date,open,high,low,close,volume
2021-05-12,0.95,0.95,0.95,0.95,1116901.0
2021-05-14,1.0,1.0,1.0,1.0,1513907.0
2021-05-17,1.05,1.05,1.05,1.05,603110.0
2021-05-18,1.1,1.1,1.1,1.1,752549.0
2021-05-19,1.15,1.15,1.05,1.15,20612301.0
2021-05-20,1.15,1.2,1.1,1.15,5452443.0
2021-05-21,1.1,1.15,1.1,1.1,5892628.0
2021-05-24,1.1,1.15,1.05,1.1,5368750.0
2021-05-25,1.15,1.15,1.1,1.15,7377760.0
2021-05-26,1.2,1.2,1.2,1.2,2320158.0
2021-05-27,1.25,1.25,1.25,1.25,1391018.0
2021-05-28,1.3,1.3,1.3,1.3,2168130.0
2021-05-31,1.35,1.35,1.35,1.35,1072865.0
2021-06-01,1.4,1.4,1.3,1.4,20025468.0
2021-06-02,1.4,1.4,1.35,1.35,5524968.0
2021-06-03,1.3,1.4,1.3,1.4,8957353.0
2021-06-04,1.45,1.45,1.45,1.45,2121163.0
2021-06-07,1.5,1.5,1.45,1.5,7931732.0
2021-06-08,1.55,1.55,1.45,1.55,3363645.0
2021-06-09,1.6,1.6,1.6,1.6,984955.0
2021-06-10,1.65,1.65,1.65,1.65,742853.0
2021-06-11,1.7,1.7,1.7,1.7,895273.0
2021-06-14,1.75,1.75,1.75,1.75,2460540.0
2021-06-15,1.8,1.8,1.75,1.8,8435807.0
2021-06-16,1.85,1.85,1.75,1.75,7614249.0
2021-06-17,1.7,1.75,1.7,1.7,6555438.0
2021-06-18,1.65,1.7,1.65,1.65,6419413.0
2021-06-21,1.6,1.6,1.6,1.6,684565.0
2021-06-22,1.55,1.65,1.55,1.65,16597301.0
2021-06-23,1.7,1.7,1.6,1.7,9065872.0
2021-06-24,1.7,1.7,1.65,1.65,1734765.0
2021-06-25,1.6,1.6,1.6,1.6,514873.0
2021-06-28,1.55,1.55,1.55,1.55,634328.0
2021-06-29,1.5,1.5,1.5,1.5,968707.0
2021-06-30,1.45,1.45,1.45,1.45,756225.0
2021-07-01,1.4,1.4,1.4,1.4,418875.0
2021-07-02,1.35,1.35,1.35,1.35,1246817.0
2021-07-05,1.3,1.4,1.3,1.4,4887417.0
2021-07-06,1.45,1.45,1.4,1.45,3369121.0
2021-07-07,1.5,1.5,1.5,1.5,1467089.0
2021-07-08,1.55,1.55,1.55,1.55,2869195.0
2021-07-09,1.6,1.6,1.5,1.6,8412127.0
2021-07-12,1.6,1.65,1.55,1.65,3808861.0
2021-07-13,1.7,1.7,1.6,1.65,5475300.0
2021-07-14,1.7,1.7,1.6,1.6,2737203.0
2021-07-15,1.55,1.6,1.55,1.55,2142801.0
2021-07-16,1.5,1.5,1.5,1.5,1135997.0
2021-07-19,1.45,1.55,1.45,1.55,3882353.0
2021-07-20,1.6,1.6,1.55,1.6,6164383.0
2021-07-22,1.65,1.65,1.6,1.65,5014210.0
2021-07-23,1.7,1.7,1.6,1.65,13635921.0
2021-07-26,1.65,1.7,1.6,1.7,9061051.0
2021-07-27,1.75,1.75,1.75,1.75,3662740.0
2021-07-28,1.75,1.8,1.7,1.7,4084873.0
2021-07-29,1.65,1.7,1.65,1.65,2686887.0
2021-07-30,1.6,1.7,1.6,1.7,6113891.0
2021-08-02,1.75,1.75,1.7,1.75,2296290.0
2021-08-03,1.8,1.8,1.8,1.8,796448.0
2021-08-04,1.85,1.85,1.85,1.85,1345775.0
2021-08-05,1.9,1.9,1.8,1.8,5885954.0
2021-08-06,1.75,1.85,1.75,1.8,10014388.0
2021-08-09,1.8,1.85,1.75,1.75,7444775.0
2021-08-10,1.7,1.75,1.7,1.7,2840827.0
2021-08-11,1.65,1.65,1.65,1.65,352337.0
2021-08-12,1.6,1.7,1.6,1.65,8923645.0
2021-08-13,1.65,1.65,1.6,1.65,2509717.0
2021-08-16,1.65,1.65,1.6,1.6,1466003.0
2021-08-17,1.55,1.55,1.55,1.55,247478.0
2021-08-18,1.5,1.5,1.5,1.5,414425.0
2021-08-20,1.45,1.45,1.45,1.45,531574.0
2021-08-23,1.45,1.5,1.4,1.4,3105709.0
2021-08-24,1.35,1.4,1.35,1.35,4308655.0
2021-08-25,1.35,1.4,1.35,1.4,6059341.0
2021-08-26,1.45,1.45,1.4,1.45,2307677.0
2021-08-27,1.5,1.5,1.45,1.5,2288020.0
2021-08-30,1.55,1.55,1.55,1.55,416453.0
2021-08-31,1.55,1.6,1.5,1.5,3366777.0
2021-09-01,1.45,1.5,1.45,1.45,4995082.0
