date,open,high,low,close,volume
2021-05-12,58.1,63.55,56.45,60.6,10151806.0
2021-05-14,61.35,64.25,58.75,61.2,7520443.0
2021-05-17,61.8,63.35,60.7,61.75,3669340.0
2021-05-18,62.45,62.9,60.3,61.0,2975844.0
2021-05-19,61.1,71.7,60.95,68.45,33364636.0
2021-05-20,69.5,72.9,68.55,69.1,15349734.0
2021-05-21,69.75,70.4,66.25,67.1,4714783.0
2021-05-24,66.9,69.65,66.25,68.45,2651761.0
2021-05-25,69.1,69.35,65.05,65.4,2459196.0
2021-05-26,65.45,69.7,65.1,67.9,3047523.0
2021-05-27,68.3,74.2,67.0,71.2,10936246.0
2021-05-28,71.9,72.5,68.0,68.35,2916514.0
2021-05-31,68.8,71.0,67.3,68.55,2453039.0
2021-06-01,68.8,69.4,63.05,65.35,3095032.0
2021-06-02,65.4,67.1,65.4,66.0,1169023.0
2021-06-03,66.45,67.35,65.7,66.0,1466685.0
2021-06-04,66.35,67.3,65.15,65.35,1107554.0
2021-06-07,65.9,67.7,64.5,65.5,2111251.0
2021-06-08,65.9,72.2,65.5,71.7,9574639.0
2021-06-09,72.45,74.6,67.15,68.65,6050104.0
2021-06-10,69.25,72.9,69.15,70.6,3324491.0
2021-06-11,71.2,71.8,69.0,69.9,1598911.0
2021-06-14,70.2,71.45,67.0,70.1,3109829.0
2021-06-15,70.5,72.25,69.3,69.85,2787741.0
2021-06-16,70.0,70.65,68.25,68.65,1784933.0
2021-06-17,68.0,69.75,67.3,67.9,1494087.0
2021-06-18,68.2,69.5,62.2,66.1,2659856.0
2021-06-21,64.55,68.25,64.05,67.1,1881866.0
2021-06-22,67.8,72.55,67.55,69.85,4891810.0
2021-06-23,70.35,71.45,68.9,69.25,2211792.0
2021-06-24,69.65,74.35,68.5,70.25,9747338.0
2021-06-25,67.75,67.8,64.1,64.55,6557711.0
2021-06-28,64.7,65.6,63.0,63.35,2782911.0
2021-06-29,63.9,64.8,63.35,63.8,1979276.0
2021-06-30,64.4,64.4,62.75,63.1,1654661.0
2021-07-01,63.5,63.7,61.5,61.65,1219263.0
2021-07-02,61.2,66.95,61.2,66.0,6853386.0
2021-07-05,66.35,67.8,65.35,66.4,3341902.0
2021-07-06,66.75,67.0,64.1,64.45,1431189.0
2021-07-07,64.8,65.35,63.6,64.25,1163975.0
2021-07-08,64.45,65.7,63.0,63.9,1116948.0
2021-07-09,64.05,65.2,63.35,64.05,1343064.0
2021-07-12,64.6,65.4,63.75,64.3,1087964.0
2021-07-13,64.7,64.75,63.5,63.75,796377.0
2021-07-14,64.0,66.05,63.55,64.3,2310871.0
2021-07-15,64.35,67.4,64.35,65.45,3658135.0
2021-07-16,65.45,67.3,64.65,64.95,2101342.0
2021-07-19,64.45,64.6,63.0,63.35,1302860.0
2021-07-20,63.65,63.7,60.0,61.05,1492338.0
2021-07-22,61.8,62.95,61.55,61.85,722389.0
2021-07-23,62.35,65.2,61.25,64.1,2270134.0
2021-07-26,63.9,64.1,61.95,62.2,932811.0
