date,open,high,low,close,volume
2021-05-12,76.5,77.8,73.8,74.95,1441975.0
2021-05-14,76.5,76.5,71.3,72.2,289737.0
2021-05-17,72.4,73.2,70.25,70.75,187061.0
2021-05-18,71.95,72.2,70.65,71.3,156497.0
2021-05-19,71.95,72.3,69.55,70.3,164981.0
2021-05-20,71.25,76.4,70.4,75.1,632408.0
2021-05-21,77.7,82.0,75.9,78.15,2995173.0
2021-05-24,77.95,78.7,75.75,76.0,320722.0
2021-05-25,78.95,82.4,77.15,78.4,1426957.0
2021-05-26,79.7,82.65,79.0,79.3,1134737.0
2021-05-27,79.3,79.9,77.35,77.95,319530.0
2021-05-28,79.5,79.9,76.0,76.4,330106.0
2021-05-31,76.4,76.45,74.25,74.65,150807.0
2021-06-01,74.65,78.2,74.5,75.2,274002.0
2021-06-02,74.9,76.65,74.05,75.65,129208.0
2021-06-03,76.0,81.25,75.7,80.65,1000021.0
2021-06-04,83.0,88.85,82.5,84.55,3987431.0
2021-06-07,84.55,84.6,81.35,82.0,629468.0
2021-06-08,82.5,82.85,80.1,80.7,654652.0
2021-06-09,81.4,84.35,80.5,81.15,850581.0
2021-06-10,81.1,82.3,80.65,81.05,300198.0
2021-06-11,82.4,82.4,80.1,80.6,326310.0
2021-06-14,80.2,81.15,78.2,79.35,564343.0
2021-06-15,79.9,80.95,78.5,79.4,383999.0
2021-06-16,80.0,82.85,78.6,81.8,567055.0
2021-06-17,83.95,87.35,82.35,83.1,2253367.0
2021-06-18,84.1,84.55,77.25,80.35,532475.0
2021-06-21,79.2,81.85,77.0,80.9,503938.0
2021-06-22,82.4,83.85,81.2,82.7,770880.0
2021-06-23,83.0,83.35,80.25,80.5,315015.0
2021-06-24,81.05,83.25,80.1,80.4,564121.0
2021-06-25,81.4,82.75,79.45,80.15,465889.0
2021-06-28,80.8,82.9,79.55,80.2,457019.0
2021-06-29,79.7,81.0,78.1,78.6,274155.0
2021-06-30,79.05,79.95,78.25,78.55,139383.0
2021-07-01,79.3,80.0,78.0,78.5,162555.0
2021-07-02,78.5,80.5,78.35,78.75,297472.0
2021-07-05,79.9,82.5,78.8,79.25,726241.0
2021-07-06,79.1,84.7,79.1,83.9,1266228.0
2021-07-07,85.5,86.1,83.15,83.85,1483530.0
2021-07-08,83.05,84.4,79.15,80.6,452645.0
2021-07-09,80.95,81.3,79.65,80.55,150444.0
2021-07-12,80.7,82.45,80.25,80.5,219854.0
2021-07-13,81.0,83.3,80.8,82.3,376478.0
2021-07-14,82.3,85.5,82.15,82.8,824811.0
2021-07-15,83.7,84.3,81.1,81.85,270389.0
2021-07-16,81.25,83.0,81.2,81.5,189135.0
2021-07-19,81.25,82.6,80.15,81.85,232347.0
2021-07-20,81.85,82.6,80.5,81.2,252281.0
2021-07-22,81.6,87.0,81.6,83.75,868113.0
2021-07-23,84.0,85.0,82.55,83.75,299090.0
2021-07-26,84.0,89.5,83.15,87.5,2302646.0
2021-07-27,88.4,91.0,86.1,89.1,1742903.0
2021-07-28,89.75,90.9,84.5,88.25,963220.0
2021-07-29,88.65,89.4,85.6,86.1,470435.0
2021-07-30,85.75,87.85,83.85,84.25,286706.0
2021-08-02,85.0,88.8,84.7,85.9,627971.0
2021-08-03,85.9,92.25,85.4,90.45,1956316.0
2021-08-04,90.0,91.1,82.2,83.9,792296.0
2021-08-05,83.9,84.65,78.35,81.0,753115.0
2021-08-06,80.95,84.0,80.95,82.5,342889.0
2021-08-09,83.1,84.5,79.85,80.65,663950.0
2021-08-10,79.95,82.35,74.0,75.5,789009.0
2021-08-11,72.8,74.0,68.55,71.6,810334.0
2021-08-12,72.05,76.4,72.05,75.9,470930.0
2021-08-13,76.35,79.65,75.3,78.75,490897.0
