date,open,high,low,close,volume
2026-04-21,128.9,129.15,128.7,129.15,18.0
2026-04-22,135.6,135.6,135.5,135.6,19.0
2026-04-23,142.35,142.35,139.1,139.1,79.0
2026-04-24,139.1,139.1,139.0,139.0,170.0
2026-04-27,145.95,145.95,135.3,137.0,96.0
2026-04-28,143.85,143.85,130.15,134.6,132.0
2026-04-29,135.0,141.3,135.0,141.3,282.0
2026-04-30,141.45,141.45,141.45,141.45,10.0
2026-05-04,148.5,148.5,134.38,134.39,23.0
2026-05-05,134.39,134.39,134.39,134.39,39.0
2026-05-06,134.39,134.39,128.0,128.0,10.0
2026-05-07,134.1,134.4,134.1,134.4,25.0
2026-05-08,141.12,141.12,141.12,141.12,10.0
