date,open,high,low,close,volume
2021-05-12,8.3,8.3,8.3,8.3,6579.0
2021-05-14,8.7,8.7,8.7,8.7,15170.0
2021-05-17,9.1,9.1,9.1,9.1,6685.0
2021-05-18,9.55,9.55,9.55,9.55,3428.0
2021-05-19,10.0,10.0,10.0,10.0,3362.0
2021-05-20,10.5,10.5,9.5,9.85,102536.0
2021-05-21,9.4,9.4,9.4,9.4,6618.0
2021-05-24,8.95,8.95,8.95,8.95,13645.0
2021-05-25,8.55,8.55,8.55,8.55,3160.0
2021-05-26,8.15,8.15,8.15,8.15,63453.0
2021-05-27,7.75,7.75,7.75,7.75,4834.0
2021-05-28,7.5,8.1,7.4,7.4,10950.0
2021-05-31,7.05,7.05,7.05,7.05,7257.0
2021-06-01,6.7,6.7,6.7,6.7,9103.0
2021-06-02,6.85,7.0,6.4,6.65,37005.0
2021-06-03,6.95,6.95,6.95,6.95,3315.0
2021-06-04,7.25,7.25,7.25,7.25,6398.0
2021-06-07,7.6,7.6,7.6,7.6,9013.0
2021-06-08,7.95,7.95,7.25,7.95,27001.0
2021-06-09,8.3,8.3,7.95,8.1,44779.0
2021-06-10,8.5,8.5,7.7,8.5,39581.0
2021-06-11,8.9,8.9,8.1,8.1,36736.0
2021-06-14,7.7,8.5,7.7,8.2,42061.0
2021-06-15,8.2,8.4,7.8,7.9,28550.0
2021-06-16,8.1,8.1,7.55,7.55,30219.0
2021-06-17,7.2,7.3,7.2,7.2,27669.0
2021-06-18,7.2,7.2,6.85,6.85,11880.0
2021-06-21,6.85,7.15,6.85,6.95,6379.0
2021-06-22,7.25,7.25,7.25,7.25,4501.0
2021-06-23,7.6,7.6,7.2,7.5,17781.0
2021-06-24,7.65,7.85,7.15,7.3,7614.0
2021-06-25,7.5,7.6,6.95,7.05,11515.0
2021-06-28,7.2,7.35,6.7,7.15,18561.0
2021-06-29,7.4,7.45,6.8,6.9,22265.0
2021-06-30,7.2,7.2,6.6,6.8,24627.0
2021-07-01,6.7,7.1,6.7,7.05,13864.0
2021-07-02,7.35,7.35,6.9,7.1,20275.0
2021-07-05,7.4,7.45,7.1,7.45,13549.0
2021-07-06,7.8,7.8,7.1,7.8,24529.0
2021-07-07,7.8,7.9,7.45,7.45,10178.0
2021-07-08,7.8,7.8,7.5,7.8,43535.0
2021-07-09,8.1,8.15,8.0,8.15,80979.0
2021-07-12,8.55,8.55,8.35,8.55,82498.0
2021-07-13,8.9,8.95,8.15,8.95,101510.0
2021-07-14,9.35,9.35,8.95,9.35,23088.0
2021-07-15,9.8,9.8,8.9,9.45,66486.0
2021-07-16,9.45,9.9,9.05,9.7,36651.0
2021-07-19,9.9,10.15,9.3,9.55,28414.0
2021-07-20,9.75,10.0,9.1,9.55,18575.0
2021-07-22,9.75,9.75,9.1,9.35,22316.0
2021-07-23,9.8,9.8,8.9,9.05,21006.0
2021-07-26,9.25,9.5,8.6,9.05,21105.0
2021-07-27,9.25,9.25,8.6,8.6,8210.0
2021-07-28,8.45,8.95,8.2,8.2,13257.0
2021-07-29,8.4,8.4,7.8,7.95,10296.0
2021-07-30,7.6,8.3,7.6,8.15,7687.0
2021-08-02,8.0,8.0,7.75,7.8,21761.0
2021-08-03,8.15,8.15,7.45,8.1,15518.0
2021-08-04,8.4,8.5,8.0,8.0,24493.0
2021-08-05,8.35,8.4,7.6,8.05,25211.0
2021-08-06,7.65,8.4,7.65,7.65,25596.0
2021-08-09,7.35,8.0,7.3,8.0,12097.0
2021-08-10,7.6,8.3,7.6,7.6,21126.0
2021-08-11,7.6,7.95,7.25,7.3,20316.0
2021-08-12,7.0,7.65,6.95,7.25,23905.0
2021-08-13,7.6,7.6,6.9,7.5,8517.0
2021-08-16,7.5,7.5,7.15,7.25,5404.0
2021-08-17,7.55,7.6,6.9,6.9,10247.0
2021-08-18,7.2,7.2,6.6,6.85,8377.0
2021-08-20,7.0,7.15,6.55,6.95,8609.0
2021-08-23,7.25,7.25,6.65,7.0,7655.0
2021-08-24,7.0,7.25,6.65,6.7,10798.0
2021-08-25,7.0,7.0,6.4,7.0,2633.0
2021-08-26,7.0,7.15,6.65,7.0,5078.0
2021-08-27,7.0,7.3,6.65,6.95,3353.0
2021-08-30,6.95,7.15,6.7,7.1,3957.0
2021-08-31,7.1,7.25,6.85,6.9,3913.0
2021-09-01,7.2,7.2,6.6,6.8,7592.0
2021-09-02,6.6,7.1,6.5,6.5,8849.0
2021-09-03,6.8,6.8,6.2,6.75,9396.0
2021-09-06,7.0,7.0,6.45,6.7,2404.0
2021-09-07,6.6,6.8,6.5,6.8,7322.0
2021-09-08,6.8,6.8,6.5,6.8,4501.0
2021-09-09,6.5,6.8,6.5,6.8,4306.0
2021-09-13,6.7,6.7,6.5,6.65,3866.0
2021-09-14,6.8,6.8,6.35,6.7,9963.0
2021-09-15,6.85,6.85,6.4,6.75,13421.0
2021-09-16,6.6,7.05,6.45,6.8,9810.0
2021-09-17,7.0,7.0,6.5,6.75,17316.0
2021-09-20,6.9,6.9,6.45,6.9,2382.0
2021-09-21,6.6,6.9,6.6,6.85,5603.0
2021-09-22,6.75,7.15,6.55,6.55,5114.0
2021-09-23,6.6,6.85,6.25,6.55,10447.0
2021-09-24,6.25,6.3,6.25,6.25,25070.0
2021-09-27,6.25,6.5,5.95,5.95,41192.0
2021-09-28,5.85,6.2,5.7,5.7,14884.0
2021-09-29,5.9,5.95,5.6,5.85,14150.0
