date,open,high,low,close,volume
2021-05-12,2.98,2.98,2.98,2.98,875.0
2021-05-14,2.83,3.13,2.83,3.13,1055.0
2021-05-17,3.13,3.13,3.13,3.13,5.0
2021-05-18,2.98,3.29,2.98,3.09,7810.0
2021-05-21,3.06,3.06,3.06,3.06,5.0
2021-05-24,2.91,3.21,2.91,3.21,25.0
2021-05-25,3.37,3.37,3.05,3.09,10375.0
2021-05-26,3.09,3.09,3.09,3.09,1775.0
2021-05-28,3.03,3.24,2.93,3.24,120065.0
2021-05-31,3.4,3.4,3.09,3.33,15055.0
2021-06-01,3.49,3.49,3.2,3.43,4785.0
2021-06-02,3.37,3.37,3.26,3.28,46690.0
2021-06-03,3.43,3.44,3.26,3.43,4295.0
2021-06-04,3.54,3.54,3.26,3.27,14760.0
2021-06-07,3.37,3.43,3.27,3.43,8400.0
2021-06-08,3.37,3.43,3.37,3.43,490.0
2021-06-09,3.6,3.6,3.31,3.49,8680.0
2021-06-10,3.38,3.6,3.37,3.6,23625.0
2021-06-11,3.6,3.78,3.49,3.62,5450.0
2021-06-14,3.8,3.8,3.63,3.63,24820.0
2021-06-15,3.81,3.81,3.46,3.46,3330.0
2021-06-16,3.62,3.63,3.37,3.6,3795.0
2021-06-17,3.78,3.78,3.42,3.7,19625.0
2021-06-18,3.66,3.69,3.66,3.69,350700.0
2021-06-21,3.71,3.71,3.51,3.69,1895.0
2021-06-22,3.69,3.69,3.54,3.54,900.0
2021-06-23,3.54,3.54,3.54,3.54,410270.0
2021-06-24,3.37,3.54,3.37,3.54,2140.0
2021-06-25,3.44,3.54,3.37,3.51,750.0
2021-06-28,3.43,3.49,3.43,3.43,83465.0
2021-06-29,3.34,3.54,3.34,3.54,4690.0
2021-06-30,3.54,3.72,3.37,3.72,29715.0
2021-07-01,3.66,3.9,3.66,3.66,3235.0
2021-07-02,3.49,3.84,3.49,3.83,8330.0
2021-07-05,4.02,4.02,3.66,3.9,63910.0
2021-07-06,4.09,4.09,3.71,3.71,1510.0
2021-07-07,3.71,3.89,3.53,3.89,530.0
2021-07-08,4.06,4.09,3.7,4.09,2642420.0
2021-07-09,4.28,4.29,4.28,4.29,22180.0
2021-07-12,4.5,4.5,4.5,4.5,10995.0
2021-07-13,4.72,4.72,4.72,4.72,884730.0
2021-07-14,4.95,4.95,4.95,4.95,20675.0
2021-07-15,5.2,5.2,5.2,5.2,3513945.0
2021-07-16,5.46,5.46,5.46,5.46,16490.0
2021-07-19,5.73,5.73,5.73,5.73,32200.0
2021-07-20,6.01,6.01,6.01,6.01,20300.0
2021-07-22,6.31,6.31,6.31,6.31,18690.0
2021-07-23,6.62,6.62,6.62,6.62,29450.0
2021-07-26,6.95,6.95,6.95,6.95,13410.0
2021-07-27,7.29,7.29,7.29,7.29,4655.0
2021-07-28,7.65,7.65,7.65,7.65,14330.0
2021-07-29,8.03,8.03,8.03,8.03,4810.0
2021-07-30,8.43,8.43,8.43,8.43,57310.0
2021-08-02,8.85,8.85,8.85,8.85,8015.0
2021-08-03,9.29,9.29,8.85,9.29,1187320.0
2021-08-04,9.75,9.75,9.74,9.75,1172330.0
2021-08-05,10.23,10.23,9.75,10.23,813300.0
2021-08-06,10.73,10.74,9.73,10.74,857970.0
2021-08-09,11.27,11.28,10.74,11.27,376815.0
2021-08-10,11.83,11.83,11.11,11.43,470110.0
2021-08-11,10.86,10.86,10.86,10.86,60025.0
